name,address,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,last_rqi_date,first_inspection_date,last_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
ESPANOLA GENERAL HOSPITAL (OPERATING AS ESPANOLA NURSING HOME-LTC),825 Mckinnon Drive,North East,Espanola General Hospital,,Non-Profit,Home with approximately 32 beds,No,Yes,Yes,Yes,,Espanola, P5E1R4,32.0,2018-01-22,2011-09-29,2020-06-04,14.0,10.0,2.0,2.0,1.0,,8.0,2.0,1.0,3.0,3.0,
EXETER VILLA,155 John Street East,South West,Atk Care Inc.,,For-Profit,Home with approximately 47 beds,Yes,Yes,No,Yes,,Exeter, N0M1S1,47.0,2017-11-07,2011-02-15,2020-10-28,16.0,9.0,5.0,7.0,2.0,2.0,7.0,3.0,2.0,1.0,,
EXTENDICARE BAYVIEW,550 Cummer Avenue,Central,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 205 beds,Yes,Yes,Yes,Yes,,North York, M2K2M2,205.0,2018-09-13,2010-09-08,2020-02-04,33.0,10.0,3.0,13.0,3.0,1.0,11.0,1.0,1.0,5.0,2.0,
EXTENDICARE BRAMPTON,7891 Mclaughlin Road,Central West,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Brampton, L6Y5H8,150.0,2018-11-09,2010-09-01,2020-09-09,26.0,17.0,10.0,13.0,6.0,4.0,4.0,3.0,3.0,8.0,7.0,4.0
EXTENDICARE COBOURG,130 New Densmore Road,Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 69 beds,No,Yes,Yes,Yes,,Cobourg, K9A5W2,69.0,2018-01-03,2011-07-26,2020-07-20,41.0,19.0,6.0,21.0,9.0,3.0,11.0,5.0,2.0,5.0,,
EXTENDICARE FALCONBRIDGE,281 Falconbridge Road,North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 234 beds,Yes,Yes,Yes,Yes,,Sudbury, P3A5K4,234.0,2018-06-28,2010-10-05,2020-10-14,65.0,38.0,17.0,26.0,14.0,6.0,23.0,12.0,6.0,18.0,13.0,6.0
EXTENDICARE GUILDWOOD,60 Guildwood Parkway,Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 169 beds,Yes,Yes,Yes,Yes,,Scarborough, M1E1N9,169.0,2018-09-07,2010-07-19,2020-09-24,38.0,17.0,9.0,19.0,2.0,2.0,14.0,6.0,3.0,14.0,9.0,4.0
EXTENDICARE HALIBURTON,167 Park Street P.O. Box 780,Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Haliburton, K0M1S0,60.0,2018-12-05,2011-11-10,2020-09-21,20.0,13.0,6.0,6.0,2.0,2.0,5.0,4.0,3.0,8.0,5.0,2.0
EXTENDICARE HALTON HILLS,9 Lindsay Court,Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 130 beds,No,Yes,Yes,Yes,,Georgetown, L7G6G9,130.0,2018-11-09,2010-11-19,2020-10-16,43.0,21.0,7.0,29.0,11.0,3.0,10.0,2.0,1.0,15.0,9.0,5.0
EXTENDICARE HAMILTON,90 Chedmac Drive,Hamilton Niagara Haldimand Brant (Hnhb),Extendicare (Canada) Inc.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Hamilton, L9C7S6,160.0,2018-02-22,2010-09-30,2020-11-03,42.0,20.0,8.0,22.0,7.0,2.0,12.0,4.0,4.0,10.0,6.0,1.0
EXTENDICARE KAPUSKASING,45 Ontario Street P.O. Box 460,North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 61 beds,Yes,Yes,Yes,Yes,,Kapuskasing, P5N2Y5,61.0,2017-11-30,2011-11-15,2020-11-02,27.0,19.0,11.0,9.0,6.0,4.0,13.0,7.0,7.0,1.0,1.0,1.0
EXTENDICARE KAWARTHA LAKES,125 Colborne Street East,Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Lindsay, K0L2V0,64.0,2018-01-04,2010-11-08,2020-11-02,14.0,9.0,3.0,4.0,1.0,,7.0,4.0,2.0,1.0,1.0,
EXTENDICARE KINGSTON,309 Queen Mary Road,South East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Kingston, K7M6P4,150.0,2018-02-15,2011-10-17,2020-10-20,28.0,15.0,4.0,7.0,2.0,1.0,13.0,7.0,2.0,4.0,2.0,
EXTENDICARE KIRKLAND LAKE,155 Government Road East,North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Kirkland Lake, P2N3P4,100.0,2018-09-25,2011-06-14,2020-07-30,21.0,15.0,4.0,5.0,3.0,1.0,9.0,5.0,2.0,3.0,3.0,
EXTENDICARE LAKEFIELD,19 Fraser Street,Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Lakefield, K0L2H0,100.0,2018-11-15,2010-11-25,2020-09-25,19.0,13.0,4.0,7.0,5.0,2.0,6.0,2.0,1.0,5.0,2.0,
EXTENDICARE LAURIER MANOR,1715 Montreal Road,Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],The Ottawa Hospital,For-Profit,Home with approximately 242 beds,No,Yes,Yes,Yes,"name: cameron love
position: president & ceo
1053 carling avenue
ottawa on k1y 4e9
phone:
e-mail: clove@toh.ca",Gloucester, K1J6N4,242.0,2018-03-22,2010-09-10,2020-10-08,83.0,50.0,13.0,44.0,23.0,5.0,34.0,19.0,7.0,7.0,5.0,
EXTENDICARE LONDON,860 Waterloo Street,South West,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 170 beds,Yes,Yes,Yes,Yes,,London, N6A3W6,170.0,2018-06-06,2010-09-02,2020-10-28,59.0,23.0,10.0,29.0,10.0,3.0,26.0,9.0,5.0,3.0,,
EXTENDICARE MAPLE VIEW OF SAULT STE. MARIE,650 Northern Avenue,North East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 256 beds,No,Yes,Yes,Yes,,Sault Ste. Marie, P6B4J3,256.0,2018-10-23,2013-12-17,2020-09-04,43.0,36.0,21.0,18.0,13.0,9.0,17.0,11.0,6.0,17.0,13.0,5.0
EXTENDICARE MEDEX,1865 Baseline Road,Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 193 beds,No,Yes,No,Yes,,Ottawa, K2C3K6,193.0,2018-02-08,2010-08-13,2020-11-04,60.0,34.0,16.0,25.0,12.0,6.0,29.0,17.0,7.0,7.0,4.0,2.0
EXTENDICARE MISSISSAUGA,855 John Watt Boulevard,Mississauga Halton,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 140 beds,No,Yes,Yes,Yes,,Mississauga, L5W1G2,140.0,2017-09-20,2010-08-11,2020-11-04,22.0,12.0,6.0,10.0,5.0,3.0,10.0,4.0,3.0,4.0,1.0,
EXTENDICARE NEW ORCHARD LODGE,99 New Orchard Avenue,Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 111 beds,No,Yes,No,Yes,,Ottawa, K2B5E6,111.0,2017-10-24,2011-05-30,2020-03-05,29.0,17.0,5.0,12.0,9.0,3.0,14.0,5.0,2.0,,,
EXTENDICARE OSHAWA,82 Park Road North,Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 175 beds,Yes,Yes,Yes,Yes,,Oshawa, L1J4L1,175.0,2018-10-31,2011-03-02,2019-12-17,41.0,28.0,8.0,13.0,9.0,4.0,18.0,11.0,3.0,5.0,2.0,
EXTENDICARE PETERBOROUGH,80 Alexander Avenue,Central East,Extendicare Central Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 174 beds,Yes,Yes,Yes,Yes,,Peterborough, K9J6B4,174.0,2018-02-22,2011-06-02,2020-10-28,27.0,16.0,7.0,14.0,5.0,2.0,11.0,5.0,3.0,3.0,2.0,1.0
EXTENDICARE PORT HOPE,360 Croft Street,Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Port Hope, L1A4K8,128.0,2017-10-27,2010-08-26,2020-10-19,29.0,21.0,5.0,12.0,5.0,2.0,10.0,8.0,3.0,5.0,4.0,
EXTENDICARE PORT STANLEY,4551 East Road,South West,Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Port Stanley, N5L1J6,60.0,2018-09-18,2010-09-23,2020-07-07,30.0,17.0,7.0,7.0,2.0,,13.0,5.0,3.0,8.0,7.0,4.0
EXTENDICARE ROUGE VALLEY,551 Conlins Road,Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 192 beds,Yes,Yes,Yes,Yes,,Toronto, M1B5S1,192.0,2018-06-13,2010-09-14,2020-10-02,34.0,22.0,10.0,15.0,9.0,3.0,10.0,6.0,4.0,7.0,5.0,2.0
EXTENDICARE SCARBOROUGH,3830 Lawrence Avenue East,Central East,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 154 beds,Yes,Yes,Yes,Yes,,Scarborough, M1G1R6,154.0,2018-08-01,2011-03-24,2020-08-27,31.0,15.0,6.0,18.0,6.0,3.0,10.0,2.0,1.0,5.0,4.0,1.0
EXTENDICARE SOUTHWOOD LAKES,1255 North Talbot Road,Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Windsor, N9G3A4,150.0,2018-07-20,2010-07-27,2020-11-12,98.0,28.0,12.0,73.0,18.0,8.0,21.0,4.0,3.0,4.0,2.0,1.0
EXTENDICARE ST. CATHARINES,283 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 153 beds,No,Yes,Yes,Yes,,St. Catharines, L2S1X7,153.0,2017-05-25,2010-10-15,2020-02-07,26.0,15.0,8.0,12.0,5.0,5.0,10.0,3.0,2.0,7.0,5.0,1.0
EXTENDICARE STARWOOD,114 Starwood Road,Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Nepean, K2G3N5,192.0,2017-01-16,2010-09-08,2020-11-04,52.0,24.0,12.0,25.0,12.0,6.0,22.0,8.0,5.0,5.0,1.0,1.0
EXTENDICARE TECUMSEH,2475 St. Alphonse Street,Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Tecumseh, N8N2X2,128.0,2017-10-25,2010-08-04,2020-08-26,64.0,25.0,12.0,48.0,12.0,5.0,18.0,10.0,7.0,4.0,2.0,2.0
EXTENDICARE TIMMINS,62 St-Jean Avenue,North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 121 beds,No,Yes,Yes,Yes,,Timmins, P4R0A6,121.0,2018-03-27,2011-05-31,2020-09-03,37.0,23.0,7.0,15.0,7.0,2.0,14.0,6.0,3.0,11.0,9.0,1.0
EXTENDICARE TRI-TOWN,143 Bruce Street P.O. Box 999,North East,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Haileybury, P0J1K0,60.0,2018-05-31,2011-11-07,2020-05-22,15.0,10.0,3.0,7.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0
EXTENDICARE VAN DAELE,39 Van Daele Street,North East,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Sault Ste Marie, P6B4V3,100.0,2017-12-07,2011-03-21,2020-10-28,21.0,11.0,8.0,8.0,4.0,4.0,7.0,3.0,3.0,5.0,2.0,1.0
EXTENDICARE WEST END VILLA,2179 Elmira Drive,Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],The Ottawa Hospital,For-Profit,Home with approximately 242 beds,No,Yes,Yes,Yes,"name: cameron love
position: president & ceo
1053 carling avenue
ottawa on k1y 4e9
phone:
e-mail: clove@toh.ca",Ottawa, K2C3S1,242.0,2017-06-27,2010-11-18,2020-10-09,102.0,55.0,18.0,57.0,31.0,9.0,44.0,20.0,8.0,5.0,1.0,1.0
EXTENDICARE YORK,333 York Street,North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 288 beds,Yes,Yes,Yes,Yes,,Sudbury, P3E5J3,288.0,2018-02-28,2010-09-21,2020-11-09,61.0,32.0,12.0,25.0,10.0,4.0,25.0,11.0,5.0,17.0,10.0,2.0
F. J. DAVEY HOME,733 Third Line East,North East,F. J. Davey Home,,Non-Profit,Home with approximately 374 beds,No,Yes,Yes,Yes,,Sault Ste Marie, P6A7C1,374.0,2018-03-13,2010-08-16,2020-10-29,63.0,23.0,8.0,30.0,6.0,2.0,17.0,9.0,4.0,23.0,5.0,1.0
FAIRFIELD PARK,1934 Dufferin Avenue,Erie St. Clair,"Lapointe-fisher Nursing Home, Limited",,For-Profit,Home with approximately 99 beds,No,Yes,No,No,,Wallaceburg, N8A4M2,99.0,2018-07-12,2010-09-01,2020-09-01,31.0,15.0,10.0,12.0,4.0,3.0,14.0,7.0,6.0,1.0,,
FAIRHAVEN,881 Dutton Road,Central East,City And County Of Peterborough,,Municipal,Home with approximately 256 beds,Yes,Yes,Yes,Yes,,Peterborough, K9H7S4,256.0,2017-11-02,2011-05-10,2020-07-09,34.0,22.0,10.0,14.0,9.0,5.0,17.0,7.0,5.0,7.0,4.0,1.0
FAIRMOUNT HOME FOR THE AGED,2069 Battersea Road R. R. #1,South East,The Corporation Of The County Of Frontenac,,Municipal,Home with approximately 128 beds,No,Yes,No,Yes,,Glenburnie, K0H1S0,128.0,2018-02-01,2010-11-01,2020-07-20,32.0,20.0,8.0,12.0,7.0,3.0,17.0,9.0,4.0,1.0,,
FAIRVERN NURSING HOME,14 Mill Street,North Simcoe Muskoka,Huntsville District Nursing Home Inc.,,Non-Profit,Home with approximately 76 beds,No,Yes,Yes,Yes,,Huntsville, P1H2A4,76.0,2017-10-19,2011-11-22,2020-10-26,20.0,10.0,5.0,5.0,2.0,2.0,7.0,3.0,3.0,5.0,,
FAIRVIEW LODGE,632 Dundas Street West P.O. Box 300,Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 198 beds,No,Yes,Yes,Yes,,Whitby, L1N5S3,198.0,2017-09-08,2010-08-25,2020-09-24,46.0,27.0,11.0,19.0,11.0,7.0,20.0,8.0,3.0,2.0,2.0,
FAIRVIEW MANOR,75 Spring Street,Champlain,Almonte General Hospital,,Non-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Almonte, K0A1A0,112.0,2018-05-17,2011-08-09,2020-01-21,28.0,18.0,10.0,7.0,4.0,4.0,11.0,9.0,4.0,4.0,,
FAIRVIEW MENNONITE HOME,515 Langs Drive,Waterloo Wellington,Fairview Mennonite Homes,,Non-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,,Cambridge, N3H5E4,84.0,2019-01-28,2010-09-01,2020-11-12,17.0,12.0,5.0,6.0,5.0,2.0,5.0,1.0,1.0,6.0,6.0,3.0
FAIRVIEW NURSING HOME,14 Cross Street,Toronto Central,Fairview Nursing Home Limited,Specialty Care Inc.,For-Profit,Home with approximately 108 beds,No,Yes,Yes,Yes,,Toronto, M6J1S8,108.0,2018-10-11,2010-07-15,2020-10-15,33.0,9.0,6.0,13.0,2.0,2.0,13.0,3.0,3.0,9.0,1.0,1.0
FAITH MANOR NURSING HOME,7900 Mclaughlin Road South,Central West,Holland Christian Homes Inc.,,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Brampton, L6Y5A7,120.0,2018-04-18,2010-10-06,2020-01-28,38.0,17.0,5.0,15.0,3.0,1.0,11.0,4.0,2.0,12.0,8.0,3.0
FENELON COURT,44 Wychwood Crescent,Central East,Axr Operating (National) Lp,,For-Profit,Home with approximately 67 beds,No,Yes,Yes,Yes,,Fenelon Falls, K0M1N0,67.0,2018-11-13,2011-10-11,2020-07-31,17.0,10.0,3.0,6.0,3.0,1.0,8.0,3.0,1.0,,,
FIDDICK'S NURSING HOME,437 First Avenue P.O. Box 340,Erie St. Clair,Fiddick's Nursing Home Limited,,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Petrolia, N0N1R0,92.0,2018-01-22,2010-10-26,2020-10-26,36.0,22.0,11.0,18.0,10.0,3.0,12.0,6.0,4.0,3.0,3.0,2.0
FIELDSTONE COMMONS CARE COMMUNITY,1000 Ellesmere Road,Central East,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 224 beds,Yes,Yes,Yes,Yes,,Scarborough, M1P5G2,224.0,2018-10-18,2011-03-16,2020-02-10,41.0,17.0,4.0,17.0,6.0,2.0,18.0,7.0,1.0,8.0,5.0,2.0
FINLANDIA HOIVAKOTI NURSING HOME LIMITED,233 Fourth Avenue,North East,Finlandia Nursing Home Limited,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Sudbury, P3B4C3,112.0,2018-02-28,2010-11-29,2020-06-12,41.0,17.0,6.0,16.0,4.0,2.0,15.0,8.0,3.0,7.0,4.0,
FOREST HEIGHTS,60 Westheights Drive,Waterloo Wellington,Revera Long Term Care Inc.,,For-Profit,Home with approximately 240 beds,Yes,Yes,Yes,Yes,,Kitchener, N2N2A8,240.0,2017-09-13,2010-08-30,2020-10-30,100.0,38.0,11.0,47.0,11.0,4.0,42.0,17.0,4.0,12.0,5.0,2.0
FOREST HILL,6501 Campeau Drive,Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Kanata, K2K3E9,160.0,2018-09-28,2010-08-19,2020-01-23,41.0,22.0,8.0,17.0,9.0,4.0,16.0,6.0,3.0,3.0,2.0,
FOSTERBROOKE,330 King Street West,Central East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 88 beds,Yes,Yes,Yes,Yes,,Newcastle, L1B1G9,88.0,2018-06-13,2010-07-01,2020-06-22,23.0,13.0,2.0,9.0,4.0,,6.0,3.0,1.0,4.0,1.0,
FOUNTAIN VIEW CARE COMMUNITY,1800 O'Connor Drive,Toronto Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 158 beds,No,Yes,Yes,Yes,,East York, M4A1W7,158.0,2018-07-13,2010-10-05,2020-07-22,43.0,16.0,11.0,22.0,4.0,3.0,15.0,8.0,6.0,7.0,4.0,3.0
FOX RIDGE CARE COMMUNITY,389 West Street,Hamilton Niagara Haldimand Brant (Hnhb),2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 122 beds,No,Yes,Yes,Yes,,Brantford, N3R3V9,122.0,2019-02-06,2010-07-21,2020-10-13,64.0,21.0,8.0,25.0,8.0,3.0,24.0,6.0,3.0,20.0,9.0,5.0
FOYER DES PIONNIERS,67 15th Street P.O. Box 1538,North East,Foyer Hearst - Mattice - Soins De Sante,,Non-Profit,Home with approximately 67 beds,Yes,Yes,Yes,No,,Hearst, P0L1N0,67.0,2018-09-05,2011-11-08,2020-05-21,17.0,12.0,6.0,1.0,,,8.0,4.0,4.0,3.0,3.0,1.0
FOYER RICHELIEU WELLAND,655 Tanguay Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Foyer Richelieu Welland,,Non-Profit,Home with approximately 63 beds,No,Yes,Yes,No,,Welland, L3B6A1,63.0,2017-06-30,2011-07-19,2019-12-04,45.0,23.0,10.0,28.0,8.0,5.0,5.0,5.0,5.0,8.0,6.0,
FOYER ST-VIATEUR NURSING HOME,1003 Limoges Road South,Champlain,Genesis Gardens Inc.,,For-Profit,Home with approximately 57 beds,No,Yes,Yes,Yes,,Limoges, K0A2M0,57.0,2018-08-01,2010-09-21,2020-07-06,64.0,28.0,8.0,24.0,4.0,,15.0,6.0,4.0,23.0,14.0,2.0
FRANKLIN GARDENS LONG TERM CARE HOME,24 Franklin Road,Erie St. Clair,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Leamington, N8H4B7,120.0,2018-01-11,2010-08-18,2020-10-20,53.0,21.0,6.0,21.0,7.0,1.0,29.0,9.0,4.0,4.0,3.0,2.0
FRIENDLY MANOR NURSING HOME,"9756 County Road, #2 P.O. Box 305",South East,Manorcare Partners Ii,Eldercare Management & Consulting Corp.,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,Deseronto, K0K1X0,60.0,2018-10-01,2010-09-27,2020-11-03,30.0,21.0,5.0,7.0,7.0,2.0,16.0,7.0,2.0,3.0,3.0,
FROST MANOR,225 Mary Street West,Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 62 beds,No,Yes,Yes,Yes,,Lindsay, K9V5K3,62.0,2019-01-22,2011-06-10,2020-01-30,21.0,14.0,3.0,4.0,3.0,,10.0,5.0,2.0,3.0,1.0,
FUDGER HOUSE,439 Sherbourne Street,Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 250 beds,Yes,Yes,Yes,Yes,,Toronto, M4X1K6,250.0,2018-01-08,2010-11-03,2020-07-17,21.0,12.0,6.0,11.0,3.0,2.0,6.0,3.0,3.0,2.0,2.0,2.0
GARDEN CITY MANOR,168 Scott Street,Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 200 beds,No,Yes,Yes,Yes,,St. Catharines, L2N1H2,200.0,2018-05-09,2010-07-06,2020-08-06,56.0,22.0,10.0,29.0,7.0,2.0,17.0,8.0,5.0,11.0,5.0,2.0
GARDEN COURT NURSING HOME,1 Sand Beach Road,Toronto Central,Shaparrall Limited,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,No,,Etobicoke, M8V2W2,45.0,2018-10-11,2010-12-09,2020-10-16,13.0,8.0,4.0,3.0,,,3.0,3.0,1.0,6.0,2.0,2.0
GARDEN TERRACE,100 Aird Place,Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,,Kanata, K2L4H8,160.0,2018-05-23,2011-10-24,2020-09-18,52.0,39.0,18.0,22.0,11.0,7.0,26.0,19.0,9.0,5.0,5.0,1.0
GARDENVIEW LONG TERM CARE HOME,72 Town Centre Drive,Hamilton Niagara Haldimand Brant (Hnhb),Parkview Meadows Christian Retirement Village,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Townsend, N0A1S0,64.0,2017-11-06,2011-10-20,2019-09-24,18.0,14.0,2.0,8.0,6.0,2.0,1.0,,,5.0,5.0,
GARRY J. ARMSTRONG HOME,200 Island Lodge Road,Champlain,City Of Ottawa,,Municipal,Home with approximately 180 beds,No,Yes,Yes,Yes,,Ottawa, K1N5M2,180.0,2018-12-14,2011-09-22,2020-11-02,69.0,52.0,21.0,33.0,25.0,12.0,26.0,17.0,4.0,14.0,8.0,2.0
GATEWAY HAVEN LONG TERM CARE HOME,671 Frank Street P.O. Box 10,South West,Corporation Of The County Of Bruce,,Municipal,Home with approximately 100 beds,No,Yes,Yes,No,,Wiarton, N0H2T0,100.0,2018-10-10,2010-08-25,2020-06-25,19.0,10.0,5.0,5.0,2.0,1.0,8.0,2.0,2.0,6.0,5.0,3.0
GEORGIAN HEIGHTS,1115-10th Street East,South West,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,Home with approximately 40 beds,No,Yes,Yes,Yes,,Owen Sound, N4K6B1,40.0,2017-10-10,2010-09-23,2020-11-12,19.0,8.0,3.0,3.0,,,6.0,2.0,2.0,13.0,7.0,2.0
GEORGIAN MANOR HOME FOR THE AGED,101 Thompsons Road,North Simcoe Muskoka,Corporation Of The County Of Simcoe,,Municipal,Home with approximately 143 beds,Yes,Yes,Yes,Yes,,Penetanguishene, L9M0V3,143.0,2018-09-05,2011-02-23,2020-07-28,21.0,15.0,5.0,7.0,6.0,1.0,8.0,2.0,2.0,2.0,2.0,
GERALDTON DISTRICT HOSPITAL,500 Hogarth Avenue West,North West,Geraldton District Hospital,,Non-Profit,Home with approximately 19 beds,No,Yes,Yes,Yes,,Geraldton, P0T1M0,19.0,2018-08-09,2011-12-12,2020-06-04,13.0,9.0,2.0,1.0,1.0,,5.0,3.0,1.0,5.0,3.0,
GILMORE LODGE,50 Gilmore Road,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 80 beds,No,Yes,Yes,Yes,,Fort Erie, L2A2M1,80.0,2017-11-23,2011-09-23,2020-09-08,16.0,8.0,2.0,7.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,
GLEBE CENTRE,950 Bank Street,Champlain,The Glebe Centre Incorporated,,Non-Profit,Home with approximately 254 beds,No,Yes,Yes,Yes,,Ottawa, K1S5G6,254.0,2018-05-23,2010-08-25,2020-10-19,39.0,24.0,15.0,22.0,9.0,8.0,17.0,8.0,4.0,5.0,4.0,3.0
GLEN HILL MARNWOOD,26 Elgin Street,Central East,Glen Hill Terrace Christian Homes Inc.,,Non-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,Bowmanville, L1C3C8,60.0,2017-04-26,2010-09-27,2020-05-25,24.0,12.0,5.0,8.0,1.0,,9.0,7.0,5.0,4.0,1.0,
GLEN HILL STRATHAVEN,264 King Street East,Central East,Glen Hill Terrace Christian Homes Inc.,,Non-Profit,Home with approximately 199 beds,Yes,Yes,No,Yes,,Bowmanville, L1C1P9,199.0,2019-01-24,2011-05-18,2020-05-28,56.0,27.0,10.0,16.0,7.0,3.0,15.0,10.0,4.0,23.0,9.0,3.0
GLEN-STOR-DUN LODGE,1900 Montreal Road,Champlain,The Corporation Of The City Of Cornwall,,Municipal,Home with approximately 132 beds,Yes,Yes,Yes,Yes,,Cornwall, K6H7L1,132.0,2019-02-11,2011-05-31,2020-09-02,40.0,25.0,12.0,19.0,8.0,5.0,14.0,8.0,4.0,10.0,9.0,5.0
GOLDEN DAWN NURSING HOME,80 Main Street P. O. Box 129,South West,Golden Dawn Senior Citizen Home,,Non-Profit,Home with approximately 45 beds,No,Yes,Yes,No,,Lion's Head, N0H1W0,45.0,2017-10-31,2010-07-15,2020-11-04,15.0,8.0,3.0,7.0,2.0,1.0,3.0,,,10.0,5.0,2.0
GOLDEN MANOR,481 Melrose Boulevard,North East,Corporation Of The City Of Timmins,,Municipal,Home with approximately 177 beds,Yes,Yes,Yes,Yes,,Timmins, P4N5H3,177.0,2017-10-17,2011-08-16,2020-07-31,21.0,13.0,5.0,7.0,4.0,2.0,9.0,4.0,3.0,6.0,4.0,
