name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,outbreak,number_beds,CSDname,CSDuid,latitude,longitude
FAIRVIEW NURSING HOME,14 Cross Street,Toronto Central,For-Profit,No,Yes,Yes,Yes,,Toronto, M6J1S8,2010-07-15,34,10,7,12,2,2,12,4,4,8,1,1,fairview nursing home,1,108,Toronto,3520005,43.64812078,-79.4285026
FAITH MANOR NURSING HOME,7900 Mclaughlin Road South,Central West,Non-Profit,No,Yes,Yes,Yes,,Brampton, L6Y5A7,2010-10-06,39,18,6,15,4,2,11,4,2,12,8,3,faith manor nursing home,1,120,Brampton,3521010,43.65401717,-79.7413989
FENELON COURT,44 Wychwood Crescent,Central East,For-Profit,No,Yes,Yes,Yes,,Fenelon Falls, K0M1N0,2011-10-11,19,12,5,6,3,1,8,5,3,,,,fenelon court,1,67,Kawartha Lakes,3516010,44.52846487,-78.73121905
FIDDICK'S NURSING HOME,437 First Avenue P.O. Box 340,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Petrolia, N0N1R0,2010-10-26,38,24,13,17,11,4,12,7,5,3,3,2,fiddick's nursing home,0,92,Petrolia,3538019,42.877897,-82.135951
FIELDSTONE COMMONS CARE COMMUNITY,1000 Ellesmere Road,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1P5G2,2011-03-16,43,19,6,17,7,3,18,8,2,8,5,2,fieldstone commons care community,1,224,Toronto,3520005,43.76728591,-79.27793126
FINLANDIA HOIVAKOTI NURSING HOME LIMITED,233 Fourth Avenue,North East,For-Profit,Yes,Yes,Yes,Yes,,Sudbury, P3B4C3,2010-11-29,44,20,9,16,4,2,15,9,4,7,5,1,finlandia hoivakoti nursing home,1,112,Greater Sudbury / Grand Sudbury,3553005,46.48424888,-80.92711026
FOREST HEIGHTS,60 Westheights Drive,Waterloo Wellington,For-Profit,Yes,Yes,Yes,Yes,,Kitchener, N2N2A8,2010-08-30,104,42,15,47,14,7,41,17,4,12,7,4,forest heights,1,240,Kitchener,3530013,43.42864339,-80.52997973
FOREST HILL,6501 Campeau Drive,Champlain,For-Profit,No,Yes,Yes,Yes,,Kanata, K2K3E9,2010-08-19,42,23,9,17,10,5,16,6,3,3,2,,forest hill,0,160,Ottawa,3506008,45.31439133,-75.9096673
FOSTERBROOKE,330 King Street West,Central East,For-Profit,Yes,Yes,Yes,Yes,,Newcastle, L1B1G9,2010-07-01,24,14,3,9,4,,6,4,2,4,2,1,fosterbrooke,0,88,Toronto,3520005,43.64665448,-79.39003029
FOUNTAIN VIEW CARE COMMUNITY,1800 O'Connor Drive,Toronto Central,For-Profit,No,Yes,Yes,Yes,,East York, M4A1W7,2010-10-05,45,18,13,22,5,4,15,9,7,7,4,3,fountain view care community,1,158,Toronto,3520005,43.7205599,-79.30496586
FOX RIDGE CARE COMMUNITY,389 West Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Brantford, N3R3V9,2010-07-21,65,22,9,25,8,3,23,7,4,20,10,6,fox ridge care community,0,122,Brantford,3529006,43.15692506,-80.25558282
FOYER DES PIONNIERS,67 15th Street P.O. Box 1538,North East,Non-Profit,Yes,Yes,Yes,No,,Hearst, P0L1N0,2011-11-08,19,14,8,1,,,8,6,6,3,3,1,foyer des pionniers,0,67,Hearst,3556076,49.6848447,-83.67961927
FOYER RICHELIEU WELLAND,655 Tanguay Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Welland, L3B6A1,2011-07-19,45,23,10,28,8,5,5,5,5,8,6,,foyer richelieu welland,0,63,Welland,3526032,42.99062027,-79.22461408
FOYER ST-VIATEUR NURSING HOME,1003 Limoges Road South,Champlain,For-Profit,No,Yes,Yes,Yes,,Limoges, K0A2M0,2010-09-21,68,32,12,24,4,,15,10,8,23,14,2,foyer st-viateur nursing home,1,57,The Nation / La Nation,3502025,45.29369315,-75.22846107
FRANKLIN GARDENS LONG TERM CARE HOME,24 Franklin Road,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Leamington, N8H4B7,2010-08-18,57,25,10,21,9,3,28,10,5,4,3,2,franklin gardens long term care home,1,120,Leamington,3537003,42.03083044,-82.59816325
FRIENDLY MANOR NURSING HOME,"9756 County Road, #2 P.O. Box 305",South East,For-Profit,No,Yes,No,Yes,,Deseronto, K0K1X0,2010-09-27,31,22,6,7,7,2,15,8,3,3,3,,friendly manor nursing home,0,60,Greater Napanee,3511015,44.2012069,-77.0375329
FROST MANOR,225 Mary Street West,Central East,For-Profit,No,Yes,Yes,Yes,,Lindsay, K9V5K3,2011-06-10,22,15,4,4,3,,10,6,3,3,1,,frost manor,0,62,Kawartha Lakes,3516010,44.342364,-78.747889
FUDGER HOUSE,439 Sherbourne Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes,,Toronto, M4X1K6,2010-11-03,23,14,8,11,4,3,6,4,4,2,2,2,fudger house,1,250,Toronto,3520005,43.66633069,-79.37402148
GARDEN CITY MANOR,168 Scott Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,St. Catharines, L2N1H2,2010-07-06,60,26,14,29,9,4,17,10,7,11,5,2,garden city manor,1,200,St. Catharines,3526053,43.18091791,-79.2490312
GARDEN COURT NURSING HOME,1 Sand Beach Road,Toronto Central,For-Profit,No,Yes,Yes,No,,Etobicoke, M8V2W2,2010-12-09,14,9,5,3,1,1,3,3,1,5,3,3,garden court nursing home,1,45,Toronto,3520005,43.60195707,-79.49680752
GARDEN TERRACE,100 Aird Place,Champlain,For-Profit,Yes,Yes,Yes,Yes,,Kanata, K2L4H8,2011-10-24,58,45,24,22,14,10,26,22,12,5,5,1,garden terrace,1,160,Ottawa,3506008,45.30976033,-75.9009793
GARDENVIEW LONG TERM CARE HOME,72 Town Centre Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Townsend, N0A1S0,2011-10-20,18,14,2,8,6,2,1,,,5,5,,gardenview long term care home,1,64,Haldimand County,3528018,42.88836551,-80.14081206
GARRY J. ARMSTRONG HOME,200 Island Lodge Road,Champlain,Municipal,No,Yes,Yes,Yes,,Ottawa, K1N5M2,2011-09-22,73,56,25,32,27,14,25,19,6,14,9,3,garry j. armstrong home,1,180,Ottawa,3506008,45.43785466,-75.68321333
GATEWAY HAVEN LONG TERM CARE HOME,671 Frank Street P.O. Box 10,South West,Municipal,No,Yes,Yes,No,,Wiarton, N0H2T0,2010-08-25,20,11,6,5,2,1,8,3,3,6,5,3,gateway haven long term care home,0,100,South Bruce Peninsula,3541055,44.74034089,-81.12803284
GEORGIAN HEIGHTS,1115-10th Street East,South West,For-Profit,No,Yes,Yes,Yes,,Owen Sound, N4K6B1,2010-09-23,20,9,4,3,,,5,2,2,13,8,3,georgian heights,0,40,Owen Sound,3542059,44.56929937,-80.92272196
GEORGIAN MANOR HOME FOR THE AGED,101 Thompsons Road,North Simcoe Muskoka,Municipal,Yes,Yes,Yes,Yes,,Penetanguishene, L9M0V3,2011-02-23,23,17,7,7,6,1,8,4,4,2,2,,georgian manor home for the aged,0,143,Penetanguishene,3543072,44.76796585,-79.91976266
GERALDTON DISTRICT HOSPITAL,500 Hogarth Avenue West,North West,Non-Profit,No,Yes,Yes,Yes,,Geraldton, P0T1M0,2011-12-12,14,10,3,1,1,,5,4,2,5,3,,geraldton district hospital,0,19,Greenstone,3558075,49.7226939,-86.9547123
GILMORE LODGE,50 Gilmore Road,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Fort Erie, L2A2M1,2011-09-23,18,10,4,7,4,2,4,2,2,2,1,,gilmore lodge,0,80,Fort Erie,3526003,42.92080238,-78.91490397
GLEBE CENTRE,950 Bank Street,Champlain,Non-Profit,No,Yes,Yes,Yes,,Ottawa, K1S5G6,2010-08-25,45,30,21,21,13,12,16,10,6,5,5,4,glebe centre,1,254,Ottawa,3506008,45.39876525,-75.68635693
GLEN HILL MARNWOOD,26 Elgin Street,Central East,Non-Profit,No,Yes,No,Yes,,Bowmanville, L1C3C8,2010-09-27,25,13,6,8,2,1,9,7,5,4,1,,glen hill marnwood,0,60,Clarington,3518017,43.91589256,-78.68988509
GLEN HILL STRATHAVEN,264 King Street East,Central East,Non-Profit,Yes,Yes,No,Yes,,Bowmanville, L1C1P9,2011-05-18,58,29,12,16,7,3,15,12,6,23,9,3,glen hill strathaven,1,210,Clarington,3518017,43.91212066,-78.67361278
GLEN-STOR-DUN LODGE,1900 Montreal Road,Champlain,Municipal,Yes,Yes,Yes,Yes,,Cornwall, K6H7L1,2011-05-31,42,27,14,19,8,5,13,10,6,10,10,6,glen-stor-dun lodge,0,132,Cornwall,3501012,45.02603103,-74.68347497
GOLDEN DAWN NURSING HOME,80 Main Street P. O. Box 129,South West,Non-Profit,No,Yes,Yes,No,,Lion's Head, N0H1W0,2010-07-15,19,12,7,6,4,3,3,2,2,10,8,5,golden dawn nursing home,1,45,Northern Bruce Peninsula,3541069,44.98706902,-81.25537981
GOLDEN MANOR,481 Melrose Boulevard,North East,Municipal,Yes,Yes,Yes,Yes,,Timmins, P4N5H3,2011-08-16,22,14,6,7,4,2,9,5,4,6,4,,golden manor,1,177,Timmins,3556027,48.48606627,-81.34352493
GOLDEN PLOUGH LODGE,983 Burnham Street,Central East,Municipal,No,Yes,Yes,Yes,,Cobourg, K9A5J6,2010-09-22,64,32,7,17,9,2,27,10,5,11,7,1,golden plough lodge,0,151,Cobourg,3514021,43.9744937,-78.19501703
GOLDEN YEARS NURSING HOME,704 Eagle Street North P.O. Box 3277,Waterloo Wellington,For-Profit,No,Yes,Yes,No,,Cambridge, N3H4T3,2010-07-21,57,27,13,23,10,4,12,7,5,14,9,5,golden years nursing home,1,88,Cambridge,3530010,43.4042795,-80.35454667
GOOD SAMARITAN NURSING HOME,481 Victoria Street East,Central,For-Profit,No,Yes,No,Yes,,Alliston, L9R1J8,2011-11-29,15,9,5,3,,,5,4,3,1,1,1,good samaritan nursing home,0,64,New Tecumseth,3543007,44.15888285,-79.84546178
GRACE MANOR,45 Kingknoll Drive,Central West,Non-Profit,No,Yes,Yes,Yes,,Brampton, L6Y5P2,2010-08-05,39,22,15,20,10,8,11,5,5,11,8,4,grace manor,1,120,Brampton,3521010,43.65294337,-79.7414379
GRACE VILLA NURSING HOME,45 Lockton Crescent,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,,Hamilton, L8V4V5,2010-07-08,81,26,12,37,10,5,13,6,5,31,13,4,grace villa nursing home,1,184,Hamilton,3525005,43.21147629,-79.84709659
GRANDVIEW LODGE / DUNNVILLE,657 Lock Street West,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Dunnville, N1A1V9,2010-08-18,37,17,7,16,8,4,12,4,1,9,5,,grandview lodge / dunnville,0,128,Haldimand County,3528018,42.90834644,-79.6340154
GRANITE RIDGE CARE COMMUNITY,5501 Abbott Street East,Champlain,For-Profit,No,Yes,Yes,Yes,,Stittsville, K2S2C5,2010-08-30,34,22,10,14,8,5,16,11,5,1,,,granite ridge care community,0,224,Ottawa,3506008,45.26988372,-75.90499269
GREENWOOD COURT,90 Greenwood Drive,South West,Non-Profit,No,Yes,No,No,,Stratford, N5A7W5,2010-09-27,22,14,5,6,5,1,4,4,3,4,1,,greenwood court,1,45,Stratford,3531011,43.38294686,-80.97615776
GREY GABLES HOME FOR THE AGED,206 Toronto Street South,South West,Municipal,No,Yes,Yes,No,,Markdale, N0C1H0,2010-08-05,41,20,9,10,6,2,21,6,2,8,6,4,grey gables home for the aged,0,66,Grey Highlands,3542015,44.31396564,-80.64029685
GROVE PARK HOME FOR SENIOR CITIZENS,234 Cook Street,North Simcoe Muskoka,Non-Profit,No,Yes,No,Yes,,Barrie, L4M4H5,2012-02-01,23,15,9,5,3,3,9,6,5,3,1,,grove park home for senior citizens,0,143,Barrie,3543042,44.4060207,-79.66946724
GROVES PARK LODGE,470 Raglan Street North,Champlain,For-Profit,Yes,Yes,Yes,Yes,,Renfrew, K7V1P5,2010-10-19,19,14,8,4,3,2,10,7,5,3,3,2,groves park lodge,0,90,Renfrew,3547048,45.48151172,-76.69696907
H.J. MCFARLAND MEMORIAL HOME,"R.R. #2, 603 Highway 49 Hallowell Township",South East,Municipal,No,Yes,Yes,Yes,,Picton, K0K2T0,2011-05-10,65,38,16,16,9,4,31,19,11,14,9,2,h.j. mcfarland memorial home,0,84,Prince Edward County,3513020,44.02513295,-77.13549939
HALLOWELL HOUSE,13628 Loyalist Parkway,South East,For-Profit,No,Yes,Yes,Yes,,Picton, K0K2T0,2010-09-09,43,20,10,17,8,5,18,6,4,5,5,2,hallowell house,1,97,Prince Edward County,3513020,43.99421064,-77.1810053
HAMILTON CONTINUING CARE,125 Wentworth Street South,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,No,Yes,,Hamilton, L8N2Z1,2010-11-21,43,22,9,15,4,2,13,6,3,14,11,4,hamilton continuing care,0,64,Hamilton,3525005,43.24791349,-79.8504795
HAMPTON TERRACE CARE CENTRE,75 Plains Road West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7T1E8,2011-09-21,32,15,6,15,6,3,4,3,1,11,5,1,hampton terrace care centre,1,101,Burlington,3524002,43.3054339,-79.8554984
HANOVER CARE CENTRE,700-19th Avenue,South West,For-Profit,No,Yes,No,No,,Hanover, N4N3S6,2010-11-24,24,15,6,8,4,2,7,5,4,4,2,,hanover care centre,0,41,Hanover,3542029,44.15991379,-81.01744915
HARDY TERRACE,612 Mount Pleasant Road R. R. #2,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Brantford, N3T5L5,2010-09-02,48,22,14,21,8,6,16,7,5,14,7,5,hardy terrace,0,101,Brant,3529005,43.0876862,-80.3068167
HARMONY HILLS CARE COMMUNITY,1800 O'Connor Drive,Toronto Central,For-Profit,No,Yes,Yes,Yes,,Toronto, M4A1W7,2010-12-14,19,9,6,6,3,3,7,3,3,1,,,harmony hills care community,1,160,Toronto,3520005,43.7205599,-79.30496586
HAROLD AND GRACE BAKER CENTRE,1 Northwestern Avenue,Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M6M2J7,2011-06-20,22,13,6,12,4,2,5,4,3,3,3,2,harold and grace baker centre,1,120,Toronto,3520005,43.69821459,-79.46978092
HASTINGS CENTENNIAL MANOR,1 Manor Lane P.O. Box 758,South East,Municipal,Yes,Yes,Yes,Yes,,Bancroft, K0L1C0,2011-03-01,34,28,14,7,6,6,20,17,7,2,1,,hastings centennial manor,0,110,Bancroft,3512061,45.0550849,-77.86421482
HASTINGS MANOR HOME FOR THE AGED,476 Dundas Street West P.O. Box 458,South East,Municipal,Yes,Yes,Yes,Yes,,Belleville, K8N5B2,2010-09-29,75,60,17,29,24,9,35,27,7,9,8,,hastings manor home for the aged,1,253,Belleville,3512005,44.14751276,-77.41249679
HAWTHORN WOODS CARE COMMUNITY,9257 Goreway Drive,Central West,For-Profit,No,Yes,Yes,Yes,,Brampton, L6P0N5,2010-09-16,62,30,18,27,8,5,25,15,10,8,7,4,hawthorn woods care community,1,160,Brampton,3521010,43.75755779,-79.68888879
HAWTHORNE PLACE CARE CENTRE,2045 Finch Avenue West,Central,For-Profit,Yes,Yes,Yes,Yes,,North York, M3N1M9,2010-11-04,93,36,18,45,17,10,29,12,5,27,14,10,hawthorne place care centre,1,269,Toronto,3520005,43.7562352,-79.52146844
HEARTWOOD (FKA VERSA-CARE CORNWALL),201-11th Street East,Champlain,For-Profit,No,Yes,Yes,Yes,,Cornwall, K6H2Y6,2010-10-14,40,25,14,20,14,7,15,7,5,2,2,2,heartwood,0,118,Cornwall,3501012,45.03336123,-74.73229849
HEIDEHOF LONG TERM CARE HOME,600 Lake Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,No,No,,St. Catharines, L2N4J4,2011-05-05,22,12,4,6,3,1,4,1,,6,4,,heidehof long term care home,0,106,St. Catharines,3526053,43.19665771,-79.251902
HELEN HENDERSON NURSING HOME,343 Amherst Drive,South East,For-Profit,No,Yes,Yes,Yes,,Amherstview, K7N1X3,2010-09-27,59,28,10,29,12,3,14,9,5,6,2,2,helen henderson nursing home,0,104,Loyalist,3511005,44.22539531,-76.66374476
HELLENIC CARE FOR SENIORS (TORONTO),215 Tyrrel Avenue,Toronto Central,Non-Profit,No,Yes,No,Yes,,Toronto, M6G4A9,2011-12-01,20,10,6,9,2,2,4,3,3,1,1,1,hellenic care for seniors (toronto),1,81,Toronto,3520005,43.67679399,-79.430342
HELLENIC HOME - SCARBOROUGH,2411 Lawrence Avenue East,Central East,Non-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1P4X1,2010-07-15,38,18,13,24,8,6,5,4,3,4,4,4,hellenic home - scarborough,1,128,Toronto,3520005,43.74876471,-79.27408486
HENLEY PLACE,1961 Cedarhollow Blvd,South West,For-Profit,No,Yes,Yes,Yes,,London, N5X0K2,2014-03-07,63,45,20,32,19,6,20,17,10,6,5,2,henley place,1,192,London,3539036,43.04540679,-81.21472021
HERITAGE GREEN NURSING HOME,353 Isaac Brock Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Stoney Creek, L8J2J3,2010-08-06,61,27,16,23,10,7,11,4,3,28,11,3,heritage green nursing home,1,167,Hamilton,3525005,43.19352179,-79.78959737
HERON TERRACE LONG TERM CARE COMMUNITY,11550 McNorton Street,Erie St. Clair,For-Profit,No,Yes,No,Yes,,Windsor, N8P1T9,2010-12-07,91,39,13,55,22,7,28,13,5,5,1,1,heron terrace long term care community,1,140,Windsor,3537039,42.31721678,-82.89932307
HIGHLAND WOOD,7199 Gelert Road P.O. Box 115,Central East,Non-Profit,No,Yes,Yes,Yes,,Haliburton, K0M1S0,2011-08-19,15,10,6,2,2,2,4,2,2,2,2,1,highland wood,0,30,Dysart et al,3546024,45.03824146,-78.52941943
HILLCREST VILLAGE CARE CENTRE,255 Russell Street,North Simcoe Muskoka,For-Profit,No,Yes,Yes,Yes,,Midland, L4R5L6,2011-06-26,24,14,8,9,3,2,10,7,5,2,2,1,hillcrest village care centre,0,164,Midland,3543074,44.75357305,-79.87963994
HILLEL LODGE,10 Nadolny Sachs Private,Champlain,Non-Profit,No,Yes,Yes,Yes,,Ottawa, K2A4G7,2011-08-18,52,36,20,28,19,13,14,11,7,7,5,2,hillel lodge,0,121,Ottawa,3506008,45.37622944,-75.75281145
HILLSDALE ESTATES,590 Oshawa Blvd. North,Central East,Municipal,No,Yes,Yes,Yes,,Oshawa, L1G5T9,2010-08-18,53,32,15,23,11,5,21,12,8,12,12,8,hillsdale estates,1,300,Oshawa,3518013,43.91384855,-78.86330374
HILLSDALE TERRACES,600 Oshawa Blvd. North,Central East,Municipal,No,Yes,Yes,Yes,,Oshawa, L1G5T9,2010-08-16,57,26,9,30,14,6,20,8,3,5,3,1,hillsdale terraces,1,200,Oshawa,3518013,43.91500165,-78.86454214
HILLSIDE MANOR,R. R. #5,South West,For-Profit,No,Yes,Yes,Yes,,Stratford, N5A6S6,2010-08-26,29,17,9,8,5,3,15,8,6,1,1,,hillside manor,1,90,Perth East,3531030,43.4245342,-81.0983168
HILLTOP MANOR NURSING HOME (MERRICKVILLE),1005 St Lawrence Street P.O. Box 430,South East,For-Profit,No,Yes,Yes,No,,Merrickville, K0G1N0,2010-08-01,43,14,7,23,5,3,5,4,2,8,2,1,hilltop manor nursing home (merrickville),0,60,Merrickville-Wolford,3507052,44.90918586,-75.83453904
HOGARTH RIVERVIEW MANOR,300 Lillie Street,North West,Non-Profit,No,Yes,Yes,Yes,,Thunder Bay, P7C4Y7,2010-09-21,89,67,38,33,25,14,26,20,15,44,37,17,hogarth riverview manor,1,543,Thunder Bay,3558004,48.38712316,-89.27025117
HOPE STREET TERRACE,20 Hope Street South,Central East,For-Profit,Yes,Yes,No,Yes,,Port Hope, L1A2M8,2010-09-17,43,24,12,10,6,4,19,11,6,6,1,1,hope street terrace,0,97,Port Hope,3514020,43.95459039,-78.28837976
HORNEPAYNE COMMUNITY HOSPITAL,278 Front Street P.O. Box 190,North East,Non-Profit,No,No,No,Yes,,Hornepayne, P0M1Z0,2011-06-14,13,9,6,2,,,,,,7,7,4,hornepayne community hospital,0,12,Hornepayne,3557096,49.212827,-84.774059
HUMBER VALLEY TERRACE,95 Humber College Blvd.,Central West,For-Profit,No,Yes,Yes,Yes,,Rexdale, M9V5B5,2010-11-30,35,17,4,18,5,2,8,5,1,8,7,2,humber valley terrace,1,158,Toronto,3520005,43.72717599,-79.59650396
HURON LODGE LONG TERM CARE HOME,1881 Cabana Road West,Erie St. Clair,Municipal,Yes,Yes,No,Yes,,Windsor, N9G1C7,2010-11-03,45,27,11,25,12,4,15,10,5,,,,huron lodge long term care home,0,224,Windsor,3537039,42.25323436,-83.0236891
HURONLEA HOME FOR THE AGED,820 Turnberry Street South,South West,Municipal,No,Yes,Yes,No,,Brussels, N0G1H0,2010-08-31,28,17,8,6,6,3,13,5,4,4,2,1,huronlea home for the aged,0,64,Morris-Turnberry,3540050,43.73846151,-81.25635699
HURONVIEW HOME FOR THE AGED,77722A London Road R.R. #5,South West,Municipal,No,Yes,Yes,No,,Clinton, N0M1L0,2010-09-15,39,18,7,14,7,1,18,8,6,4,1,,huronview home for the aged,0,120,Huron East,3540040,43.5981871,-81.5313086
HYLAND CREST,6 McPherson Street P.O. Box 30,Central East,Municipal,Yes,Yes,Yes,Yes,,Minden, K0M2K0,2010-10-19,22,13,8,3,1,,11,7,7,7,4,2,hyland crest,0,62,Minden Hills,3546015,44.92594814,-78.72985369
IDLEWYLD MANOR,449 Sanatorium Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,,Hamilton, L9C2A7,2010-08-17,61,22,14,27,6,4,20,6,5,15,11,7,idlewyld manor,1,192,Hamilton,3525005,43.23618909,-79.91485732
ILER LODGE,111 Iler Avenue,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,,Essex, N8M1T6,2010-08-26,111,52,24,50,26,13,51,20,9,4,3,1,iler lodge,0,104,Essex,3537016,42.17030086,-82.82364113
INA GRAFTON GAGE HOME,40 Bell Estate Road,Central East,Non-Profit,No,No,Yes,Yes,,Scarborough, M1L0E2,2010-07-08,61,30,9,32,15,4,16,9,4,13,5,2,ina grafton gage home,1,128,Toronto,3520005,43.705765,-79.27714255
IOOF SENIORS HOME,10 Brooks Street,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,No,,Barrie, L4N7X2,2011-02-09,32,20,10,12,5,1,11,9,6,10,7,3,ioof seniors home,1,182,Barrie,3543042,44.3686217,-79.68736455
IROQUOIS LODGE NURSING HOME,1755 Chiefswood Road P.O. Box 309,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,Yes,Yes,Yes,,Ohsweken, N0A1M0,2011-05-18,18,13,8,5,2,1,5,4,4,4,4,2,iroquois lodge nursing home,0,50,Six Nations (Part) 40,3529020,43.07299235,-80.11640017
ISABEL AND ARTHUR MEIGHEN MANOR,155 Millwood Road,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M4S1J6,2011-01-06,37,19,10,21,6,4,8,6,4,6,5,3,isabel and arthur meighen manor,1,168,Toronto,3520005,43.70000099,-79.39254279
IVAN FRANKO HOME (ETOBICOKE),767 Royal York Road,Toronto Central,Non-Profit,No,Yes,Yes,Yes,,Toronto, M8Y2T3,2011-09-08,11,7,5,1,,,5,4,4,1,,,ivan franko home (etobicoke),1,85,Toronto,3520005,43.63771778,-79.50673762
JOHN NOBLE HOME,97 Mount Pleasant Street,Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,Yes,Yes,Yes,,Brantford, N3T1T5,2010-09-09,25,9,4,7,3,2,10,3,2,2,2,1,john noble home,0,156,Brantford,3529006,43.12596315,-80.27606552
KEMPTVILLE DISTRICT HOSPITAL,2675 Concession Road P. O. Bag 2007,Champlain,Non-Profit,Yes,Yes,Yes,Yes,,Kemptville, K0G1J0,2011-10-19,13,9,4,1,,,,,,4,4,1,kemptville district hospital,0,12,North Grenville,3507065,45.0099179,-75.6413482
KENNEDY LODGE,1400 Kennedy Road,Central East,For-Profit,Yes,Yes,Yes,Yes,,Scarborough, M1P4V6,2011-07-18,25,11,7,7,3,3,13,4,3,2,2,1,kennedy lodge,1,289,Toronto,3520005,43.76265941,-79.28056556
KENSINGTON VILLAGE,1340 Huron Street,South West,For-Profit,Yes,Yes,Yes,Yes,,London, N5V3R3,2010-07-20,72,28,6,41,13,1,13,7,2,10,4,1,kensington village,1,78,London,3539036,43.02140839,-81.21450391
KENTWOOD PARK,2 Ontario Street,South East,For-Profit,No,Yes,Yes,Yes,,Picton, K0K2T0,2010-09-08,28,14,7,8,3,2,13,7,4,2,1,1,kentwood park,0,45,Prince Edward County,3513020,44.00244715,-77.14847409
KILEAN LODGE,83 Main Street East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Grimsby, L3M1N6,2010-10-29,18,8,5,5,2,2,8,3,3,1,1,1,kilean lodge,1,50,Grimsby,3526065,43.19121,-79.5554741
KING CITY LODGE NURSING HOME,146 Fog Road,Central,For-Profit,No,Yes,Yes,Yes,,King City, L7B1A3,2011-09-30,13,8,3,7,4,3,1,,,1,1,,king city lodge nursing home,0,36,King,3519049,43.97147063,-79.55151987
KING NURSING HOME,49 Sterne Street,Central West,For-Profit,Yes,Yes,Yes,Yes,,Bolton, L7E1B9,2010-08-17,56,23,13,13,4,2,16,7,5,23,9,5,king nursing home,0,86,Caledon,3521024,43.87933771,-79.74065452
KINGSWAY LODGE NURSING HOME,310 Queen Street East R.R. #6,South West,For-Profit,Yes,Yes,Yes,No,,St. Marys, N4X1C8,2010-11-30,19,11,5,6,2,1,6,4,3,3,2,2,kingsway lodge nursing home,0,63,St. Marys,3531016,43.25961363,-81.1354479
KIPLING ACRES,2233 Kipling Avenue,Central West,Municipal,Yes,Yes,Yes,Yes,,Etobicoke, M9W4L3,2010-09-07,46,25,16,20,9,7,19,11,8,3,3,2,kipling acres,1,337,Toronto,3520005,43.72574509,-79.57339555
KNOLLCREST LODGE,50 William Street,South West,Non-Profit,Yes,Yes,Yes,No,,Milverton, N0K1M0,2010-12-20,14,6,3,4,1,1,6,2,2,1,1,,knollcrest lodge,0,78,Perth East,3531030,43.5706561,-80.92082216
KRISTUS DARZS LATVIAN HOME,11290 Pine Valley Drive,Central,Non-Profit,Yes,Yes,No,No,,Woodbridge, L4L1A6,2011-11-17,18,13,6,4,4,1,7,5,4,5,4,4,kristus darzs latvian home,1,100,Vaughan,3519028,43.87156441,-79.59579547
LABDARA LITHUANIAN NURSING HOME,5 Resurrection Road,Mississauga Halton,Non-Profit,No,Yes,Yes,No,,Toronto, M9A5G1,2010-09-28,19,7,4,6,,,8,3,3,1,1,,labdara lithuanian nursing home,1,90,Toronto,3520005,43.64373408,-79.53092513
LADY DUNN HEALTH CENTRE (WAWA),17 Government Road P.O. Box 179,North East,Non-Profit,Yes,Yes,Yes,Yes,,Wawa, P0S1K0,2011-11-16,15,10,3,2,1,,5,3,1,7,6,1,lady dunn health centre (wawa),0,16,Wawa,3557076,47.99979,-84.77191449
