name,inspection_types,inspection_dates
KIPLING ACRES,Critical Incident Inspection,2019-05-09
KIPLING ACRES,Complaints Inspection,2019-02-08
KIPLING ACRES,Critical Incident Inspection,2019-02-08
KIPLING ACRES,Critical Incident Inspection,2018-07-18
KIPLING ACRES,Resident Quality Inspection with Order(s) of the Inspector,2018-05-04
KIPLING ACRES,Complaints Inspection  with Order(s) of the Inspector,2018-01-10
KIPLING ACRES,Resident Quality Inspection,2017-11-16
KIPLING ACRES,Resident Quality Inspection,2017-11-16
KIPLING ACRES,Complaints Inspection,2017-11-02
KIPLING ACRES,Critical Incident Inspection  with Order(s) of the Inspector,2017-02-23
KIPLING ACRES,Complaints Inspection,2017-02-06
KIPLING ACRES,Resident Quality Inspection,2017-01-31
KIPLING ACRES,Critical Incident Inspection,2016-02-09
KIPLING ACRES,Critical Incident Inspection,2016-02-05
KIPLING ACRES,Resident Quality Inspection,2015-07-06
KIPLING ACRES,Resident Quality Inspection,2014-10-17
KIPLING ACRES,Complaints Inspection,2013-03-04
KIPLING ACRES,Critical Incident Inspection,2013-03-04
KIPLING ACRES,Critical Incident Inspection,2013-03-04
KIPLING ACRES,Complaints Inspection,2012-06-06
KIPLING ACRES,Critical Incident Inspection,2012-02-09
KIPLING ACRES,Complaints Inspection,2011-12-12
KIPLING ACRES,Complaints Inspection,2011-12-12
KIPLING ACRES,Complaints Inspection,2011-12-12
KIPLING ACRES,Complaints Inspection,2011-12-12
KIPLING ACRES,Critical Incident Inspection,2011-11-21
KIPLING ACRES,Complaints Inspection,2011-04-26
KIPLING ACRES,Other Inspection,2011-04-26
KIPLING ACRES,Critical Incident Inspection,2011-04-01
KIPLING ACRES,Complaints Inspection,2011-01-25
KIPLING ACRES,Complaints Inspection,2011-01-25
KIPLING ACRES,Critical Incident Inspection,2011-01-25
KIPLING ACRES,Critical Incident Inspection,2011-01-25
KIPLING ACRES,Critical Incident Inspection,2011-01-25
KIPLING ACRES,Complaints Inspection,2010-09-07
KIPLING ACRES,Complaints Inspection,2010-09-07
KNOLLCREST LODGE,Other Inspection,2020-10-09
KNOLLCREST LODGE,Complaints Inspection,2019-08-26
KNOLLCREST LODGE,Critical Incident Inspection,2019-08-14
KNOLLCREST LODGE,Critical Incident Inspection,2018-10-12
KNOLLCREST LODGE,Resident Quality Inspection,2017-11-21
KNOLLCREST LODGE,Resident Quality Inspection,2016-12-13
KNOLLCREST LODGE,Resident Quality Inspection with Order(s) of the Inspector,2015-08-14
KNOLLCREST LODGE,Resident Quality Inspection,2014-10-20
KNOLLCREST LODGE,Critical Incident Inspection,2013-04-30
KNOLLCREST LODGE,Critical Incident Inspection,2013-01-22
KNOLLCREST LODGE,Complaints Inspection,2012-07-16
KNOLLCREST LODGE,Complaints Inspection,2012-05-15
KNOLLCREST LODGE,Critical Incident Inspection,2011-07-19
KNOLLCREST LODGE,Critical Incident Inspection,2011-05-18
KNOLLCREST LODGE,Complaints Inspection,2010-12-20
KRISTUS DARZS LATVIAN HOME,Critical Incident Inspection,2019-07-15
KRISTUS DARZS LATVIAN HOME,Follow-Up Inspection,2019-05-23
KRISTUS DARZS LATVIAN HOME,Complaints Inspection  with Order(s) of the Inspector,2019-03-18
KRISTUS DARZS LATVIAN HOME,Critical Incident Inspection  with Order(s) of the Inspector,2019-03-18
KRISTUS DARZS LATVIAN HOME,Critical Incident Inspection  with Order(s) of the Inspector,2019-01-25
KRISTUS DARZS LATVIAN HOME,Critical Incident Inspection  with Order(s) of the Inspector,2018-04-16
KRISTUS DARZS LATVIAN HOME,Resident Quality Inspection,2017-11-29
KRISTUS DARZS LATVIAN HOME,Resident Quality Inspection,2016-11-07
KRISTUS DARZS LATVIAN HOME,Complaints Inspection,2016-10-04
KRISTUS DARZS LATVIAN HOME,Complaints Inspection,2016-09-01
KRISTUS DARZS LATVIAN HOME,Critical Incident Inspection,2016-02-26
KRISTUS DARZS LATVIAN HOME,Complaints Inspection,2016-01-25
KRISTUS DARZS LATVIAN HOME,Resident Quality Inspection,2015-05-07
KRISTUS DARZS LATVIAN HOME,Critical Incident Inspection,2014-04-29
KRISTUS DARZS LATVIAN HOME,Resident Quality Inspection,2014-02-12
KRISTUS DARZS LATVIAN HOME,Follow-Up Inspection,2013-05-02
KRISTUS DARZS LATVIAN HOME,Critical Incident Inspection  with Order(s) of the Inspector,2012-06-28
KRISTUS DARZS LATVIAN HOME,Other Inspection,2011-11-17
LABDARA LITHUANIAN NURSING HOME,Critical Incident Inspection,2020-01-22
LABDARA LITHUANIAN NURSING HOME,Critical Incident Inspection,2019-06-18
LABDARA LITHUANIAN NURSING HOME,Critical Incident Inspection,2018-12-21
LABDARA LITHUANIAN NURSING HOME,Resident Quality Inspection,2018-04-11
LABDARA LITHUANIAN NURSING HOME,Resident Quality Inspection,2017-11-06
LABDARA LITHUANIAN NURSING HOME,Resident Quality Inspection,2017-01-04
LABDARA LITHUANIAN NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2015-02-17
LABDARA LITHUANIAN NURSING HOME,Critical Incident Inspection,2014-07-31
LABDARA LITHUANIAN NURSING HOME,Resident Quality Inspection,2014-02-06
LABDARA LITHUANIAN NURSING HOME,Complaints Inspection,2013-03-05
LABDARA LITHUANIAN NURSING HOME,Critical Incident Inspection,2012-06-27
LABDARA LITHUANIAN NURSING HOME,Critical Incident Inspection,2012-06-27
LABDARA LITHUANIAN NURSING HOME,Complaints Inspection,2012-04-27
LABDARA LITHUANIAN NURSING HOME,Complaints Inspection,2011-08-31
LABDARA LITHUANIAN NURSING HOME,Critical Incident Inspection,2011-08-29
LABDARA LITHUANIAN NURSING HOME,Complaints Inspection,2011-08-26
LABDARA LITHUANIAN NURSING HOME,Critical Incident Inspection,2011-08-26
LABDARA LITHUANIAN NURSING HOME,Complaints Inspection,2010-09-28
LABDARA LITHUANIAN NURSING HOME,Complaints Inspection,2010-09-28
LADY DUNN HEALTH CENTRE (WAWA),Other Inspection,2020-11-06
LADY DUNN HEALTH CENTRE (WAWA),Critical Incident Inspection,2019-07-11
LADY DUNN HEALTH CENTRE (WAWA),Resident Quality Inspection,2018-04-17
LADY DUNN HEALTH CENTRE (WAWA),Resident Quality Inspection with Order(s) of the Inspector,2018-01-03
LADY DUNN HEALTH CENTRE (WAWA),Follow-Up Inspection with Order(s) of the Inspector,2017-09-06
LADY DUNN HEALTH CENTRE (WAWA),Critical Incident Inspection,2017-08-09
LADY DUNN HEALTH CENTRE (WAWA),Resident Quality Inspection with Order(s) of the Inspector,2016-12-21
LADY DUNN HEALTH CENTRE (WAWA),Resident Quality Inspection with Order(s) of the Inspector,2015-12-22
LADY DUNN HEALTH CENTRE (WAWA),Complaints Inspection  with Order(s) of the Inspector,2015-10-06
LADY DUNN HEALTH CENTRE (WAWA),Follow-Up Inspection with Order(s) of the Inspector,2015-07-24
LADY DUNN HEALTH CENTRE (WAWA),Critical Incident Inspection,2015-07-15
LADY DUNN HEALTH CENTRE (WAWA),Resident Quality Inspection with Order(s) of the Inspector,2014-11-05
LADY DUNN HEALTH CENTRE (WAWA),Critical Incident Inspection,2013-09-04
LADY DUNN HEALTH CENTRE (WAWA),Complaints Inspection,2012-08-23
LADY DUNN HEALTH CENTRE (WAWA),Critical Incident Inspection,2012-08-23
LADY DUNN HEALTH CENTRE (WAWA),Other Inspection,2011-11-16
LADY ISABELLE NURSING HOME,Director’s Order(s),2017-07-11
LADY ISABELLE NURSING HOME,Director’s Order(s),2017-07-11
LADY ISABELLE NURSING HOME,Complaints Inspection,2017-06-29
LADY ISABELLE NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2017-06-06
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2017-04-10
LADY ISABELLE NURSING HOME,Critical Incident Inspection,2017-04-10
LADY ISABELLE NURSING HOME,Complaints Inspection,2017-03-29
LADY ISABELLE NURSING HOME,Other Inspection with Order(s) of the Inspector,2017-03-14
LADY ISABELLE NURSING HOME,Follow-Up Inspection,2017-02-14
LADY ISABELLE NURSING HOME,Critical Incident Inspection,2016-12-21
LADY ISABELLE NURSING HOME,Other Inspection with Order(s) of the Inspector,2016-11-16
LADY ISABELLE NURSING HOME,Director’s Order(s),2016-09-15
LADY ISABELLE NURSING HOME,Critical Incident Inspection  with Order(s) of the Inspector,2016-08-31
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2016-08-10
LADY ISABELLE NURSING HOME,Critical Incident Inspection,2016-05-02
LADY ISABELLE NURSING HOME,Notification of Cease of Admissions,2016-04-22
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2016-04-20
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2016-04-20
LADY ISABELLE NURSING HOME,Critical Incident Inspection,2016-04-20
LADY ISABELLE NURSING HOME,Complaints Inspection  with Order(s) of the Inspector,2016-04-19
LADY ISABELLE NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2016-02-29
LADY ISABELLE NURSING HOME,Complaints Inspection,2016-02-17
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2016-02-17
LADY ISABELLE NURSING HOME,Critical Incident Inspection  with Order(s) of the Inspector,2016-02-17
LADY ISABELLE NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2015-05-27
LADY ISABELLE NURSING HOME,Complaints Inspection,2015-05-04
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2015-05-04
LADY ISABELLE NURSING HOME,Complaints Inspection,2015-04-08
LADY ISABELLE NURSING HOME,Follow-Up Inspection,2015-04-08
LADY ISABELLE NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2015-02-03
LADY ISABELLE NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2014-12-18
LADY ISABELLE NURSING HOME,Follow-Up Inspection,2014-06-10
LADY ISABELLE NURSING HOME,Complaints Inspection,2014-04-29
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2014-04-29
LADY ISABELLE NURSING HOME,Critical Incident Inspection,2014-04-29
LADY ISABELLE NURSING HOME,Complaints Inspection  with Order(s) of the Inspector,2014-02-19
LADY ISABELLE NURSING HOME,Follow-Up Inspection,2014-01-21
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2013-12-10
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2013-08-20
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2013-06-03
LADY ISABELLE NURSING HOME,Critical Incident Inspection,2013-06-03
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2013-05-27
LADY ISABELLE NURSING HOME,Complaints Inspection,2013-04-09
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2013-04-09
LADY ISABELLE NURSING HOME,Critical Incident Inspection,2013-04-09
LADY ISABELLE NURSING HOME,Other Inspection with Order(s) of the Inspector,2013-04-09
LADY ISABELLE NURSING HOME,Critical Incident Inspection,2013-02-11
LADY ISABELLE NURSING HOME,Complaints Inspection  with Order(s) of the Inspector,2013-01-29
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2013-01-29
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2012-10-30
LADY ISABELLE NURSING HOME,Follow-up Inspection with Order(s) of the Inspector (En français),2012-10-11
LADY ISABELLE NURSING HOME,Complaints Inspection,2012-09-16
LADY ISABELLE NURSING HOME,Follow-Up Inspection,2012-09-16
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2012-08-29
LADY ISABELLE NURSING HOME,Follow-Up Inspection with Order(s) of the Inspector,2012-08-27
LADY ISABELLE NURSING HOME,Complaints Inspection  with Order(s) of the Inspector,2012-06-06
LADY ISABELLE NURSING HOME,Critical Incident Inspection  with Order(s) of the Inspector,2012-06-06
LADY ISABELLE NURSING HOME,Complaints Inspection,2012-04-18
LADY ISABELLE NURSING HOME,Follow-Up Inspection,2012-04-18
LADY ISABELLE NURSING HOME,Complaints Inspection,2012-02-07
LADY ISABELLE NURSING HOME,Critical Incident Inspection,2011-12-05
LADY ISABELLE NURSING HOME,Complaints Inspection,2011-12-01
LADY ISABELLE NURSING HOME,Resident Quality Inspection with Order(s) of the Inspector,2011-11-28
LADY ISABELLE NURSING HOME,Critical Incident Inspection,2011-08-31
LADY ISABELLE NURSING HOME,Mandatory Inspection,2011-08-31
LAKELAND LONG TERM CARE (ELDCAP),Critical Incident Inspection,2020-06-17
LAKELAND LONG TERM CARE (ELDCAP),Critical Incident Inspection,2019-10-17
LAKELAND LONG TERM CARE (ELDCAP),Critical Incident Inspection,2019-03-12
LAKELAND LONG TERM CARE (ELDCAP),Resident Quality Inspection,2017-06-14
LAKELAND LONG TERM CARE (ELDCAP),Resident Quality Inspection,2016-08-12
LAKELAND LONG TERM CARE (ELDCAP),Resident Quality Inspection with Order(s) of the Inspector,2015-10-09
LAKELAND LONG TERM CARE (ELDCAP),Complaints Inspection,2015-06-24
LAKELAND LONG TERM CARE (ELDCAP),Follow-Up Inspection,2015-06-24
LAKELAND LONG TERM CARE (ELDCAP),Critical Incident Inspection,2015-06-24
LAKELAND LONG TERM CARE (ELDCAP),Resident Quality Inspection with Order(s) of the Inspector,2014-06-10
LAKELAND LONG TERM CARE (ELDCAP),Critical Incident Inspection,2013-09-09
LAKELAND LONG TERM CARE (ELDCAP),Complaints Inspection,2012-05-07
LAKELAND LONG TERM CARE (ELDCAP),Complaints Inspection,2012-01-05
LAKELAND LONG TERM CARE (ELDCAP),Critical Incident Inspection,2011-12-08
LAKELAND LONG TERM CARE SERVICES,Critical Incident Inspection  with Order(s) of the Inspector,2020-06-17
LAKELAND LONG TERM CARE SERVICES,Critical Incident Inspection,2019-12-06
LAKELAND LONG TERM CARE SERVICES,Critical Incident Inspection,2019-10-17
LAKELAND LONG TERM CARE SERVICES,Critical Incident Inspection,2019-03-12
LAKELAND LONG TERM CARE SERVICES,Complaints Inspection,2018-10-31
LAKELAND LONG TERM CARE SERVICES,Follow-Up Inspection,2018-10-31
LAKELAND LONG TERM CARE SERVICES,Critical Incident Inspection,2018-10-31
LAKELAND LONG TERM CARE SERVICES,Other Inspection,2018-05-31
LAKELAND LONG TERM CARE SERVICES,Critical Incident Inspection  with Order(s) of the Inspector,2018-05-01
LAKELAND LONG TERM CARE SERVICES,Follow-Up Inspection with Order(s) of the Inspector,2018-04-24
LAKELAND LONG TERM CARE SERVICES,Complaints Inspection,2018-04-18
LAKELAND LONG TERM CARE SERVICES,Resident Quality Inspection with Order(s) of the Inspector,2017-06-14
LAKELAND LONG TERM CARE SERVICES,Other Inspection,2016-08-16
LAKELAND LONG TERM CARE SERVICES,Resident Quality Inspection with Order(s) of the Inspector,2016-08-11
LAKELAND LONG TERM CARE SERVICES,Resident Quality Inspection with Order(s) of the Inspector,2015-12-04
LAKELAND LONG TERM CARE SERVICES,Follow-Up Inspection with Order(s) of the Inspector,2015-06-03
LAKELAND LONG TERM CARE SERVICES,Complaints Inspection,2015-05-28
LAKELAND LONG TERM CARE SERVICES,Critical Incident Inspection,2015-05-28
LAKELAND LONG TERM CARE SERVICES,Resident Quality Inspection with Order(s) of the Inspector,2014-06-10
LAKELAND LONG TERM CARE SERVICES,Critical Incident Inspection,2014-04-07
LAKELAND LONG TERM CARE SERVICES,Critical Incident Inspection,2013-09-09
LAKELAND LONG TERM CARE SERVICES,Complaints Inspection,2012-05-12
LAKELAND LONG TERM CARE SERVICES,Complaints Inspection,2012-01-05
LAKELAND LONG TERM CARE SERVICES,Critical Incident Inspection,2011-12-08
LAKESHORE LODGE,Critical Incident Inspection,2020-07-07
LAKESHORE LODGE,Complaints Inspection,2020-01-20
LAKESHORE LODGE,Critical Incident Inspection,2020-01-20
LAKESHORE LODGE,Critical Incident Inspection,2019-11-01
LAKESHORE LODGE,Complaints Inspection,2019-02-12
LAKESHORE LODGE,Critical Incident Inspection,2019-02-12
LAKESHORE LODGE,Resident Quality Inspection,2017-11-16
LAKESHORE LODGE,Resident Quality Inspection,2017-01-24
LAKESHORE LODGE,Complaints Inspection,2015-11-05
LAKESHORE LODGE,Resident Quality Inspection,2015-02-06
LAKESHORE LODGE,Complaints Inspection,2013-05-16
LAKESHORE LODGE,Complaints Inspection,2012-05-12
LAKESHORE LODGE,Complaints Inspection,2012-05-12
LAKESHORE LODGE,Complaints Inspection,2012-05-12
LAKESHORE LODGE,Complaints Inspection,2011-08-10
LAKESHORE LODGE,Complaints Inspection,2011-06-13
LAKESHORE LODGE,Complaints Inspection,2011-01-11
LAKESIDE LONG TERM CARE CENTRE,Complaints Inspection,2020-01-28
LAKESIDE LONG TERM CARE CENTRE,Complaints Inspection,2019-07-22
LAKESIDE LONG TERM CARE CENTRE,Critical Incident Inspection,2019-07-22
LAKESIDE LONG TERM CARE CENTRE,Resident Quality Inspection,2018-08-02
LAKESIDE LONG TERM CARE CENTRE,Resident Quality Inspection,2017-12-22
LAKESIDE LONG TERM CARE CENTRE,Complaints Inspection,2017-02-10
LAKESIDE LONG TERM CARE CENTRE,Resident Quality Inspection,2017-02-09
LAKESIDE LONG TERM CARE CENTRE,Resident Quality Inspection,2015-11-19
LAKESIDE LONG TERM CARE CENTRE,Resident Quality Inspection,2015-02-11
LAKESIDE LONG TERM CARE CENTRE,Complaints Inspection,2013-07-31
LAKESIDE LONG TERM CARE CENTRE,Critical Incident Inspection,2013-07-02
LAKESIDE LONG TERM CARE CENTRE,Follow-Up Inspection,2012-09-12
LAKESIDE LONG TERM CARE CENTRE,Complaints Inspection  with Order(s) of the Inspector,2012-03-06
LAKESIDE LONG TERM CARE CENTRE,Complaints Inspection,2011-12-20
LAKEVIEW MANOR,Critical Incident Inspection,2020-03-09
LAKEVIEW MANOR,Critical Incident Inspection,2019-12-19
LAKEVIEW MANOR,Complaints Inspection,2019-11-01
LAKEVIEW MANOR,Critical Incident Inspection,2019-11-01
LAKEVIEW MANOR,Critical Incident Inspection,2019-04-24
LAKEVIEW MANOR,Critical Incident Inspection,2018-11-21
LAKEVIEW MANOR,Resident Quality Inspection,2017-08-31
LAKEVIEW MANOR,Follow-Up Inspection,2017-03-22
LAKEVIEW MANOR,Resident Quality Inspection with Order(s) of the Inspector,2016-12-21
LAKEVIEW MANOR,Complaints Inspection,2016-10-19
LAKEVIEW MANOR,Critical Incident Inspection,2016-08-15
LAKEVIEW MANOR,Complaints Inspection,2016-02-16
LAKEVIEW MANOR,Follow-Up Inspection,2016-01-16
LAKEVIEW MANOR,Follow-Up Inspection with Order(s) of the Inspector,2015-10-23
LAKEVIEW MANOR,Resident Quality Inspection,2015-10-16
LAKEVIEW MANOR,Complaints Inspection  with Order(s) of the Inspector,2014-11-21
LAKEVIEW MANOR,Resident Quality Inspection,2014-06-09
LAKEVIEW MANOR,Other Inspection,2014-02-19
LAKEVIEW MANOR,Critical Incident Inspection,2013-07-03
LAKEVIEW MANOR,Complaints Inspection,2013-06-11
LAKEVIEW MANOR,Complaints Inspection,2012-11-22
LAKEVIEW MANOR,Critical Incident Inspection,2012-11-22
LAKEVIEW MANOR,Complaints Inspection,2012-10-09
LAKEVIEW MANOR,Follow-Up Inspection,2011-12-16
LAKEVIEW MANOR,Critical Incident Inspection,2011-10-04
LAKEVIEW MANOR,Critical Incident Inspection,2011-10-04
LAKEVIEW MANOR,Critical Incident Inspection,2011-10-04
LAKEVIEW MANOR,Complaints Inspection,2011-10-03
LAKEVIEW MANOR,Critical Incident Inspection  with Order(s) of the Inspector,2011-04-19
LAKEVIEW MANOR,Complaints Inspection,2010-10-18
LAKEVIEW MANOR,Critical Incident Inspection,2010-07-14
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection  with Order(s) of the Inspector,2020-09-21
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2020-06-17
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2019-12-11
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2019-05-01
LAMBTON MEADOWVIEW VILLA,Complaints Inspection,2019-01-24
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2019-01-24
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2019-01-24
LAMBTON MEADOWVIEW VILLA,Resident Quality Inspection,2018-05-24
LAMBTON MEADOWVIEW VILLA,Complaints Inspection,2018-04-17
LAMBTON MEADOWVIEW VILLA,Resident Quality Inspection,2018-01-04
LAMBTON MEADOWVIEW VILLA,Complaints Inspection  with Order(s) of the Inspector,2017-11-23
LAMBTON MEADOWVIEW VILLA,Complaints Inspection  with Order(s) of the Inspector,2016-12-22
LAMBTON MEADOWVIEW VILLA,Resident Quality Inspection with Order(s) of the Inspector,2016-12-21
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2016-07-06
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2016-06-23
LAMBTON MEADOWVIEW VILLA,Complaints Inspection,2016-04-05
LAMBTON MEADOWVIEW VILLA,Complaints Inspection,2016-02-01
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2016-01-28
LAMBTON MEADOWVIEW VILLA,Complaints Inspection,2016-01-21
LAMBTON MEADOWVIEW VILLA,Resident Quality Inspection,2015-11-16
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2015-09-17
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2015-02-23
LAMBTON MEADOWVIEW VILLA,Resident Quality Inspection,2014-10-10
LAMBTON MEADOWVIEW VILLA,Complaints Inspection,2014-04-17
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2014-02-06
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2013-11-20
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2013-09-17
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2013-08-14
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2013-05-14
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2012-06-28
LAMBTON MEADOWVIEW VILLA,Complaints Inspection,2012-06-21
LAMBTON MEADOWVIEW VILLA,Complaints Inspection,2012-01-25
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2011-10-13
LAMBTON MEADOWVIEW VILLA,Follow-Up Inspection,2010-11-16
LAMBTON MEADOWVIEW VILLA,Critical Incident Inspection,2010-11-04
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2020-10-27
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2020-03-10
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2019-11-12
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2019-08-13
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2019-05-30
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2019-05-16
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2018-10-11
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2018-10-11
LANARK HEIGHTS LONG TERM CARE CENTRE,Resident Quality Inspection,2017-12-06
LANARK HEIGHTS LONG TERM CARE CENTRE,Resident Quality Inspection with Order(s) of the Inspector,2016-09-21
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2016-09-20
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2016-06-07
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection  with Order(s) of the Inspector,2016-01-21
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2015-10-02
LANARK HEIGHTS LONG TERM CARE CENTRE,Follow-Up Inspection,2015-10-02
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2015-10-02
LANARK HEIGHTS LONG TERM CARE CENTRE,Resident Quality Inspection,2015-07-23
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection  with Order(s) of the Inspector,2015-07-23
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2015-07-20
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2015-06-15
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2015-05-12
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2014-12-18
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2014-12-17
LANARK HEIGHTS LONG TERM CARE CENTRE,Resident Quality Inspection,2014-10-10
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2014-07-17
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2014-05-02
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2014-03-26
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2014-02-19
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2013-11-29
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2013-06-13
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2013-05-14
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2013-04-15
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2013-01-29
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2013-01-02
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2012-12-13
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2012-11-15
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2012-10-19
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2012-09-13
LANARK HEIGHTS LONG TERM CARE CENTRE,Follow-Up Inspection,2012-08-23
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2012-08-10
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2012-08-08
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2012-08-08
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2012-07-11
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2012-07-11
LANARK HEIGHTS LONG TERM CARE CENTRE,Follow-Up Inspection with Order(s) of the Inspector,2012-07-04
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2012-07-04
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2012-06-25
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2012-05-12
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2012-03-15
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2012-01-23
LANARK HEIGHTS LONG TERM CARE CENTRE,Follow-Up Inspection with Order(s) of the Inspector,2012-01-17
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2012-01-16
LANARK HEIGHTS LONG TERM CARE CENTRE,Critical Incident Inspection,2012-01-16
LANARK HEIGHTS LONG TERM CARE CENTRE,Resident Quality Inspection with Order(s) of the Inspector,2011-11-03
LANARK HEIGHTS LONG TERM CARE CENTRE,Follow-Up Inspection,2011-11-03
LANARK HEIGHTS LONG TERM CARE CENTRE,Follow-Up Inspection with Order(s) of the Inspector,2011-10-25
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection,2011-10-12
LANARK HEIGHTS LONG TERM CARE CENTRE,Complaints Inspection  with Order(s) of the Inspector,2011-10-12
LANARK HEIGHTS LONG TERM CARE CENTRE,Mandatory Inspection,2011-10-12
