FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop
Evergreen Seniors Home,92J70,Vancouver Island Health,PFP,635 Evergreen Rd,Campbell River,V9W3R7,Community Care & Assisted Living Act,Accredited,2.9,0.29,3.19,3.02,0.29,3.31,64,60,1,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,84,58.6%,59.6%,4.0%,789,10.2%,25.0%,21.6%,60.2%,9.1%,4.1,14.8%,0.55,21.6%,42.0%,6.8%,50.0%,18.3%,0.0%,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.007318,-125.24818,,,0,True,True,0.65625
Fair Haven - Burnaby,99C49,Fraser Health,PNP,7557 Sussex Ave.,Burnaby,V5J3V6,Community Care & Assisted Living Act,Accredited,2.67,0.33,3.0,2.74,0.34,3.08,100,100,0,0,2,1,1,5,12,0,0,0,2,6,1.0,5.0,12.0,0.0,0.0,0.0,2.0,6.0,87,66.8%,63.7%,0.8%,"1,698",16.7%,43.8%,48.7%,57.8%,11.4%,2.2,58.5%,0.57,9.2%,84.3%,0.0%,36.6%,25.4%,12.6%,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,49.21526995,-123.0059056805597,,,0,True,True,0.0
Fair Haven - Vancouver,999HG,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,Community Care & Assisted Living Act,Accredited,2.7,0.23,2.93,2.85,0.23,3.08,82,70,6,0,1,1,0,0,9,0,0,2,1,0,0.0,0.0,11.0,0.0,0.0,2.4,1.2,0.0,84,65.8%,54.8%,2.6%,"1,174",19.2%,43.3%,32.9%,71.6%,11.3%,2.9,45.4%,0.59,9.8%,67.7%,3.7%,45.7%,25.8%,14.1%,3.0,8.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.225452,-123.0365843,,,0,True,True,0.0
Fair Haven - Vancouver - Special Unit,93860,Vancouver Coastal Health,PNP,2720 East 48th Ave.,Vancouver,V5S1G7,Community Care & Assisted Living Act,Accredited,3.95,0.23,4.18,3.95,0.23,4.18,19,19,0,0,,,,,,,,,,,,,,,,,,,80,27.5%,29.7%,1.4%,273,7.8%,19.5%,66.2%,85.7%,19.5%,2.0,58.4%,0.54,1.3%,59.7%,0.0%,76.6%,75.4%,9.1%,,,,,,,,,,,,,,,49.225452,-123.0365843,,,0,True,True,0.0
Fellburn Care Centre,9A575,Fraser Health,HA,6050 Hastings St.,Burnaby,V5B1R6,Hospital Act,Accredited,3.08,0.34,3.43,3.08,0.34,3.42,81,10,16,10,3,0,0,3,0,0,1,0,0,0,0.0,3.7,0.0,0.0,1.2,0.0,0.0,0.0,87,66.8%,64.6%,7.3%,606,15.4%,43.0%,35.5%,51.5%,14.0%,2.2,59.7%,0.65,14.7%,39.6%,4.4%,31.7%,10.4%,2.4%,2.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,49.2803168,-122.9624341,,,0,True,True,0.0
Finnish Home,999CF,Vancouver Coastal Health,PNP,2288 Harrison Drive,Vancouver,V5P2P6,Community Care & Assisted Living Act,Not Accredited,2.63,0.2,2.83,2.8,0.22,3.02,64,64,0,0,0,0,1,0,7,0,0,1,0,0,1.6,0.0,10.9,0.0,0.0,1.6,0.0,0.0,86,66.7%,60.1%,1.1%,902,30.4%,36.5%,27.7%,62.7%,5.4%,2.2,61.2%,0.59,20.4%,0.0%,0.4%,54.6%,25.4%,6.3%,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.20822879999999,-123.06074540000002,,,0,True,True,0.0
Fir Park Village,9A919,Vancouver Island Health,PNP,4411 Wallace Street,Port Alberni,V9Y7Y5,Community Care & Assisted Living Act,Accredited,2.9,0.27,3.17,2.92,0.26,3.18,66,66,0,0,1,0,2,0,13,0,0,1,1,0,3.0,0.0,19.7,0.0,0.0,1.5,1.5,0.0,86,67.9%,58.9%,0.0%,885,31.6%,24.9%,13.0%,63.2%,4.9%,4.7,10.8%,0.55,0.0%,0.0%,0.0%,65.1%,32.5%,0.7%,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.250749,-124.79915,,,0,True,False,0.015151515151515152
Fischer Place/Mill Site Lodge,9B9DF,Interior Health,HA,555 Cedar Ave. South,100 Mile House,V0K2E0,Hospital Act & Community Care & Assisted Living Act,Accredited,2.99,0.31,3.3,3.02,0.37,3.4,93,93,0,0,0,0,0,0,13,0,0,1,6,0,0.0,0.0,14.0,0.0,0.0,1.1,6.5,0.0,84,64.9%,53.1%,3.8%,761,48.1%,26.7%,26.7%,74.5%,7.3%,2.8,41.3%,0.57,0.3%,37.0%,0.3%,60.4%,29.0%,7.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.6444141,-121.2939045,,,0,True,False,0.0
Fleetwood Place,993E2,Fraser Health,PFP,16011 83rd Ave,Surrey,V4N0N2,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,2.73,0.33,3.06,111,108,0,0,1,0,0,1,12,0,0,0,0,0,0.0,0.9,10.8,0.0,0.0,0.0,0.0,0.0,88,61.7%,66.7%,2.2%,"1,327",9.5%,37.8%,38.1%,50.0%,7.4%,2.6,53.7%,0.58,50.3%,65.9%,0.5%,54.8%,28.2%,19.0%,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.153895,-122.778049,,,0,True,True,0.11711711711711711
Forest View Place,92960,Interior Health,HA,640 Park Dr.,Clearwater,V0E1N1,Hospital Act,Accredited,2.98,0.31,3.29,2.97,0.31,3.28,21,21,0,0,0,0,0,0,2,0,0,0,0,1,0.0,0.0,9.5,0.0,0.0,0.0,0.0,4.8,90,52.9%,66.5%,2.4%,"1,317",26.3%,12.3%,14.0%,75.4%,8.8%,2.7,52.6%,0.53,0.0%,1.8%,0.0%,45.6%,35.2%,6.3%,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,51.64507195,-120.01774781423934,,,0,True,True,0.0
Fort Langley Seniors Community,9ACEC,Fraser Health,PFP,8838 Glover Road,Langley,V1M2R4,Hospital Act,Unknown,2.54,0.32,2.86,2.76,0.34,3.1,96,68,14,0,4,1,0,0,10,0,0,0,1,1,0.0,0.0,10.4,0.0,0.0,0.0,1.0,1.0,90,66.2%,75.7%,0.4%,"1,120",17.0%,38.3%,31.6%,73.5%,5.3%,2.6,37.7%,0.60,25.4%,69.8%,0.0%,47.5%,20.1%,0.0%,10.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1132513,-122.6442649,,,0,True,True,0.052083333333333336
Fort Nelson Multi Level Unit,91552,Northern Health,HA,5315 Liard St,Fort Nelson,V0C1R0,Hospital Act,Accredited,3.18,0.15,3.32,3.21,0.15,3.36,7,7,0,0,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,57.6%,33.3%,3.0%,"3,872",12.5%,12.5%,0.0%,25.0%,0.0%,3.6,25.0%,0.50,0.0%,0.0%,0.0%,25.0%,8.5%,11.9%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.80894549999999,-122.7049735049242,,,0,False,False,0.0
Foyer Maillard,992J9,Fraser Health,PNP,1010 Alderson Avenue,Coquitlam,V3K1W1,Community Care & Assisted Living Act,Not Accredited,3.0,0.36,3.36,3.0,0.36,3.36,125,125,0,0,0,0,0,1,3,0,0,0,0,0,0.0,0.8,2.4,0.0,0.0,0.0,0.0,0.0,87,69.4%,62.0%,1.0%,570,32.4%,24.5%,24.5%,64.1%,10.4%,2.6,50.6%,0.56,24.3%,27.6%,0.4%,43.2%,26.2%,4.5%,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.23926289999999,-122.8662457,,,0,True,True,0.0
Fraser Hope Lodge,9BJC6,Fraser Health,HA,1275-7th Avenue,Hope,V0X1L4,Hospital Act,Unknown,2.91,0.26,3.17,2.91,0.26,3.17,50,46,2,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,89,53.6%,70.0%,3.7%,,34.6%,18.7%,33.0%,67.0%,8.8%,3.1,47.3%,0.59,22.0%,67.0%,4.9%,58.8%,22.5%,2.1%,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.3773925,-121.42378463532327,,,0,True,True,0.0
Fraserview,99BEI,Vancouver Coastal Health,PFP,9580 Williams Road,Richmond,V7A1H2,Community Care & Assisted Living Act,Accredited,2.58,0.19,2.77,2.65,0.19,2.84,101,33,37,0,0,0,1,0,4,0,0,3,0,0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,90,83.7%,80.7%,0.2%,"1,181",18.5%,49.0%,19.0%,75.1%,3.3%,1.9,71.1%,0.57,1.8%,1.0%,0.0%,21.1%,23.1%,3.1%,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.140789700000006,-123.1141556,,,0,True,True,0.0
Gateway Lodge Residential Care,937I0,Northern Health,HA,1488 20th Ave.,Prince George,V2L0A5,Community Care & Assisted Living Act,Accredited,3.29,0.43,3.72,3.18,0.36,3.54,120,120,0,0,1,1,0,0,4,0,1,0,1,0,0.0,0.0,3.3,0.0,0.8,0.0,0.8,0.0,80,52.8%,35.9%,12.0%,"1,406",25.6%,22.8%,26.8%,48.1%,5.2%,2.8,44.1%,0.55,0.6%,44.1%,1.2%,62.2%,34.2%,6.6%,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.905584,-122.7520213,,,0,True,True,0.0
George Derby Centre,9BC9J,Fraser Health,PNP,7550 Cumberland St,Burnaby,V3N3X5,Community Care & Assisted Living Act,Accredited,2.54,0.33,2.87,2.69,0.34,3.03,300,284,8,0,5,2,0,3,35,0,0,4,4,2,0.0,1.0,11.7,0.0,0.0,1.3,1.3,0.7,87,32.8%,65.9%,1.4%,699,19.2%,28.8%,22.1%,60.5%,18.1%,2.2,60.9%,0.56,0.9%,9.3%,0.6%,40.4%,26.1%,5.9%,9.0,34.0,4.0,9.0,3.0,2.0,10.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,49.23360200000001,-122.916488,8.0,1.0,1,True,True,0.0
George Pearson Centre,9A5BF,Vancouver Coastal Health,HA,700 West 57th Ave.,Vancouver,V6P1S1,Hospital Act,Accredited,4.85,0.86,5.71,4.85,0.83,5.68,114,54,13,7,1,1,0,0,3,3,1,3,9,0,0.0,0.0,2.6,2.6,0.9,2.6,7.9,0.0,59,24.4%,2.9%,67.5%,"2,042",15.4%,64.6%,31.3%,3.9%,2.5%,3.1,29.4%,0.89,54.5%,56.1%,32.4%,47.4%,24.7%,18.6%,3.0,8.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,49.21877,-123.121144,,,0,True,False,0.0
German Canadian Care Home,999D6,Vancouver Coastal Health,PNP,2010 Harrison Drive,Vancouver,V5P2P6,Community Care & Assisted Living Act,Accredited,2.58,0.26,2.84,2.67,0.28,2.95,132,76,29,0,0,0,0,0,14,0,1,5,1,0,0.0,0.0,10.6,0.0,0.8,3.8,0.8,0.0,83,47.6%,52.5%,5.4%,688,14.2%,36.4%,37.3%,52.3%,7.2%,2.5,42.4%,0.52,37.5%,76.5%,42.3%,40.1%,40.5%,10.0%,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2098793,-123.0651145,1.0,0.0,1,True,True,0.0
Gillis House,9AAGI,Interior Health,HA,1699 Tutill Court,Merritt,V1K1C6,Hospital Act & Community Care & Assisted Living Act,Accredited,2.9,0.3,3.2,2.96,0.47,3.43,74,52,7,2,2,1,0,3,11,0,0,1,0,0,0.0,4.1,14.9,0.0,0.0,1.4,0.0,0.0,83,59.4%,46.5%,4.7%,484,15.9%,33.6%,29.0%,51.2%,5.7%,2.1,60.8%,0.60,1.4%,0.0%,0.7%,49.5%,34.4%,5.7%,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.1075263,-120.7861348,,,0,True,True,0.0
Glacier View Lodge,99605,Vancouver Island Health,PNP,2450 Back Road,Courtenay,V9N8B5,Community Care & Assisted Living Act,Accredited,2.68,0.34,3.02,2.69,0.39,3.08,102,102,0,0,2,1,1,1,17,0,0,1,3,2,1.0,1.0,16.7,0.0,0.0,1.0,2.9,2.0,81,56.9%,41.7%,7.8%,969,29.0%,20.1%,28.0%,73.5%,11.8%,2.8,41.5%,0.58,25.1%,15.0%,6.4%,60.4%,34.2%,7.2%,4.0,8.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49.690363,-124.96434,,,0,True,True,0.0
Glengarry Hospital,9A60F,Vancouver Island Health,HA,1780 Fairfield Rd.,Victoria,V8S1G7,Hospital Act,Accredited,2.89,0.35,3.24,2.9,0.35,3.25,135,10,18,34,1,0,,,,,,,,,,,,,,,,,82,71.9%,46.3%,9.1%,"1,029",20.1%,36.7%,31.5%,59.7%,10.1%,2.6,48.9%,0.59,0.4%,62.7%,61.4%,43.6%,21.4%,8.8%,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.4152829,-123.3318857,,,0,False,True,0.0
Glenmore Lodge,93GE4,Interior Health,PFP,325 Drysdale Blvd.,Kelowna,V1V1P5,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.9,0.35,3.25,118,0,0,0,1,0,0,2,18,0,0,6,2,2,0.0,1.7,15.3,0.0,0.0,5.1,1.7,1.7,85,60.7%,59.5%,4.9%,490,9.2%,10.9%,15.6%,44.8%,5.3%,2.9,42.4%,0.55,0.0%,0.2%,36.9%,36.7%,18.9%,3.7%,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9163179,-119.4400778,,,0,False,False,0.15254237288135594
Glenwarren Lodge,9B7A0,Vancouver Island Health,PFP,1230 Balmoral Rd,Victoria,V8T1B3,Hospital Act,Accredited,2.98,0.18,3.16,2.99,0.18,3.17,104,46,20,11,1,0,,,,,,,,,,,,,,,,,86,85.9%,62.8%,2.9%,514,25.3%,31.1%,39.3%,70.4%,8.7%,3.1,34.7%,0.60,1.0%,10.8%,0.0%,54.2%,19.7%,4.2%,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4283883,-123.3486649,,,0,True,True,0.0
Glenwood Seniors Community,923FA,Fraser Health,PFP,1458 Glenwood Dr,Agassiz,V0M1A3,Community Care & Assisted Living Act,Unknown,2.52,0.3,2.82,2.65,0.3,2.95,44,37,0,0,1,0,0,1,1,0,0,0,0,1,0.0,2.3,2.3,0.0,0.0,0.0,0.0,2.3,89,64.8%,73.0%,0.5%,638,25.0%,12.9%,22.6%,80.6%,21.8%,2.8,50.8%,0.58,4.8%,81.5%,0.0%,38.7%,7.3%,0.0%,4.0,10.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,49.2308549,-121.75817859999998,,,0,True,True,0.18181818181818182
Gorge Road Hospital,93000,Vancouver Island Health,HA,63 Gorge Road East,Victoria,V9A1L2,Hospital Act,Accredited,2.94,0.31,3.25,2.96,0.31,3.27,111,11,4,27,5,0,,,,,,,,,,,,,,,,,83,56.4%,51.3%,8.1%,332,25.6%,29.0%,26.3%,53.5%,8.3%,3.4,36.2%,0.58,1.2%,67.7%,50.7%,44.2%,25.1%,7.7%,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48.44178385,-123.38810164430215,,,0,True,True,0.0
Greenwoods,99DD4,Vancouver Island Health,PNP,133 Blain Road,Salt Spring Island,V8K1Z9,Community Care & Assisted Living Act,Accredited,2.93,0.21,3.14,2.95,0.15,3.1,51,51,0,0,14,9,0,4,8,0,0,3,1,0,0.0,7.8,15.7,0.0,0.0,5.9,2.0,0.0,88,65.0%,74.7%,0.0%,862,9.7%,38.9%,36.2%,85.9%,8.6%,1.6,70.8%,0.56,0.5%,0.0%,0.0%,41.1%,33.1%,19.5%,18.0,11.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,48.86170900000001,-123.51033,,,0,False,True,0.0
Guildford Seniors Village,926CA,Fraser Health,PFP,14568 104a Ave.,Surrey,V3R1R3,Community Care & Assisted Living Act,Accredited,2.42,0.3,2.73,2.77,0.33,3.1,101,98,0,0,0,0,0,0,14,0,0,1,2,0,0.0,0.0,13.9,0.0,0.0,1.0,2.0,0.0,83,44.9%,50.7%,4.4%,873,22.1%,33.3%,40.4%,69.7%,11.1%,2.2,61.1%,0.60,0.0%,62.2%,0.0%,44.2%,26.5%,15.1%,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.192422,-122.8183,1.0,0.0,1,True,True,0.37623762376237624
Haida Gwaii Hospital and Health Centre,9A76C,Northern Health,HA,3209 Oceanview Drive,Queen Charlotte,V0T1S0,Hospital Act,Accredited,3.29,0.41,3.7,4.19,0.12,4.31,8,0,2,2,,,0,0,1,0,0,0,0,0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,83,64.7%,47.1%,0.0%,,4.3%,60.9%,52.2%,65.2%,21.7%,1.5,73.9%,0.62,0.0%,0.0%,0.0%,21.7%,50.9%,1.1%,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.254868,-132.070526,,,0,False,False,0.0
Hardy View Lodge,9ADB9,Interior Health,HA,7649 22nd St.,Grand Forks,V0H1H2,Community Care & Assisted Living Act,Accredited,2.93,0.35,3.28,2.93,0.35,3.28,80,78,2,0,0,0,0,1,1,0,0,0,0,1,0.0,1.3,1.3,0.0,0.0,0.0,0.0,1.3,85,64.5%,56.5%,3.3%,855,21.3%,32.6%,13.0%,59.6%,3.9%,3.2,32.2%,0.57,0.0%,10.9%,0.0%,41.7%,31.7%,5.3%,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.030261,-118.467798,,,0,True,True,0.0
Harmony Court Care Centre,91BCE,Fraser Health,PFP,7195 Canada Way,Burnaby,V5E3R7,Community Care & Assisted Living Act,Unknown,2.42,0.31,2.73,2.64,0.31,2.95,55,7,24,0,2,0,0,0,9,0,0,2,3,0,0.0,0.0,16.4,0.0,0.0,3.6,5.5,0.0,85,74.1%,59.0%,2.5%,818,14.6%,44.2%,41.2%,77.9%,11.5%,2.6,51.3%,0.55,1.3%,84.5%,0.0%,46.9%,9.7%,19.3%,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.224537,-122.942499,,,0,False,True,0.0
Harmony Court Care Centre  - Special Unit,93A2A,Fraser Health,PFP,7195 Canada Way,Burnaby,V5E3R7,Community Care & Assisted Living Act,Unknown,1.99,0.08,2.07,1.99,0.27,2.27,25,25,0,0,,,,,,,,,,,,,,,,,,,84,87.2%,56.9%,4.6%,705,13.6%,0.0%,1.0%,95.1%,1.9%,2.7,50.5%,0.44,1.9%,41.7%,0.0%,35.0%,31.0%,0.0%,,,,,,,,,,,,,,,49.25340870000001,-122.989119,,,0,False,True,0.0
Haro Park Centre,9A4I4,Vancouver Coastal Health,PNP,1233 Haro Street,Vancouver,V6E3Y5,Community Care & Assisted Living Act,Unknown,2.6,0.2,2.8,2.8,0.22,3.02,154,154,0,0,2,0,0,1,26,1,0,16,4,13,0.0,0.6,16.9,0.6,0.0,10.4,2.6,8.4,84,73.5%,55.1%,4.3%,839,36.1%,21.4%,22.1%,67.1%,8.7%,3.3,33.5%,0.52,3.9%,83.7%,1.1%,53.3%,34.1%,7.2%,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,49.285771,-123.129,89.0,13.0,1,True,False,0.0
Haven Hill Retirement Centre,9C2CB,Interior Health,PFP,415 Haven Hill Road,Penticton,V2A4E9,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.99,0.35,3.34,152,152,0,0,10,2,0,6,17,0,0,4,3,3,0.0,3.9,11.2,0.0,0.0,2.6,2.0,2.0,86,66.6%,63.1%,3.5%,"1,021",17.8%,28.9%,28.3%,72.6%,6.5%,2.5,52.4%,0.57,38.9%,1.3%,2.4%,34.1%,26.3%,11.0%,3.0,17.0,1.0,2.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,49.497463,-119.58078,,,0,True,True,0.02631578947368421
Hawthorne Seniors Care Community,992JA,Fraser Health,PNP,2111 Hawthorne Ave,Port Coquitlam,V3C1W3,Hospital Act,Unknown,2.86,0.3,3.16,2.95,0.32,3.27,131,115,8,0,0,0,1,0,26,0,0,0,2,0,0.8,0.0,19.8,0.0,0.0,0.0,1.5,0.0,82,55.5%,49.0%,6.6%,772,12.2%,41.9%,44.1%,53.7%,12.8%,2.2,65.6%,0.59,0.0%,56.9%,0.0%,41.9%,32.7%,2.2%,1.0,9.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.2570112,-122.7792222,,,0,True,True,0.0
Henry Durand Manor,9A7GF,Interior Health,HA,803 9th St South,Golden,V0A1H0,Community Care & Assisted Living Act,Accredited,2.83,0.34,3.17,2.87,0.33,3.2,28,28,0,0,0,0,0,0,12,0,0,0,3,1,0.0,0.0,42.9,0.0,0.0,0.0,10.7,3.6,85,64.7%,67.6%,6.3%,573,29.4%,33.3%,38.2%,73.5%,2.9%,2.1,59.8%,0.57,8.8%,38.2%,0.0%,56.9%,25.3%,9.3%,2.0,10.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,51.2961409,-116.9734392,,,0,True,True,0.0
Heritage Square,9BI83,Interior Health,PFP,3904 27th St.,Vernon,V1T4X7,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.98,0.35,3.33,50,50,0,0,0,1,0,0,10,0,0,1,3,0,0.0,0.0,20.0,0.0,0.0,2.0,6.0,0.0,86,64.4%,66.1%,5.4%,"1,246",53.6%,18.8%,12.6%,68.1%,2.4%,3.2,29.0%,0.68,4.8%,75.8%,6.3%,67.6%,9.3%,6.4%,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.270687,-119.26823,,,0,True,True,0.0
Heritage Village,9C5BC,Fraser Health,HA,7525 Topaz Dr,Chilliwack,V2R3C9,Hospital Act,Accredited,3.02,0.2,3.22,3.02,0.2,3.22,100,64,12,3,0,0,2,1,21,0,0,0,3,0,2.0,1.0,21.0,0.0,0.0,0.0,3.0,0.0,85,54.4%,58.4%,3.4%,940,11.8%,31.0%,43.4%,64.8%,12.7%,2.3,55.2%,0.57,3.4%,58.0%,0.0%,54.9%,27.3%,3.4%,2.0,10.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,49.1407098,-121.9665418,,,0,True,True,0.0
Heron Grove,92IIA,Interior Health,PNP,4900 - 20th Street,Vernon,V1T9W3,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,76,76,0,0,0,0,0,1,5,0,1,0,4,0,0.0,1.3,6.6,0.0,1.3,0.0,5.3,0.0,83,64.1%,56.2%,7.6%,876,41.5%,29.3%,26.0%,63.3%,7.4%,2.7,47.6%,0.66,6.1%,8.7%,2.6%,55.3%,12.7%,10.8%,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.28272,-119.26055,,,0,True,True,0.0
Hillside Village,92FC0,Interior Health,PNP,2891 15 Ave NE,Salmon Arm,V1E2B8,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,112,112,0,0,1,0,1,0,16,0,0,0,2,0,0.9,0.0,14.3,0.0,0.0,0.0,1.8,0.0,86,66.8%,57.9%,2.4%,915,17.6%,24.0%,27.9%,75.4%,10.9%,4.1,17.6%,0.57,1.7%,12.0%,5.7%,56.2%,26.6%,15.4%,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,50.71122329999999,-119.252111,,,0,True,True,0.0
Hilltop House,9AIC3,Vancouver Coastal Health,HA,38146 Behrner Drive,Squamish,V8B0C8,Community Care & Assisted Living Act,Accredited,3.04,0.3,3.34,3.04,0.26,3.3,86,82,2,0,0,0,0,0,8,0,1,0,0,4,0.0,0.0,9.3,0.0,1.2,0.0,0.0,4.7,80,62.5%,50.0%,12.5%,817,35.4%,27.7%,18.0%,59.2%,6.1%,1.7,68.5%,0.56,5.1%,4.8%,0.0%,49.8%,16.6%,1.4%,3.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.699648,-123.14,,,0,True,True,0.0
