,HCC_CODE,FACILITY_NAME,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,address,location,point,geo_lat,geo_lon
113,992JA,Hawthorne Seniors Care Community,Fraser Health,PNP,2111 Hawthorne Ave,Port Coquitlam,V3C1W3,(604) 941-4051,Port Coquitlam Senior Citizens' Housing Society,,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,"Director, Resident Services",(604) 468-5023,Yes,Operator,Yes,$7.99,$8.12,"English, Punjabi, Tagalog, Mandarin, Cantonese, Korean, Russian, Urdu, Romanian, Polish, French, Farsi, Arabic, German",2.86,0.3,3.16,2.95,0.32,3.27,No,No,Yes,Clothing labelling,0,131,131,115,8,0,0,0,1,0,26,0,0,0,2,0,0.8,0.0,19.8,0.0,0.0,0.0,1.5,0.0,not applicable,82,55.5%,49.0%,6.6%,772,12.2%,41.9%,44.1%,53.7%,12.8%,2.2,65.6%,0.59,0.0%,56.9%,0.0%,41.9%,32.7%,2.2%,http://hawthornecare.com/,https://surveybcseniors.org/carehomeresults/hawthorne-seniors-care-community-fha/,,No,No,No,No,$222.10,$232.23,1.0,9.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,hawthorne seniors care community,908.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V3C1W3,port coquitlam,bc,,Port Coquitlam,,59.0,49.2570112,-122.7792222,"2111 Hawthorne Ave, Port Coquitlam, British Columbia, Canada","Hawthorne Avenue, Mary Hill, Port Coquitlam, Metro Vancouver Regional District, British Columbia, V3C 3B7, Canada","(49.2570112, -122.7792222, 0.0)",49.2570112,-122.7792222
114,9A7GF,Henry Durand Manor,Interior Health,HA,803 9th St South,Golden,V0A1H0,(250) 344-3402,Interior Health,1980,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2019,Residential Care Co-ordinator,(250) 344-3006,Yes,Operator,Yes,$9.11,$10.63,English,2.83,0.34,3.17,2.87,0.33,3.2,No,No,Yes,,0,28,28,28,0,0,0,0,0,0,12,0,0,0,3,1,0.0,0.0,42.9,0.0,0.0,0.0,10.7,3.6,not applicable,85,64.7%,67.6%,6.3%,573,29.4%,33.3%,38.2%,73.5%,2.9%,2.1,59.8%,0.57,8.8%,38.2%,0.0%,56.9%,25.3%,9.3%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=Henry%20M.%20Durand%20Manor,https://surveybcseniors.org/carehomeresults/henry-durand-manor-iha/,,No,No,No,No,,,2.0,10.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,henry durand manor,,,,,,,,,,,,,,,51.2961409,-116.9734392,"803 9th St South, Golden, British Columbia, Canada","9th Street South, Golden, Columbia-Shuswap Regional District, British Columbia, V0A 1H0, Canada","(51.2961409, -116.9734392, 0.0)",51.2961409,-116.9734392
116,9C5BC,Heritage Village,Fraser Health,HA,7525 Topaz Dr,Chilliwack,V2R3C9,(604) 858-1833,Fraser Health,1993,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Hospital Act,Accredited,October 2022,Manager of Operations - Kendall Korda,(604) 793-7131,Yes,Outside Contractor,Yes,$7.69,$6.88,"English, Punjabi",3.02,0.2,3.22,3.02,0.2,3.22,No,No,No,,0,100,100,64,12,3,0,0,2,1,21,0,0,0,3,0,2.0,1.0,21.0,0.0,0.0,0.0,3.0,0.0,not applicable,85,54.4%,58.4%,3.4%,940,11.8%,31.0%,43.4%,64.8%,12.7%,2.3,55.2%,0.57,3.4%,58.0%,0.0%,54.9%,27.3%,3.4%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/1/5/residential-care---heritage-village#.XROH6EmouUk,https://surveybcseniors.org/carehomeresults/heritage-village-fha/,,No,No,Yes,No,,,2.0,10.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,heritage village,919.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2R3C9,chilliwack,bc,,Chilliwack,,59.0,49.1407098,-121.9665418,"7525 Topaz Dr, Chilliwack, British Columbia, Canada","Topaz Drive, Chilliwack, British Columbia, V2R 3S9, Canada","(49.1407098, -121.9665418, 0.0)",49.1407098,-121.9665418
120,917D8,Hilton Villa Seniors Community,Fraser Health,PFP,13525 Hilton Rd,Surrey,V3R5J3,(604) 588-3424,Park Place Seniors Living Inc.,1974,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,July 2022,Site Leader,(604) 588-3424x109,Yes,Outside Contractor,Yes,$5.78,$6.03,"English, Tagalog, Punjabi, Hindi",2.42,0.31,2.73,2.76,0.34,3.1,No,No,No,,3,154,157,83,36,0,3,1,3,1,18,0,0,0,3,0,1.9,0.6,11.5,0.0,0.0,0.0,1.9,0.0,not applicable,86,69.8%,62.9%,5.1%,749,20.7%,33.2%,37.5%,66.5%,12.7%,2.9,43.1%,0.59,45.3%,3.8%,0.0%,45.8%,10.2%,6.7%,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/lower-mainland/hilton-villa/,https://surveybcseniors.org/carehomeresults/hilton-villa-fha/,,Yes,Yes,Yes,Some,$201.18,$219.30,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hilton villa seniors community,,,,,,,,,,,,,,,49.20242145,-122.84672725264093,"13525 Hilton Rd, Surrey, British Columbia, Canada","13525, Hilton Road, Bridgeview, Surrey, Metro Vancouver Regional District, British Columbia, V3T 2X6, Canada","(49.20242145, -122.84672725264093, 0.0)",49.20242145,-122.84672725264093
121,9A58I,Hogg and Weatherby Pavilions - Peace Arch Hospital,Fraser Health,HA,15521 Russell Ave.,White Rock,V4B2R4,(604) 541-5837,Fraser Health,1987,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Kashmiro Kainth (Dr. Al Hogg Pavilion) / Jane Rodwell (Weatherby Pavilion),(604) 541-7179 / (604) 538-4234,Yes,Operator,No,$8.52,$8.83,"English, Tagalog, Punjabi, Hindi, Spanish, Farsi, Vietnamese, Korean, French, Spanish, Mandarin, Cantonese, Italian, Polish",3.01,0.39,3.39,3.01,0.39,3.4,No,No,No,"dentist, hairdresser, music therapy, foot care/podiatry",0,234,234,30,78,12,2,0,2,0,24,0,0,1,2,0,0.9,0.0,10.3,0.0,0.0,0.4,0.9,0.0,not applicable,90,73.9%,76.9%,2.2%,785,17.7%,28.0%,24.2%,48.3%,8.6%,2.6,52.3%,0.57,15.5%,67.0%,12.4%,48.2%,18.8%,3.2%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/B/F/al-hogg-weatherby---residential-care#.XROd5EmouUk,https://surveybcseniors.org/carehomeresults/peace-arch-ecu-hogg-weatherby-pavilions-fha/,,No,No,Yes,No,,,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hogg and weatherby pavilions - peace arch hospital,,,,,,,,,,,,,,,49.03015955,-122.79236954999999,"15521 Russell Ave., White Rock, British Columbia, Canada","Peace Arch Hospital, 15521, Russell Avenue, Uptown, White Rock, Metro Vancouver Regional District, British Columbia, V4B 2T4, Canada","(49.03015955, -122.79236954999999, 0.0)",49.03015955,-122.79236954999999
123,91842,Holyrood Manor,Fraser Health,PFP,22710 Holyrood Ave,Maple Ridge,V2X3E6,(604) 467-8831,Revera Long Term Care Inc.,,Family Council,Regular Schedule,Yes (no fee),Hospital Act,Accredited,May 2020,Executive Director,(604) 467-8831 ext. 222,Yes,Outside Contractor,Yes,$7.01,$7.33,,2.78,0.35,3.12,2.8,0.35,3.15,No,No,No,,2,123,125,0,0,0,0,0,1,2,15,0,0,0,4,1,0.8,1.6,12.0,0.0,0.0,0.0,3.2,0.8,not applicable,86,81.5%,58.3%,3.3%,"1,196",31.0%,19.9%,25.2%,71.9%,11.9%,2.3,52.8%,0.61,0.0%,70.6%,0.0%,50.1%,20.0%,1.2%,https://www.reveraliving.com/long-term-care/locations/holyrood-manor,https://surveybcseniors.org/carehomeresults/holyrood-manor-fha/,,No,No,,,$216.81,$221.03,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,holyrood manor,,,,,,,,,,,,,,,49.2122959,-122.5939042,"22710 Holyrood Ave, Maple Ridge, British Columbia, Canada","Holyrood Avenue, Yennadon, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2V6, Canada","(49.2122959, -122.5939042, 0.0)",49.2122959,-122.5939042
129,92IJA,Joseph Creek Village,Interior Health,PFP,1901 Willowbrook Dr,Cranbrook,V1C6S4,(250) 417-0666,Golden Life Management Corp,2003,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Community Manager,(250) 489-0060x203,Yes,Operator,Yes,$8.67,$9.42,English,2.8,0.35,3.15,2.95,0.35,3.3,No,No,No,,2,100,102,102,0,0,4,1,0,2,9,0,0,5,2,0,0.0,2.0,8.8,0.0,0.0,4.9,2.0,0.0,not applicable,80,64.3%,39.3%,11.3%,"1,311",25.8%,24.0%,29.3%,56.8%,5.0%,3.3,31.5%,0.61,29.8%,72.8%,42.0%,45.0%,29.8%,5.2%,https://goldenlifemanagement.ca/index.php/villages/joseph-creek-village/overview-5,https://surveybcseniors.org/carehomeresults/joseph-creek-village-iha/,,No,No,No,No,$190.28,$198.44,8.0,15.0,1.0,1.0,5.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,joseph creek village,,,,,,,,,,,,,,,49.5270986,-115.7452938,"1901 Willowbrook Dr, Cranbrook, British Columbia, Canada","Willowbrook Drive, Cranbrook, Regional District of East Kootenay, British Columbia, V1C 3S9, Canada","(49.5270986, -115.7452938, 0.0)",49.5270986,-115.7452938
130,9A69E,Jubilee Lodge,Northern Health,HA,1475 Edmonton Street,Prince George,V2M1S2,(250) 565-2286,Northern Health,1979,"Resident Council, Family Council",Regular Schedule,Yes (fee charged),Hospital Act,Accredited,June 2022,Resident Care Coordinator,(250) 565-2287,Yes,Operator,Primarily,$11.26,$11.96,"English, French, Filipino, Arabic, Punjabi, Malayalam",2.86,0.25,3.11,2.9,0.45,3.36,No,Yes,Yes,,0,66,66,4,3,14,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not applicable,83,50.1%,48.9%,5.2%,"1,131",17.8%,38.2%,40.8%,65.8%,3.3%,2.5,47.4%,0.59,0.0%,61.2%,1.3%,42.8%,24.6%,16.5%,https://www.northernhealth.ca/locations/long-term-care/jubilee-lodge,https://surveybcseniors.org/carehomeresults/jubilee-lodge-nha/,,No,No,No,No,,,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,jubilee lodge,,,,,,,,,,,,,,,53.9120966,-122.7626315,"1475 Edmonton Street, Prince George, British Columbia, Canada","1475, Edmonton Street, College Heights, Prince George, Regional District of Fraser-Fort George, British Columbia, V2L 3X3, Canada","(53.9120966, -122.7626315, 0.0)",53.9120966,-122.7626315
131,99C25,Jubilee Multi Generational Housing Society,Fraser Health,PNP,3460 Kalyk Avenue,Burnaby,V5G3B2,(604) 434-2666,Jubilee Multi Generational Housing Society,1975,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Administrator / Director of Care,(604) 434-2666,Yes,Operator,Yes,$7.37,$6.76,"English, Finnish, Gujarati, Punjabi, Mandarin, Cantonese, Polish, Korean, Russian, Slovak, Hungarian, Hindi, Japanese, Swedish, Fijian, Tagalog",2.48,0.31,2.79,2.69,0.31,3.0,No,No,No,,0,60,60,12,18,3,3,1,2,3,7,0,0,2,0,1,3.3,5.0,11.7,0.0,0.0,3.3,0.0,1.7,not applicable,89,68.9%,71.6%,0.0%,656,20.9%,37.8%,47.4%,28.3%,4.3%,3.4,33.5%,0.59,12.6%,1.3%,0.0%,40.0%,7.7%,1.3%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/B/6/jubilee-multi-generational-housing-society---residential-care#.XROmVEmouUk,https://surveybcseniors.org/carehomeresults/finnish-manor-fha/,,No,No,,,$199.53,$210.78,3.0,11.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,jubilee multi generational housing society,,,,,,,,,,,,,,,49.2528169,-123.0130025,"3460 Kalyk Avenue, Burnaby, British Columbia, Canada","Kalyk Avenue, Discovery Park, Burnaby, Metro Vancouver Regional District, British Columbia, V5G 0A4, Canada","(49.2528169, -123.0130025, 0.0)",49.2528169,-123.0130025
137,9AC36,Kiwanis Pavilion,Vancouver Island Health,PNP,3034 Cedar Hill Road,Victoria,V8T3J3,(250) 598-2022,Oak Bay Kiwanis Health Care Society,1982,Family Council (residents can attend),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,March 2021,Director of Resident Services,(250) 598-2022x222,Yes,Operator,Yes,$7.39,$8.23,"English, German, Spanish, Polish, Tagalog, French, Croatian, Korean, Mandarin, Cantonese, Hindi",3.04,0.22,3.27,3.09,0.26,3.35,No,No,No,Dental hygiene and Trust account admin fee,6,116,122,122,0,0,0,0,1,0,14,0,0,0,1,2,0.8,0.0,11.5,0.0,0.0,0.0,0.8,1.6,not applicable,83,66.6%,54.8%,3.8%,700,26.9%,28.5%,39.6%,86.9%,13.8%,2.8,50.6%,0.60,20.6%,17.7%,2.9%,61.0%,15.9%,3.8%,http://www.kiwanispavilion.ca/,https://surveybcseniors.org/carehomeresults/the-kiwanis-pavilion-island/,,No,No,No,No,$218.08,$225.62,2.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,kiwanis pavilion,,,,,,,,,,,,,,,48.4464163,-123.3467929,"3034 Cedar Hill Road, Victoria, British Columbia, Canada","3034, Cedar Hill Road, Oaklands, Victoria, Capital Regional District, British Columbia, V8T 3J4, Canada","(48.4464163, -123.3467929, 0.0)",48.4464163,-123.3467929
142,992HG,Lakeshore Care Centre,Fraser Health,PFP,657 Gatensbury Street,Coquitlam,V3J5G9,(604) 939-9277,The Care Group,,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Not Accredited,not applicable,Resident Care Coordinator / Director of Care,(604) 939-9277x103,Yes,Outside Contractor,No,$6.87,$8.24,"Filipino, English, Korean, Greek, Punjabi, Persian",2.61,0.32,2.94,2.63,0.32,2.95,No,No,No,,21,35,56,42,7,0,1,1,0,1,1,0,0,0,0,0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,not applicable,85,70.4%,64.5%,6.5%,"1,526",21.7%,43.4%,44.8%,78.3%,12.6%,2.2,60.1%,0.60,0.7%,11.9%,0.0%,36.4%,17.0%,11.2%,http://tcgcare.com/lakeshorecarecentre,https://surveybcseniors.org/carehomeresults/lakeshore-care-centre-fha/,,RN - No; LPN - Yes,Yes,Yes,No,$225.78,$229.21,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,lakeshore care centre,,,,,,,,,,,,,,,49.2595472,-122.8563516,"657 Gatensbury Street, Coquitlam, British Columbia, Canada","Gatensbury Street, Harbour Chines, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 3B7, Canada","(49.2595472, -122.8563516, 0.0)",49.2595472,-122.8563516
143,9C477,Lakeview Care Centre,Vancouver Coastal Health,PFP,3490 Porter Street,Vancouver,V5N5W4,(604) 874-2803,Revera Long Term Care Inc.,1993,"Resident Council, Family Council",Regular Schedule,No ,Hospital Act,Accredited,May 2020,Executive Director / Director of Care,(604) 874-2803x2228 / (604) 874-2803x2321,Yes,Outside Contractor,Yes,$5.95,$6.40,"English, Cantonese, Mandarin, Korean, Tagalog, Hindi, Spanish, Vietnamese",2.58,0.19,2.77,2.79,0.19,2.98,No,No,Yes,,0,177,177,105,36,0,0,0,2,0,10,0,0,2,0,0,1.1,0.0,5.6,0.0,0.0,1.1,0.0,0.0,not applicable,87,64.3%,69.3%,1.6%,"1,143",23.8%,21.8%,29.3%,58.5%,9.6%,4.1,20.0%,0.56,0.0%,2.3%,0.0%,34.7%,10.6%,1.4%,https://www.reveraliving.com/long-term-care/locations/lakeview,https://surveybcseniors.org/carehomeresults/lake-view-care-centre-vcha/,,No,No,Yes,Yes,$204.25,$210.42,4.0,7.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,lakeview care centre,,,,,,,,,,,,,,,49.25348995,-123.06648814723717,"3490 Porter Street, Vancouver, British Columbia, Canada","Lakeview Care Centre, 3490, Porter Street, Renfrew-Collingwood, Vancouver, Metro Vancouver Regional District, British Columbia, V5N, Canada","(49.25348995, -123.06648814723717, 0.0)",49.25348995,-123.06648814723717
147,9A5E0,Langley Memorial Hospital ECU,Fraser Health,HA,22051 Fraser Hwy,Langley,V3A4H4,(604) 514-6026,Fraser Health,,Resident Council,Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Resident Care Coordinator / Manager,(604) 514-6190,Yes,Operator,No,$8.54,$8.70,"English, Punjabi, Hindi, Hungarian",2.98,0.28,3.26,2.92,0.27,3.19,No,No,No,,0,230,230,8,4,44,5,1,1,0,1,0,0,3,0,0,0.4,0.0,0.4,0.0,0.0,1.3,0.0,0.0,not applicable,89,72.1%,71.2%,3.0%,597,13.7%,26.9%,25.8%,54.2%,7.1%,2.6,53.1%,0.57,6.5%,52.3%,4.0%,46.7%,23.3%,2.4%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/1/F/langley-memorial-hospital---residential-care#.XROQ6UmouUk,https://surveybcseniors.org/carehomeresults/langley-memorial-hospital-ecu-fha/,,,,,,,,6.0,10.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,langley memorial hospital ecu,,,,,,,,,,,,,,,49.094477499999996,-122.61166744542867,"22051 Fraser Hwy, Langley, British Columbia, Canada","Langley Memorial Hospital, 22051, Fraser Highway, Murrayville, Township of Langley, Metro Vancouver Regional District, British Columbia, V3A 4H1, Canada","(49.094477499999996, -122.61166744542867, 0.0)",49.094477499999996,-122.61166744542867
148,9359A,Laurel Place,Fraser Health,PFP,9688 137A St,Surrey,V3T4H9,(604) 582-6336,Lark Care (Laurel) Operations Ltd,2008,"Resident & Family Council (combined), Food Council",Regular Schedule,Yes (fee charged),Community Care & Assisted Living Act,Accredited,January 2022,Director of Care,(604) 582-6336 ext. 1163,Yes,Outside Contractor,Yes,$7.43,$7.48,"English, Hindi, Punjabi, Filipino, Korean, Cantonese, Mandarin, Italian, Spanish, Arabic, French, Greek",2.54,0.27,2.8,2.99,0.37,3.36,No,No,No,Specialty services and products,13,202,215,207,4,0,1,0,0,0,17,0,0,0,2,0,0.0,0.0,7.9,0.0,0.0,0.0,0.9,0.0,not applicable,85,58.4%,60.4%,5.9%,899,18.9%,37.9%,25.2%,58.0%,6.1%,2.4,60.7%,0.60,16.7%,1.7%,0.2%,39.6%,15.6%,16.6%,https://laurelplace.ca/,https://surveybcseniors.org/carehomeresults/laurel-place-fha/,,Yes,Yes,Yes,Yes,$225.73,$229.38,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,laurel place,1051.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V3T4H9,surrey,bc,,Surrey,,59.0,49.1784219,-122.8417807,"9688 137A St, Surrey, British Columbia, Canada","9688, 137A Street, Whalley, Surrey, Metro Vancouver Regional District, British Columbia, V3T 0M1, Canada","(49.1784219, -122.8417807, 0.0)",49.1784219,-122.8417807
150,999G3,Louis Brier Home and Hospital,Vancouver Coastal Health,PNP,1055 West 41st Ave,Vancouver,V6M1W9,(604) 261-9376,Jewish Home for the Aged of BC,1979,"Resident Council, Family Council",Regular Schedule,No,Hospital Act & Community Care & Assisted Living Act,Accredited,May 2022,Quality and Risk Manager,(604) 267-4698,Yes,Operator,Yes,$11.48,$10.59,"English, Hebrew, Tagalog, Mandarin, Hungarian, Russian, French, Romanian",2.62,0.24,2.86,2.87,0.26,3.13,No,No,Yes,,0,215,215,149,33,0,1,1,2,0,22,0,0,8,3,12,0.9,0.0,10.2,0.0,0.0,3.7,1.4,5.6,not applicable,85,61.4%,59.0%,3.9%,"1,410",18.2%,45.7%,33.9%,57.4%,13.4%,1.9,69.1%,0.58,15.9%,20.7%,8.2%,51.7%,34.7%,1.9%,http://louisbrier.com/,https://surveybcseniors.org/carehomeresults/louis-brier-home-and-hospital-vcha/,,No,No,No,No,$212.37,$227.14,6.0,16.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,louis brier home and hospital,1069.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V6M1W9,vancouver,bc,,Vancouver,,59.0,49.2346366,-123.12927274582046,"1055 West 41st Ave, Vancouver, British Columbia, Canada","Louis Brier Home and Hospital, 1055, West 41st Avenue, Oakridge, Vancouver, Metro Vancouver Regional District, British Columbia, V6M 1W9, Canada","(49.2346366, -123.12927274582046, 0.0)",49.2346366,-123.12927274582046
153,98H7B,MSA Manor,Fraser Health,PNP,2510 Gladwin Rd,Abbotsford,V2T3N9,(604) 853-5831,Maplewood Care Society,1973,Resident Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,2022,Director of Resident Services,(604) 870-7560,Yes,Outside Contractor,Yes,$7.37,$7.02,"English, Punjabi, Hindi, Tagalog ",2.44,0.29,2.73,2.66,0.29,2.95,No,No,No,,0,34,34,34,0,0,0,0,0,1,3,0,0,0,0,0,0.0,2.9,8.8,0.0,0.0,0.0,0.0,0.0,not applicable,90,61.5%,73.5%,0.3%,944,21.3%,27.9%,23.5%,51.5%,4.4%,2.6,47.8%,0.58,1.5%,5.1%,0.0%,61.0%,36.6%,2.0%,https://maplewood.bc.ca/,https://surveybcseniors.org/carehomeresults/msa-manor-fha/,,Yes,Yes,Yes,No,$203.79,$215.28,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,msa manor,,,,,,,,,,,,,,,49.04747485,-122.31462286620345,"2510 Gladwin Rd, Abbotsford, British Columbia, Canada","MSA Manor, 2510, Gladwin Road, Clearbrook Centre, Abbotsford, British Columbia, V2T 3N9, Canada","(49.04747485, -122.31462286620345, 0.0)",49.04747485,-122.31462286620345
155,99I1B,Malaspina Gardens,Vancouver Island Health,PFP,100 Eleventh Street,Nanaimo,V9R6R6,(250) 745-7711,Chartwell Retirement Residences,2017,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2021,General Manager,(250) 754-7711 x 1100,Yes,Outside Contractor,Yes,$7.35,$7.66,"English, Filipino, French, Punjabi, Dutch",2.78,0.29,3.07,2.93,0.28,3.21,No,No,No,,1,135,136,136,0,0,1,0,1,0,29,0,0,3,2,0,0.7,0.0,21.3,0.0,0.0,2.2,1.5,0.0,not applicable,81,60.2%,46.1%,11.2%,854,27.5%,25.3%,23.0%,61.9%,5.5%,3.2,35.8%,0.57,3.9%,0.9%,1.8%,45.3%,12.6%,1.3%,https://chartwell.com/en/retirement-residences/chartwell-malaspina-care-residence/overview,https://surveybcseniors.org/carehomeresults/malaspina-gardens-island/,,Yes,Yes,Yes,Yes,$230.86,$240.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,malaspina gardens,,,,,,,,,,,,,,,49.1298617,-123.9227916,"100 Eleventh Street, Nanaimo, British Columbia, Canada","Eleventh Street, South Parkway Plaza, Nanaimo, Regional District of Nanaimo, British Columbia, V9R 7A4, Canada","(49.1298617, -123.9227916, 0.0)",49.1298617,-123.9227916
160,9A722,McKinney Place - South Okanagan General Hospital,Interior Health,HA,911 McKinney Road,Oliver,V0H1T3,(250) 498-5040,Interior Health,1980,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,September 2019,Manager,(250) 485-5055,Yes,Operator,Yes,$6.94,$8.56,"English, French, German, Hindi",2.85,0.34,3.19,2.85,0.34,3.19,No,No,No,,0,75,75,7,4,15,0,0,1,2,7,0,0,1,0,0,1.3,2.7,9.3,0.0,0.0,1.3,0.0,0.0,not applicable,86,62.1%,66.5%,2.3%,210,25.7%,22.9%,28.6%,66.9%,3.7%,1.7,74.3%,0.54,9.4%,22.4%,2.9%,28.6%,15.8%,4.1%,https://www.interiorhealth.ca/FindUs/_layouts/FindUs/service.aspx?svcloc=McKinney%20Place,https://surveybcseniors.org/carehomeresults/mckinney-place-south-okanagan-general-hospital-iha/,,No,No,No,No,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mckinney place - south okanagan general hospital,,,,,,,,,,,,,,,49.1835315,-119.53900043064311,"911 McKinney Road, Oliver, British Columbia, Canada","South Okanagan General Hospital, 911, McKinney Road, Oliver, Regional District of Okanagan-Similkameen, British Columbia, V0H 1T0, Canada","(49.1835315, -119.53900043064311, 0.0)",49.1835315,-119.53900043064311
