FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,PHONE,OPERATOR_NAME,OPEN_DATE,COUNCIL,MEETINGS_HELD,PARKING_COSTS,REGULATION,ACCRED_STATUS,ACCRED_EXPIRY,COMPLAINT_CONTACT,COMPLAINT_PHONE,SPENDING_ACCOUNT,FOOD_SERVICE,FOOD_PREP,FOOD_COST_LASTYR,FOOD_COST_CURRENTYR,LANGUAGES,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,FEES_CABLE,FEES_TELE,FEES_INTERNET,FEES_OTHER,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,ADVERSE_EVENT,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,WEBPAGE,SURVEY_URL,MISSING_SURVEY,CONTRACTED_NURSING,CONTRACTED_CARE_AIDES,CONTRACTED_HOUSEKEEPING,CONTRACTED_PLANT,PER_DIEM_LASTYR,PER_DIEM_CURRENTYR,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,cleaned_name,Facility Name,Total Confirmed Cases,Total Deaths,outbreak
Kiwanis Pavilion,9AC36,Vancouver Island Health,PNP,3034 Cedar Hill Road,Victoria,V8T3J3,(250) 598-2022,Oak Bay Kiwanis Health Care Society,1982,Family Council (residents can attend),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,March 2021,Director of Resident Services,(250) 598-2022x222,Yes,Operator,Yes,$7.39,$8.23,"English, German, Spanish, Polish, Tagalog, French, Croatian, Korean, Mandarin, Cantonese, Hindi",3.04,0.22,3.27,3.09,0.26,3.35,No,No,No,Dental hygiene and Trust account admin fee,6,116,122,122,0,0,0,0,1,0,14,0,0,0,1,2,0.8,0.0,11.5,0.0,0.0,0.0,0.8,1.6,not applicable,83,66.6%,54.8%,3.8%,700,26.9%,28.5%,39.6%,86.9%,13.8%,2.8,50.6%,0.60,20.6%,17.7%,2.9%,61.0%,15.9%,3.8%,http://www.kiwanispavilion.ca/,https://surveybcseniors.org/carehomeresults/the-kiwanis-pavilion-island/,,No,No,No,No,$218.08,$225.62,2.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,48.446416299999996,-123.3467929,kiwanis pavilion,,,,0
Kiwanis Village Lodge,995AE,Vancouver Island Health,PNP,1221 Kiwanis Crescent,Nanaimo,V9S5Y1,(250) 753-6471,Nanaimo District Senior Citizens Housing Development Society,1991,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Executive Director,(250) 753-6471,Yes,Operator,Yes,$7.71,$7.54,"English, French, Tagalog, Mandarin, Dutch, German",2.77,0.21,2.97,3.0,0.22,3.22,No,No,No,Clothing labelling fee,0,75,75,75,0,0,4,3,0,0,11,0,0,0,1,0,0.0,0.0,14.7,0.0,0.0,0.0,1.3,0.0,not applicable,85,74.6%,60.8%,9.6%,"1,110",25.8%,33.3%,19.9%,63.3%,6.7%,2.7,47.2%,0.59,1.1%,0.0%,0.7%,44.9%,26.9%,8.8%,https://www.kiwanisvillage.ca/,https://surveybcseniors.org/carehomeresults/kiwanis-village-lodge-island/,,No,No,No,No,$231.74,$243.71,7.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,49.186109,-123.96893,kiwanis village lodge,,,,0
Kopernik Lodge,99A2I,Vancouver Coastal Health,PNP,3150 Rosemont Drive,Vancouver,V5S2C9,(604) 438-2474,M. Kopernik (Nicolaus Copernicus) Foundation,1979,"Resident Council, Family Council",Scheduled as needed,No ,Community Care & Assisted Living Act,Not Accredited,not applicable,Director of Care,(604) 438-2474x233,Yes,Outside Contractor,Yes,$6.57,$6.98,"English, Serbian, Punjabi, Polish, Czech, Filipino, Russian, Spanish, Croatian, Cantonese",2.58,0.31,2.89,2.75,0.28,3.03,No,No,No,Clothing labelling fee,0,87,87,45,21,0,2,1,1,0,7,0,0,4,3,7,1.1,0.0,8.0,0.0,0.0,4.6,3.4,8.0,not applicable,87,86.4%,65.2%,2.6%,951,34.3%,38.5%,26.4%,53.3%,12.4%,2.2,56.7%,0.59,1.6%,12.7%,0.5%,50.7%,29.6%,11.7%,https://kopernik-foundation.org/,https://surveybcseniors.org/carehomeresults/kopernik-lodge-vcha/,,No,No,No,No,$210.09,$216.05,3.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.21522,-123.039,kopernik lodge,,,,0
Lady Minto Hospital,9A5G5,Vancouver Island Health,HA,135 Crofton Rd,Salt Spring Island,V8K1T1,(250) 538-4804,Vancouver Island Health,1957,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Accredited,April 2022,Patient Care Quality Office,1 (877) 977-5797,Yes,Operator,Yes,$7.84,$8.41,"Spanish, French, German, English, American Sign Language (ASL)",2.71,0.35,3.06,2.71,0.35,3.06,Yes,Yes,Yes,,0,29,29,1,4,5,0,0,,,,,,,,,,,,,,,,,0,88,74.6%,73.1%,2.2%,675,6.4%,32.7%,36.4%,30.9%,5.5%,1.7,74.5%,0.60,2.7%,0.9%,0.0%,34.5%,8.4%,13.2%,https://www.islandhealth.ca/our-locations/long-term-care-locations/kiwanis-village-lodge-long-term-care,https://surveybcseniors.org/carehomeresults/lady-minto-hospital-island/,,No,No,No,No,,,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48.8617,-123.5084,lady minto hospital,,,,0
Lake Country Lodge,9B969,Interior Health,PFP,100-10163 Konschuh Rd,Winfield,V4V2M2,(250) 766-3007,Lake Country Lodge Ltd.,1987,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Clinical Lead / Director of Care / General Manager,(250) 766-3007x5,Yes,Operator,Yes,$7.91,$12.93,"English, German, Russian, Tagalog, Punjabi, French",2.8,0.35,3.15,2.93,0.35,3.28,No,No,No,,4,45,49,41,4,0,0,0,1,1,4,0,0,4,4,1,2.0,2.0,8.2,0.0,0.0,8.2,8.2,2.0,not applicable,87,70.2%,65.1%,4.1%,602,23.5%,11.0%,19.0%,63.0%,4.0%,5.3,7.0%,0.59,1.0%,2.0%,9.5%,57.5%,22.1%,6.9%,https://www.siennaliving.ca/long-term-care/british-columbia/lake-country-lodge-care-community,https://surveybcseniors.org/carehomeresults/lake-country-lodge-iha/,,No,No,No,No,$203.42,$210.87,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.029143499999996,-119.3984578,lake country lodge,,,,0
Lakeshore Care Centre,992HG,Fraser Health,PFP,657 Gatensbury Street,Coquitlam,V3J5G9,(604) 939-9277,The Care Group,,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act,Not Accredited,not applicable,Resident Care Coordinator / Director of Care,(604) 939-9277x103,Yes,Outside Contractor,No,$6.87,$8.24,"Filipino, English, Korean, Greek, Punjabi, Persian",2.61,0.32,2.94,2.63,0.32,2.95,No,No,No,,21,35,56,42,7,0,1,1,0,1,1,0,0,0,0,0,0.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,not applicable,85,70.4%,64.5%,6.5%,"1,526",21.7%,43.4%,44.8%,78.3%,12.6%,2.2,60.1%,0.60,0.7%,11.9%,0.0%,36.4%,17.0%,11.2%,http://tcgcare.com/lakeshorecarecentre,https://surveybcseniors.org/carehomeresults/lakeshore-care-centre-fha/,,RN - No; LPN - Yes,Yes,Yes,No,$225.78,$229.21,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.2595472,-122.85635159999998,lakeshore care centre,,,,0
Lakeview Care Centre,9C477,Vancouver Coastal Health,PFP,3490 Porter Street,Vancouver,V5N5W4,(604) 874-2803,Revera Long Term Care Inc.,1993,"Resident Council, Family Council",Regular Schedule,No ,Hospital Act,Accredited,May 2020,Executive Director / Director of Care,(604) 874-2803x2228 / (604) 874-2803x2321,Yes,Outside Contractor,Yes,$5.95,$6.40,"English, Cantonese, Mandarin, Korean, Tagalog, Hindi, Spanish, Vietnamese",2.58,0.19,2.77,2.79,0.19,2.98,No,No,Yes,,0,177,177,105,36,0,0,0,2,0,10,0,0,2,0,0,1.1,0.0,5.6,0.0,0.0,1.1,0.0,0.0,not applicable,87,64.3%,69.3%,1.6%,"1,143",23.8%,21.8%,29.3%,58.5%,9.6%,4.1,20.0%,0.56,0.0%,2.3%,0.0%,34.7%,10.6%,1.4%,https://www.reveraliving.com/long-term-care/locations/lakeview,https://surveybcseniors.org/carehomeresults/lake-view-care-centre-vcha/,,No,No,Yes,Yes,$204.25,$210.42,4.0,7.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,49.25348995,-123.06648814723715,lakeview care centre,,,,0
Lakeview Lodge,93DAA,Interior Health,PFP,2337 Butt Road,West Kelowna,V4T3L3,(250) 768-3802,Lakeview Lodge Limited Partnership,2013,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Unknown,not available,Director Care / General Manager,(250) 768-3802x102 / (250) 768-3802x104,Yes,Operator,Yes,$7.15,$7.76,"Filipino, Portuguese, Italian, Punjabi, English",2.8,0.35,3.15,2.85,0.35,3.2,No,No,No,,14,100,114,114,0,0,0,0,1,3,26,0,0,4,8,2,0.9,2.6,22.8,0.0,0.0,3.5,7.0,1.8,not applicable,85,68.1%,62.7%,4.6%,805,8.0%,17.4%,32.8%,76.7%,6.3%,3.4,33.0%,0.56,12.6%,50.0%,0.4%,53.0%,12.6%,7.9%,https://www.siennaliving.ca/long-term-care/british-columbia/lakeview-lodge-care-community,https://surveybcseniors.org/carehomeresults/lakeview-lodge-iha/,,No,No,No,No,$206.83,$211.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.83701729999999,-119.62377690000001,lakeview lodge,,,,0
Langley Gardens,925CA,Fraser Health,PFP,8888 202nd Street,Langley,V1M4A7,(604) 888-0228,Chartwell Retirement Residences,2008,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2021,Director of Care,(604) 881-8107,Yes,Operator,Yes,$10.85,$11.18,"English, Tagalog, Spanish, Punjabi, Hindi, Polish, Thai",2.43,0.31,2.74,2.64,0.31,2.95,No,No,No,,19,73,92,86,6,0,1,0,1,0,16,0,0,0,0,1,1.1,0.0,17.4,0.0,0.0,0.0,0.0,1.1,not applicable,89,69.5%,81.0%,1.2%,535,12.7%,33.9%,15.1%,60.6%,4.0%,2.3,59.0%,0.58,38.1%,40.5%,5.3%,33.3%,9.8%,0.0%,https://chartwell.com/en/retirement-residences/chartwell-langley-gardens-retirement-residence/overview,https://surveybcseniors.org/carehomeresults/langley-gardens-fha/,,No,No,Yes,No,$199.56,$210.65,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1663494,-122.66096909999999,langley gardens,"Langley Gardens, LTCF",6.0,0.0,1
Langley Lodge,98JIE,Fraser Health,PNP,5451-204th St,Langley,V3A5M9,(604) 530-2305,Langley Care Society,1974,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,May 2020,CEO / Director of Care,(604) 532-4216 / (604) 532-4212,Yes,Outside Contractor,Yes,$7.61,$7.83,"Punjabi, Hindi, Mandarin, Tagalog, Polish, Ukranian, Cantonese, Dutch, Spanish, Romanian, Tamil",2.55,0.3,2.85,3.01,0.35,3.36,No,No,No,,14,125,139,127,6,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,not applicable,88,66.2%,71.4%,2.3%,831,18.9%,29.8%,29.2%,57.9%,10.7%,2.4,58.3%,0.57,8.5%,11.0%,0.2%,47.2%,18.1%,1.4%,https://langleylodge.org/,https://surveybcseniors.org/carehomeresults/langley-lodge-fha/,,No,Yes,Yes,Yes,$217.80,$243.51,2.0,9.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,49.10156729999999,-122.6573035,langley lodge,"Langley Lodge, LTCF",67.0,26.0,1
Langley Lodge,98JIE,Fraser Health,PNP,5451-204th St,Langley,V3A5M9,(604) 530-2305,Langley Care Society,1974,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,May 2020,CEO / Director of Care,(604) 532-4216 / (604) 532-4212,Yes,Outside Contractor,Yes,$7.61,$7.83,"Punjabi, Hindi, Mandarin, Tagalog, Polish, Ukranian, Cantonese, Dutch, Spanish, Romanian, Tamil",2.55,0.3,2.85,3.01,0.35,3.36,No,No,No,,14,125,139,127,6,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,not applicable,88,66.2%,71.4%,2.3%,831,18.9%,29.8%,29.2%,57.9%,10.7%,2.4,58.3%,0.57,8.5%,11.0%,0.2%,47.2%,18.1%,1.4%,https://langleylodge.org/,https://surveybcseniors.org/carehomeresults/langley-lodge-fha/,,No,Yes,Yes,Yes,$217.80,$243.51,2.0,9.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,49.10156729999999,-122.6573035,langley lodge,"Langley Lodge, LTCF",1.0,0.0,1
Langley Memorial Hospital ECU,9A5E0,Fraser Health,HA,22051 Fraser Hwy,Langley,V3A4H4,(604) 514-6026,Fraser Health,,Resident Council,Regular Schedule,Yes (no fee),Hospital Act,Unknown,not available,Resident Care Coordinator / Manager,(604) 514-6190,Yes,Operator,No,$8.54,$8.70,"English, Punjabi, Hindi, Hungarian",2.98,0.28,3.26,2.92,0.27,3.19,No,No,No,,0,230,230,8,4,44,5,1,1,0,1,0,0,3,0,0,0.4,0.0,0.4,0.0,0.0,1.3,0.0,0.0,not applicable,89,72.1%,71.2%,3.0%,597,13.7%,26.9%,25.8%,54.2%,7.1%,2.6,53.1%,0.57,6.5%,52.3%,4.0%,46.7%,23.3%,2.4%,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/1/F/langley-memorial-hospital---residential-care#.XROQ6UmouUk,https://surveybcseniors.org/carehomeresults/langley-memorial-hospital-ecu-fha/,,,,,,,,6.0,10.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,49.0944775,-122.6116674454287,langley memorial hospital ecu,Langley Memorial Hospital long term care – Maple Hill,3.0,1.0,1
Laurel Place,9359A,Fraser Health,PFP,9688 137A St,Surrey,V3T4H9,(604) 582-6336,Lark Care (Laurel) Operations Ltd,2008,"Resident & Family Council (combined), Food Council",Regular Schedule,Yes (fee charged),Community Care & Assisted Living Act,Accredited,January 2022,Director of Care,(604) 582-6336 ext. 1163,Yes,Outside Contractor,Yes,$7.43,$7.48,"English, Hindi, Punjabi, Filipino, Korean, Cantonese, Mandarin, Italian, Spanish, Arabic, French, Greek",2.54,0.27,2.8,2.99,0.37,3.36,No,No,No,Specialty services and products,13,202,215,207,4,0,1,0,0,0,17,0,0,0,2,0,0.0,0.0,7.9,0.0,0.0,0.0,0.9,0.0,not applicable,85,58.4%,60.4%,5.9%,899,18.9%,37.9%,25.2%,58.0%,6.1%,2.4,60.7%,0.60,16.7%,1.7%,0.2%,39.6%,15.6%,16.6%,https://laurelplace.ca/,https://surveybcseniors.org/carehomeresults/laurel-place-fha/,,Yes,Yes,Yes,Yes,$225.73,$229.38,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1784219,-122.8417807,laurel place,,,,0
Little Mountain Place,9BA01,Vancouver Coastal Health,PNP,330 East 36th Avenue,Vancouver,V5W3Z4,(604) 325-2298,Little Mountain Residential Care and Housing Society,1987,Resident & Family Council (combined),Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Not Accredited,not applicable,Senior Operations Leader / Director of Care,(604) 325-2298,Yes,Operator,Yes,$6.49,$7.04,"Tagalog, English, French, Cantonese, Mandarin, Italian, Punjabi, Japanese, Korean",2.59,0.18,2.77,2.8,0.23,3.03,No,No,Yes,Clothing labelling fee,0,117,117,117,0,0,1,0,2,0,15,0,0,6,1,18,1.7,0.0,12.8,0.0,0.0,5.1,0.9,15.4,not applicable,84,55.5%,51.4%,3.0%,"1,417",22.2%,33.1%,21.0%,60.6%,10.3%,2.4,57.4%,0.53,0.2%,1.3%,0.4%,37.1%,18.5%,9.3%,http://littlemountaincare.org/little-mountain-place/,https://surveybcseniors.org/carehomeresults/little-mountain-place-vcha/,,No,No,No,No,$215.68,$227.52,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2376636,-123.09985320000001,little mountain place,"Little Mountain, LTCF",1.0,0.0,1
Louis Brier Home and Hospital,999G3,Vancouver Coastal Health,PNP,1055 West 41st Ave,Vancouver,V6M1W9,(604) 261-9376,Jewish Home for the Aged of BC,1979,"Resident Council, Family Council",Regular Schedule,No,Hospital Act & Community Care & Assisted Living Act,Accredited,May 2022,Quality and Risk Manager,(604) 267-4698,Yes,Operator,Yes,$11.48,$10.59,"English, Hebrew, Tagalog, Mandarin, Hungarian, Russian, French, Romanian",2.62,0.24,2.86,2.87,0.26,3.13,No,No,Yes,,0,215,215,149,33,0,1,1,2,0,22,0,0,8,3,12,0.9,0.0,10.2,0.0,0.0,3.7,1.4,5.6,not applicable,85,61.4%,59.0%,3.9%,"1,410",18.2%,45.7%,33.9%,57.4%,13.4%,1.9,69.1%,0.58,15.9%,20.7%,8.2%,51.7%,34.7%,1.9%,http://louisbrier.com/,https://surveybcseniors.org/carehomeresults/louis-brier-home-and-hospital-vcha/,,No,No,No,No,$212.37,$227.14,6.0,16.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,49.2346366,-123.12927274582044,louis brier home and hospital,,,,0
Luther Court,99DIG,Vancouver Island Health,PNP,1525 Cedar Hill Cross Rd,Victoria,V8P5M1,(250) 477-7241,Luther Court Society,1979,No Councils,,Yes (no fee),Community Care & Assisted Living Act,Accredited,September 2022,Executive Director,(250) 477-7241x26,Yes,Operator,Yes,$7.90,$8.45,"German, French, Punjabi, Hindi, Tagalog, Spanish",2.66,0.36,3.01,2.91,0.34,3.25,No,No,No,"oral health, foot care wheelchair & walker cleaning",0,60,60,60,0,0,0,0,0,0,2,0,0,1,0,2,0.0,0.0,3.3,0.0,0.0,1.7,0.0,3.3,not applicable,84,64.1%,59.3%,5.6%,762,35.1%,36.7%,55.8%,73.3%,7.2%,1.8,72.1%,0.59,8.0%,0.0%,0.0%,55.0%,11.6%,1.2%,https://luthercourt.org/community/complex-care/,https://surveybcseniors.org/carehomeresults/luther-court-island/,,No,No,No,No,$220.53,$237.01,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4619202,-123.3364271,luther court,,,,0
Lynn Valley Care Centre,9B5JB,Vancouver Coastal Health,PFP,"1070 Lynn Valley Rd, North",North Vancouver,V7J1Z8,(604) 988-4181,North Shore Private Hospital (1985) Ltd,1985,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Hospital Act & Community Care & Assisted Living Act,Accredited,October 2019,Director of Care / Assistant Director of Care,(604) 982-3700 / (604) 982-3712,Yes,Operator,Yes,$8.72,$9.38,"English, French, Spanish, German, Polish, Farsi, Punjabi, Tagalog",2.92,0.27,3.19,3.0,0.26,3.26,No,No,No,,62,139,201,178,13,0,0,0,0,0,9,0,0,0,0,0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,not applicable,87,64.3%,69.3%,2.4%,"1,442",19.9%,31.3%,16.9%,62.9%,7.7%,2.6,47.3%,0.56,7.2%,8.2%,0.0%,58.2%,25.6%,8.7%,https://lynnvalleycare.com/,https://surveybcseniors.org/carehomeresults/lynn-valley-care-centre-vcha/,,No,Yes,Yes,No,$210.51,$216.46,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,49.33396,-123.045,lynn valley care centre,"Lynn Valley, LTCF",79.0,20.0,1
MSA Manor,98H7B,Fraser Health,PNP,2510 Gladwin Rd,Abbotsford,V2T3N9,(604) 853-5831,Maplewood Care Society,1973,Resident Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,2022,Director of Resident Services,(604) 870-7560,Yes,Outside Contractor,Yes,$7.37,$7.02,"English, Punjabi, Hindi, Tagalog ",2.44,0.29,2.73,2.66,0.29,2.95,No,No,No,,0,34,34,34,0,0,0,0,0,1,3,0,0,0,0,0,0.0,2.9,8.8,0.0,0.0,0.0,0.0,0.0,not applicable,90,61.5%,73.5%,0.3%,944,21.3%,27.9%,23.5%,51.5%,4.4%,2.6,47.8%,0.58,1.5%,5.1%,0.0%,61.0%,36.6%,2.0%,https://maplewood.bc.ca/,https://surveybcseniors.org/carehomeresults/msa-manor-fha/,,Yes,Yes,Yes,No,$203.79,$215.28,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.04747485,-122.31462286620344,msa manor,"MSA Manor, LTCF",1.0,0.0,1
Mackenzie and District Hospital and Health Centre,93790,Northern Health,HA,45 Centennial Drive,Mackenzie,V0J2C0,(250) 997-3263,Northern Health,2009,No Councils,No Meetings,Yes (no fee),Hospital Act,Accredited,June 2022,Health Service Administrator,(250) 997-8500,Yes,Operator,No,$13.11,$15.09,English,3.31,0.0,3.31,3.61,0.0,3.61,Yes,No,No,,0,5,5,4,0,0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,not applicable,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,https://www.northernhealth.ca/locations/long-term-care/mackenzie-and-district-hospital-and-health-centre,,Residential care survey results for facilities with fewer than 10 respondents are not accessible.,No,No,No,No,,,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,55.3375782,-123.10064799999999,mackenzie and district hospital and health centre,,,,0
Malaspina Gardens,99I1B,Vancouver Island Health,PFP,100 Eleventh Street,Nanaimo,V9R6R6,(250) 745-7711,Chartwell Retirement Residences,2017,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2021,General Manager,(250) 754-7711 x 1100,Yes,Outside Contractor,Yes,$7.35,$7.66,"English, Filipino, French, Punjabi, Dutch",2.78,0.29,3.07,2.93,0.28,3.21,No,No,No,,1,135,136,136,0,0,1,0,1,0,29,0,0,3,2,0,0.7,0.0,21.3,0.0,0.0,2.2,1.5,0.0,not applicable,81,60.2%,46.1%,11.2%,854,27.5%,25.3%,23.0%,61.9%,5.5%,3.2,35.8%,0.57,3.9%,0.9%,1.8%,45.3%,12.6%,1.3%,https://chartwell.com/en/retirement-residences/chartwell-malaspina-care-residence/overview,https://surveybcseniors.org/carehomeresults/malaspina-gardens-island/,,Yes,Yes,Yes,Yes,$230.86,$240.88,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.1298617,-123.9227916,malaspina gardens,,,,0
Maple Ridge Seniors Village,9376A,Fraser Health,PFP,22141 - 119th Avenue,Maple Ridge,V2X2Y7,(604) 466-3053,Retirement Concepts,2009,"Resident Council, Family Council",Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,February 2022,Director of Care,(604) 476-4312,Yes,Outside Contractor,Yes,$9.30,$9.91,"English, French, Italian, Portuguese, Spanish, Filipino, German",2.65,0.24,2.89,3.0,0.36,3.36,No,No,No,,18,90,108,108,0,0,7,3,0,2,20,0,0,0,6,9,0.0,1.9,18.5,0.0,0.0,0.0,5.6,8.3,not applicable,85,60.1%,57.5%,1.5%,614,23.9%,30.9%,41.2%,77.0%,14.9%,2.3,62.9%,0.57,5.8%,10.3%,0.3%,35.8%,27.3%,9.5%,https://www.retirementconcepts.com/locations/maple-ridge-seniors-village/,https://surveybcseniors.org/carehomeresults/maple-ridge-seniors-village-fha/,,Yes,Yes,Yes,Yes,$201.46,$231.76,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2193789,-122.6084592,maple ridge seniors village,Maple Ridge Seniors Village – Long Term Care Facility,1.0,0.0,1
Maplewood House,9BE34,Fraser Health,PNP,1919 Jackson St.,Abbotsford,V2S2Z8,(604) 853-5585,Maplewood Care Society,1989,Resident Council,Regular Schedule,Yes (no fee),Community Care & Assisted Living Act,Accredited,November 2022,Director of Resident Services,(604) 870-7560,Yes,Operator,Yes,$7.35,$7.65,"English, Punjabi, Hindi, Tagalog ",2.48,0.31,2.79,2.74,0.33,3.07,No,No,No,,0,78,78,78,0,0,1,0,0,2,7,0,0,0,1,0,0.0,2.6,9.0,0.0,0.0,0.0,1.3,0.0,not applicable,85,59.8%,58.0%,6.2%,607,18.4%,37.5%,39.8%,66.6%,18.1%,1.9,66.2%,0.60,4.0%,33.1%,2.0%,53.5%,36.3%,12.8%,https://maplewood.bc.ca/,https://surveybcseniors.org/carehomeresults/maplewood-house-fha/,,RN - No; LPN - Yes,Yes,No,No,$201.10,$215.79,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.036607200000006,-122.30914840000001,maplewood house,,,,0
