FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,BEDS_TOTAL,INCIDENT_OUTBREAK_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,rooms_semi_binary,rooms_multi_binary,rooms_shared,resident_council,family_council,res_fam_council,beds_privatebinary,complaints_100,sub_complaints_100,incident_100sumXoutbreak,infractions_disease_100,infractions_100Xdisease
New Vista Care Home,99C37,Fraser Health,PNP,7550 Rosewood Street,Burnaby,V5E3Z3,Community Care & Assisted Living Act,Accredited,236,0.0,83.0,62.5,49.3,4.7,14.4,29.5,31.9,72.9,13.3,2.7,48.8,0.52,21.0,37.6,0.0,52.4,32.8,8.1,5.0,49.223943799999994,-122.94541269093858,20.0,3.0,1,0,0,0,1,1,1,0,1.2711864406779665,0.42372881355932196,24.1,0.0,6.779661016949151
Nicola Lodge,93GBA,Fraser Health,PFP,2240 Hawkins St.,Port Coquitlam,V3B0M2,Community Care & Assisted Living Act,Unknown,230,0.9,84.0,58.6,56.1,4.3,18.9,11.8,18.4,60.9,7.0,1.7,80.5,0.58,16.4,55.4,2.7,41.6,12.5,4.0,6.0,49.255787,-122.737523,1.0,0.0,1,1,0,1,0,0,0,1,1.7391304347826086,0.43478260869565216,14.8,0.0,0.43478260869565216
Noric House,98IF3,Interior Health,HA,1400 Mission Rd,Vernon,V1T9C3,Community Care & Assisted Living Act,Accredited,85,1.2,85.0,74.4,59.5,2.5,40.5,39.9,26.0,77.5,9.2,2.3,61.5,0.64,34.3,59.5,52.4,69.8,25.3,7.6,1.0,50.251193,-119.282587,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,29.5,1.1764705882352942,3.5294117647058822
Normanna Rest Home,9C489,Fraser Health,PNP,7725-4th St,Burnaby,V3N5B6,Community Care & Assisted Living Act,Unknown,100,0.0,86.0,80.2,61.0,2.5,27.3,34.9,20.6,62.8,16.1,2.9,38.8,0.6,13.5,49.5,0.8,44.8,25.9,9.4,1.0,49.22202645,-122.92761074114857,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,3.0,0.0,1.0
Northcrest Care Centre,9C5G2,Fraser Health,PFP,6771-120th Street,Delta,V4E2A7,Community Care & Assisted Living Act,Accredited,106,0.0,84.0,67.6,51.7,6.2,52.9,45.2,30.4,70.1,16.1,1.8,69.7,0.58,0.7,84.9,0.2,70.5,22.5,10.4,5.0,49.126449,-122.891122,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,4.699999999999998,0.0,0.0
Orchard Haven - South Similkameen Health Centre,9252A,Interior Health,HA,700 3rd St,Keremeos,V0X1N0,Community Care & Assisted Living Act,Accredited,38,2.6,82.0,66.5,50.2,4.4,41.7,30.3,29.5,69.7,6.1,3.1,43.9,0.6,12.1,3.0,3.8,50.0,26.7,21.4,2.0,49.2069196,-119.83152779999999,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,49.9,0.0,28.947368421052637
Overlander Residential Care,9A708,Interior Health,HA,953 Southill Street,Kamloops,V2B7Z9,Hospital Act,Accredited,183,2.2,81.0,68.3,42.6,9.0,37.3,50.5,36.4,67.6,9.6,2.5,49.9,0.62,21.7,44.4,17.3,59.9,37.3,8.3,0.0,50.70373370000001,-120.39732409999999,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,18.0,0.0,1.639344262295082
Parkview Place,98IEB,Interior Health,HA,707 3rd Ave,Enderby,V0E1V0,Community Care & Assisted Living Act,Accredited,31,3.2,87.0,63.1,69.4,0.6,26.4,23.1,30.6,68.6,8.3,2.5,51.2,0.58,0.0,50.4,0.0,57.0,20.5,9.0,0.0,50.5466217,-119.1407493,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0
Peace Portal Seniors Village,9C47I,Fraser Health,PFP,15441 - 16th Avenue,Surrey,V4A8T8,Community Care & Assisted Living Act,Accredited,84,1.2,87.0,71.3,71.3,0.5,35.5,25.5,35.5,61.7,8.5,2.9,47.5,0.53,3.5,48.2,0.0,46.1,15.2,15.8,4.0,49.031282,-122.79452959999999,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,23.9,0.0,4.761904761904762
Piccadilly Seniors Community,931AA,Interior Health,PFP,821 10th Avenue SW,Salmon Arm,V1E1T2,Community Care & Assisted Living Act,Accredited,59,0.0,89.0,58.8,73.4,2.4,28.0,22.9,33.6,61.2,7.0,3.6,22.4,0.58,0.0,0.0,0.0,51.4,20.4,4.7,0.0,50.692591,-119.294396,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,25.5,0.0,0.0
Pine Acres Home,9BDAH,Interior Health,PNP,1902 Pheasant Lane,Westbank,V4T2H4,Community Care & Assisted Living Act,Accredited,63,0.0,80.0,49.2,35.0,12.3,17.2,18.5,25.6,73.1,5.0,2.7,42.9,0.54,1.3,11.3,7.1,35.7,51.7,4.9,0.0,49.839286,-119.59551,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,19.0,0.0,0.0
Pine Grove Seniors Community,9A9G2,Interior Health,PFP,313 Mcgowan Street,Kamloops,V2B2N8,Community Care & Assisted Living Act,Unknown,75,2.7,87.0,74.2,62.8,2.0,29.1,37.0,29.8,63.3,7.6,3.2,38.8,0.62,11.8,9.3,0.0,50.9,17.2,9.1,1.0,50.64479145,-120.3440998,0.0,0.0,0,1,0,1,1,1,1,0,1.3333333333333337,0.0,17.3,1.3333333333333337,5.333333333333334
Pinegrove Place,9AG59,Vancouver Coastal Health,PNP,11331 Mellis Drive,Richmond,V6X1L8,Community Care & Assisted Living Act,Accredited,76,0.0,84.0,58.6,57.4,4.0,24.5,46.2,37.4,72.0,12.6,1.8,69.8,0.59,0.3,65.4,0.3,46.9,20.1,9.2,5.0,49.186792499999996,-123.09844709999999,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,1.3,0.0,2.631578947368421
Pleasant Valley Manor,9BJG5,Interior Health,HA,3800 Patten Dr.,Armstrong,V0E1B2,Hospital Act,Accredited,82,0.0,87.0,64.1,72.0,4.0,28.6,43.2,23.5,72.9,5.1,3.0,38.1,0.59,0.9,71.4,0.0,51.2,25.4,11.8,0.0,50.43928579999999,-119.2079969,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,14.599999999999998,0.0,0.0
Point Grey Private Hospital,9995A,Vancouver Coastal Health,PFP,2423 Cornwall Avenue,Vancouver,V6K1B9,Hospital Act,Not Accredited,72,1.4,86.0,60.4,64.3,0.4,30.5,29.7,27.1,75.1,12.6,3.6,29.0,0.59,3.3,0.0,1.1,55.8,24.7,32.7,1.0,49.2724948,-123.1496031,0.0,0.0,0,1,0,1,1,0,0,1,0.0,0.0,4.199999999999998,0.0,2.7777777777777777
Polson Residential Care - Vernon Jubilee Hospital,9A628,Interior Health,HA,2101 32nd Street,Vernon,V1T5L2,Hospital Act,Accredited,97,2.1,85.0,65.7,55.8,2.3,43.8,36.9,30.8,73.7,4.2,2.3,54.4,0.61,2.9,31.0,2.9,72.9,31.0,14.5,0.0,50.256926,-119.271624,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,18.6,0.0,0.0
Ponderosa Lodge,98FA9,Interior Health,HA,425 Columbia St,Kamloops,V2C2T4,Community Care & Assisted Living Act,Accredited,98,2.0,84.0,47.9,48.4,2.8,22.3,31.0,33.2,71.2,7.1,3.1,37.0,0.58,47.3,0.0,35.9,52.2,30.5,0.9,1.0,50.670828,-120.331933,0.0,0.0,0,1,0,1,0,1,0,0,0.0,0.0,24.5,0.0,3.0612244897959178
Poplar Ridge Pavilion - Kootenay Boundary Hospital,9A667,Interior Health,HA,1200 Hospital Bench,Trail,V1R4M1,Hospital Act,Accredited,49,4.1,87.0,67.4,63.2,4.5,25.4,58.5,26.3,56.1,3.9,2.8,49.3,0.62,20.0,49.3,20.5,67.3,17.9,8.8,0.0,49.1035546,-117.70118670000001,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,6.1,0.0,0.0
Purdy Pavilion - UBC Hospital,9A5C6,Vancouver Coastal Health,HA,2221 Wesbrook Mall,Vancouver,V6T1Z9,Hospital Act,Accredited,199,0.0,81.0,55.1,44.3,9.2,16.1,45.5,43.1,44.7,5.1,2.4,55.3,0.62,34.7,19.6,6.9,47.0,33.3,13.6,1.0,49.2632866,-123.24586939010037,0.0,0.0,0,0,1,1,1,1,1,0,0.5025125628140703,0.0,1.0,0.0,1.0050251256281406
Queen's Park Care Centre,9A5GG,Fraser Health,HA,315 McBride Blvd.,New Westminster,V3L5E8,Hospital Act,Unknown,148,0.0,84.0,64.1,58.6,9.6,11.8,38.7,22.0,51.8,6.0,2.7,50.3,0.58,2.5,20.0,2.3,36.7,13.2,7.1,1.0,49.2158542,-122.9036695,6.0,1.0,1,1,1,1,1,1,1,0,0.0,0.0,5.5,1.351351351351351,2.702702702702703
Renfrew Care Centre,9193F,Vancouver Coastal Health,PFP,1880 Renfrew Street,Vancouver,V5M3H9,Community Care & Assisted Living Act,Accredited,106,0.9,84.0,58.8,56.6,3.5,15.9,42.4,39.4,74.9,9.2,3.1,41.2,0.57,0.0,65.0,0.5,29.0,24.7,6.6,1.0,49.26786,-123.044,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,14.1,0.0,0.0
Richmond Lions Manor,99BGD,Vancouver Coastal Health,HA,9020 Bridgeport Road,Richmond,V6X1S1,Community Care & Assisted Living Act,Accredited,93,0.0,87.0,72.0,63.1,2.5,18.0,21.8,37.8,58.2,8.8,2.2,59.5,0.61,37.1,10.9,43.9,40.5,29.5,3.2,4.0,49.191493200000004,-123.1252982423324,1.0,0.0,1,1,0,1,1,1,1,0,1.0752688172043012,1.0752688172043012,11.9,1.0752688172043012,2.150537634408602
Ridgeview Lodge,93530,Interior Health,PFP,920 Desmond Street,Kamloops,V2B5K6,Community Care & Assisted Living Act,Unknown,129,0.8,85.0,61.4,55.8,4.0,16.5,22.4,19.6,36.1,13.3,3.5,30.0,0.6,1.6,0.0,0.2,45.2,26.8,3.2,2.0,50.703431200000004,-120.39313490000002,0.0,0.0,0,0,0,0,0,0,0,1,0.0,0.7751937984496124,33.5,0.0,4.651162790697675
Ridgewood Lodge - Princeton General Hospital,9A4J6,Interior Health,HA,98 Ridgewood Drive,Princeton,V0X1W0,Community Care & Assisted Living Act,Accredited,37,0.0,84.0,59.2,52.0,1.7,27.7,22.7,27.7,67.4,9.9,3.1,38.3,0.56,38.3,15.6,7.8,41.1,17.7,12.3,1.0,49.45459015,-120.52645140910023,0.0,0.0,0,1,0,1,1,1,1,0,2.702702702702702,0.0,13.5,0.0,2.702702702702702
Rocky Mountain Village,92D60,Interior Health,PFP,55 Cokato Road,Fernie,V0B1M4,Community Care & Assisted Living Act,Unknown,62,1.6,83.0,63.1,49.6,4.4,14.2,15.6,31.1,67.6,6.7,3.4,25.3,0.59,48.4,88.0,11.6,48.0,32.7,13.0,5.0,49.4906726,-115.06476470000001,0.0,0.0,0,0,0,0,1,1,1,1,0.0,0.0,43.5,1.6129032258064515,22.580645161290327
Rose Wood Village,92CB0,Interior Health,PFP,8125 Devito Drive,Trail,V1R4X9,Community Care & Assisted Living Act,Unknown,46,0.0,81.0,58.0,57.0,14.0,22.4,23.4,37.5,44.8,5.2,1.8,62.0,0.63,26.0,4.2,1.6,49.0,20.4,5.6,2.0,49.0957762,-117.64176299999998,0.0,0.0,0,0,0,0,1,1,1,1,4.3478260869565215,2.1739130434782608,23.9,0.0,8.695652173913043
Rosemary Heights Seniors Village,935CA,Fraser Health,PFP,15240-34th Avenue,Surrey,V3Z2J9,Community Care & Assisted Living Act,Accredited,90,1.1,86.0,67.7,58.4,1.1,17.0,20.7,39.0,73.1,6.5,3.0,39.9,0.56,3.1,48.0,0.0,45.8,15.5,1.6,4.0,49.0635552,-122.80060060000001,0.0,0.0,0,1,0,1,1,0,0,1,1.1111111111111112,0.0,32.1,2.2222222222222223,5.5555555555555545
Rosewood Manor,9ADI4,Vancouver Coastal Health,PNP,6260 Blundell Rd,Richmond,V7C5C4,Community Care & Assisted Living Act,Not Accredited,151,0.0,85.0,62.7,55.4,1.4,23.0,28.9,17.0,67.1,7.0,3.2,28.5,0.5,19.8,60.2,0.2,38.1,28.5,0.9,1.0,49.1551041,-123.1553156,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,21.2,0.0,2.6490066225165565
Royal Arch Masonic Home,9AAG7,Vancouver Coastal Health,PNP,7850 Champlain Cresc,Vancouver,V5S4C7,Community Care & Assisted Living Act,Not Accredited,151,1.3,86.0,60.1,61.0,4.2,17.4,37.1,21.6,61.9,6.2,3.4,29.4,0.54,15.5,83.7,13.4,41.2,23.4,5.1,1.0,49.213532799999996,-123.0288043,37.0,12.0,1,0,0,0,1,1,1,0,0.0,0.0,24.6,0.0,0.0
Royal Ascot Care Centre,917JC,Vancouver Coastal Health,PFP,2455 East Broadway,Vancouver,V5M1Y1,Hospital Act,Not Accredited,82,1.2,85.0,74.5,60.7,3.4,36.6,31.5,32.7,68.5,6.5,3.1,37.2,0.56,0.3,0.0,3.0,54.8,9.3,0.0,2.0,49.26239535,-123.0555417,0.0,0.0,0,1,0,1,1,1,1,1,1.2195121951219512,0.0,15.8,0.0,2.4390243902439024
Royal City Manor,91JJ3,Fraser Health,PFP,77 Jamieson Court,New Westminster,V3L5P8,Community Care & Assisted Living Act,Accredited,165,0.0,85.0,58.1,62.2,4.1,31.4,23.1,20.5,73.3,5.2,2.6,49.2,0.58,5.0,14.0,0.0,35.3,10.0,0.0,12.0,49.2153153,-122.8951618,0.0,0.0,0,1,0,1,1,1,1,1,3.636363636363636,1.2121212121212122,8.499999999999998,0.0,1.2121212121212122
Shorncliffe,9AHA5,Vancouver Coastal Health,HA,5847 Medusa Street,Sechelt,V0N3A0,Community Care & Assisted Living Act,Accredited,59,0.0,83.0,59.6,52.8,2.0,15.1,30.1,42.9,67.6,3.7,2.7,46.6,0.53,0.0,5.9,2.7,41.1,36.9,6.5,2.0,49.474191,-123.765,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,3.4,1.6949152542372878,15.254237288135593
Silver Kettle Village,93CIA,Interior Health,PFP,2350 72nd Avenue,Grand Forks,V0H1H4,Community Care & Assisted Living Act,Unknown,42,0.0,81.0,67.2,45.0,8.3,12.6,15.5,21.3,63.8,0.6,3.4,29.3,0.51,5.2,58.6,1.7,48.3,25.5,1.6,1.0,49.0246317,-118.46496880000001,0.0,0.0,0,0,0,0,1,1,1,1,0.0,0.0,7.199999999999998,2.380952380952381,7.142857142857142
Simon K.Y. Lee Seniors Care Home,926I0,Vancouver Coastal Health,PNP,555 Carrall Street,Vancouver,V6B2J8,Community Care & Assisted Living Act,Unknown,114,0.0,88.0,70.8,72.9,2.5,18.0,36.7,22.8,67.2,10.4,3.1,37.0,0.55,16.7,0.2,0.7,33.0,20.8,6.5,6.0,49.281478799999995,-123.1043333,0.0,0.0,0,1,0,1,1,1,1,1,1.7543859649122806,0.8771929824561403,8.9,0.0,2.631578947368421
Slocan Community Health Centre - The Pavillion,98G52,Interior Health,HA,401 Galena Ave,New Denver,V0G1S0,Community Care & Assisted Living Act,Accredited,28,0.0,87.0,64.1,62.7,2.6,15.7,25.9,10.2,64.8,2.8,4.1,25.0,0.55,31.5,0.0,10.2,49.1,15.7,0.0,1.0,49.9843977,-117.3754623,0.0,0.0,0,1,0,1,1,1,1,0,0.0,0.0,10.7,0.0,10.714285714285714
Spring Valley Seniors Community,990F2,Interior Health,PFP,355 Terai Court,Kelowna,V1X5X6,Community Care & Assisted Living Act,Unknown,151,0.7,86.0,61.5,62.7,4.6,24.2,21.7,22.1,69.5,10.9,2.9,42.2,0.56,0.3,27.2,10.4,43.3,23.4,3.8,3.0,49.8855029,-119.416278,0.0,0.0,0,1,0,1,1,1,1,1,1.9867549668874172,0.6622516556291391,25.1,0.6622516556291391,5.298013245033113
St. Jude's Anglican Home,999GE,Vancouver Coastal Health,PNP,810 West 27th Avenue,Vancouver,V5Z2G7,Community Care & Assisted Living Act,Not Accredited,55,1.8,85.0,83.1,62.9,2.4,31.3,45.5,42.9,71.0,14.7,2.8,47.8,0.58,0.0,84.4,0.9,47.8,39.5,10.8,3.0,49.2468877,-123.12273259999999,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,7.3,0.0,5.454545454545454
St. Michael's Centre,9A9FB,Fraser Health,PNP,7451 Sussex Avenue,Burnaby,V5J5C2,Hospital Act,Not Accredited,144,0.0,84.0,63.5,53.8,3.0,16.9,41.0,23.5,59.4,7.7,2.0,64.6,0.63,0.8,43.3,18.5,45.6,17.1,15.3,7.0,49.215722799999995,-123.00524240000001,0.0,0.0,0,1,1,1,1,1,1,0,1.3888888888888888,0.0,6.3,0.6944444444444444,2.7777777777777777
St. Vincent's - Brock Fahrni Pavilion,9A587,Vancouver Coastal Health,PNP,4650 Oak St.,Vancouver,V6H4J4,Hospital Act,Accredited,148,0.0,83.0,32.8,55.1,8.9,25.7,34.5,30.4,53.2,4.9,2.0,68.7,0.59,1.4,0.2,0.7,36.9,16.5,2.7,3.0,49.243243799999995,-123.12301099560094,0.0,0.0,0,1,1,1,1,0,0,0,0.0,0.0,4.1,0.0,1.351351351351351
St. Vincent's - Langara,9C05H,Vancouver Coastal Health,PNP,255 W 62nd Ave,Vancouver,V5X4V4,Hospital Act,Accredited,197,0.5,85.0,75.1,56.0,4.5,21.2,40.5,37.6,55.7,4.6,2.2,62.0,0.61,12.5,4.3,6.3,31.8,16.2,3.9,2.0,49.2147869,-123.11081877119535,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,10.1,0.0,1.0152284263959392
Summerland Seniors Village,92HB0,Interior Health,PFP,12803 Atkinson Road,Summerland,V0H1Z4,Community Care & Assisted Living Act,Accredited,112,2.7,87.0,69.4,72.3,1.3,13.6,29.3,33.9,88.6,15.4,2.9,38.6,0.56,0.4,56.1,3.6,51.8,40.4,4.0,7.0,49.600055499999996,-119.66879180000001,0.0,0.0,0,0,0,0,1,1,1,1,2.6785714285714284,4.464285714285714,21.5,0.0,19.642857142857142
Sun Pointe Village,92450,Interior Health,PNP,700 Rutland Road N,Kelowna,V1X7W8,Community Care & Assisted Living Act,Unknown,100,2.0,84.0,69.1,56.2,6.0,35.9,30.4,45.2,84.7,10.4,2.3,52.1,0.57,0.0,46.8,2.2,61.4,25.7,2.4,0.0,49.8958819,-119.38707849999999,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,20.0,0.0,0.0
Suncreek Village,9370A,Fraser Health,PFP,13687 62nd Avenue,Surrey,V3X0B5,Community Care & Assisted Living Act,Unknown,134,0.0,82.0,65.0,50.1,9.8,20.0,46.2,34.9,59.8,10.3,1.5,75.6,0.59,50.6,55.4,4.4,52.6,35.3,1.4,5.0,49.1156408,-122.8450108,0.0,0.0,0,0,0,0,1,1,1,1,0.7462686567164178,0.0,13.4,0.0,0.7462686567164178
Sunnybank Retirement Home,98IDJ,Interior Health,HA,6553 Park Drive,Oliver,V0H1T0,Community Care & Assisted Living Act,Accredited,51,2.0,88.0,58.8,74.6,3.8,29.0,24.1,17.3,54.9,3.1,2.5,47.5,0.57,22.8,35.2,6.8,34.6,21.0,5.1,1.0,49.18796645,-119.53956620008628,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,23.5,0.0,3.92156862745098
Swan Valley Lodge,98F21,Interior Health,HA,818 Vancouver St,Creston,V0B1G4,Hospital Act & Community Care & Assisted Living Act,Accredited,90,0.0,84.0,63.2,49.0,4.7,18.3,32.2,25.7,71.6,10.7,2.9,43.2,0.56,16.9,1.5,0.0,52.7,23.6,7.6,0.0,49.097877200000006,-116.5163929,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,12.1,0.0,0.0
Tabor Home,98H94,Fraser Health,PNP,31944 Sunrise Cres,Abbotsford,V2T1N5,Community Care & Assisted Living Act,Unknown,118,0.8,90.0,73.6,76.1,2.8,17.3,10.2,31.6,76.9,8.2,3.2,38.6,0.57,28.8,15.1,0.0,56.1,33.6,4.9,2.0,49.047016,-122.338899,1.0,1.0,1,1,0,1,1,1,1,0,1.6949152542372878,0.0,11.8,0.0,0.0
Talarico Place - Castlegar District Community Health Centre,9C0DE,Interior Health,HA,709 10th Street,Castlegar,V1N2H7,Community Care & Assisted Living Act,Accredited,60,1.7,88.0,71.7,72.4,1.6,24.4,44.9,32.7,57.1,8.8,2.4,48.3,0.6,21.5,0.0,1.0,44.9,6.6,0.0,1.0,49.314417399999996,-117.6608054,0.0,0.0,0,1,0,1,1,1,1,0,1.6666666666666667,0.0,13.3,1.6666666666666667,1.6666666666666667
The Cascades Care Community,9A599,Fraser Health,PFP,45586 Mcintosh Drive,Chilliwack,V2P7W8,Community Care & Assisted Living Act,Unknown,119,0.0,88.0,66.0,72.3,3.4,14.8,27.7,29.6,66.6,13.8,2.2,64.2,0.6,0.2,1.9,0.0,59.4,20.0,7.1,1.0,49.1608031,-121.96569009999999,0.0,0.0,0,1,0,1,1,1,1,1,0.0,0.0,16.7,0.0,1.680672268907563
The Gateby,9AFCB,Interior Health,HA,3000 Gateby Place,Vernon,V1T8V8,Community Care & Assisted Living Act,Accredited,75,5.3,85.0,66.1,58.2,1.6,40.9,38.7,24.3,69.6,7.8,2.9,40.0,0.63,15.2,63.9,8.7,51.7,24.2,15.2,1.0,50.264235299999996,-119.28130149999998,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,29.4,0.0,1.3333333333333337
The Hamlets at Penticton,93510,Interior Health,PFP,103 Duncan Ave West,Penticton,V2A2Y3,Community Care & Assisted Living Act,Unknown,89,1.1,83.0,62.4,52.6,10.8,30.3,18.0,18.0,60.7,6.7,3.6,28.1,0.58,0.0,11.2,32.6,42.7,24.2,4.0,4.0,49.484061600000004,-119.58974189999999,0.0,0.0,0,1,0,1,1,1,1,1,5.617977528089887,0.0,13.4,0.0,1.1235955056179776
The Hamlets at Westsyde,930H0,Interior Health,PFP,3255 Overlander Drive,Kamloops,V2B0A5,Community Care & Assisted Living Act,Unknown,112,1.8,81.0,52.4,52.7,20.0,32.1,14.2,28.4,47.4,4.7,3.2,31.6,0.57,3.2,0.5,0.0,58.4,38.0,3.8,3.0,50.77082100000001,-120.34196100000001,0.0,0.0,0,0,0,0,1,1,1,1,4.464285714285714,0.0,18.8,0.0,2.6785714285714284
The Madison Care Centre,935IA,Fraser Health,PFP,1399 Foster Avenue,Coquitlam,V3J2N1,Hospital Act,Not Accredited,137,0.0,89.0,87.0,79.7,0.0,25.5,36.1,34.3,68.1,7.5,2.5,51.7,0.55,9.9,6.0,0.5,47.8,16.5,24.6,5.0,49.2568192,-122.89315220000002,0.0,0.0,0,1,0,1,1,1,1,1,4.37956204379562,0.7299270072992701,5.0,0.0,0.7299270072992701
The Mayfair,9C3GE,Fraser Health,PNP,33433 Marshall Road,Abbotsford,V2S1K8,Community Care & Assisted Living Act,Not Accredited,91,2.2,84.0,68.2,58.5,7.4,45.2,34.3,32.3,66.5,12.9,2.3,59.7,0.56,5.6,5.2,0.0,59.7,19.7,13.5,3.0,49.03936815,-122.29768336109244,0.0,0.0,0,1,0,1,1,1,1,1,1.0989010989010992,1.0989010989010992,17.6,1.0989010989010992,2.1978021978021984
The Residence at Clayton Heights,93CAA,Fraser Health,PFP,18788 71st Avenue,Surrey,V4N6L9,Community Care & Assisted Living Act,Not Accredited,87,0.0,83.0,42.2,47.8,1.7,20.6,34.1,16.6,72.5,15.2,2.5,53.3,0.57,1.7,22.3,1.1,50.4,28.1,0.5,3.0,49.1317703,-122.7026815,5.0,2.0,1,0,0,0,1,0,0,0,3.4482758620689653,1.1494252873563218,11.4,0.0,2.2988505747126435
The Residence at Morgan Heights,9375A,Fraser Health,PFP,15955 27th Avenue,Surrey,V3Z3W3,Community Care & Assisted Living Act,Not Accredited,116,0.0,89.0,67.4,78.0,1.4,14.4,22.7,15.0,74.2,11.0,3.0,41.5,0.56,29.2,65.7,5.9,50.4,29.5,3.1,5.0,49.051178,-122.779875,0.0,0.0,0,1,0,1,0,1,0,1,3.4482758620689653,0.8620689655172413,2.6,0.0,0.8620689655172413
The Residence in Mission,93F40,Fraser Health,HA,7324 Hurd Street,Mission,V2V3H5,Community Care & Assisted Living Act,Unknown,200,0.5,85.0,62.6,57.7,4.1,23.9,31.6,31.9,58.0,13.0,2.4,56.2,0.57,4.7,48.0,1.4,52.8,35.1,1.6,7.0,49.135354,-122.330124,0.0,0.0,0,1,0,1,1,1,1,0,0.5,0.0,13.5,0.5,2.5
Three Links Care Centre,9AC12,Vancouver Coastal Health,PNP,2934 East 22nd Ave,Vancouver,V5M2Y4,Community Care & Assisted Living Act,Accredited,90,0.0,84.0,50.8,52.8,7.0,24.1,40.3,29.7,68.6,8.1,3.7,21.8,0.59,1.7,3.4,7.3,54.6,25.4,1.0,1.0,49.2503144,-123.0429307,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,17.8,0.0,0.0
Three Links Manor,9AHHB,Interior Health,HA,1449 Kelglen Cres,Kelowna,V1Y8P4,Community Care & Assisted Living Act,Accredited,82,1.2,86.0,65.9,56.1,3.7,21.9,40.1,35.6,77.8,13.7,1.8,69.9,0.63,6.7,18.8,26.4,42.2,29.2,17.4,1.0,49.883268,-119.4669195,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,15.9,0.0,1.2195121951219512
Totem Lodge - Sechelt Hospital,9A563,Vancouver Coastal Health,HA,5544 Sunshine Coast Highway,Sechelt,V0N3A0,Hospital Act,Accredited,49,0.0,85.0,67.8,57.6,7.3,22.6,33.9,31.0,60.1,6.0,2.0,67.3,0.59,4.8,0.0,0.0,49.4,16.0,14.8,1.0,49.50828092664089,-123.89803176719371,0.0,0.0,0,1,1,1,1,1,1,0,0.0,0.0,2.0,0.0,10.20408163265306
Trinity Care Centre,9AGF1,Interior Health,HA,75 Green Ave West,Penticton,V2A7N6,Community Care & Assisted Living Act,Accredited,75,2.7,83.0,64.5,49.9,6.1,11.9,48.1,19.5,54.9,2.4,2.8,43.3,0.56,12.3,0.0,0.3,37.9,27.1,6.3,1.0,49.46314520000001,-119.5894601,0.0,0.0,0,0,0,0,1,1,1,0,0.0,0.0,4.0,0.0,4.0
Valhaven Rest Home,98H9F,Fraser Health,PNP,4212 Balmoral St,Abbotsford,V4X1Y5,Community Care & Assisted Living Act,Accredited,26,0.0,91.0,73.7,82.5,1.5,4.3,27.7,21.3,74.5,10.6,3.8,28.7,0.62,14.9,0.0,0.0,53.2,29.3,5.3,3.0,49.0789671,-122.38571529999999,9.0,1.0,1,0,0,0,1,1,1,1,3.8461538461538463,0.0,7.7,0.0,19.230769230769234
Valleyhaven,98HA8,Fraser Health,PFP,45450 Menholm Rd.,Chilliwack,V2P1M2,Community Care & Assisted Living Act,Accredited,91,0.0,87.0,63.5,66.4,3.7,18.8,19.9,25.7,61.0,9.2,2.4,50.7,0.55,8.5,69.9,0.0,48.2,19.6,6.0,2.0,49.1664458,-121.96614440000002,0.0,0.0,0,1,0,1,1,1,1,1,3.296703296703297,0.0,19.8,0.0,2.1978021978021984
