FACILITY_NAME,OWNERSHIP,REGULATION,ACCRED_STATUS,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,CMI,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,cleaned_name,facility_name,num_cases,num_deaths,outbreak,facility_design,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,BEDS_PUBLICprop,ROOMS_TOTAL,ROOMS_PRIVATEprop,ROOMS_SEMIprop,ROOMS_MULTIprop
Monashee Mews,PFP,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,0,46,46,46,0,0,0,0,0,6,2,0,1,0,2,0,0.0,13.0,4.3,0.0,2.2,0.0,4.3,0.0,0.59,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,monashee mews,na,na,na,no,post1994,True,True,0.0,1.0,46,1.0,0.0,0.0
Morgan Place,PFP,Community Care & Assisted Living Act,Accredited,3.0,0.36,3.36,13,128,141,111,5,0,0,0,0,0,4,0,0,0,0,0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,morgan place,na,na,na,no,post1994,True,True,0.09219858156028368,0.9078014184397163,116,0.9568965517241379,0.04310344827586207,0.0
Mount Cartier Court - Queen Victoria Hospital,HA,Community Care & Assisted Living Act,Accredited,3.07,0.41,3.49,0,44,44,38,6,0,0,0,1,0,4,0,0,1,0,0,2.3,0.0,9.1,0.0,0.0,2.3,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mount cartier court - queen victoria hospital,na,na,na,no,post1994,True,True,0.0,1.0,44,0.8636363636363636,0.13636363636363635,0.0
Mount Ida Mews,PFP,Community Care & Assisted Living Act,Accredited,3.0,0.35,3.35,1,131,132,72,0,0,1,0,0,3,10,0,0,0,1,0,0.0,2.3,7.6,0.0,0.0,0.0,0.8,0.0,0.56,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,mount ida mews,na,na,na,no,post1994,True,True,0.007575757575757576,0.9924242424242424,72,1.0,0.0,0.0
Mount Saint Joseph Hospital,PNP,Hospital Act,Accredited,2.88,0.29,3.17,0,99,99,16,8,17,0,0,1,0,8,0,0,0,0,0,1.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mount saint joseph hospital,na,na,na,no,post1994,True,True,0.0,1.0,41,0.3902439024390244,0.1951219512195122,0.4146341463414634
Mountain Lake Seniors Community,PFP,Community Care & Assisted Living Act,Unknown,3.01,0.35,3.36,7,85,92,92,0,0,1,1,0,4,5,0,0,0,1,0,0.0,4.3,5.4,0.0,0.0,0.0,1.1,0.0,0.57,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mountain lake seniors community,na,na,na,no,post1994,True,True,0.07608695652173914,0.9239130434782609,92,1.0,0.0,0.0
Mountain View Lodge - Lillooet Hospital and Health Centre,HA,Community Care & Assisted Living Act,Accredited,2.9,0.37,3.27,0,22,22,20,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.65,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mountain view lodge - lillooet hospital and health centre,na,na,na,no,pre1994,True,True,0.0,1.0,21,0.9523809523809523,0.047619047619047616,0.0
Mountain View Manor - Delta Hospital,HA,Hospital Act,Unknown,3.04,0.37,3.41,0,92,92,12,4,18,0,0,0,0,3,0,0,0,1,0,0.0,0.0,3.3,0.0,0.0,0.0,1.1,0.0,0.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mountain view manor - delta hospital,na,na,na,no,unknown,True,True,0.0,1.0,34,0.35294117647058826,0.11764705882352941,0.5294117647058824
Mountainview Village,PNP,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,0,90,90,90,0,0,0,0,0,0,11,0,0,1,12,0,0.0,0.0,12.2,0.0,0.0,1.1,13.3,0.0,0.59,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,mountainview village,na,na,na,no,post1994,True,True,0.0,1.0,90,1.0,0.0,0.0
Nelson Jubilee Manor,HA,Community Care & Assisted Living Act,Accredited,2.84,0.41,3.25,0,39,39,39,0,0,0,0,1,2,1,0,0,0,0,1,2.6,5.1,2.6,0.0,0.0,0.0,0.0,2.6,0.6,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,nelson jubilee manor,na,na,na,no,pre1994,True,True,0.0,1.0,39,1.0,0.0,0.0
New Vista Care Home,PNP,Community Care & Assisted Living Act,Accredited,2.67,0.32,2.99,0,236,236,236,0,0,3,1,0,1,27,1,0,7,4,17,0.0,0.4,11.4,0.4,0.0,3.0,1.7,7.2,0.52,5.0,16.0,0.0,3.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,new vista care home,New Vista Care Home,6.0,1.0,yes,pre1994,True,True,0.0,1.0,236,1.0,0.0,0.0
Noric House,HA,Community Care & Assisted Living Act,Accredited,2.85,0.34,3.19,0,85,85,85,0,0,0,0,1,0,19,0,0,3,2,1,1.2,0.0,22.4,0.0,0.0,3.5,2.4,1.2,0.64,1.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,noric house,na,na,na,no,pre1994,True,True,0.0,1.0,85,1.0,0.0,0.0
Normanna Rest Home,PNP,Community Care & Assisted Living Act,Unknown,2.72,0.34,3.06,0,100,100,90,5,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normanna rest home,na,na,na,no,post1994,True,True,0.0,1.0,95,0.9473684210526315,0.05263157894736842,0.0
Northcrest Care Centre,PFP,Community Care & Assisted Living Act,Accredited,2.99,0.37,3.36,0,106,106,90,8,0,0,0,0,0,3,0,0,2,0,0,0.0,0.0,2.8,0.0,0.0,1.9,0.0,0.0,0.58,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,northcrest care centre,na,na,na,no,unknown,True,True,0.0,1.0,98,0.9183673469387755,0.08163265306122448,0.0
Orchard Haven - South Similkameen Health Centre,HA,Community Care & Assisted Living Act,Accredited,3.04,0.41,3.45,0,38,38,38,0,0,0,0,1,1,9,0,0,4,4,1,2.6,2.6,23.7,0.0,0.0,10.5,10.5,2.6,0.6,2.0,11.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,orchard haven - south similkameen health centre,na,na,na,no,post1994,True,True,0.0,1.0,38,1.0,0.0,0.0
Overlander Residential Care,HA,Hospital Act,Accredited,3.04,0.38,3.42,0,183,183,35,14,30,0,0,4,0,17,0,0,5,9,2,2.2,0.0,9.3,0.0,0.0,2.7,4.9,1.1,0.62,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,overlander residential care,na,na,na,no,pre1994,True,True,0.0,1.0,79,0.4430379746835443,0.17721518987341772,0.379746835443038
Parkview Place,HA,Community Care & Assisted Living Act,Accredited,2.86,0.38,3.24,0,31,31,31,0,0,0,0,1,0,0,0,0,0,0,0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,parkview place,na,na,na,no,post1994,True,True,0.0,1.0,31,1.0,0.0,0.0
Peace Portal Seniors Village,PFP,Community Care & Assisted Living Act,Accredited,2.67,0.28,2.95,57,27,84,67,7,0,0,0,1,0,13,0,0,5,2,0,1.2,0.0,15.5,0.0,0.0,6.0,2.4,0.0,0.53,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,peace portal seniors village,na,na,na,no,pre1994,True,True,0.6785714285714286,0.32142857142857145,74,0.9054054054054054,0.0945945945945946,0.0
Piccadilly Seniors Community,PFP,Community Care & Assisted Living Act,Accredited,2.95,0.35,3.3,8,51,59,46,7,0,0,0,0,1,9,0,0,0,4,1,0.0,1.7,15.3,0.0,0.0,0.0,6.8,1.7,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,piccadilly seniors community,na,na,na,no,post1994,True,True,0.13559322033898305,0.864406779661017,53,0.8679245283018868,0.1320754716981132,0.0
Pine Acres Home,PNP,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,23,40,63,33,5,0,0,0,0,2,6,0,0,0,4,0,0.0,3.2,9.5,0.0,0.0,0.0,6.3,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pine acres home,na,na,na,no,pre1994,True,True,0.36507936507936506,0.6349206349206349,38,0.868421052631579,0.13157894736842105,0.0
Pine Grove Seniors Community,PFP,Community Care & Assisted Living Act,Unknown,2.99,0.35,3.34,0,75,75,14,31,0,1,0,2,0,8,0,0,1,3,1,2.7,0.0,10.7,0.0,0.0,1.3,4.0,1.3,0.62,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,pine grove seniors community,na,na,na,no,pre1994,True,True,0.0,1.0,45,0.3111111111111111,0.6888888888888889,0.0
Pinegrove Place,PNP,Community Care & Assisted Living Act,Accredited,2.86,0.29,3.15,0,76,76,76,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.59,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,pinegrove place,na,na,na,no,pre1994,True,True,0.0,1.0,76,1.0,0.0,0.0
Pleasant Valley Manor,HA,Hospital Act,Accredited,2.93,0.31,3.24,0,82,82,82,0,0,0,0,0,1,9,0,0,1,1,0,0.0,1.2,11.0,0.0,0.0,1.2,1.2,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pleasant valley manor,na,na,na,no,post1994,True,True,0.0,1.0,82,1.0,0.0,0.0
Point Grey Private Hospital,PFP,Hospital Act,Not Accredited,2.72,0.13,2.85,5,67,72,31,20,0,0,0,1,0,2,0,0,0,0,1,1.4,0.0,2.8,0.0,0.0,0.0,0.0,1.4,0.59,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,point grey private hospital,na,na,na,no,pre1994,True,False,0.06944444444444445,0.9305555555555556,51,0.6078431372549019,0.39215686274509803,0.0
Polson Residential Care - Vernon Jubilee Hospital,HA,Hospital Act,Accredited,2.94,0.36,3.3,0,97,97,15,9,16,0,0,2,0,9,0,0,1,6,2,2.1,0.0,9.3,0.0,0.0,1.0,6.2,2.1,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,polson residential care - vernon jubilee hospital,na,na,na,no,pre1994,True,True,0.0,1.0,40,0.375,0.225,0.4
Ponderosa Lodge,HA,Community Care & Assisted Living Act,Accredited,2.84,0.38,3.22,0,98,98,90,1,0,0,0,2,1,12,0,0,4,4,3,2.0,1.0,12.2,0.0,0.0,4.1,4.1,3.1,0.58,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ponderosa lodge,na,na,na,no,pre1994,False,True,0.0,1.0,91,0.989010989010989,0.01098901098901099,0.0
Poplar Ridge Pavilion - Kootenay Boundary Hospital,HA,Hospital Act,Accredited,2.89,0.36,3.25,0,49,49,5,14,4,0,0,2,3,0,0,0,0,0,0,4.1,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,poplar ridge pavilion - kootenay boundary hospital,na,na,na,no,pre1994,True,True,0.0,1.0,23,0.21739130434782608,0.6086956521739131,0.17391304347826086
Purdy Pavilion - UBC Hospital,HA,Hospital Act,Accredited,3.13,0.3,3.43,0,199,199,23,0,60,1,0,0,0,2,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,purdy pavilion - ubc hospital,na,na,na,no,pre1994,True,True,0.0,1.0,83,0.27710843373493976,0.0,0.7228915662650602
Queen's Park Care Centre,HA,Hospital Act,Unknown,3.19,0.34,3.53,0,148,148,14,2,32,0,0,0,2,4,0,0,0,2,0,0.0,1.4,2.7,0.0,0.0,0.0,1.4,0.0,0.58,1.0,6.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,queen's park care centre,Queen’s Park Care Centre,4.0,0.0,yes,pre1994,True,True,0.0,1.0,48,0.2916666666666667,0.041666666666666664,0.6666666666666666
Renfrew Care Centre,PFP,Community Care & Assisted Living Act,Accredited,2.69,0.12,2.81,0,106,106,86,10,0,0,0,1,0,10,0,0,2,3,0,0.9,0.0,9.4,0.0,0.0,1.9,2.8,0.0,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,renfrew care centre,na,na,na,no,post1994,True,True,0.0,1.0,96,0.8958333333333334,0.10416666666666667,0.0
Richmond Lions Manor,HA,Community Care & Assisted Living Act,Accredited,2.71,0.32,3.03,0,93,93,49,22,0,1,1,0,0,10,0,0,1,0,0,0.0,0.0,10.8,0.0,0.0,1.1,0.0,0.0,0.61,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,richmond lions manor,Richmond Lions Manor,1.0,0.0,yes,post1994,True,True,0.0,1.0,71,0.6901408450704225,0.30985915492957744,0.0
Ridgeview Lodge,PFP,Community Care & Assisted Living Act,Unknown,2.87,0.35,3.22,23,106,129,129,0,0,0,1,1,1,18,0,1,8,14,1,0.8,0.8,14.0,0.0,0.8,6.2,10.9,0.8,0.6,2.0,6.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ridgeview lodge,na,na,na,no,post1994,False,False,0.17829457364341086,0.8217054263565892,129,1.0,0.0,0.0
Ridgewood Lodge - Princeton General Hospital,HA,Community Care & Assisted Living Act,Accredited,2.85,0.4,3.25,0,37,37,33,2,0,1,0,0,0,4,0,0,0,1,0,0.0,0.0,10.8,0.0,0.0,0.0,2.7,0.0,0.56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ridgewood lodge - princeton general hospital,na,na,na,no,pre1994,True,True,0.0,1.0,35,0.9428571428571428,0.05714285714285714,0.0
Rocky Mountain Village,PFP,Community Care & Assisted Living Act,Unknown,2.94,0.35,3.29,1,61,62,62,0,0,0,0,1,0,18,0,0,3,4,2,1.6,0.0,29.0,0.0,0.0,4.8,6.5,3.2,0.59,5.0,15.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,rocky mountain village,na,na,na,no,post1994,True,True,0.016129032258064516,0.9838709677419355,62,1.0,0.0,0.0
Rose Wood Village,PFP,Community Care & Assisted Living Act,Unknown,2.99,0.35,3.34,1,45,46,45,0,0,2,1,0,3,6,0,0,0,1,1,0.0,6.5,13.0,0.0,0.0,0.0,2.2,2.2,0.63,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,rose wood village,na,na,na,no,post1994,True,True,0.021739130434782608,0.9782608695652174,45,1.0,0.0,0.0
Rosemary Heights Seniors Village,PFP,Community Care & Assisted Living Act,Accredited,2.99,0.37,3.36,5,85,90,85,2,0,1,0,1,2,19,0,1,0,4,3,1.1,2.2,21.1,0.0,1.1,0.0,4.4,3.3,0.56,4.0,7.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,rosemary heights seniors village,na,na,na,no,post1994,True,False,0.05555555555555555,0.9444444444444444,87,0.9770114942528736,0.022988505747126436,0.0
Rosewood Manor,PNP,Community Care & Assisted Living Act,Not Accredited,3.06,0.25,3.31,0,151,151,151,0,0,0,0,0,0,21,0,0,3,7,1,0.0,0.0,13.9,0.0,0.0,2.0,4.6,0.7,0.5,1.0,4.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rosewood manor,na,na,na,no,pre1994,True,True,0.0,1.0,151,1.0,0.0,0.0
Royal Arch Masonic Home,PNP,Community Care & Assisted Living Act,Not Accredited,3.12,0.37,3.49,0,151,151,151,0,0,0,0,2,0,30,0,0,1,6,0,1.3,0.0,19.9,0.0,0.0,0.7,4.0,0.0,0.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,royal arch masonic home,Royal Arch Masonic Home,37.0,12.0,yes,pre1994,True,True,0.0,1.0,151,1.0,0.0,0.0
Royal Ascot Care Centre,PFP,Hospital Act,Not Accredited,2.96,0.24,3.2,2,80,82,64,9,0,1,0,1,0,9,0,0,2,1,1,1.2,0.0,11.0,0.0,0.0,2.4,1.2,1.2,0.56,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,royal ascot care centre,na,na,na,no,post1994,True,True,0.024390243902439025,0.975609756097561,73,0.8767123287671232,0.1232876712328767,0.0
Royal City Manor,PFP,Community Care & Assisted Living Act,Accredited,2.65,0.31,2.96,115,50,165,125,21,0,6,2,0,1,10,0,0,1,2,0,0.0,0.6,6.1,0.0,0.0,0.6,1.2,0.0,0.58,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,royal city manor,na,na,na,no,post1994,True,True,0.696969696969697,0.30303030303030304,146,0.8561643835616438,0.14383561643835616,0.0
Shorncliffe,HA,Community Care & Assisted Living Act,Accredited,3.13,0.22,3.35,0,59,59,59,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.53,2.0,10.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,shorncliffe,na,na,na,no,pre1994,True,True,0.0,1.0,59,1.0,0.0,0.0
Silver Kettle Village,PFP,Community Care & Assisted Living Act,Unknown,3.0,0.35,3.35,2,40,42,42,0,0,0,0,0,1,2,0,0,0,0,0,0.0,2.4,4.8,0.0,0.0,0.0,0.0,0.0,0.51,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,silver kettle village,na,na,na,no,post1994,True,True,0.047619047619047616,0.9523809523809523,42,1.0,0.0,0.0
Simon K.Y. Lee Seniors Care Home,PNP,Community Care & Assisted Living Act,Unknown,2.72,0.27,2.99,4,110,114,104,5,0,2,1,0,0,6,0,1,0,2,1,0.0,0.0,5.3,0.0,0.9,0.0,1.8,0.9,0.55,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,simon k.y. lee seniors care home,na,na,na,no,post1994,True,True,0.03508771929824561,0.9649122807017544,109,0.9541284403669725,0.045871559633027525,0.0
Slocan Community Health Centre - The Pavillion,HA,Community Care & Assisted Living Act,Accredited,2.91,0.3,3.21,0,28,28,6,20,0,0,0,0,0,2,0,0,0,1,0,0.0,0.0,7.1,0.0,0.0,0.0,3.6,0.0,0.55,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,slocan community health centre - the pavillion,na,na,na,no,pre1994,True,True,0.0,1.0,26,0.23076923076923078,0.7692307692307693,0.0
Spring Valley Seniors Community,PFP,Community Care & Assisted Living Act,Unknown,3.01,0.35,3.36,1,150,151,114,8,0,3,1,1,1,20,0,0,4,9,4,0.7,0.7,13.2,0.0,0.0,2.6,6.0,2.6,0.56,3.0,9.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,spring valley seniors community,na,na,na,no,pre1994,True,True,0.006622516556291391,0.9933774834437086,122,0.9344262295081968,0.06557377049180328,0.0
St. Jude's Anglican Home,PNP,Community Care & Assisted Living Act,Not Accredited,2.82,0.37,3.19,2,53,55,45,5,0,0,0,1,0,3,0,0,0,0,1,1.8,0.0,5.5,0.0,0.0,0.0,0.0,1.8,0.58,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,st. jude's anglican home,na,na,na,no,pre1994,True,True,0.03636363636363636,0.9636363636363636,50,0.9,0.1,0.0
St. Michael's Centre,PNP,Hospital Act,Not Accredited,2.96,0.38,3.34,0,144,144,20,36,9,2,0,0,2,6,0,0,1,0,0,0.0,1.4,4.2,0.0,0.0,0.7,0.0,0.0,0.63,7.0,5.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,st. michael's centre,na,na,na,no,pre1994,True,True,0.0,1.0,65,0.3076923076923077,0.5538461538461539,0.13846153846153847
St. Vincent's - Brock Fahrni Pavilion,PNP,Hospital Act,Accredited,2.92,0.29,3.21,0,148,148,12,8,30,0,0,0,0,5,0,0,0,0,1,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.7,0.59,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,st. vincent's - brock fahrni pavilion,na,na,na,no,pre1994,True,False,0.0,1.0,50,0.24,0.16,0.6
St. Vincent's - Langara,PNP,Hospital Act,Accredited,2.89,0.32,3.21,0,197,197,17,8,41,0,0,1,0,12,0,1,4,0,3,0.5,0.0,6.1,0.0,0.5,2.0,0.0,1.5,0.61,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,st. vincent's - langara,na,na,na,no,pre1994,True,True,0.0,1.0,66,0.25757575757575757,0.12121212121212122,0.6212121212121212
Summerland Seniors Village,PFP,Community Care & Assisted Living Act,Accredited,2.85,0.35,3.2,37,75,112,105,0,0,3,5,3,1,17,0,1,2,3,0,2.7,0.9,15.2,0.0,0.9,1.8,2.7,0.0,0.56,7.0,22.0,6.0,1.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,summerland seniors village,na,na,na,no,post1994,True,True,0.33035714285714285,0.6696428571428571,105,1.0,0.0,0.0
Sun Pointe Village,PNP,Community Care & Assisted Living Act,Unknown,2.96,0.35,3.31,0,100,100,100,0,0,0,0,2,3,8,1,0,3,5,0,2.0,3.0,8.0,1.0,0.0,3.0,5.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sun pointe village,na,na,na,no,post1994,True,True,0.0,1.0,100,1.0,0.0,0.0
Suncreek Village,PFP,Community Care & Assisted Living Act,Unknown,2.99,0.37,3.36,14,120,134,120,0,0,1,0,0,1,12,0,0,1,4,0,0.0,0.7,9.0,0.0,0.0,0.7,3.0,0.0,0.59,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,suncreek village,na,na,na,no,post1994,True,True,0.1044776119402985,0.8955223880597015,120,1.0,0.0,0.0
Sunnybank Retirement Home,HA,Community Care & Assisted Living Act,Accredited,2.96,0.49,3.45,0,51,51,51,0,0,0,0,1,0,10,0,0,0,2,0,2.0,0.0,19.6,0.0,0.0,0.0,3.9,0.0,0.57,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,sunnybank retirement home,na,na,na,no,pre1994,True,True,0.0,1.0,51,1.0,0.0,0.0
Swan Valley Lodge,HA,Hospital Act & Community Care & Assisted Living Act,Accredited,2.98,0.43,3.41,0,90,90,90,0,0,0,0,0,0,4,0,2,4,1,0,0.0,0.0,4.4,0.0,2.2,4.4,1.1,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,swan valley lodge,na,na,na,no,post1994,True,True,0.0,1.0,90,1.0,0.0,0.0
Tabor Home,PNP,Community Care & Assisted Living Act,Unknown,2.74,0.32,3.06,0,118,118,106,6,0,2,0,1,0,9,0,0,2,1,2,0.8,0.0,7.6,0.0,0.0,1.7,0.8,1.7,0.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tabor home,Tabor Home,1.0,1.0,yes,pre1994,True,True,0.0,1.0,112,0.9464285714285714,0.05357142857142857,0.0
Talarico Place - Castlegar District Community Health Centre,HA,Community Care & Assisted Living Act,Accredited,2.85,0.51,3.36,0,60,60,38,11,0,1,0,1,2,5,1,0,0,0,0,1.7,3.3,8.3,1.7,0.0,0.0,0.0,0.0,0.6,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,talarico place - castlegar district community health centre,na,na,na,no,pre1994,True,True,0.0,1.0,49,0.7755102040816326,0.22448979591836735,0.0
The Cascades Care Community,PFP,Community Care & Assisted Living Act,Unknown,2.85,0.34,3.19,13,106,119,101,9,0,0,0,0,0,16,0,1,0,2,1,0.0,0.0,13.4,0.0,0.8,0.0,1.7,0.8,0.6,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,the cascades care community,na,na,na,no,post1994,True,True,0.1092436974789916,0.8907563025210085,110,0.9181818181818182,0.08181818181818182,0.0
