OPERATOR_NAME,BUSINESS_NAME,TYPE,STREET_ADDRESS,CITY,POSTAL_CODE,BUSINESS_PHONE,INSPECTION_URL,GOVERNING_ACT,GOVERNING_REGULATION,HEALTH_AUTHORITY,MENTAL_HEALTH,MENTAL_HEALTH_MAX_CAP,HOSPICE,HOSPICE_MAX_CAP,SUBSTANCE_USE,SUBSTANCE_USE_MAX_CAP,LONG_TERM_CARE,LONG_TERM_CARE_MAX_CAP,COMMUNITY_LIVING,COMMUNITY_LIVING_MAX_CAP,ACQUIRED_BRAIN_INJURY,ACQUIRED_BRAIN_INJURY_MAX_CAP,LONGITUDE,LATITUDE
Delta Community Living Society,11A Home,Residential Care,5145 11A Ave,Delta,V4M 1Z7,(604)943-2581,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A7270796207C3A9788256D2700703C8C,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-123.0812712,49.0241528
Arcus Community Resources Ltd.,122nd Avenue Home,Residential Care,22229 122nd Ave,Maple Ridge,V2X 3X8,(604)467-8828,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2A47C4EEC80A6E6A88256D2700704C79,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.6062374,49.2244182
Younghusband Resources Ltd.,123rd Home,Residential Care,20878 123rd Ave,Maple Ridge,V2X 4B2,(604)463-5484,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=EC9025FC436B6AB188256D2700704C82,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.6427073,49.2259116
Semiahmoo House Society,13330 - 20A Avenue,Residential Care,13330 20A Ave,Surrey,V4A 9K2,(604)538-1587,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7A981A5ECA04633E88256D2700703CD9,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.8529028,49.0396694
Semiahmoo House Society,13333 - 20th Avenue,Residential Care,13333 20th Ave,Surrey,V4A 1Z3,(604)538-1635,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=51CE673192F6405588256D2700703CD8,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.8527109,49.0386634
Community Living Society,216A Street,Residential Care,8983 216A St,Langley,V1M 4C7,(604)293-0284,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=590512B87DC0A12E88257B2D00680CEF,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.6236643,49.1658526
Younghusband Resources Ltd.,227th Home,Residential Care,12775 227th St,Maple Ridge,V2X 6K5,(604)463-0202,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=92BFF48B7104815388256D2700704C7A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.5944504,49.2346071
Community Living Society,48B,Residential Care,4515 48B St,Delta,V4K 2R9,(604)940-1372,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7D267AAB6CBC4EE988256D2700703CD6,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,3,N,,-123.0890958,49.0853659
H.O.M.E. Society,58th Avenue Home,Residential Care,29172 58th Ave,Abbotsford,V4X 2G1,(604)856-3278,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=150A1C3BFC2C726C88256B9500708D72,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.4158806,49.1057394
Semiahmoo House Society,5960 Angus Place,Residential Care,5960 Angus Pl,Surrey,V3S 4W7,(604)576-0823,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E40201185D8D34F288256D2700703C80,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.7472302,49.1107604
Semiahmoo House Society,5984 - 191A Street,Residential Care,5984 191A St,Surrey,V3S 7N1,(604)574-7229,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=17D2B3A01552364888256D2700703C7F,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.691835,49.1106832
Communitas Supportive Care Society,88th,Residential Care,23124 88th Ave,Fort Langley,V1M 2R4,(604)513-2369,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9AAE2B2A4C81E6F488256D2700703D95,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.5823423,49.1623587
Kinsight Community Society,917 Foster,Residential Care,917 Foster Ave,Coquitlam,V3J 2L8,(604)937-0609,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=2BD9EF83F97A6BED88256D2700704CD2,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.8710548,49.2565375
Pioneer Community Living Association,Adrian House,Residential Care,948 Howard Ave,Burnaby,V5B 3R6,(604)299-4985,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=6FC5142B562EFB2F88257118005F9820,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,10,N,,N,,N,,N,,N,,-122.9836654,49.2756077
Agassiz Seniors Community Partnership,Agassiz Seniors Community,Residential Care,1525 Mackay Cres,Agassiz,V0M 1A3,(604)796-3886,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=FC1100F56386D3138825823900636ED7,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,68,N,,N,,-121.7681608,49.2335015
Western Human Resource Corp.,Alice Lake Place Group Home,Residential Care,2724 Alice Lake Pl,Coquitlam,V3C 5W8,(604)941-4918,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=475E89661B19421B88256D2700704BBB,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.813081,49.2551287
posAbilities Association of British Columbia,Altesse,Residential Care,3762 Thurston St,Burnaby,V5H 1H7,(604)439-1772,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A9085A66473226A988256D27006FC99C,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,3,N,,-123.0214555,49.2343917
Prime Time (Abby Lane) Inc.,Amica White Rock,Residential Care,15333 16th Ave,Surrey,V4A 1R6,(416)487-2020,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A8E890881AD66667882582DC005EE90A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,64,N,,N,,-122.7979716,49.0313306
The Ridge Meadows Association For Community Living,Arborwynd,Residential Care,27136 112th Ave,Maple Ridge,V2W 1P8,(604)462-0968,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=1243D3D0B67E8A5988256D2700704C83,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.4709799,49.2051508
Sources Community Resources Society,Archway House,Residential Care,5933 168th St,Surrey,V3S 3X5,(604)576-2455,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=AD9D51D6A19BD23488256D2700703D54,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.7568634,49.1102944
Argyll Lodge Ltd,Argyll Lodge,Residential Care,14590 106A Ave,Surrey,V3R 1T4,(604)581-4174,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4DBEB80CDD4A128888256D2700703E21,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,25,N,,N,,N,,N,,N,,-122.8178181,49.1958776
Communitas Supportive Care Society,Ashley Home,Residential Care,32885 Ashley Way,Abbotsford,V2S 5W3,(604)853-8429,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=63A20A11FDF3708F8825775400557E8E,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.3133731,49.0426844
Milieu Family Services Inc.,Aster House,Residential Care,15625 Aster Rd,Surrey,V4A 1Y4,(604)538-0439,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=343D63E2A8262DEE88256D2700703CF2,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.789732,49.0372219
Augustine House Society,Augustine House,Residential Care,3820 Arthur Dr,Delta,V4K 5E6,(604)940-6005,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F6912825B02789BA88256E06006207C6,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,13,N,,N,,-123.0769909,49.0730448
Surrey Association For Community Living,Bakerview Court,Residential Care,18919 62A Ave,Surrey,V3S 8S4,(604)576-1255,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=36DF86F6D464244B88256D2700703E25,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.6986506,49.1157771
Mission Association For Community Living,Bannister Drive Residence,Residential Care,8590 Bannister Dr,Mission,V2V 5X4,(604)807-0104,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=52F435D4AE6690EF88256B9500708121,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.296432,49.1580908
Azimuth Health Program Management Ltd.,Barberry Lodge,Residential Care,1440 Barberry Dr,Port Coquitlam,V3B 1G3,(604)941-9022,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8534B0D0A3D3760688257C1A0073E304,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,10,N,,N,,N,,N,,N,,-122.75463,49.2648821
New Vision Development Inc.,Barclay Care Home Ltd.,Residential Care,1948 Grant Ave,Port Coquitlam,V3B 1P7,(604)942-0473,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=09C313BD5514818A8825756200724853,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,10,N,,N,,N,,N,,N,,-122.7686171,49.2698335
Communitas Supportive Care Society,Bayshore Home,Residential Care,44419 Bayshore Ave,Chilliwack,V2R 0A5,(604)824-5955,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=928D035B6F94E82588257A290061C6E6,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-121.9947065,49.1007302
"MPA - Motivation, Power & Achievement Society",Beckman House,Residential Care,12032 216th St,Maple Ridge,V2X 5J3,(604)466-3370,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4FCADD2B236D0C8188256FF1005996A0,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,21,N,,N,,N,,N,,N,,-122.6220496,49.2212835
Inclusion Langley Society,Belmont Residence,Residential Care,3975 202nd St,Langley,V3A 1R9,(604)534-9950,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=FD914F6747E10DC188256D2700703D15,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.6645132,49.0741414
Milieu Family Services Inc.,Bethayne House,Residential Care,17412 58A Ave,Surrey,V3S 1M8,(604)574-2484,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8B59854854522A4B88256D2700703D50,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.7402073,49.1085651
Bethesda Christian Association,Bethesda Abbotsford Home,Residential Care,1895 Jackson St,Abbotsford,V2S 2Z8,(604)858-4211,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=460CE755B6B8702788256B9500708C92,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.3077081,49.0363142
Bethesda Christian Association,Bethesda Chilcotin Home,Residential Care,32704 Chilcotin Dr,Abbotsford,V2T 5S5,(604)744-5274,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=41B301FA01EC4A8D88257B880080775F,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.3183114,49.0710888
Bethesda Christian Association,Bethesda Clearbrook Home,Residential Care,32553 Willingdon Cres,Abbotsford,V2T 1S1,(604)853-0042,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=7B7BF7035AC0AE6388256B950070873B,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.3221005,49.0477168
Bethesda Christian Association,Bethesda Langley Home,Residential Care,20477 93A Ave,Langley,V1M 1B8,(604)882-7492,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C2F887E348CFC3D688256D2700703D5A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.6550127,49.1727066
Bethesda Christian Association,Bethesda Matsqui Home,Residential Care,32768 Bevan Ave,Abbotsford,V2S 1T1,(604)850-3499,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=DEDD26CC73DE11A888256B9500707B2B,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.3166859,49.0416172
Bethesda Christian Association,Bethesda Surrey Home,Residential Care,16321 108th Ave,Surrey,V3R 6C5,(604)581-1858,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F54B2A122AB527D388256D2700703C20,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.770158,49.1989643
Bethesda Christian Association,Bethesda West Abbotsford Home,Residential Care,31126 Kingfisher Dr,Abbotsford,V2T 5K4,(604)854-6762,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E074D5FF5171504288256B950070BD03,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.3618929,49.0576098
Bethesda Christian Association,Bethesda West Clearbrook Home,Residential Care,2339 Arbutus St,Abbotsford,V2T 2V8,(604)850-7311,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=49FB8E3C0B57D7A288256B950070708A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.339746,49.0446238
Trillium Communities,Bevan Village,Residential Care,33386 Bevan Ave,Abbotsford,V2S 5G6,(604)850-5416,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=E506C546F2D8968088257793005ACEBB,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,115,N,,N,,-122.2992395,49.0413325
H.O.M.E. Society,Bradner House,Residential Care,3098 Bradner Rd,Abbotsford,V4X 1K2,(604)856-1892,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=BEBDC7F77CE6C7F188256B95007087A2,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.4244815,49.058856
Sienna-Baltic (Brookside) Inc,Brookside Lodge,Residential Care,19550 Fraser Hwy,Surrey,V3S 6K5,(604)530-6595,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=346268B514DFF52088257CF50068BB63,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,103,N,,Y,13,-122.6809464,49.1141417
Wayne R. Mills,Brookswood Court,Residential Care,3830 200th St,Langley,V3A 1K2,(604)534-3996,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=95FE3A66E519642C88256CA800759017,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,10,N,,N,,N,,N,,N,,-122.6690447,49.0716323
Classic Care Homes Ltd.,Brydon House,Residential Care,19665 55A Ave,Langley,V3A 3X1,(604)532-1769,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B157E3085B75217C882570DE005FD926,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,N,,Y,6,-122.6782902,49.1035697
posAbilities Association of British Columbia,Buckingham House,Residential Care,7516 Imperial St,Burnaby,V5E 1P6,(604)540-7717,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4BDF0C88211D1D5388256D27006FC99D,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.9509928,49.2268549
Achpang Residential Services Ltd,Buena Vista Lodge Ltd,Residential Care,15109 Buena Vista Ave,White Rock,V4B 1Y2,(604)536-6752,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=3C26C63A9BD5B80F88257F6D00007200,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,12,N,,N,,N,,N,,N,,-122.803626,49.0242352
Delta Community Living Society,Cabeldu,Residential Care,6473 Cabeldu Cres,Delta,V4E 1R2,(604)590-4988,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=20061EBDDF59CAA688256D2700703C10,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.9062557,49.1204814
Younghusband Resources Ltd.,Campbell Home,Residential Care,20139 Telep Ave,Maple Ridge,V2X 3M4,(604)460-1225,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F41C534CF7ED1C0B882570AE00756FD1,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.6634862,49.2254665
Ridge Meadows Association For Community Living,Campbell House,Residential Care,21351 Campbell Ave,Maple Ridge,V2X 7G6,(604)463-7101,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=5B08B9AD84CB540E8825769C00695CFE,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.629491,49.2241206
0729187 BC Ltd,Carlton Gardens Care Centre,Residential Care,4108 Norfolk St,Burnaby,V5G 0B4,(604)419-3000,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=A64A0D7F789E855088257A860077770E,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,128,N,,N,,-123.0128497,49.2550436
Burnaby Association For Community Inclusion,Carson House,Residential Care,5155 Carson St,Burnaby,V5J 2Z1,(604)435-8904,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0C11DDB45E7ACE4E88256D27006FC924,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.9894056,49.2096828
Cartier House Care Centre Partnership,Cartier House Care Centre,Residential Care,1419 Cartier Ave,Coquitlam,V3K 2C6,(604)939-4654,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=AE6A3501BE9F50D688256D2700704D81,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,78,N,,N,,-122.8528962,49.241712
posAbilities Association of British Columbia,Catherine House,Residential Care,809 Catherine Ave,Coquitlam,V3J 4L6,(604)298-4606,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=ED26ECD17978BA7D882581DF006ADDAF,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.8758933,49.2701637
Ridge Meadows Association For Community Living,Cedarvale (East),Residential Care,23635 118th Ave,Maple Ridge,V4R 2C9,(604)467-7509,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=68780CCD2D82AF3F88256D2700704D7D,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.5669671,49.2169929
Celebration and Rainbow Manor Ltd,Celebration & Rainbow Manor,Residential Care,10130 159A St,Surrey,V4N 2P8,(604)582-0790,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8B2DD85EFE2A068088256D2700703D42,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,8,N,,-122.77992,49.186408
Chilliwack Society For Community Living,Chadsey House,Residential Care,7400 Sunshine Dr,Chilliwack,V2R 1H6,(604)858-4331,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=4196336422634EA288256B9500708F0E,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,6,N,,-121.9733436,49.1367191
Charlford House Society for Women,Charlford House,Residential Care,6845 Kitchener St,Burnaby,V5B 2J8,(604)420-6601,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=364495A353A805FA88256EBB0065B012,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,Y,15,N,,N,,N,,-122.9623947,49.2718494
Chelsey House (2003) Ltd,Chelsey House 2003 Ltd,Residential Care,4544 216th St,Langley,V3A 2M4,(604)530-0352,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=0C1482DB9DF977D0882574B8007A5346,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,10,N,,N,,N,,N,,N,,-122.6241638,49.0849489
Cherington Intercare Inc,Cherington Place,Residential Care,13453 111A Ave,Surrey,V3R 2C5,(604)581-2885,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B3461426EA2CF57988256D2700703C15,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,Y,75,N,,N,,-122.8492989,49.2054883
Sources Community Resources Society,Chestnut House,Residential Care,4576 55B St,Delta,V4K 3W5,(604)946-0401,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=B39C840C8812AC15882577B6005A3014,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,6,N,,-123.0685534,49.0860239
Chilliwack Lifestyles Holdings (2006) Ltd.,Chilliwack Lifestyles Willow Manor,Residential Care,6980 Vedder Rd,Chilliwack,V2R 4E1,(604)846-0031,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=09EE7D0BCBBD48E3882579AC00607410,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,Y,14,N,,N,,N,,N,,N,,-121.959427,49.128984
Milieu Family Services Inc.,Christel House,Residential Care,11753 82nd Ave,Delta,V4C 2C3,(604)597-1286,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=F06264ADF9B5E0F888256D2700703C25,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.8972743,49.1524706
Classic Care Homes Ltd.,Classic Homestead - South,Residential Care,3364 196th St,Langley,V3A 4T7,(604)533-6904,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=C7BE24505A29316888257022007F32B5,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,N,,Y,6,-122.6805044,49.0634276
Kinsight Community Society,Cochrane House,Residential Care,567 Cochrane Ave,Coquitlam,V3J 2A3,(604)931-5148,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=8631C528D957A2CE88256D2700704BB6,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,5,N,,-122.8878045,49.2521843
posAbilities Association of British Columbia,Columbia House,Residential Care,319 Keary St,New Westminster,V3L 3L2,(604)522-8405,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=9C9EDD949F2A815F882577EB005C513A,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.8939774,49.2258399
Community Living Society,Community Living Society - Neville House,Residential Care,5678 Neville St,Burnaby,V5J 2H9,(604)432-6567,https://www.healthspace.ca/Clients/FHA/FHA_Website.nsf/CCFL-FacilityHistory?OpenView&RestrictToCategory=FEA7AD038744C4E4882572F90073633F,Community Care and Assisted Living Act,Residential Care Regulation,Fraser Health,N,,N,,N,,N,,Y,4,N,,-122.9808733,49.2136422
