FACILITY_NAME,HCC_CODE,HLTH_AUTH,OWNERSHIP,STREET_ADDRESS,CITY,POSTAL,REGULATION,ACCRED_STATUS,DCH_NURSE_LASTYR,DCH_ALLIED_LASTYR,DCH_TOTAL_LASTYR,DCH_NURSE_CURRENTYR,DCH_ALLIED_CURRENTYR,DCH_TOTAL_CURRENTYR,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,latitude,longitude,Total Confirmed Cases,Total Deaths,outbreak,RESIDENT_COUNCIL,FAMILY_COUNCIL,BEDS_PRIVATEprop,INCIDENT_OUTBREAK_100_CAT,INFRACTION_DISEASE_CAT
Fleetwood Place,9.93E+04,Fraser Health,PFP,16011 83rd Ave,Surrey,V4N0N2,Community Care & Assisted Living Act,Accredited,2.48,0.31,2.79,2.73,0.33,3.06,111,108,0,0,1,0,0,1,12,0,0,0,0,0,0,0.9,10.8,0,0,0,0,0,88,61.70%,66.70%,2.20%,"1,327",9.50%,37.80%,38.10%,50.00%,7.40%,2.6,53.70%,0.58,50.30%,65.90%,0.50%,54.80%,28.20%,19.00%,2,4,0,1,1,0,1,0,0,0,0,1,0,0,49.153895,-122.778049,,,0,TRUE,TRUE,0.117117117,0,0
Forest View Place,92960,Interior Health,HA,640 Park Dr.,Clearwater,V0E1N1,Hospital Act,Accredited,2.98,0.31,3.29,2.97,0.31,3.28,21,21,0,0,0,0,0,0,2,0,0,0,0,1,0,0,9.5,0,0,0,0,4.8,90,52.90%,66.50%,2.40%,"1,317",26.30%,12.30%,14.00%,75.40%,8.80%,2.7,52.60%,0.53,0.00%,1.80%,0.00%,45.60%,35.20%,6.30%,0,7,0,0,1,0,3,0,0,0,0,3,0,0,51.64507195,-120.0177478,,,0,TRUE,TRUE,0,0,0
Fort Langley Seniors Community,9ACEC,Fraser Health,PFP,8838 Glover Road,Langley,V1M2R4,Hospital Act,Unknown,2.54,0.32,2.86,2.76,0.34,3.1,96,68,14,0,4,1,0,0,10,0,0,0,1,1,0,0,10.4,0,0,0,1,1,90,66.20%,75.70%,0.40%,"1,120",17.00%,38.30%,31.60%,73.50%,5.30%,2.6,37.70%,0.6,25.40%,69.80%,0.00%,47.50%,20.10%,0.00%,10,4,0,1,0,1,1,1,0,0,0,0,0,0,49.1132513,-122.6442649,,,0,TRUE,TRUE,0.052083333,0,>0
Fort Nelson Multi Level Unit,91552,Northern Health,HA,5315 Liard St,Fort Nelson,V0C1R0,Hospital Act,Accredited,3.18,0.15,3.32,3.21,0.15,3.36,7,7,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,57.60%,33.30%,3.00%,"3,872",12.50%,12.50%,0.00%,25.00%,0.00%,3.6,25.00%,0.5,0.00%,0.00%,0.00%,25.00%,8.50%,11.90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58.8089455,-122.7049735,,,0,FALSE,FALSE,0,0,0
Foyer Maillard,992J9,Fraser Health,PNP,1010 Alderson Avenue,Coquitlam,V3K1W1,Community Care & Assisted Living Act,Not Accredited,3,0.36,3.36,3,0.36,3.36,125,125,0,0,0,0,0,1,3,0,0,0,0,0,0,0.8,2.4,0,0,0,0,0,87,69.40%,62.00%,1.00%,570,32.40%,24.50%,24.50%,64.10%,10.40%,2.6,50.60%,0.56,24.30%,27.60%,0.40%,43.20%,26.20%,4.50%,1,1,0,1,0,0,0,0,0,0,0,0,0,0,49.2392629,-122.8662457,,,0,TRUE,TRUE,0,0,0
Fraser Hope Lodge,9BJC6,Fraser Health,HA,1275-7th Avenue,Hope,V0X1L4,Hospital Act,Unknown,2.91,0.26,3.17,2.91,0.26,3.17,50,46,2,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,89,53.60%,70.00%,3.70%,,34.60%,18.70%,33.00%,67.00%,8.80%,3.1,47.30%,0.59,22.00%,67.00%,4.90%,58.80%,22.50%,2.10%,1,3,0,0,1,1,0,0,0,0,0,1,0,0,49.3773925,-121.4237846,,,0,TRUE,TRUE,0,0,0
Fraserview,99BEI,Vancouver Coastal Health,PFP,9580 Williams Road,Richmond,V7A1H2,Community Care & Assisted Living Act,Accredited,2.58,0.19,2.77,2.65,0.19,2.84,101,33,37,0,0,0,1,0,4,0,0,3,0,0,1,0,4,0,0,3,0,0,90,83.70%,80.70%,0.20%,"1,181",18.50%,49.00%,19.00%,75.10%,3.30%,1.9,71.10%,0.57,1.80%,1.00%,0.00%,21.10%,23.10%,3.10%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1407897,-123.1141556,,,0,TRUE,TRUE,0,>0,0
Gateway Lodge Residential Care,937I0,Northern Health,HA,1488 20th Ave.,Prince George,V2L0A5,Community Care & Assisted Living Act,Accredited,3.29,0.43,3.72,3.18,0.36,3.54,120,120,0,0,1,1,0,0,4,0,1,0,1,0,0,0,3.3,0,0.8,0,0.8,0,80,52.80%,35.90%,12.00%,"1,406",25.60%,22.80%,26.80%,48.10%,5.20%,2.8,44.10%,0.55,0.60%,44.10%,1.20%,62.20%,34.20%,6.60%,3,1,0,0,0,0,0,0,0,0,0,1,0,0,53.905584,-122.7520213,,,0,TRUE,TRUE,0,0,0
George Derby Centre,9BC9J,Fraser Health,PNP,7550 Cumberland St,Burnaby,V3N3X5,Community Care & Assisted Living Act,Accredited,2.54,0.33,2.87,2.69,0.34,3.03,300,284,8,0,5,2,0,3,35,0,0,4,4,2,0,1,11.7,0,0,1.3,1.3,0.7,87,32.80%,65.90%,1.40%,699,19.20%,28.80%,22.10%,60.50%,18.10%,2.2,60.90%,0.56,0.90%,9.30%,0.60%,40.40%,26.10%,5.90%,9,34,4,9,3,2,10,2,0,1,0,2,0,1,49.233602,-122.916488,8,1,1,TRUE,TRUE,0,0,>0
George Pearson Centre,9A5BF,Vancouver Coastal Health,HA,700 West 57th Ave.,Vancouver,V6P1S1,Hospital Act,Accredited,4.85,0.86,5.71,4.85,0.83,5.68,114,54,13,7,1,1,0,0,3,3,1,3,9,0,0,0,2.6,2.6,0.9,2.6,7.9,0,59,24.40%,2.90%,67.50%,"2,042",15.40%,64.60%,31.30%,3.90%,2.50%,3.1,29.40%,0.89,54.50%,56.10%,32.40%,47.40%,24.70%,18.60%,3,8,0,1,1,0,2,0,0,1,0,3,0,0,49.21877,-123.121144,,,0,TRUE,FALSE,0,0,0
German Canadian Care Home,999D6,Vancouver Coastal Health,PNP,2010 Harrison Drive,Vancouver,V5P2P6,Community Care & Assisted Living Act,Accredited,2.58,0.26,2.84,2.67,0.28,2.95,132,76,29,0,0,0,0,0,14,0,1,5,1,0,0,0,10.6,0,0.8,3.8,0.8,0,83,47.60%,52.50%,5.40%,688,14.20%,36.40%,37.30%,52.30%,7.20%,2.5,42.40%,0.52,37.50%,76.50%,42.30%,40.10%,40.50%,10.00%,7,1,0,0,0,0,1,0,0,0,0,0,0,0,49.2098793,-123.0651145,1,0,1,TRUE,TRUE,0,0,0
Gillis House,9AAGI,Interior Health,HA,1699 Tutill Court,Merritt,V1K1C6,Hospital Act & Community Care & Assisted Living Act,Accredited,2.9,0.3,3.2,2.96,0.47,3.43,74,52,7,2,2,1,0,3,11,0,0,1,0,0,0,4.1,14.9,0,0,1.4,0,0,83,59.40%,46.50%,4.70%,484,15.90%,33.60%,29.00%,51.20%,5.70%,2.1,60.80%,0.6,1.40%,0.00%,0.70%,49.50%,34.40%,5.70%,0,2,1,0,0,0,0,0,0,0,0,0,1,0,50.1075263,-120.7861348,,,0,TRUE,TRUE,0,0,0
Glacier View Lodge,99605,Vancouver Island Health,PNP,2450 Back Road,Courtenay,V9N8B5,Community Care & Assisted Living Act,Accredited,2.68,0.34,3.02,2.69,0.39,3.08,102,102,0,0,2,1,1,1,17,0,0,1,3,2,1,1,16.7,0,0,1,2.9,2,81,56.90%,41.70%,7.80%,969,29.00%,20.10%,28.00%,73.50%,11.80%,2.8,41.50%,0.58,25.10%,15.00%,6.40%,60.40%,34.20%,7.20%,4,8,0,0,1,1,4,0,1,0,0,1,0,0,49.690363,-124.96434,,,0,TRUE,TRUE,0,>0,0
Glengarry Hospital,9A60F,Vancouver Island Health,HA,1780 Fairfield Rd.,Victoria,V8S1G7,Hospital Act,Accredited,2.89,0.35,3.24,2.9,0.35,3.25,135,10,18,34,1,0,,,,,,,,,,,,,,,,,82,71.90%,46.30%,9.10%,"1,029",20.10%,36.70%,31.50%,59.70%,10.10%,2.6,48.90%,0.59,0.40%,62.70%,61.40%,43.60%,21.40%,8.80%,1,2,0,1,0,0,0,0,0,0,0,1,0,0,48.4152829,-123.3318857,,,0,FALSE,TRUE,0,unknown,0
Glenmore Lodge,93GE4,Interior Health,PFP,325 Drysdale Blvd.,Kelowna,V1V1P5,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.9,0.35,3.25,118,0,0,0,1,0,0,2,18,0,0,6,2,2,0,1.7,15.3,0,0,5.1,1.7,1.7,85,60.70%,59.50%,4.90%,490,9.20%,10.90%,15.60%,44.80%,5.30%,2.9,42.40%,0.55,0.00%,0.20%,36.90%,36.70%,18.90%,3.70%,1,2,1,1,0,0,0,0,0,0,0,0,0,0,49.9163179,-119.4400778,,,0,FALSE,FALSE,0.152542373,0,0
Glenwarren Lodge,9B7A0,Vancouver Island Health,PFP,1230 Balmoral Rd,Victoria,V8T1B3,Hospital Act,Accredited,2.98,0.18,3.16,2.99,0.18,3.17,104,46,20,11,1,0,,,,,,,,,,,,,,,,,86,85.90%,62.80%,2.90%,514,25.30%,31.10%,39.30%,70.40%,8.70%,3.1,34.70%,0.6,1.00%,10.80%,0.00%,54.20%,19.70%,4.20%,1,2,0,0,1,0,1,0,0,0,0,0,0,0,48.4283883,-123.3486649,,,0,TRUE,TRUE,0,unknown,0
Glenwood Seniors Community,923FA,Fraser Health,PFP,1458 Glenwood Dr,Agassiz,V0M1A3,Community Care & Assisted Living Act,Unknown,2.52,0.3,2.82,2.65,0.3,2.95,44,37,0,0,1,0,0,1,1,0,0,0,0,1,0,2.3,2.3,0,0,0,0,2.3,89,64.80%,73.00%,0.50%,638,25.00%,12.90%,22.60%,80.60%,21.80%,2.8,50.80%,0.58,4.80%,81.50%,0.00%,38.70%,7.30%,0.00%,4,10,0,1,1,3,3,0,1,0,0,1,0,0,49.2308549,-121.7581786,,,0,TRUE,TRUE,0.181818182,0,0
Gorge Road Hospital,93000,Vancouver Island Health,HA,63 Gorge Road East,Victoria,V9A1L2,Hospital Act,Accredited,2.94,0.31,3.25,2.96,0.31,3.27,111,11,4,27,5,0,,,,,,,,,,,,,,,,,83,56.40%,51.30%,8.10%,332,25.60%,29.00%,26.30%,53.50%,8.30%,3.4,36.20%,0.58,1.20%,67.70%,50.70%,44.20%,25.10%,7.70%,1,3,0,0,0,0,1,0,0,0,0,2,0,0,48.44178385,-123.3881016,,,0,TRUE,TRUE,0,unknown,0
Greenwoods,99DD4,Vancouver Island Health,PNP,133 Blain Road,Salt Spring Island,V8K1Z9,Community Care & Assisted Living Act,Accredited,2.93,0.21,3.14,2.95,0.15,3.1,51,51,0,0,14,9,0,4,8,0,0,3,1,0,0,7.8,15.7,0,0,5.9,2,0,88,65.00%,74.70%,0.00%,862,9.70%,38.90%,36.20%,85.90%,8.60%,1.6,70.80%,0.56,0.50%,0.00%,0.00%,41.10%,33.10%,19.50%,18,11,0,3,5,1,0,0,0,0,0,2,0,0,48.861709,-123.51033,,,0,FALSE,TRUE,0,0,0
Guildford Seniors Village,926CA,Fraser Health,PFP,14568 104a Ave.,Surrey,V3R1R3,Community Care & Assisted Living Act,Accredited,2.42,0.3,2.73,2.77,0.33,3.1,101,98,0,0,0,0,0,0,14,0,0,1,2,0,0,0,13.9,0,0,1,2,0,83,44.90%,50.70%,4.40%,873,22.10%,33.30%,40.40%,69.70%,11.10%,2.2,61.10%,0.6,0.00%,62.20%,0.00%,44.20%,26.50%,15.10%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,49.192422,-122.8183,1,0,1,TRUE,TRUE,0.376237624,0,0
Haida Gwaii Hospital and Health Centre,9A76C,Northern Health,HA,3209 Oceanview Drive,Queen Charlotte,V0T1S0,Hospital Act,Accredited,3.29,0.41,3.7,4.19,0.12,4.31,8,0,2,2,,,0,0,1,0,0,0,0,0,0,0,12.5,0,0,0,0,0,83,64.70%,47.10%,0.00%,,4.30%,60.90%,52.20%,65.20%,21.70%,1.5,73.90%,0.62,0.00%,0.00%,0.00%,21.70%,50.90%,1.10%,1,4,0,2,1,0,0,0,0,0,0,1,0,0,53.254868,-132.070526,,,0,FALSE,FALSE,0,0,0
Hardy View Lodge,9ADB9,Interior Health,HA,7649 22nd St.,Grand Forks,V0H1H2,Community Care & Assisted Living Act,Accredited,2.93,0.35,3.28,2.93,0.35,3.28,80,78,2,0,0,0,0,1,1,0,0,0,0,1,0,1.3,1.3,0,0,0,0,1.3,85,64.50%,56.50%,3.30%,855,21.30%,32.60%,13.00%,59.60%,3.90%,3.2,32.20%,0.57,0.00%,10.90%,0.00%,41.70%,31.70%,5.30%,1,3,0,0,1,0,1,0,0,0,0,1,0,0,49.030261,-118.467798,,,0,TRUE,TRUE,0,0,0
Harmony Court Care Centre,91BCE,Fraser Health,PFP,7195 Canada Way,Burnaby,V5E3R7,Community Care & Assisted Living Act,Unknown,2.42,0.31,2.73,2.64,0.31,2.95,55,7,24,0,2,0,0,0,9,0,0,2,3,0,0,0,16.4,0,0,3.6,5.5,0,85,74.10%,59.00%,2.50%,818,14.60%,44.20%,41.20%,77.90%,11.50%,2.6,51.30%,0.55,1.30%,84.50%,0.00%,46.90%,9.70%,19.30%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49.224537,-122.942499,,,0,FALSE,TRUE,0,0,0
Harmony Court Care Centre  - Special Unit,93A2A,Fraser Health,PFP,7195 Canada Way,Burnaby,V5E3R7,Community Care & Assisted Living Act,Unknown,1.99,0.08,2.07,1.99,0.27,2.27,25,25,0,0,,,,,,,,,,,,,,,,,,,84,87.20%,56.90%,4.60%,705,13.60%,0.00%,1.00%,95.10%,1.90%,2.7,50.50%,0.44,1.90%,41.70%,0.00%,35.00%,31.00%,0.00%,,,,,,,,,,,,,,,49.2534087,-122.989119,,,0,FALSE,TRUE,0,unknown,unknown
Haro Park Centre,9A4I4,Vancouver Coastal Health,PNP,1233 Haro Street,Vancouver,V6E3Y5,Community Care & Assisted Living Act,Unknown,2.6,0.2,2.8,2.8,0.22,3.02,154,154,0,0,2,0,0,1,26,1,0,16,4,13,0,0.6,16.9,0.6,0,10.4,2.6,8.4,84,73.50%,55.10%,4.30%,839,36.10%,21.40%,22.10%,67.10%,8.70%,3.3,33.50%,0.52,3.90%,83.70%,1.10%,53.30%,34.10%,7.20%,7,4,0,0,0,0,1,0,0,0,0,3,0,0,49.285771,-123.129,89,13,1,TRUE,FALSE,0,0,0
Haven Hill Retirement Centre,9C2CB,Interior Health,PFP,415 Haven Hill Road,Penticton,V2A4E9,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.99,0.35,3.34,152,152,0,0,10,2,0,6,17,0,0,4,3,3,0,3.9,11.2,0,0,2.6,2,2,86,66.60%,63.10%,3.50%,"1,021",17.80%,28.90%,28.30%,72.60%,6.50%,2.5,52.40%,0.57,38.90%,1.30%,2.40%,34.10%,26.30%,11.00%,3,17,1,2,2,3,4,1,0,0,0,3,1,0,49.497463,-119.58078,,,0,TRUE,TRUE,0.026315789,0,>0
Hawthorne Seniors Care Community,992JA,Fraser Health,PNP,2111 Hawthorne Ave,Port Coquitlam,V3C1W3,Hospital Act,Unknown,2.86,0.3,3.16,2.95,0.32,3.27,131,115,8,0,0,0,1,0,26,0,0,0,2,0,0.8,0,19.8,0,0,0,1.5,0,82,55.50%,49.00%,6.60%,772,12.20%,41.90%,44.10%,53.70%,12.80%,2.2,65.60%,0.59,0.00%,56.90%,0.00%,41.90%,32.70%,2.20%,1,9,0,3,2,1,1,1,0,1,0,0,0,0,49.2570112,-122.7792222,,,0,TRUE,TRUE,0,>0,>0
Henry Durand Manor,9A7GF,Interior Health,HA,803 9th St South,Golden,V0A1H0,Community Care & Assisted Living Act,Accredited,2.83,0.34,3.17,2.87,0.33,3.2,28,28,0,0,0,0,0,0,12,0,0,0,3,1,0,0,42.9,0,0,0,10.7,3.6,85,64.70%,67.60%,6.30%,573,29.40%,33.30%,38.20%,73.50%,2.90%,2.1,59.80%,0.57,8.80%,38.20%,0.00%,56.90%,25.30%,9.30%,2,10,1,2,1,0,2,0,0,0,1,2,1,0,51.2961409,-116.9734392,,,0,TRUE,TRUE,0,0,0
Heritage Square,9BI83,Interior Health,PFP,3904 27th St.,Vernon,V1T4X7,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.98,0.35,3.33,50,50,0,0,0,1,0,0,10,0,0,1,3,0,0,0,20,0,0,2,6,0,86,64.40%,66.10%,5.40%,"1,246",53.60%,18.80%,12.60%,68.10%,2.40%,3.2,29.00%,0.68,4.80%,75.80%,6.30%,67.60%,9.30%,6.40%,1,4,0,0,1,1,2,0,0,0,0,0,0,0,50.270687,-119.26823,,,0,TRUE,TRUE,0,0,0
Heritage Village,9C5BC,Fraser Health,HA,7525 Topaz Dr,Chilliwack,V2R3C9,Hospital Act,Accredited,3.02,0.2,3.22,3.02,0.2,3.22,100,64,12,3,0,0,2,1,21,0,0,0,3,0,2,1,21,0,0,0,3,0,85,54.40%,58.40%,3.40%,940,11.80%,31.00%,43.40%,64.80%,12.70%,2.3,55.20%,0.57,3.40%,58.00%,0.00%,54.90%,27.30%,3.40%,2,10,0,1,1,1,3,1,0,0,0,3,0,0,49.1407098,-121.9665418,,,0,TRUE,TRUE,0,>0,>0
Heron Grove,92IIA,Interior Health,PNP,4900 - 20th Street,Vernon,V1T9W3,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,76,76,0,0,0,0,0,1,5,0,1,0,4,0,0,1.3,6.6,0,1.3,0,5.3,0,83,64.10%,56.20%,7.60%,876,41.50%,29.30%,26.00%,63.30%,7.40%,2.7,47.60%,0.66,6.10%,8.70%,2.60%,55.30%,12.70%,10.80%,2,2,0,0,0,0,1,0,0,0,0,1,0,0,50.28272,-119.26055,,,0,TRUE,TRUE,0,0,0
Hillside Village,92FC0,Interior Health,PNP,2891 15 Ave NE,Salmon Arm,V1E2B8,Community Care & Assisted Living Act,Accredited,2.8,0.35,3.15,2.8,0.35,3.15,112,112,0,0,1,0,1,0,16,0,0,0,2,0,0.9,0,14.3,0,0,0,1.8,0,86,66.80%,57.90%,2.40%,915,17.60%,24.00%,27.90%,75.40%,10.90%,4.1,17.60%,0.57,1.70%,12.00%,5.70%,56.20%,26.60%,15.40%,1,4,0,2,0,0,0,0,0,0,0,1,1,0,50.7112233,-119.252111,,,0,TRUE,TRUE,0,>0,0
Hilltop House,9AIC3,Vancouver Coastal Health,HA,38146 Behrner Drive,Squamish,V8B0C8,Community Care & Assisted Living Act,Accredited,3.04,0.3,3.34,3.04,0.26,3.3,86,82,2,0,0,0,0,0,8,0,1,0,0,4,0,0,9.3,0,1.2,0,0,4.7,80,62.50%,50.00%,12.50%,817,35.40%,27.70%,18.00%,59.20%,6.10%,1.7,68.50%,0.56,5.10%,4.80%,0.00%,49.80%,16.60%,1.40%,3,4,0,2,1,0,1,0,0,0,0,0,1,0,49.699648,-123.14,,,0,TRUE,TRUE,0,0,0
Hilton Villa Seniors Community,917D8,Fraser Health,PFP,13525 Hilton Rd,Surrey,V3R5J3,Community Care & Assisted Living Act,Accredited,2.42,0.31,2.73,2.76,0.34,3.1,157,83,36,0,3,1,3,1,18,0,0,0,3,0,1.9,0.6,11.5,0,0,0,1.9,0,86,69.80%,62.90%,5.10%,749,20.70%,33.20%,37.50%,66.50%,12.70%,2.9,43.10%,0.59,45.30%,3.80%,0.00%,45.80%,10.20%,6.70%,10,1,0,1,0,0,0,0,0,0,0,0,0,0,49.20242145,-122.8467273,,,0,TRUE,TRUE,0.01910828,>0,0
Hogg and Weatherby Pavilions - Peace Arch Hospital,9A58I,Fraser Health,HA,15521 Russell Ave.,White Rock,V4B2R4,Hospital Act,Unknown,3.01,0.39,3.39,3.01,0.39,3.4,234,30,78,12,2,0,2,0,24,0,0,1,2,0,0.9,0,10.3,0,0,0.4,0.9,0,90,73.90%,76.90%,2.20%,785,17.70%,28.00%,24.20%,48.30%,8.60%,2.6,52.30%,0.57,15.50%,67.00%,12.40%,48.20%,18.80%,3.20%,2,3,1,1,1,0,0,0,0,0,0,0,0,0,49.03015955,-122.7923696,,,0,TRUE,TRUE,0,>0,0
Holy Family Hospital,9A5D8,Vancouver Coastal Health,PNP,7801 Argyle St.,Vancouver,V5P3L6,Hospital Act,Accredited,2.94,0.25,3.19,3.31,0.29,3.6,126,9,6,21,0,0,2,0,7,0,0,0,0,0,1.6,0,5.6,0,0,0,0,0,85,79.10%,58.30%,4.00%,761,24.80%,36.60%,29.70%,52.80%,3.90%,2.8,48.60%,0.62,7.30%,9.60%,7.30%,49.20%,17.50%,2.90%,2,4,0,2,0,0,2,0,0,0,0,0,0,0,49.213284,-123.073098,88,21,1,TRUE,TRUE,0,>0,0
Holyrood Manor,91842,Fraser Health,PFP,22710 Holyrood Ave,Maple Ridge,V2X3E6,Hospital Act,Accredited,2.78,0.35,3.12,2.8,0.35,3.15,125,0,0,0,0,0,1,2,15,0,0,0,4,1,0.8,1.6,12,0,0,0,3.2,0.8,86,81.50%,58.30%,3.30%,"1,196",31.00%,19.90%,25.20%,71.90%,11.90%,2.3,52.80%,0.61,0.00%,70.60%,0.00%,50.10%,20.00%,1.20%,1,3,0,0,1,1,0,1,0,0,0,0,0,0,49.2122959,-122.5939042,,,0,FALSE,TRUE,0.016,>0,>0
Houston Health Centre,937C0,Northern Health,HA,3202 - 14th St,Houston,V0J1Z0,Community Care & Assisted Living Act,Accredited,5.26,0,5.26,7.65,0,7.65,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,81.00%,42.90%,19.00%,701,18.20%,27.30%,27.30%,72.70%,0.00%,2.5,54.50%,0.56,45.50%,54.50%,0.00%,63.60%,81.00%,8.70%,2,13,0,1,0,0,6,0,1,0,0,5,0,0,54.396218,-126.65281,,,0,FALSE,FALSE,0,0,0
Inglewood Care Centre,999J9,Vancouver Coastal Health,PFP,725 Inglewood Avenue,West Vancouver,V7T1X5,Hospital Act & Community Care & Assisted Living Act,Unknown,2.71,0.22,2.93,2.81,0.23,3.04,230,196,17,0,5,4,0,2,32,1,0,7,7,11,0,0.9,13.9,0.4,0,3,3,4.8,86,65.40%,66.40%,2.10%,"1,062",29.20%,30.00%,38.90%,76.30%,11.90%,2.9,40.90%,0.54,6.30%,22.50%,0.00%,53.40%,19.90%,3.80%,13,8,0,2,0,1,4,0,0,1,0,0,2,0,49.3354367,-123.1356688,1,0,1,TRUE,TRUE,0,0,0
Jackman Manor,9ADHD,Fraser Health,PNP,27477 28 Ave,Aldergrove,V4W3L9,Community Care & Assisted Living Act,Not Accredited,2.48,0.31,2.79,2.73,0.33,3.06,88,88,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1.1,0,0,0,0,0,88,70.10%,72.00%,1.40%,"1,118",22.60%,28.70%,36.40%,77.70%,7.30%,2.2,58.70%,0.54,7.90%,2.10%,0.00%,44.90%,15.50%,4.90%,3,9,0,1,4,1,2,0,0,0,0,1,0,0,49.0538233,-122.4630403,,,0,TRUE,TRUE,0,0,0
Jackson House - Ashcroft Hospital and Health Centre,9A6I3,Interior Health,HA,700 Ash-Cache Creek Hwy,Ashcroft,V0K1A0,Hospital Act,Accredited,2.84,0.47,3.31,2.84,0.47,3.31,22,20,1,1,0,0,0,1,1,0,1,0,0,0,0,4.5,4.5,0,4.5,0,0,0,87,72.50%,60.00%,2.50%,"1,095",28.60%,40.50%,9.50%,56.00%,1.20%,3.3,33.30%,0.58,16.70%,0.00%,0.00%,44.00%,32.90%,1.90%,1,5,0,2,1,0,1,0,0,0,0,1,0,0,50.731887,-121.278471,,,0,TRUE,TRUE,0,0,0
James Bay Care Centre,9C426,Vancouver Island Health,PFP,336 Simcoe St.,Victoria,V8V1L2,Community Care & Assisted Living Act,Accredited,2.85,0.24,3.1,2.98,0.27,3.25,115,95,10,0,1,0,0,0,11,0,0,4,0,0,0,0,9.6,0,0,3.5,0,0,85,71.60%,59.00%,2.30%,673,29.30%,13.10%,17.40%,71.20%,10.60%,2.8,47.10%,0.58,0.00%,72.40%,0.00%,49.20%,10.90%,0.40%,2,5,0,0,0,0,0,0,1,0,0,4,0,0,48.4173083,-123.376914,,,0,TRUE,FALSE,0,0,0
Joseph Creek Village,92IJA,Interior Health,PFP,1901 Willowbrook Dr,Cranbrook,V1C6S4,Community Care & Assisted Living Act,Unknown,2.8,0.35,3.15,2.95,0.35,3.3,102,102,0,0,4,1,0,2,9,0,0,5,2,0,0,2,8.8,0,0,4.9,2,0,80,64.30%,39.30%,11.30%,"1,311",25.80%,24.00%,29.30%,56.80%,5.00%,3.3,31.50%,0.61,29.80%,72.80%,42.00%,45.00%,29.80%,5.20%,8,15,1,1,5,2,2,0,1,1,0,2,0,0,49.5270986,-115.7452938,,,0,TRUE,TRUE,0.019607843,0,0
Jubilee Lodge,9A69E,Northern Health,HA,1475 Edmonton Street,Prince George,V2M1S2,Hospital Act,Accredited,2.86,0.25,3.11,2.9,0.45,3.36,66,4,3,14,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,50.10%,48.90%,5.20%,"1,131",17.80%,38.20%,40.80%,65.80%,3.30%,2.5,47.40%,0.59,0.00%,61.20%,1.30%,42.80%,24.60%,16.50%,1,6,0,3,0,0,0,0,0,0,0,2,1,0,53.9120966,-122.7626315,,,0,TRUE,TRUE,0,0,0
Jubilee Multi Generational Housing Society,99C25,Fraser Health,PNP,3460 Kalyk Avenue,Burnaby,V5G3B2,Community Care & Assisted Living Act,Not Accredited,2.48,0.31,2.79,2.69,0.31,3,60,12,18,3,3,1,2,3,7,0,0,2,0,1,3.3,5,11.7,0,0,3.3,0,1.7,89,68.90%,71.60%,0.00%,656,20.90%,37.80%,47.40%,28.30%,4.30%,3.4,33.50%,0.59,12.60%,1.30%,0.00%,40.00%,7.70%,1.30%,3,11,0,4,3,0,0,3,0,0,0,1,0,0,49.2528169,-123.0130025,,,0,TRUE,TRUE,0,>0,>0
