"Facility Name","Facility Address",City,Province,Postal,Country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Riding Code","Riding Name (French)","Riding Name (English)","Statcan Census Division id","Statcan Census Division Name","Statcan Census Division Type","Statcan Census Division Type Description","Statcan Census Consolidated Subdivision id","Statcan Census Consolidated Subdivision Name","Statcan Census Subdivision id","Statcan Census Subdivision Name","Statcan Census Subdivision Type","Statcan Census Subdivision Type Description","Statcan Census Economic Region","Statcan Census Statistical Area Code","Statcan Census Statistical Area Code Description","Statcan Census Statistical Area Type","Statcan Census Statistical Area Type Description","Statcan Census CMA/CA id","Statcan Census CMA/CA Name","Statcan Census CMA/CA Type","Statcan Census CMA/CA Type Description","Statcan Census Tract","Statcan Census Year"
"Hythe Continuing Care Centre","10307 100 Street PO Box 100 HYTHE, Alberta T0H 2C0",HYTHE,Alberta,"T0H 2C0",Canada,58.515549,-117.1363,1,range_interpolation,10307,"100th St",,,Nampa,AB,,T0H,CA,"CanVec+ by Natural Resources Canada",48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",4817,"Division No. 17",CDR,"Census division / Division de recensement CT County / Comté",4817095,"Mackenzie County",4817093,"High Level",T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Innisfail Health Centre","5023 42 Street INNISFAIL, Alberta T4G 1A9",INNISFAIL,Alberta,"T4G 1A9",Canada,52.020008,-113.951336,1,rooftop,5023,"42nd St",,,Innisfail,AB,,T4G,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48029,"Red Deer--Mountain View","Red Deer--Mountain View",4808,"Division No.  8",CDR,"Census division / Division de recensement CT County / Comté",4808001,"Red Deer County",4808008,Innisfail,T,Town,"Red Deer",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Intercare Brentwood Care Centre","2727 16 Avenue NW CALGARY, Alberta T2N 3Y6",CALGARY,Alberta,"T2N 3Y6",Canada,51.067737,-114.125021,1,rooftop,2727,"16th Ave NW",,,Calgary,AB,,T2N,CA,"City of Calgary",48005,"Calgary Confederation","Calgary Confederation",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250055.00,2016
"Intercare Chinook Care Centre","1261 Glenmore Trail SW CALGARY, Alberta T2V 4Y8",CALGARY,Alberta,"T2V 4Y8",Canada,50.993801,-114.089877,0.8,rooftop,1261,"Glenmore Tr SW",,,Calgary,AB,,T2V,CA,"City of Calgary",48007,"Calgary Heritage","Calgary Heritage",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250014.00,2016
"Intercare Southwood Care Centre","211 Heritage Drive, SE CALGARY, Alberta T2H 1M9",CALGARY,Alberta,"T2H 1M9",Canada,50.979406,-114.066489,1,rooftop,211,"Heritage Dr SE",,,Calgary,AB,,T2H,CA,"City of Calgary",48008,"Calgary Midnapore","Calgary Midnapore",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250010.00,2016
"J.B. Wood Continuing Care Centre","46206 53 Avenue HIGH PRAIRIE, Alberta T0G1E0","HIGH PRAIRIE",Alberta," T0G1E0",Canada,55.432691,-116.496937,0.6,street_center,,"53rd Ave",,,"High Prairie",AB,,T0G,CA,"CanVec+ by Natural Resources Canada",48028,"Peace River--Westlock","Peace River--Westlock",4817,"Division No. 17",CDR,"Census division / Division de recensement CT County / Comté",4817027,"Big Lakes County",4817021,"High Prairie",T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Jasper Place Continuing Care Centre","8903 168 Street EDMONTON, Alberta T5R 2V6",EDMONTON,Alberta,"T5R 2V6",Canada,53.524357,-113.611787,0.9,rooftop,8903,"168th St NW",,,Edmonton,AB,,T5R,CA,"City of Edmonton",48020,Edmonton-Ouest,"Edmonton West",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350026.01,2016
"Jubilee Lodge Nursing Home","10333 76 Street EDMONTON, Alberta T6A 3A8",EDMONTON,Alberta,"T6A 3A8",Canada,53.545681,-113.444082,0.68,nearest_rooftop_match,10315,"76th St NW",,,Edmonton,AB,,T6A,CA,"City of Edmonton",48019,"Edmonton Strathcona","Edmonton Strathcona",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350039.00,2016
"Kensington Village Continuing Care Centre (LTC)","12603 135 Avenue EDMONTON, Alberta T5L 5B2",EDMONTON,Alberta,"T5L 5B2",Canada,53.595764,-113.539686,0.9,rooftop,12603,"135th Ave NW",,,Edmonton,AB,,T5L,CA,"City of Edmonton",48015,"Edmonton Griesbach","Edmonton Griesbach",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350066.02,2016
"Killam Health Care Centre","5203 49 Avenue, Box 40 KILLAM, Alberta T0B 2L0",KILLAM,Alberta,"T0B 2L0",Canada,52.349481,-110.266256,1,range_interpolation,5203,"49th Ave",,,Irma,AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807001,"Provost No. 52",4807002,Provost,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Killam Health Care Centre","5203 49 Avenue, Box 40 KILLAM, Alberta T0B 2L0",KILLAM,Alberta,"T0B 2L0",Canada,52.349481,-110.266256,1,range_interpolation,5203,"49th Ave",,,Irma,AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807001,"Provost No. 52",4807002,Provost,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"La Crete Continuing Care Centre","10601 100 Avenue Box 295 LA CRETE, Alberta T0H 2H0","LA CRETE",Alberta,"T0H 2H0",Canada,58.520459,-117.142903,1,range_interpolation,10601,"100th Ave",,,Nampa,AB,,T0H,CA,"CanVec+ by Natural Resources Canada",48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",4817,"Division No. 17",CDR,"Census division / Division de recensement CT County / Comté",4817095,"Mackenzie County",4817093,"High Level",T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Lacombe Hospital And Care Centre","5430 47 Avenue LACOMBE, Alberta T4L 1G8",LACOMBE,Alberta,"T4L 1G8",Canada,52.460173,-113.739037,1,point,5430,"47th Ave",,,Lacombe,AB,,T4L,CA,"CanVec+ by Natural Resources Canada",48030,"Red Deer--Lacombe","Red Deer--Lacombe",4808,"Division No.  8",CDR,"Census division / Division de recensement CT County / Comté",4808022,"Lacombe County",4808031,Lacombe,CY,City,"Red Deer",832,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",832,Lacombe,D,"Census agglomeration (CA) that is not tracted",,2016
"Lamont Health Care Centre","5216 53 Street Bag 10 LAMONT, Alberta T0B 2R0",LAMONT,Alberta,"T0B 2R0",Canada,52.762499,-110.463576,1,point,5216,"53rd St",,,Irma,AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807049,"Wainwright No. 61",4807052,Edgerton,VL,Village,Camrose--Drumheller,999,"No influence",7,"Census subdivision outside of census metropolitan area/census agglomeration area having no metropolitan influence",,,,,,2016
"Lloydminster Continuing Care Centre","7402 ‚Äö√Ñ√¨ 29th Street, LLOYDMINSTER, Alberta, T9V 3N1",LLOYDMINSTER,Alberta,"T9V 3N1",Canada,53.263899,-110.051809,0.87,range_interpolation,7402,"29th St",,,Lloydminster,AB,,T9V,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810036,"Vermilion River County",4810039,"Lloydminster (Part)",CY,City,Camrose--Drumheller,840,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",840,"Lloydminster (Alberta part / partie de l'Alberta)",D,"Census agglomeration (CA) that is not tracted",,2016
"Louise Jensen Care Centre","5400 46 Avenue CAMROSE, Alberta T4V 4P8",CAMROSE,Alberta,"T4V 4P8",Canada,53.021029,-112.818509,0.4,street_center,,"46th St",,,Camrose,AB,,T4V,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810001,"Camrose County",4810011,Camrose,CY,City,Camrose--Drumheller,833,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",833,Camrose,D,"Census agglomeration (CA) that is not tracted",,2016
"Milk River Health Centre","517 Centre Avenue East MILK RIVER, Alberta T0K1M0","MILK RIVER",Alberta," T0K1M0",Canada,49.148261,-112.07843,1,point,517,"Centre Ave E",,,"Milk River",AB,,T0K,CA,"CanVec+ by Natural Resources Canada",48027,"Medicine Hat--Cardston--Warner","Medicine Hat--Cardston--Warner",4802,"Division No.  2",CDR,"Census division / Division de recensement CT County / Comté",4802001,"Warner County No. 5",4802004,"Milk River",T,Town,"Lethbridge--Medicine Hat",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Manning Community Health Centre","600 2 Street NE MANNING, Alberta T0H 2M0",MANNING,Alberta,"T0H 2M0",Canada,56.926706,-117.624807,1,point,600,"2nd St NE",,,McLennan,AB,,T0H,CA,"CanVec+ by Natural Resources Canada",48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",4817,"Division No. 17",CDR,"Census division / Division de recensement CT County / Comté",4817076,"Northern Lights County",4817078,Manning,T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Mannville Care Centre","5007 46 Street MANNVILLE, Alberta T0B 2W0",MANNVILLE,Alberta,"T0B 2W0",Canada,53.336357,-111.173472,1,range_interpolation,5007,"46th St",,,Provost,AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810026,"Minburn County No. 27",4810034,Mannville,VL,Village,Camrose--Drumheller,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Manoir Du Lac (LTC)","164 3 Avenue NW MCLENNAN, Alberta T0H 2L0",MCLENNAN,Alberta,"T0H 2L0",Canada,55.711521,-116.906767,0.7,point,164,"3rd Ave NE",,,McLennan,AB,,T0H,CA,"CanVec+ by Natural Resources Canada",48028,"Peace River--Westlock","Peace River--Westlock",4819,"Division No. 19",CDR,"Census division / Division de recensement CT County / Comté",4819041,"Smoky River No. 130",4819042,McLennan,T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Mary Immaculate Hospital","Polomark Drive and 53 Street Box 349 MUNDARE,  Alberta  T0B3H0",MUNDARE,Alberta," T0B3H0",Canada,53.594043,-112.3399,0.8,place,,,,,Mundare,AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810058,"Lamont County",4810061,Mundare,T,Town,Camrose--Drumheller,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Mayerthorpe Healthcare Centre","4417 45 Street MAYERTHORPE, Alberta T0E1N0",MAYERTHORPE,Alberta," T0E1N0",Canada,53.952367,-115.13841,0.27,place,,,,,Mayerthorpe,AB,,T0E,CA,"CanVec+ by Natural Resources Canada",48034,Yellowhead,Yellowhead,4813,"Division No. 13",CDR,"Census division / Division de recensement CT County / Comté",4813001,"Lac Ste. Anne County",4813002,Mayerthorpe,T,Town,"Athabasca--Grande Prairie--Peace River",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Mayfair Care Centre","8240 Collicut Street SW CALGARY, Alberta T2V 2X1",CALGARY,Alberta,"T2V 2X1",Canada,50.980369,-114.094138,1,rooftop,8240,"Collicutt St SW",,,Calgary,AB,,T2V,CA,"City of Calgary",48007,"Calgary Heritage","Calgary Heritage",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250014.00,2016
"McKenzie Towne Care Centre","80 Promenade Way SE CALGARY,  Alberta  T2Z4G4",CALGARY,Alberta," T2Z4G4",Canada,50.913739,-113.963596,1,rooftop,80,"Promenade Way SE",,,Calgary,AB,,T2Z,CA,"City of Calgary",48011,"Calgary Shepard","Calgary Shepard",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250002.17,2016
"Miller Crossing Care Centre","14251 50 Street NW EDMONTON, Alberta T5A 5J4",EDMONTON,Alberta,"T5A 5J4",Canada,53.605486,-113.416204,0.9,rooftop,14251,"50th St NW",,,Edmonton,AB,,T5Y,CA,"City of Edmonton",48016,"Edmonton Manning","Edmonton Manning",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350075.11,2016
"Millrise Place (LTC)","14911 5 Street SW CALGARY, Alberta T2Y 5B9",CALGARY,Alberta,"T2Y 5B9",Canada,50.919174,-114.072675,1,rooftop,14911,"5th St SW",,,Calgary,AB,,T2Y,CA,"City of Calgary",48008,"Calgary Midnapore","Calgary Midnapore",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250001.25,2016
"Millwoods Shepherd‚Äö√Ñ√¥s Care Centre","6620 28 Avenue EDMONTON, Alberta T6K 2R1",EDMONTON,Alberta,"T6K 2R1",Canada,53.459217,-113.436784,0.9,rooftop,6620,"28th Ave NW",,,Edmonton,AB,,T6K,CA,"City of Edmonton",48017,"Edmonton Mill Woods","Edmonton Mill Woods",4811,"Division No. 11",CDR,"Census division / Division de recensement CT County / Comté",4811061,Edmonton,4811061,Edmonton,CY,City,Edmonton,835,"CMA or CA",1,"Census subdivision within census metropolitan area",835,Edmonton,B,"Census metropolitan area (CMA)",8350090.04,2016
"Mineral Springs Hospital","305 Lynx Street PO Box 1050 BANFF, Alberta T1L 1H7",BANFF,Alberta,"T1L 1H7",Canada,51.178842,-115.574436,1,point,305,"Lynx St",,,Banff,AB,,T1L,CA,"CanVec+ by Natural Resources Canada",48001,Banff--Airdrie,Banff--Airdrie,4815,"Division No. 15",CDR,"Census division / Division de recensement CT County / Comté",4815045,"Ranchland No. 66",4815035,Banff,T,Town,"Banff--Jasper--Rocky Mountain House",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Mineral Springs Hospital","305 Lynx Street PO Box 1050 BANFF, Alberta T1L 1H7",BANFF,Alberta,"T1L 1H7",Canada,51.178842,-115.574436,1,point,305,"Lynx St",,,Banff,AB,,T1L,CA,"CanVec+ by Natural Resources Canada",48001,Banff--Airdrie,Banff--Airdrie,4815,"Division No. 15",CDR,"Census division / Division de recensement CT County / Comté",4815045,"Ranchland No. 66",4815035,Banff,T,Town,"Banff--Jasper--Rocky Mountain House",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Mount Royal Care Centre","1813 9 Street SW CALGARY, Alberta T2T 3C2",CALGARY,Alberta,"T2T 3C2",Canada,51.036247,-114.084467,1,rooftop,1813,"9th St SW",,,Calgary,AB,,T2T,CA,"City of Calgary",48004,Calgary-Centre,"Calgary Centre",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250027.00,2016
"Newport Harbour Care Centre","10 Country Village Cove NE CALGARY, Alberta T3K 6B4",CALGARY,Alberta,"T3K 6B4",Canada,51.156058,-114.059618,1,rooftop,10,"Country Village Cv NE",,,Calgary,AB,,T3K,CA,"City of Calgary",48013,"Calgary Skyview","Calgary Skyview",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250076.22,2016
"Northcott Care Centre (Ponoka)","4209 48 Avenue PONOKA, Alberta T5J 1P4",PONOKA,Alberta,"T5J 1P4",Canada,52.673027,-113.564305,0.9,point,4209,"48th Ave",,,Ponoka,AB,,T4J,CA,"CanVec+ by Natural Resources Canada",48030,"Red Deer--Lacombe","Red Deer--Lacombe",4808,"Division No.  8",CDR,"Census division / Division de recensement CT County / Comté",4808038,"Ponoka County",4808039,Ponoka,T,Town,"Red Deer",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Northern Lights Regional Health Centre","7 Hospital Street FORT MCMURRAY, Alberta T9H 1P2","FORT MCMURRAY",Alberta,"T9H 1P2",Canada,56.71679,-111.363267,1,point,7,"Hospital St",,,"Fort Mcmurray",AB,,T9H,CA,"CanVec+ by Natural Resources Canada",48023,"Fort McMurray--Cold Lake","Fort McMurray--Cold Lake",4816,"Division No. 16",CDR,"Census division / Division de recensement CT County / Comté",4816037,"Wood Buffalo",4816037,"Wood Buffalo",SM,"Specialized municipality","Wood Buffalo--Cold Lake",860,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",860,"Wood Buffalo",K,"Census agglomeration (CA) that is tracted",8600003.00,2016
"Northwest Health Centre","11202 100 Avenue HIGH LEVEL, Alberta T0H 1Z0","HIGH LEVEL",Alberta,"T0H 1Z0",Canada,58.514586,-117.159873,1,point,11202,"100th Ave",,,Nampa,AB,,T0H,CA,"CanVec+ by Natural Resources Canada",48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",4817,"Division No. 17",CDR,"Census division / Division de recensement CT County / Comté",4817095,"Mackenzie County",4817093,"High Level",T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Oilfields General Hospital","717 Government Road BLACK DIAMOND, Alberta T0L 0H0","BLACK DIAMOND",Alberta,"T0L 0H0",Canada,50.686012,-114.232773,0.5,street_center,,"Government Rd S",,,"Black Diamond",AB,,T0L,CA,"CanVec+ by Natural Resources Canada",48022,Foothills,Foothills,4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806001,"Foothills No. 31",4806011,"Black Diamond",T,Town,Calgary,996,Strong,4,"Census subdivision outside of census metropolitan area/census agglomeration area having strong metropolitan influence",,,,,,2016
"Olds Hospital And Care Centre","3901 57 Avenue OLDS, Alberta T4H 1T4",OLDS,Alberta,"T4H 1T4",Canada,51.801461,-114.119755,1,rooftop,3901,"57th Ave",,,Olds,AB,,T4H,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48029,"Red Deer--Mountain View","Red Deer--Mountain View",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806028,"Mountain View County",4806034,Olds,T,Town,Calgary,997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Our Lady Of The Rosary Hospital","5402 47 Street CASTOR, Alberta T0C 0X0",CASTOR,Alberta,"T0C 0X0",Canada,52.223287,-111.906991,1,rooftop,5402,"47th St",,,Castor,AB,,T0C,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807011,"Paintearth County No. 18",4807014,Castor,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Our Lady Of The Rosary Hospital","5402 47 Street CASTOR, Alberta T0C 0X0",CASTOR,Alberta,"T0C 0X0",Canada,52.223287,-111.906991,1,rooftop,5402,"47th St",,,Castor,AB,,T0C,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807011,"Paintearth County No. 18",4807014,Castor,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Peace River Community Health Centre","10101 68 Street PEACE RIVER, Alberta T8S 1T6","PEACE RIVER",Alberta,"T8S 1T6",Canada,56.230554,-117.355814,1,point,10101,"68th St",,,"Peace River",AB,,T8S,CA,"CanVec+ by Natural Resources Canada",48028,"Peace River--Westlock","Peace River--Westlock",4819,"Division No. 19",CDR,"Census division / Division de recensement CT County / Comté",4819071,"Peace No. 135",4819038,"Peace River",T,Town,"Athabasca--Grande Prairie--Peace River",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Pincher Creek Health Centre","1222 Mill Ave PINCHER CREEK, Alberta T0K 1W0","PINCHER CREEK",Alberta,"T0K 1W0",Canada,49.485667,-113.950292,0.27,place,,,,,"Pincher Creek",AB,,T0K,CA,"CanVec+ by Natural Resources Canada",48022,Foothills,Foothills,4803,"Division No.  3",CDR,"Census division / Division de recensement CT County / Comté",4803011,"Pincher Creek No. 9",4803014,"Pincher Creek",T,Town,"Lethbridge--Medicine Hat",998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Points West Living Grande Prairie (LTC)","11460 104 Avenue GRANDE PRAIRIE, Alberta T8V 3G9","GRANDE PRAIRIE",Alberta,"T8V 3G9",Canada,55.174291,-118.840599,1,rooftop,11460,"104th Ave",,,"Grande Prairie",AB,,T8V,CA,"Contains information licensed under the Open Government Licence – Alberta Municipal Data Sharing Partnership (AMDSP)",48024,"Grande Prairie--Mackenzie","Grande Prairie--Mackenzie",4819,"Division No. 19",CDR,"Census division / Division de recensement CT County / Comté",4819006,"Grande Prairie County No. 1",4819012,"Grande Prairie",CY,City,"Athabasca--Grande Prairie--Peace River",850,"CMA or CA",2,"Census subdivision within census agglomeration with at least one census tract",850,"Grande Prairie",K,"Census agglomeration (CA) that is tracted",8500011.00,2016
"Ponoka Hospital And Care Centre","5800 57 Avenue PONOKA, Alberta T4J 1P1",PONOKA,Alberta,"T4J 1P1",Canada,52.683245,-113.589572,1,point,5800,"57th Ave",,,Ponoka,AB,,T4J,CA,"CanVec+ by Natural Resources Canada",48030,"Red Deer--Lacombe","Red Deer--Lacombe",4808,"Division No.  8",CDR,"Census division / Division de recensement CT County / Comté",4808038,"Ponoka County",4808039,Ponoka,T,Town,"Red Deer",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
"Providence Care Centre (LTC)","149 Providence Boulevard SE CALGARY, Alberta, T2X 0X2",CALGARY,Alberta,"T2X 0X2",Canada,50.921196,-114.063487,1,rooftop,149,"Providence Bv SE",,,Calgary,AB,,T2X,CA,"City of Calgary",48008,"Calgary Midnapore","Calgary Midnapore",4806,"Division No.  6",CDR,"Census division / Division de recensement CT County / Comté",4806016,Calgary,4806016,Calgary,CY,City,Calgary,825,"CMA or CA",1,"Census subdivision within census metropolitan area",825,Calgary,B,"Census metropolitan area (CMA)",8250001.08,2016
"Provost Health Centre","5002 54 Avenue Box 270 PROVOST, Alberta T0B 3S0",PROVOST,Alberta,"T0B 3S0",Canada,52.357168,-110.264871,1,point,5002,"54th Ave",,,Provost,AB,,T0B,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4807,"Division No.  7",CDR,"Census division / Division de recensement CT County / Comté",4807001,"Provost No. 52",4807002,Provost,T,Town,Camrose--Drumheller,998,Weak,6,"Census subdivision outside of census metropolitan area/census agglomeration area having weak metropolitan influence",,,,,,2016
"Rosehaven Care Centre","4612 53 Street CAMROSE,  Alberta  T4V1Y6",CAMROSE,Alberta," T4V1Y6",Canada,53.014349,-112.831155,1,point,4612,"53rd St",,,Camrose,AB,,T4V,CA,"CanVec+ by Natural Resources Canada",48002,"Battle River--Crowfoot","Battle River--Crowfoot",4810,"Division No. 10",CDR,"Census division / Division de recensement CT County / Comté",4810001,"Camrose County",4810011,Camrose,CY,City,Camrose--Drumheller,833,"CMA or CA",3,"Census subdivision within census agglomeration having no census tracts",833,Camrose,D,"Census agglomeration (CA) that is not tracted",,2016
"Radway Continuing Care Centre","Hwy 28, Range Road 205 RADWAY, Alberta T0A 2V0",RADWAY,Alberta,"T0A 2V0",Canada,54.060379,-112.94656,0.8,place,,,,,Radway,AB,,T0A,CA,"CanVec+ by Natural Resources Canada",48025,Lakeland,Lakeland,4813,"Division No. 13",CDR,"Census division / Division de recensement CT County / Comté",4813036,"Thorhild County",4813036,"Thorhild County",MD,"Municipal district","Athabasca--Grande Prairie--Peace River",997,Moderate,5,"Census subdivision outside of census metropolitan area/census agglomeration area having moderate metropolitan influence",,,,,,2016
