index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,111
315,vista dental,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T1B4Y2,medicine hat,ab,,Medicine Hat,,48,,,
316,vulcan community health centre,general,Hospitals,Public Health Agency of Canada,,610,elizabeth st s,T0L2B0,vulcan,ab,610 elizabeth st. s. vulcan ab t0l 2b0,Vulcan,4805006,48,50.3961012,-113.2588,
317,wabasca/desmarais healthcare centre,,Ambulatory health care services,Province of Alberta,,881,mistassiniy road,T0G2K0,wabasca,ab,"881 mistassiniy road, wabasca, alberta, t0g 2k0",Desmarais,4817855,48,55.9429643,-113.8018573,
318,wainwright health centre,general,Hospitals,Public Health Agency of Canada,,530,6 ave,T9W1R6,wainwright,ab,530 - 6th ave. wainwright ab t9w 1r6,Wainwright,4807054,48,52.840949,-110.865862,
319,weiss clinic,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T6W2Z8,edmonton,ab,,Edmonton,,48,,,
320,westlock healthcare centre (h),general,Hospitals,Public Health Agency of Canada,,10220,93 st,T7P2G4,westlock,ab,10220 - 93rd st. westlock ab t7p 2g4,Westlock,4813031,48,54.14653,-113.853259,
321,westview care community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0M1J0,linden,ab,,Linden,,48,,,
322,westview health centre,general,Hospitals,Public Health Agency of Canada,,4405,south park dr,T7Z2M7,stony plain,ab,4405 south park dr. stony plain ab t7z 2m7,Stony Plain,4811048,48,53.537465,-113.977133,
323,westview health centre - stony plain,,Ambulatory health care services,Province of Alberta,,4405,south park drive,T7Z2M7,stony plain,ab,"4405 ñ south park drive, stony plain, alberta, t7z 2m7",Stony Plain,4811048,48,53.53827,-113.978791,
324,wetaskiwin hospital & care centre,general,Hospitals,Public Health Agency of Canada,,6910,47 st,T9A3N3,wetaskiwin,ab,6910 - 47th st. wetaskiwin ab t9a 3n3,Wetaskiwin,4811002,48,52.986764,-113.367947,
325,whitecourt healthcare centre,general,Hospitals,Public Health Agency of Canada,,20,sunset blvd,T7S1M8,whitecourt,ab,20 sunset blvd. whitecourt ab t7s 1m8,Whitecourt,4813030,48,54.131598,-115.674435,
326,william j. cadzow - lac la biche healthcare centre,,Ambulatory health care services,Province of Alberta,,9110,93 street,T0A2C0,lac la biche,ab,"9110 - 93 street, lac la biche, alberta, t0a 2c0",Lac la Biche County,4812037,48,54.7643782,-111.9635723,
327,willingdon community health clinic,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T0B4R0,willingdon,ab,,Willingdon,,48,,,
328,willow creek continuing care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L0T0,claresholm,ab,,Claresholm,,48,,,
329,wing kei ó care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E2R4,calgary,ab,,Calgary,,48,,,
330,wing kei ó greenview,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2E7Y6,calgary,ab,,Calgary,,48,,,
331,womanís health options ltd.,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5M4A7,edmonton,ab,,Edmonton,,48,,,
