,FACILITY_NAME,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,residents_council,family_council,accreditation,home_type,years_operating,facility_name,latitude,longitude
84,Eden Gardens,0.0,9951E,Vancouver Island Health,1917 Northfield Road,Nanaimo,V9S3B6,(250) 758-4676,2017,"Resident Council, Family Council",Unknown,0,130,130,130,0,0,8,2,0,5,13,0,0,2,1,4,0,3.8,10,0,0,1.5,0.8,3.1,83,0.64,0.47,0.027,778,0.224,0.318,0.433,0.898,0.086,2,0.638,0.57,0.008,0.042,0.01,0.575,0.365,0.104,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,unknown,non-profit,3.0,eden gardens,49.191744,-123.98389
85,Elim Village - The Harrison / Harrison West,0.0,9371A,Fraser Health,9025 160 Street,Surrey,V4N2X7,(604) 587-8999,2009 / 2016,"Resident Council, Family Council",Accredited,18,176,194,181,6,0,2,0,4,1,17,0,0,1,1,0,2.1,0.5,8.8,0,0,0.5,0.5,0,87,0.675,0.672,0.021,772,0.229,0.368,0.235,0.632,0.118,2.8,0.465,0.61,0.007,0.064,0,0.426,0.242,0.042,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,non-profit,,elim village - the harrison / harrison west,49.167023,-122.7815006
86,Evergreen - The Terraces / The Pointe,0.0,99420,Fraser Health,1550 Oxford St,White Rock,V4B3R5,(604) 536-3344,1996,"Resident Council, Family Council",Accredited,3,249,252,252,0,0,4,1,6,2,31,0,0,2,3,2,2.4,0.8,12.3,0,0,0.8,1.2,0.8,87,0.651,0.647,0.012,861,0.123,0.181,0.212,0.663,0.147,2.5,0.532,0.56,0.003,0,0,0.501,0.339,0.083,12.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,non-profit,24.0,evergreen - the terraces / the pointe,49.0264665,-122.8122029
87,Evergreen Extended Care - Powell River Hospital,0.0,9A551,Vancouver Coastal Health,4970 Joyce Ave.,Powell River,V8A5P2,(604) 485-2208,1980,"Resident Council, Family Council",Accredited,0,75,75,6,4,15,0,0,1,0,3,0,0,0,0,0,1.3,0,4,0,0,0,0,0,84,0.631,0.611,0.041,777,0.113,0.325,0.274,0.42,0.057,2.2,0.59,0.58,0.019,0.005,0.005,0.509,0.348,0.244,2.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,health_authority,40.0,evergreen extended care - powell river hospital,49.8489957,-124.5226255
88,Evergreen Seniors Home,0.0,92J70,Vancouver Island Health,635 Evergreen Rd,Campbell River,V9W3R7,(250) 286-7274,2005,"Resident Council, Family Council",Accredited,42,22,64,60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1.6,0,0,0,0,0,84,0.586,0.596,0.04,789,0.102,0.25,0.216,0.602,0.091,4.1,0.148,0.55,0.216,0.42,0.068,0.5,0.183,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,15.0,evergreen seniors home,50.007318,-125.24818
89,Fair Haven - Burnaby,0.0,99C49,Fraser Health,7557 Sussex Ave.,Burnaby,V5J3V6,(604) 435-0525,1994,"Resident Council, Family Council",Accredited,0,100,100,100,0,0,2,1,1,5,12,0,0,0,2,6,1,5,12,0,0,0,2,6,87,0.668,0.637,0.008,1698,0.167,0.438,0.487,0.578,0.114,2.2,0.585,0.57,0.092,0.843,0,0.366,0.254,0.126,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,no,yes,yes,yes,non-profit,26.0,fair haven - burnaby,49.21526995,-123.00590568055972
90,Fair Haven - Vancouver,0.0,999HG,Vancouver Coastal Health,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,1979,"Resident Council, Family Council",Accredited,0,82,82,70,6,0,1,1,0,0,9,0,0,2,1,0,0,0,11,0,0,2.4,1.2,0,84,0.658,0.548,0.026,1174,0.192,0.433,0.329,0.716,0.113,2.9,0.454,0.59,0.098,0.677,0.037,0.457,0.258,0.141,3.0,8.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,non-profit,41.0,fair haven - vancouver,49.225452,-123.0365843
91,Fair Haven - Vancouver - Special Unit,0.0,93860,Vancouver Coastal Health,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,1979,"Resident Council, Family Council",Accredited,0,19,19,19,0,0,,,,,,,,,,,,,,,,,,,80,0.275,0.297,0.014,273,0.078,0.195,0.662,0.857,0.195,2,0.584,0.54,0.013,0.597,0,0.766,0.754,0.091,,,,,,,,,,,,,,,no,yes,yes,yes,non-profit,41.0,fair haven - vancouver - special unit,49.225452,-123.0365843
92,Fellburn Care Centre,0.0,9A575,Fraser Health,6050 Hastings St.,Burnaby,V5B1R6,(604) 412-6503,1964,Resident & Family Council (combined),Accredited,0,81,81,10,16,10,3,0,0,3,0,0,1,0,0,0,0,3.7,0,0,1.2,0,0,0,87,0.668,0.646,0.073,606,0.154,0.43,0.355,0.515,0.14,2.2,0.597,0.65,0.147,0.396,0.044,0.317,0.104,0.024,2.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,no,yes,yes,yes,health_authority,56.0,fellburn care centre,49.2803168,-122.9624341
93,Finnish Home,0.0,999CF,Vancouver Coastal Health,2288 Harrison Drive,Vancouver,V5P2P6,(604) 325-8241,1979,Resident & Family Council (combined),Not Accredited,0,64,64,64,0,0,0,0,1,0,7,0,0,1,0,0,1.6,0,10.9,0,0,1.6,0,0,86,0.667,0.601,0.011,902,0.304,0.365,0.277,0.627,0.054,2.2,0.612,0.59,0.204,0,0.004,0.546,0.254,0.063,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,no,non-profit,41.0,finnish home,49.2082288,-123.0607454
94,Fir Park Village,0.0,9A919,Vancouver Island Health,4411 Wallace Street,Port Alberni,V9Y7Y5,(250) 724-6541,1981,Resident Council,Accredited,1,65,66,66,0,0,1,0,2,0,13,0,0,1,1,0,3,0,19.7,0,0,1.5,1.5,0,86,0.679,0.589,0,885,0.316,0.249,0.13,0.632,0.049,4.7,0.108,0.55,0,0,0,0.651,0.325,0.007,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no,yes,no,yes,non-profit,39.0,fir park village,49.250749,-124.79915
95,Fischer Place/Mill Site Lodge,0.0,9B9DF,Interior Health,555 Cedar Ave. South,100 Mile House,V0K2E0,(250) 395-7696,1987,Resident Council,Accredited,0,93,93,93,0,0,0,0,0,0,13,0,0,1,6,0,0,0,14,0,0,1.1,6.5,0,84,0.649,0.531,0.038,761,0.481,0.267,0.267,0.745,0.073,2.8,0.413,0.57,0.003,0.37,0.003,0.604,0.29,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,no,yes,health_authority,33.0,fischer place/mill site lodge,51.6444141,-121.2939045
96,Fleetwood Place,0.0,993E2,Fraser Health,16011 83rd Ave,Surrey,V4N0N2,(604) 590-6860,2004,"Resident Council, Family Council",Accredited,13,98,111,108,0,0,1,0,0,1,12,0,0,0,0,0,0,0.9,10.8,0,0,0,0,0,88,0.617,0.667,0.022,1327,0.095,0.378,0.381,0.5,0.074,2.6,0.537,0.58,0.503,0.659,0.005,0.548,0.282,0.19,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,for-profit,16.0,fleetwood place,49.153895,-122.778049
97,Forest View Place,0.0,92960,Interior Health,640 Park Dr.,Clearwater,V0E1N1,(250) 674-2244,2002,"Resident Council, Family Council",Accredited,0,21,21,21,0,0,0,0,0,0,2,0,0,0,0,1,0,0,9.5,0,0,0,0,4.8,90,0.529,0.665,0.024,1317,0.263,0.123,0.14,0.754,0.088,2.7,0.526,0.53,0,0.018,0,0.456,0.352,0.063,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,no,yes,yes,yes,health_authority,18.0,forest view place,51.64507195,-120.01774781423934
98,Fort Langley Seniors Community,0.0,9ACEC,Fraser Health,8838 Glover Road,Langley,V1M2R4,(604) 888-0711,2008,"Resident Council, Family Council",Unknown,5,91,96,68,14,0,4,1,0,0,10,0,0,0,1,1,0,0,10.4,0,0,0,1,1,90,0.662,0.757,0.004,1120,0.17,0.383,0.316,0.735,0.053,2.6,0.377,0.6,0.254,0.698,0,0.475,0.201,0,10.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,unknown,for-profit,12.0,fort langley seniors community,49.1132513,-122.6442649
99,Fort Nelson Multi Level Unit,0.0,91552,Northern Health,5315 Liard St,Fort Nelson,V0C1R0,(250) 774-8100,1963,No Councils,Accredited,0,7,7,7,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0.576,0.333,0.03,3872,0.125,0.125,0,0.25,0,3.6,0.25,0.5,0,0,0,0.25,0.085,0.119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,yes,health_authority,57.0,fort nelson multi level unit,58.8089455,-122.7049735049242
100,Foyer Maillard,0.0,992J9,Fraser Health,1010 Alderson Avenue,Coquitlam,V3K1W1,(604) 937-5578,2016,"Resident Council, Family Council",Not Accredited,0,125,125,125,0,0,0,0,0,1,3,0,0,0,0,0,0,0.8,2.4,0,0,0,0,0,87,0.694,0.62,0.01,570,0.324,0.245,0.245,0.641,0.104,2.6,0.506,0.56,0.243,0.276,0.004,0.432,0.262,0.045,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,no,non-profit,4.0,foyer maillard,49.2392629,-122.8662457
101,Fraser Hope Lodge,0.0,9BJC6,Fraser Health,1275-7th Avenue,Hope,V0X1L4,(604) 860-7706,1991,"Resident Council, Family Council",Unknown,0,50,50,46,2,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,89,0.536,0.7,0.037,,0.346,0.187,0.33,0.67,0.088,3.1,0.473,0.59,0.22,0.67,0.049,0.588,0.225,0.021,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,unknown,health_authority,29.0,fraser hope lodge,49.3773925,-121.42378463532327
102,Fraserview,0.0,99BEI,Vancouver Coastal Health,9580 Williams Road,Richmond,V7A1H2,(604) 274-3510,1992,"Resident Council, Family Council",Accredited,0,101,101,33,37,0,0,0,1,0,4,0,0,3,0,0,1,0,4,0,0,3,0,0,90,0.837,0.807,0.002,1181,0.185,0.49,0.19,0.751,0.033,1.9,0.711,0.57,0.018,0.01,0,0.211,0.231,0.031,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,28.0,fraserview,49.1407897,-123.1141556
103,Gateway Lodge Residential Care,0.0,937I0,Northern Health,1488 20th Ave.,Prince George,V2L0A5,(250) 645-6100,2010,"Resident Council, Family Council",Accredited,0,120,120,120,0,0,1,1,0,0,4,0,1,0,1,0,0,0,3.3,0,0.8,0,0.8,0,80,0.528,0.359,0.12,1406,0.256,0.228,0.268,0.481,0.052,2.8,0.441,0.55,0.006,0.441,0.012,0.622,0.342,0.066,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,health_authority,10.0,gateway lodge residential care,53.905584,-122.7520213
104,George Derby Centre,0.0,9BC9J,Fraser Health,7550 Cumberland St,Burnaby,V3N3X5,(604) 521-2676,1989,"Resident Council, Family Council",Accredited,0,300,300,284,8,0,5,2,0,3,35,0,0,4,4,2,0,1,11.7,0,0,1.3,1.3,0.7,87,0.328,0.659,0.014,699,0.192,0.288,0.221,0.605,0.181,2.2,0.609,0.56,0.009,0.093,0.006,0.404,0.261,0.059,9.0,34.0,4.0,9.0,3.0,2.0,10.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,no,yes,yes,yes,non-profit,31.0,george derby centre,49.233602,-122.916488
105,George Pearson Centre,0.0,9A5BF,Vancouver Coastal Health,700 West 57th Ave.,Vancouver,V6P1S1,(604) 321-3231,1952,Resident Council,Accredited,0,114,114,54,13,7,1,1,0,0,3,3,1,3,9,0,0,0,2.6,2.6,0.9,2.6,7.9,0,59,0.244,0.029,0.675,2042,0.154,0.646,0.313,0.039,0.025,3.1,0.294,0.89,0.545,0.561,0.324,0.474,0.247,0.186,3.0,8.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,no,yes,no,yes,health_authority,68.0,george pearson centre,49.21877,-123.121144
106,German Canadian Care Home,0.0,999D6,Vancouver Coastal Health,2010 Harrison Drive,Vancouver,V5P2P6,(604) 713-6500,1979,"Resident Council, Family Council",Accredited,0,132,132,76,29,0,0,0,0,0,14,0,1,5,1,0,0,0,10.6,0,0.8,3.8,0.8,0,83,0.476,0.525,0.054,688,0.142,0.364,0.373,0.523,0.072,2.5,0.424,0.52,0.375,0.765,0.423,0.401,0.405,0.1,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,non-profit,41.0,german canadian care home,49.2098793,-123.0651145
107,Gillis House,0.0,9AAGI,Interior Health,1699 Tutill Court,Merritt,V1K1C6,(250) 378-3271,1981,"Resident Council, Family Council",Accredited,0,74,74,52,7,2,2,1,0,3,11,0,0,1,0,0,0,4.1,14.9,0,0,1.4,0,0,83,0.594,0.465,0.047,484,0.159,0.336,0.29,0.512,0.057,2.1,0.608,0.6,0.014,0,0.007,0.495,0.344,0.057,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,no,yes,yes,yes,health_authority,39.0,gillis house,50.1075263,-120.7861348
108,Glacier View Lodge,0.0,99605,Vancouver Island Health,2450 Back Road,Courtenay,V9N8B5,(250) 338-1451,1982,"Resident Council, Family Council",Accredited,0,102,102,102,0,0,2,1,1,1,17,0,0,1,3,2,1,1,16.7,0,0,1,2.9,2,81,0.569,0.417,0.078,969,0.29,0.201,0.28,0.735,0.118,2.8,0.415,0.58,0.251,0.15,0.064,0.604,0.342,0.072,4.0,8.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,non-profit,38.0,glacier view lodge,49.690363,-124.96434
109,Glengarry Hospital,0.0,9A60F,Vancouver Island Health,1780 Fairfield Rd.,Victoria,V8S1G7,(250) 370-8699,1965,Family Council,Accredited,0,135,135,10,18,34,1,0,,,,,,,,,,,,,,,,,82,0.719,0.463,0.091,1029,0.201,0.367,0.315,0.597,0.101,2.6,0.489,0.59,0.004,0.627,0.614,0.436,0.214,0.088,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,no,yes,yes,health_authority,55.0,glengarry hospital,48.4152829,-123.3318857
110,Glenmore Lodge,0.0,93GE4,Interior Health,325 Drysdale Blvd.,Kelowna,V1V1P5,(236) 420-1717,2017,,Unknown,18,100,118,0,0,0,1,0,0,2,18,0,0,6,2,2,0,1.7,15.3,0,0,5.1,1.7,1.7,85,0.607,0.595,0.049,490,0.092,0.109,0.156,0.448,0.053,2.9,0.424,0.55,0,0.002,0.369,0.367,0.189,0.037,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,no,unknown,for-profit,3.0,glenmore lodge,49.9163179,-119.4400778
111,Glenwarren Lodge,0.0,9B7A0,Vancouver Island Health,1230 Balmoral Rd,Victoria,V8T1B3,(250) 383-2323,1967,"Resident Council, Family Council",Accredited,0,104,104,46,20,11,1,0,,,,,,,,,,,,,,,,,86,0.859,0.628,0.029,514,0.253,0.311,0.393,0.704,0.087,3.1,0.347,0.6,0.01,0.108,0,0.542,0.197,0.042,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,53.0,glenwarren lodge,48.4283883,-123.3486649
112,Glenwood Seniors Community,0.0,923FA,Fraser Health,1458 Glenwood Dr,Agassiz,V0M1A3,(604) 796-9202,1910,"Resident Council, Family Council",Unknown,8,36,44,37,0,0,1,0,0,1,1,0,0,0,0,1,0,2.3,2.3,0,0,0,0,2.3,89,0.648,0.73,0.005,638,0.25,0.129,0.226,0.806,0.218,2.8,0.508,0.58,0.048,0.815,0,0.387,0.073,0,4.0,10.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,unknown,for-profit,110.0,glenwood seniors community,49.2308549,-121.7581786
113,Gorge Road Hospital,0.0,93000,Vancouver Island Health,63 Gorge Road East,Victoria,V9A1L2,Arbutus View: (250) 519-3510 / Water View: (250) 519-3514,1953,"Resident Council, Family Council",Accredited,0,111,111,11,4,27,5,0,,,,,,,,,,,,,,,,,83,0.564,0.513,0.081,332,0.256,0.29,0.263,0.535,0.083,3.4,0.362,0.58,0.012,0.677,0.507,0.442,0.251,0.077,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,no,yes,yes,yes,health_authority,67.0,gorge road hospital,48.44178385,-123.38810164430217
114,Greenwoods,0.0,99DD4,Vancouver Island Health,133 Blain Road,Salt Spring Island,V8K1Z9,(250) 537-5561,1979,"Family Council, Advisory Council",Accredited,0,51,51,51,0,0,14,9,0,4,8,0,0,3,1,0,0,7.8,15.7,0,0,5.9,2,0,88,0.65,0.747,0,862,0.097,0.389,0.362,0.859,0.086,1.6,0.708,0.56,0.005,0,0,0.411,0.331,0.195,18.0,11.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,no,no,yes,yes,non-profit,41.0,greenwoods,48.861709,-123.51033
115,Guildford Seniors Village,0.0,926CA,Fraser Health,14568 104a Ave.,Surrey,V3R1R3,(604) 582-0808,2001,"Resident Council, Family Council",Accredited,38,63,101,98,0,0,0,0,0,0,14,0,0,1,2,0,0,0,13.9,0,0,1,2,0,83,0.449,0.507,0.044,873,0.221,0.333,0.404,0.697,0.111,2.2,0.611,0.6,0,0.622,0,0.442,0.265,0.151,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,19.0,guildford seniors village,49.192422,-122.8183
116,Haida Gwaii Hospital and Health Centre,0.0,9A76C,Northern Health,3209 Oceanview Drive,Queen Charlotte,V0T1S0,(250) 559-4900,1950,No Councils,Accredited,0,8,8,0,2,2,,,0,0,1,0,0,0,0,0,0,0,12.5,0,0,0,0,0,83,0.647,0.471,0,,0.043,0.609,0.522,0.652,0.217,1.5,0.739,0.62,0,0,0,0.217,0.509,0.011,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,no,no,yes,health_authority,70.0,haida gwaii hospital and health centre,53.254868,-132.070526
117,Hardy View Lodge,0.0,9ADB9,Interior Health,7649 22nd St.,Grand Forks,V0H1H2,(250) 443-2100,1982,"Resident Council, Family Council",Accredited,0,80,80,78,2,0,0,0,0,1,1,0,0,0,0,1,0,1.3,1.3,0,0,0,0,1.3,85,0.645,0.565,0.033,855,0.213,0.326,0.13,0.596,0.039,3.2,0.322,0.57,0,0.109,0,0.417,0.317,0.053,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,health_authority,38.0,hardy view lodge,49.030261,-118.467798
118,Harmony Court Care Centre,0.0,91BCE,Fraser Health,7195 Canada Way,Burnaby,V5E3R7,(604) 527-3300,1976,Family Council,Unknown,0,55,55,7,24,0,2,0,0,0,9,0,0,2,3,0,0,0,16.4,0,0,3.6,5.5,0,85,0.741,0.59,0.025,818,0.146,0.442,0.412,0.779,0.115,2.6,0.513,0.55,0.013,0.845,0,0.469,0.097,0.193,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no,yes,unknown,for-profit,44.0,harmony court care centre,49.224537,-122.942499
119,Harmony Court Care Centre  - Special Unit,0.0,93A2A,Fraser Health,7195 Canada Way,Burnaby,V5E3R7,(604) 527-3300,2011,Family Council,Unknown,0,25,25,25,0,0,,,,,,,,,,,,,,,,,,,84,0.872,0.569,0.046,705,0.136,0,0.01,0.951,0.019,2.7,0.505,0.44,0.019,0.417,0,0.35,0.31,0,,,,,,,,,,,,,,,no,no,yes,unknown,for-profit,9.0,harmony court care centre  - special unit,49.2534087,-122.989119
120,Haven Hill Retirement Centre,0.0,9C2CB,Interior Health,415 Haven Hill Road,Penticton,V2A4E9,(250) 492-2600,1992,"Resident Council, Family Council",Accredited,4,148,152,152,0,0,10,2,0,6,17,0,0,4,3,3,0,3.9,11.2,0,0,2.6,2,2,86,0.666,0.631,0.035,1021,0.178,0.289,0.283,0.726,0.065,2.5,0.524,0.57,0.389,0.013,0.024,0.341,0.263,0.11,3.0,17.0,1.0,2.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,no,yes,yes,yes,for-profit,28.0,haven hill retirement centre,49.497463,-119.58078
121,Hawthorne Seniors Care Community,0.0,992JA,Fraser Health,2111 Hawthorne Ave,Port Coquitlam,V3C1W3,(604) 941-4051,,"Resident Council, Family Council",Unknown,0,131,131,115,8,0,0,0,1,0,26,0,0,0,2,0,0.8,0,19.8,0,0,0,1.5,0,82,0.555,0.49,0.066,772,0.122,0.419,0.441,0.537,0.128,2.2,0.656,0.59,0,0.569,0,0.419,0.327,0.022,1.0,9.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,no,yes,yes,unknown,non-profit,,hawthorne seniors care community,49.2570112,-122.7792222
122,Henry Durand Manor,0.0,9A7GF,Interior Health,803 9th St South,Golden,V0A1H0,(250) 344-3402,1980,Resident & Family Council (combined),Accredited,0,28,28,28,0,0,0,0,0,0,12,0,0,0,3,1,0,0,42.9,0,0,0,10.7,3.6,85,0.647,0.676,0.063,573,0.294,0.333,0.382,0.735,0.029,2.1,0.598,0.57,0.088,0.382,0,0.569,0.253,0.093,2.0,10.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,no,yes,yes,yes,health_authority,40.0,henry durand manor,51.2961409,-116.9734392
123,Heritage Square,0.0,9BI83,Interior Health,3904 27th St.,Vernon,V1T4X7,(250) 545-2060,2004,Resident & Family Council (combined),Accredited,0,50,50,50,0,0,0,1,0,0,10,0,0,1,3,0,0,0,20,0,0,2,6,0,86,0.644,0.661,0.054,1246,0.536,0.188,0.126,0.681,0.024,3.2,0.29,0.68,0.048,0.758,0.063,0.676,0.093,0.064,1.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,yes,yes,yes,for-profit,16.0,heritage square,50.270687,-119.26823
124,Heritage Village,0.0,9C5BC,Fraser Health,7525 Topaz Dr,Chilliwack,V2R3C9,(604) 858-1833,1993,Resident & Family Council (combined),Accredited,0,100,100,64,12,3,0,0,2,1,21,0,0,0,3,0,2,1,21,0,0,0,3,0,85,0.544,0.584,0.034,940,0.118,0.31,0.434,0.648,0.127,2.3,0.552,0.57,0.034,0.58,0,0.549,0.273,0.034,2.0,10.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,no,yes,yes,yes,health_authority,27.0,heritage village,49.1407098,-121.9665418
125,Heron Grove,0.0,92IIA,Interior Health,4900 - 20th Street,Vernon,V1T9W3,(250) 542-6101,2007,"Resident Council, Family Council",Accredited,0,76,76,76,0,0,0,0,0,1,5,0,1,0,4,0,0,1.3,6.6,0,1.3,0,5.3,0,83,0.641,0.562,0.076,876,0.415,0.293,0.26,0.633,0.074,2.7,0.476,0.66,0.061,0.087,0.026,0.553,0.127,0.108,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,yes,yes,yes,non-profit,13.0,heron grove,,
126,Hillside Village,0.0,92FC0,Interior Health,2891 15 Ave NE,Salmon Arm,V1E2B8,(250) 833-5877,2005,"Resident Council, Family Council",Accredited,0,112,112,112,0,0,1,0,1,0,16,0,0,0,2,0,0.9,0,14.3,0,0,0,1.8,0,86,0.668,0.579,0.024,915,0.176,0.24,0.279,0.754,0.109,4.1,0.176,0.57,0.017,0.12,0.057,0.562,0.266,0.154,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,no,yes,yes,yes,non-profit,15.0,hillside village,50.7112233,-119.252111
127,Hilltop House,0.0,9AIC3,Vancouver Coastal Health,38146 Behrner Drive,Squamish,V8B0C8,(604) 892-9337,1984,"Resident Council, Family Council",Accredited,0,86,86,82,2,0,0,0,0,0,8,0,1,0,0,4,0,0,9.3,0,1.2,0,0,4.7,80,0.625,0.5,0.125,817,0.354,0.277,0.18,0.592,0.061,1.7,0.685,0.56,0.051,0.048,0,0.498,0.166,0.014,3.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,no,yes,yes,yes,health_authority,36.0,hilltop house,49.699648,-123.14
