facility_name,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,point,latitude_x,longitude_x,residents_council,family_council,accreditation,home_type,years_operating,source_facility_type,odhf_facility_type,provider,province,CSDname,Pruid
eagle park health care facility,0.0,9154A,Vancouver Island Health,777 Jones St,Qualicum Beach,V9K2L1,(250) 947-8220,1994,"Resident Council, Family Council",Accredited,0.0,75.0,75.0,55.0,20.0,0.0,1,0,,,,,,,,,,,,,,,,,83,0.626,0.512,0.055,463,0.274,0.267,0.358,0.761,0.046,3.7,0.284,0.58,0.007,0.004,0.712,0.572,0.534,0.109,1.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,no,"(34.5499226122449, -102.3219227142857, 0.0)",34.5499226122449,-102.32192271428569,yes,yes,yes,health_authority,26.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Qualicum Beach,59.0
eagle ridge manor - port hardy,0.0,923C0,Vancouver Island Health,9120 Granville Street,Port Hardy,V0N2P0,(250) 902-6043,2000,"Resident Council, Family Council",Accredited,0.0,22.0,22.0,22.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,83,0.585,0.468,0.043,1126,0.11,0.195,0.293,0.744,0.085,2.9,0.402,0.56,0.012,0.012,0,0.5,0.304,0.143,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(49.2856811, -123.1132888, 0.0)",49.2856811,-123.1132888,yes,yes,yes,health_authority,20.0,,,,,,
eagle ridge manor - port moody,0.0,9C6EC,Fraser Health,475 Guildford Way,Port Moody,V3H3W9,(604) 469-3211,,Resident & Family Council (combined),Unknown,0.0,75.0,75.0,39.0,18.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0.557,0.611,0.03,1103,0.316,0.525,0.338,0.487,0.019,3.6,0.3,0.63,0.262,0.574,0.076,0.418,0.14,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(51.364377, -0.1270826, 0.0)",51.364377000000005,-0.1270826,yes,yes,unknown,health_authority,,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Port Moody,59.0
echo village,0.0,9C2F7,Vancouver Island Health,4200 10th Avenue,Port Alberni,V9Y4X3,(250) 724-1090,1992,Resident Council,Accredited,2.0,65.0,67.0,67.0,0.0,0.0,2,0,,,,,,,,,,,,,,,,,83,0.612,0.527,0.078,443,0.154,0.391,0.263,0.624,0.03,3.8,0.216,0.59,0,0,0,0.541,0.292,0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(40.789035, -73.830921, 0.0)",40.789035,-73.83092099999999,yes,no,yes,non-profit,28.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Port Alberni,59.0
eden gardens,0.0,9951E,Vancouver Island Health,1917 Northfield Road,Nanaimo,V9S3B6,(250) 758-4676,2017,"Resident Council, Family Council",Unknown,0.0,130.0,130.0,130.0,0.0,0.0,8,2,0,5,13,0,0,2,1,4,0,3.8,10,0,0,1.5,0.8,3.1,83,0.64,0.47,0.027,778,0.224,0.318,0.433,0.898,0.086,2,0.638,0.57,0.008,0.042,0.01,0.575,0.365,0.104,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(52.4520907, -1.9653861, 0.0)",52.4520907,-1.9653861000000001,yes,yes,unknown,non-profit,3.0,,,,,,
elim village - the harrison / harrison west,0.0,9371A,Fraser Health,9025 160 Street,Surrey,V4N2X7,(604) 587-8999,2009 / 2016,"Resident Council, Family Council",Accredited,18.0,176.0,194.0,181.0,6.0,0.0,2,0,4,1,17,0,0,1,1,0,2.1,0.5,8.8,0,0,0.5,0.5,0,87,0.675,0.672,0.021,772,0.229,0.368,0.235,0.632,0.118,2.8,0.465,0.61,0.007,0.064,0,0.426,0.242,0.042,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(49.1806041, -122.7786638, 0.0)",49.180604100000004,-122.7786638,yes,yes,yes,non-profit,,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Surrey,59.0
evergreen - the terraces / the pointe,0.0,99420,Fraser Health,1550 Oxford St,White Rock,V4B3R5,(604) 536-3344,1996,"Resident Council, Family Council",Accredited,3.0,249.0,252.0,252.0,0.0,0.0,4,1,6,2,31,0,0,2,3,2,2.4,0.8,12.3,0,0,0.8,1.2,0.8,87,0.651,0.647,0.012,861,0.123,0.181,0.212,0.663,0.147,2.5,0.532,0.56,0.003,0,0,0.501,0.339,0.083,12.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(55.9400237, -3.1776087, 0.0)",55.940023700000005,-3.1776087000000004,yes,yes,yes,non-profit,24.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,White Rock,59.0
evergreen seniors home,0.0,92J70,Vancouver Island Health,635 Evergreen Rd,Campbell River,V9W3R7,(250) 286-7274,2005,"Resident Council, Family Council",Accredited,42.0,22.0,64.0,60.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1.6,0,0,0,0,0,84,0.586,0.596,0.04,789,0.102,0.25,0.216,0.602,0.091,4.1,0.148,0.55,0.216,0.42,0.068,0.5,0.183,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(38.254551970674484, -85.53398791085328, 0.0)",38.25455197067448,-85.53398791085328,yes,yes,yes,for-profit,15.0,,,,,,
fair haven - burnaby,0.0,99C49,Fraser Health,7557 Sussex Ave.,Burnaby,V5J3V6,(604) 435-0525,1994,"Resident Council, Family Council",Accredited,0.0,100.0,100.0,100.0,0.0,0.0,2,1,1,5,12,0,0,0,2,6,1,5,12,0,0,0,2,6,87,0.668,0.637,0.008,1698,0.167,0.438,0.487,0.578,0.114,2.2,0.585,0.57,0.092,0.843,0,0.366,0.254,0.126,3.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,no,"(40.75536668891146, -74.20370813106793, 0.0)",40.755366688911465,-74.20370813106793,yes,yes,yes,non-profit,26.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Burnaby,59.0
fair haven - vancouver,0.0,999HG,Vancouver Coastal Health,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,1979,"Resident Council, Family Council",Accredited,0.0,82.0,82.0,70.0,6.0,0.0,1,1,0,0,9,0,0,2,1,0,0,0,11,0,0,2.4,1.2,0,84,0.658,0.548,0.026,1174,0.192,0.433,0.329,0.716,0.113,2.9,0.454,0.59,0.098,0.677,0.037,0.457,0.258,0.141,3.0,8.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(38.104799669149564, -97.88144118600488, 0.0)",38.10479966914957,-97.88144118600486,yes,yes,yes,non-profit,41.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Vancouver,59.0
fair haven - vancouver - special unit,0.0,93860,Vancouver Coastal Health,2720 East 48th Ave.,Vancouver,V5S1G7,(604) 433-2939,1979,"Resident Council, Family Council",Accredited,0.0,19.0,19.0,19.0,0.0,0.0,,,,,,,,,,,,,,,,,,,80,0.275,0.297,0.014,273,0.078,0.195,0.662,0.857,0.195,2,0.584,0.54,0.013,0.597,0,0.766,0.754,0.091,,,,,,,,,,,,,,,no,"(38.104799669149564, -97.88144118600488, 0.0)",38.10479966914957,-97.88144118600486,yes,yes,yes,non-profit,41.0,,,,,,
fellburn care centre,0.0,9A575,Fraser Health,6050 Hastings St.,Burnaby,V5B1R6,(604) 412-6503,1964,Resident & Family Council (combined),Accredited,0.0,81.0,81.0,10.0,16.0,10.0,3,0,0,3,0,0,1,0,0,0,0,3.7,0,0,1.2,0,0,0,87,0.668,0.646,0.073,606,0.154,0.43,0.355,0.515,0.14,2.2,0.597,0.65,0.147,0.396,0.044,0.317,0.104,0.024,2.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,no,"(42.36922664646465, -83.06053866666666, 0.0)",42.36922664646465,-83.06053866666666,yes,yes,yes,health_authority,56.0,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,bc,Burnaby,59.0
finnish home,0.0,999CF,Vancouver Coastal Health,2288 Harrison Drive,Vancouver,V5P2P6,(604) 325-8241,1979,Resident & Family Council (combined),Not Accredited,0.0,64.0,64.0,64.0,0.0,0.0,0,0,1,0,7,0,0,1,0,0,1.6,0,10.9,0,0,1.6,0,0,86,0.667,0.601,0.011,902,0.304,0.365,0.277,0.627,0.054,2.2,0.612,0.59,0.204,0,0.004,0.546,0.254,0.063,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(51.3970632, 0.0619576, 0.0)",51.397063200000005,0.0619576,yes,yes,no,non-profit,41.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Vancouver,59.0
fir park village,0.0,9A919,Vancouver Island Health,4411 Wallace Street,Port Alberni,V9Y7Y5,(250) 724-6541,1981,Resident Council,Accredited,1.0,65.0,66.0,66.0,0.0,0.0,1,0,2,0,13,0,0,1,1,0,3,0,19.7,0,0,1.5,1.5,0,86,0.679,0.589,0,885,0.316,0.249,0.13,0.632,0.049,4.7,0.108,0.55,0,0,0,0.651,0.325,0.007,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,no,"(-33.830244, 151.0031182, 0.0)",-33.830244,151.0031182,yes,no,yes,non-profit,39.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Port Alberni,59.0
fischer place/mill site lodge,0.0,9B9DF,Interior Health,555 Cedar Ave. South,100 Mile House,V0K2E0,(250) 395-7696,1987,Resident Council,Accredited,0.0,93.0,93.0,93.0,0.0,0.0,0,0,0,0,13,0,0,1,6,0,0,0,14,0,0,1.1,6.5,0,84,0.649,0.531,0.038,761,0.481,0.267,0.267,0.745,0.073,2.8,0.413,0.57,0.003,0.37,0.003,0.604,0.29,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(30.51292493128148, -86.47833755735545, 0.0)",30.512924931281482,-86.47833755735546,yes,no,yes,health_authority,33.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,,59.0
fleetwood place,0.0,993E2,Fraser Health,16011 83rd Ave,Surrey,V4N0N2,(604) 590-6860,2004,"Resident Council, Family Council",Accredited,13.0,98.0,111.0,108.0,0.0,0.0,1,0,0,1,12,0,0,0,0,0,0,0.9,10.8,0,0,0,0,0,88,0.617,0.667,0.022,1327,0.095,0.378,0.381,0.5,0.074,2.6,0.537,0.58,0.503,0.659,0.005,0.548,0.282,0.19,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(37.7532521, -122.1816642, 0.0)",37.7532521,-122.1816642,yes,yes,yes,for-profit,16.0,,,,,,
forest view place,0.0,92960,Interior Health,640 Park Dr.,Clearwater,V0E1N1,(250) 674-2244,2002,"Resident Council, Family Council",Accredited,0.0,21.0,21.0,21.0,0.0,0.0,0,0,0,0,2,0,0,0,0,1,0,0,9.5,0,0,0,0,4.8,90,0.529,0.665,0.024,1317,0.263,0.123,0.14,0.754,0.088,2.7,0.526,0.53,0,0.018,0,0.456,0.352,0.063,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,no,"(42.3416611, -71.0971442, 0.0)",42.3416611,-71.0971442,yes,yes,yes,health_authority,18.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Clearwater,59.0
fort langley seniors community,0.0,9ACEC,Fraser Health,8838 Glover Road,Langley,V1M2R4,(604) 888-0711,2008,"Resident Council, Family Council",Unknown,5.0,91.0,96.0,68.0,14.0,0.0,4,1,0,0,10,0,0,0,1,1,0,0,10.4,0,0,0,1,1,90,0.662,0.757,0.004,1120,0.17,0.383,0.316,0.735,0.053,2.6,0.377,0.6,0.254,0.698,0,0.475,0.201,0,10.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(52.5639558, -1.7933871, 0.0)",52.563955799999995,-1.7933871,yes,yes,unknown,for-profit,12.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,,59.0
fort nelson multi level unit,0.0,91552,Northern Health,5315 Liard St,Fort Nelson,V0C1R0,(250) 774-8100,1963,No Councils,Accredited,0.0,7.0,7.0,7.0,0.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0.576,0.333,0.03,3872,0.125,0.125,0,0.25,0,3.6,0.25,0.5,0,0,0,0.25,0.085,0.119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(58.8089455, -122.7049735049242, 0.0)",58.80894549999999,-122.7049735049242,no,no,yes,health_authority,57.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,,59.0
foyer maillard,0.0,992J9,Fraser Health,1010 Alderson Avenue,Coquitlam,V3K1W1,(604) 937-5578,2016,"Resident Council, Family Council",Not Accredited,0.0,125.0,125.0,125.0,0.0,0.0,0,0,0,1,3,0,0,0,0,0,0,0.8,2.4,0,0,0,0,0,87,0.694,0.62,0.01,570,0.324,0.245,0.245,0.641,0.104,2.6,0.506,0.56,0.243,0.276,0.004,0.432,0.262,0.045,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(45.78288746938775, -108.54138304081633, 0.0)",45.78288746938775,-108.54138304081631,yes,yes,no,non-profit,4.0,,,,,,
fraser hope lodge,0.0,9BJC6,Fraser Health,1275-7th Avenue,Hope,V0X1L4,(604) 860-7706,1991,"Resident Council, Family Council",Unknown,0.0,50.0,50.0,46.0,2.0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,89,0.536,0.7,0.037,,0.346,0.187,0.33,0.67,0.088,3.1,0.473,0.59,0.22,0.67,0.049,0.588,0.225,0.021,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(42.69139051020409, -88.05473808163265, 0.0)",42.691390510204094,-88.05473808163265,yes,yes,unknown,health_authority,29.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Hope,59.0
fraserview,0.0,99BEI,Vancouver Coastal Health,9580 Williams Road,Richmond,V7A1H2,(604) 274-3510,1992,"Resident Council, Family Council",Accredited,0.0,101.0,101.0,33.0,37.0,0.0,0,0,1,0,4,0,0,3,0,0,1,0,4,0,0,3,0,0,90,0.837,0.807,0.002,1181,0.185,0.49,0.19,0.751,0.033,1.9,0.711,0.57,0.018,0.01,0,0.211,0.231,0.031,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(-33.7666384, 151.0114586, 0.0)",-33.7666384,151.0114586,yes,yes,yes,for-profit,28.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Vancouver,59.0
gateway lodge residential care,0.0,937I0,Northern Health,1488 20th Ave.,Prince George,V2L0A5,(250) 645-6100,2010,"Resident Council, Family Council",Accredited,0.0,120.0,120.0,120.0,0.0,0.0,1,1,0,0,4,0,1,0,1,0,0,0,3.3,0,0.8,0,0.8,0,80,0.528,0.359,0.12,1406,0.256,0.228,0.268,0.481,0.052,2.8,0.441,0.55,0.006,0.441,0.012,0.622,0.342,0.066,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(33.22477574342505, -87.57761760852893, 0.0)",33.22477574342505,-87.57761760852894,yes,yes,yes,health_authority,10.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Prince George,59.0
george derby centre,0.0,9BC9J,Fraser Health,7550 Cumberland St,Burnaby,V3N3X5,(604) 521-2676,1989,"Resident Council, Family Council",Accredited,0.0,300.0,300.0,284.0,8.0,0.0,5,2,0,3,35,0,0,4,4,2,0,1,11.7,0,0,1.3,1.3,0.7,87,0.328,0.659,0.014,699,0.192,0.288,0.221,0.605,0.181,2.2,0.609,0.56,0.009,0.093,0.006,0.404,0.261,0.059,9.0,34.0,4.0,9.0,3.0,2.0,10.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,yes,"(55.8463387, -4.2466118, 0.0)",55.8463387,-4.246611799999999,yes,yes,yes,non-profit,31.0,,,,,,
george pearson centre,0.0,9A5BF,Vancouver Coastal Health,700 West 57th Ave.,Vancouver,V6P1S1,(604) 321-3231,1952,Resident Council,Accredited,0.0,114.0,114.0,54.0,13.0,7.0,1,1,0,0,3,3,1,3,9,0,0,0,2.6,2.6,0.9,2.6,7.9,0,59,0.244,0.029,0.675,2042,0.154,0.646,0.313,0.039,0.025,3.1,0.294,0.89,0.545,0.561,0.324,0.474,0.247,0.186,3.0,8.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,no,"(49.21874765, -123.12106360978368, 0.0)",49.21874765,-123.12106360978369,yes,no,yes,health_authority,68.0,,,,,,
german canadian care home,0.0,999D6,Vancouver Coastal Health,2010 Harrison Drive,Vancouver,V5P2P6,(604) 713-6500,1979,"Resident Council, Family Council",Accredited,0.0,132.0,132.0,76.0,29.0,0.0,0,0,0,0,14,0,1,5,1,0,0,0,10.6,0,0.8,3.8,0.8,0,83,0.476,0.525,0.054,688,0.142,0.364,0.373,0.523,0.072,2.5,0.424,0.52,0.375,0.765,0.423,0.401,0.405,0.1,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(51.3970632, 0.0619576, 0.0)",51.397063200000005,0.0619576,yes,yes,yes,non-profit,41.0,,,,,,
gillis house,0.0,9AAGI,Interior Health,1699 Tutill Court,Merritt,V1K1C6,(250) 378-3271,1981,"Resident Council, Family Council",Accredited,0.0,74.0,74.0,52.0,7.0,2.0,2,1,0,3,11,0,0,1,0,0,0,4.1,14.9,0,0,1.4,0,0,83,0.594,0.465,0.047,484,0.159,0.336,0.29,0.512,0.057,2.1,0.608,0.6,0.014,0,0.007,0.495,0.344,0.057,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,no,"(50.1075818, -120.7855739, 0.0)",50.1075818,-120.7855739,yes,yes,yes,health_authority,39.0,,,,,,
glacier view lodge,0.0,99605,Vancouver Island Health,2450 Back Road,Courtenay,V9N8B5,(250) 338-1451,1982,"Resident Council, Family Council",Accredited,0.0,102.0,102.0,102.0,0.0,0.0,2,1,1,1,17,0,0,1,3,2,1,1,16.7,0,0,1,2.9,2,81,0.569,0.417,0.078,969,0.29,0.201,0.28,0.735,0.118,2.8,0.415,0.58,0.251,0.15,0.064,0.604,0.342,0.072,4.0,8.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,no,"(52.6947092, 0.5451018, 0.0)",52.694709200000005,0.5451018,yes,yes,yes,non-profit,38.0,,,,,,
glenmore lodge,0.0,93GE4,Interior Health,325 Drysdale Blvd.,Kelowna,V1V1P5,(236) 420-1717,2017,,Unknown,18.0,100.0,118.0,0.0,0.0,0.0,1,0,0,2,18,0,0,6,2,2,0,1.7,15.3,0,0,5.1,1.7,1.7,85,0.607,0.595,0.049,490,0.092,0.109,0.156,0.448,0.053,2.9,0.424,0.55,0,0.002,0.369,0.367,0.189,0.037,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(49.9150684, -119.4427414, 0.0)",49.9150684,-119.44274140000002,no,no,unknown,for-profit,3.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Kelowna,59.0
glenwarren lodge,0.0,9B7A0,Vancouver Island Health,1230 Balmoral Rd,Victoria,V8T1B3,(250) 383-2323,1967,"Resident Council, Family Council",Accredited,0.0,104.0,104.0,46.0,20.0,11.0,1,0,,,,,,,,,,,,,,,,,86,0.859,0.628,0.029,514,0.253,0.311,0.393,0.704,0.087,3.1,0.347,0.6,0.01,0.108,0,0.542,0.197,0.042,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(51.6716255, -0.3929726, 0.0)",51.6716255,-0.39297259999999995,yes,yes,yes,for-profit,53.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Victoria,59.0
glenwood seniors community,0.0,923FA,Fraser Health,1458 Glenwood Dr,Agassiz,V0M1A3,(604) 796-9202,1910,"Resident Council, Family Council",Unknown,8.0,36.0,44.0,37.0,0.0,0.0,1,0,0,1,1,0,0,0,0,1,0,2.3,2.3,0,0,0,0,2.3,89,0.648,0.73,0.005,638,0.25,0.129,0.226,0.806,0.218,2.8,0.508,0.58,0.048,0.815,0,0.387,0.073,0,4.0,10.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,no,"(34.21444127258862, -119.19324495729626, 0.0)",34.21444127258862,-119.19324495729626,yes,yes,unknown,for-profit,110.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,,59.0
greenwoods,0.0,99DD4,Vancouver Island Health,133 Blain Road,Salt Spring Island,V8K1Z9,(250) 537-5561,1979,"Family Council, Advisory Council",Accredited,0.0,51.0,51.0,51.0,0.0,0.0,14,9,0,4,8,0,0,3,1,0,0,7.8,15.7,0,0,5.9,2,0,88,0.65,0.747,0,862,0.097,0.389,0.362,0.859,0.086,1.6,0.708,0.56,0.005,0,0,0.411,0.331,0.195,18.0,11.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,no,"(40.34010513890639, -77.51285727244822, 0.0)",40.34010513890639,-77.51285727244822,no,yes,yes,non-profit,41.0,,,,,,
guildford seniors village,0.0,926CA,Fraser Health,14568 104a Ave.,Surrey,V3R1R3,(604) 582-0808,2001,"Resident Council, Family Council",Accredited,38.0,63.0,101.0,98.0,0.0,0.0,0,0,0,0,14,0,0,1,2,0,0,0,13.9,0,0,1,2,0,83,0.449,0.507,0.044,873,0.221,0.333,0.404,0.697,0.111,2.2,0.611,0.6,0,0.622,0,0.442,0.265,0.151,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(49.1923908, -122.81867016077476, 0.0)",49.1923908,-122.81867016077476,yes,yes,yes,for-profit,19.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Surrey,59.0
hardy view lodge,0.0,9ADB9,Interior Health,7649 22nd St.,Grand Forks,V0H1H2,(250) 443-2100,1982,"Resident Council, Family Council",Accredited,0.0,80.0,80.0,78.0,2.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1.3,1.3,0,0,0,0,1.3,85,0.645,0.565,0.033,855,0.213,0.326,0.13,0.596,0.039,3.2,0.322,0.57,0,0.109,0,0.417,0.317,0.053,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"(37.7579926, -122.3874648, 0.0)",37.7579926,-122.3874648,yes,yes,yes,health_authority,38.0,,,,,,
harmony court care centre,0.0,91BCE,Fraser Health,7195 Canada Way,Burnaby,V5E3R7,(604) 527-3300,1976,Family Council,Unknown,0.0,55.0,55.0,7.0,24.0,0.0,2,0,0,0,9,0,0,2,3,0,0,0,16.4,0,0,3.6,5.5,0,85,0.741,0.59,0.025,818,0.146,0.442,0.412,0.779,0.115,2.6,0.513,0.55,0.013,0.845,0,0.469,0.097,0.193,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"(49.2547419, -123.0237947, 0.0)",49.2547419,-123.0237947,no,yes,unknown,for-profit,44.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Burnaby,59.0
harmony court care centre  - special unit,0.0,93A2A,Fraser Health,7195 Canada Way,Burnaby,V5E3R7,(604) 527-3300,2011,Family Council,Unknown,0.0,25.0,25.0,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,84,0.872,0.569,0.046,705,0.136,0,0.01,0.951,0.019,2.7,0.505,0.44,0.019,0.417,0,0.35,0.31,0,,,,,,,,,,,,,,,no,"(49.2547419, -123.0237947, 0.0)",49.2547419,-123.0237947,no,yes,unknown,for-profit,9.0,,,,,,
haven hill retirement centre,0.0,9C2CB,Interior Health,415 Haven Hill Road,Penticton,V2A4E9,(250) 492-2600,1992,"Resident Council, Family Council",Accredited,4.0,148.0,152.0,152.0,0.0,0.0,10,2,0,6,17,0,0,4,3,3,0,3.9,11.2,0,0,2.6,2,2,86,0.666,0.631,0.035,1021,0.178,0.289,0.283,0.726,0.065,2.5,0.524,0.57,0.389,0.013,0.024,0.341,0.263,0.11,3.0,17.0,1.0,2.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,no,"(38.222274553394634, -85.25234175118322, 0.0)",38.22227455339464,-85.25234175118321,yes,yes,yes,for-profit,28.0,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,bc,Penticton,59.0
