facility_name,Number of dead,HCC_CODE,HLTH_AUTH,STREET_ADDRESS,CITY,POSTAL,PHONE,OPEN_DATE,COUNCIL,ACCRED_STATUS,BEDS_PRIVATE,BEDS_PUBLIC,BEDS_TOTAL,ROOMS_PRIVATE,ROOMS_SEMI,ROOMS_MULTI,COMPLAINTS,SUB_COMPLAINTS,INCIDENT_OUTBREAK,INCIDENT_ABUSE,INCIDENT_FALL,INCIDENT_POISON,INCIDENT_MEDICATION,INCIDENT_WANDERING,INCIDENT_INJURY,INCIDENT_AGGRESSION,INCIDENT_OUTBREAK_100,INCIDENT_ABUSE_100,INCIDENT_FALL_100,INCIDENT_POISON_100,INCIDENT_MEDICATION_100,INCIDENT_WANDERING_100,INCIDENT_INJURY_100,INCIDENT_AGGRESSION_100,AGE,FEMALE,AGE_85_PLUS,AGE_UNDER_65,STAY_LENGTH,DEPRESSION,ADL_DEPENDENT,CPS_SEVERE,DEMENTIA,ABS_PHYS_ABUSIVE,ISE,ISE_LOW,CMI,THERAPY_PT,THERAPY_RT,THERAPY_OT,MEDS_DEPRESSION,MEDS_ANTIPSYCHOTICS,RESTRAINTS,INSPECTIONS,INFRACTIONS,INFRACTIONS_LICENSING,INFRACTIONS_FACILITY,INFRACTIONS_STAFFING,INFRACTIONS_POLICY,INFRACTIONS_CARE,INFRACTIONS_DISEASE,INFRACTIONS_FOOD,INFRACTIONS_MEDICATION,INFRACTIONS_PROGRAM,INFRACTIONS_REPORTING,INFRACTIONS_RIGHTS,INFRACTIONS_OTHER,outbreak_status,location,point,latitude,longitude,residents_council,family_council,accreditation,home_type,years_operating,LONGITUDE,LATITUDE
kopernik lodge,0.0,99A2I,Vancouver Coastal Health,3150 Rosemont Drive,Vancouver,V5S2C9,(604) 438-2474,1979,"Resident Council, Family Council",Not Accredited,0.0,87.0,87.0,45.0,21.0,0.0,2,1,1,0,7,0,0,4,3,7,1.1,0,8,0,0,4.6,3.4,8,87,0.864,0.652,0.026,951,0.343,0.385,0.264,0.533,0.124,2.2,0.567,0.59,0.016,0.127,0.005,0.507,0.296,0.117,3.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Kopernik Lodge Building B, 3150, Rosemont Drive, Champlain Heights, Vancouver, Metro Vancouver Regional District, British Columbia, V5S, Canada","(49.21509415, -123.04054687499999, 0.0)",49.21509415,-123.040546875,yes,yes,no,non-profit,41.0,-123.0391962,49.2154568
lady minto hospital,0.0,9A5G5,Vancouver Island Health,135 Crofton Rd,Salt Spring Island,V8K1T1,(250) 538-4804,1957,"Resident Council, Family Council",Accredited,0.0,29.0,29.0,1.0,4.0,5.0,0,0,,,,,,,,,,,,,,,,,88,0.746,0.731,0.022,675,0.064,0.327,0.364,0.309,0.055,1.7,0.745,0.6,0.027,0.009,0,0.345,0.084,0.132,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,-123.392972,,,,yes,yes,yes,health_authority,63.0,,
lake country lodge,0.0,9B969,Interior Health,100-10163 Konschuh Rd,Winfield,V4V2M2,(250) 766-3007,1987,"Resident Council, Family Council",Unknown,4.0,45.0,49.0,41.0,4.0,0.0,0,0,1,1,4,0,0,4,4,1,2,2,8.2,0,0,8.2,8.2,2,87,0.702,0.651,0.041,602,0.235,0.11,0.19,0.63,0.04,5.3,0.07,0.59,0.01,0.02,0.095,0.575,0.221,0.069,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,-119.5763397,,,,yes,yes,unknown,for-profit,33.0,-119.3984578,50.029143499999996
lakeshore care centre,0.0,992HG,Fraser Health,657 Gatensbury Street,Coquitlam,V3J5G9,(604) 939-9277,,"Resident Council, Family Council",Not Accredited,21.0,35.0,56.0,42.0,7.0,0.0,1,1,0,1,1,0,0,0,0,0,0,1.8,1.8,0,0,0,0,0,85,0.704,0.645,0.065,1526,0.217,0.434,0.448,0.783,0.126,2.2,0.601,0.6,0.007,0.119,0,0.364,0.17,0.112,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Gatensbury Street, Harbour Chines, Coquitlam, Metro Vancouver Regional District, British Columbia, V3J 3B7, Canada","(49.2595472, -122.8563516, 0.0)",49.2595472,-122.85635159999998,yes,yes,no,for-profit,,-122.85635159999998,49.2595472
lakeview care centre,0.0,9C477,Vancouver Coastal Health,3490 Porter Street,Vancouver,V5N5W4,(604) 874-2803,1993,"Resident Council, Family Council",Accredited,0.0,177.0,177.0,105.0,36.0,0.0,0,0,2,0,10,0,0,2,0,0,1.1,0,5.6,0,0,1.1,0,0,87,0.643,0.693,0.016,1143,0.238,0.218,0.293,0.585,0.096,4.1,0.2,0.56,0,0.023,0,0.347,0.106,0.014,4.0,7.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,no,"Lakeview Care Centre, 3490, Porter Street, Renfrew-Collingwood, Vancouver, Metro Vancouver Regional District, British Columbia, V5N, Canada","(49.25348995, -123.06648814723717, 0.0)",49.25348995,-123.06648814723715,yes,yes,yes,for-profit,27.0,-123.06648814723715,49.25348995
lakeview lodge,0.0,93DAA,Interior Health,2337 Butt Road,West Kelowna,V4T3L3,(250) 768-3802,2013,Resident & Family Council (combined),Unknown,14.0,100.0,114.0,114.0,0.0,0.0,0,0,1,3,26,0,0,4,8,2,0.9,2.6,22.8,0,0,3.5,7,1.8,85,0.681,0.627,0.046,805,0.08,0.174,0.328,0.767,0.063,3.4,0.33,0.56,0.126,0.5,0.004,0.53,0.126,0.079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Butt Road, Westbank, West Kelowna, Regional District of Central Okanagan, British Columbia, V4T 3E1, Canada","(49.8369076, -119.6243855, 0.0)",49.8369076,-119.6243855,yes,yes,unknown,for-profit,7.0,-119.62377690000001,49.83701729999999
langley gardens,0.0,925CA,Fraser Health,8888 202nd Street,Langley,V1M4A7,(604) 888-0228,2008,"Resident Council, Family Council",Accredited,19.0,73.0,92.0,86.0,6.0,0.0,1,0,1,0,16,0,0,0,0,1,1.1,0,17.4,0,0,0,0,1.1,89,0.695,0.81,0.012,535,0.127,0.339,0.151,0.606,0.04,2.3,0.59,0.58,0.381,0.405,0.053,0.333,0.098,0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,,,,,yes,yes,yes,for-profit,12.0,-122.66096909999999,49.1663494
langley memorial hospital ecu,0.0,9A5E0,Fraser Health,22051 Fraser Hwy,Langley,V3A4H4,(604) 514-6026,,Resident Council,Unknown,0.0,230.0,230.0,8.0,4.0,44.0,5,1,1,0,1,0,0,3,0,0,0.4,0,0.4,0,0,1.3,0,0,89,0.721,0.712,0.03,597,0.137,0.269,0.258,0.542,0.071,2.6,0.531,0.57,0.065,0.523,0.04,0.467,0.233,0.024,6.0,10.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,no,"Langley Memorial Hospital, 22051, Fraser Highway, Murrayville, Township of Langley, Metro Vancouver Regional District, British Columbia, V3A 4H1, Canada","(49.094477499999996, -122.61166744542867, 0.0)",49.0944775,-122.6116674454287,yes,no,unknown,health_authority,,-122.6116674454287,49.0944775
laurel place,0.0,9359A,Fraser Health,9688 137A St,Surrey,V3T4H9,(604) 582-6336,2008,"Resident & Family Council (combined), Food Council",Accredited,13.0,202.0,215.0,207.0,4.0,0.0,1,0,0,0,17,0,0,0,2,0,0,0,7.9,0,0,0,0.9,0,85,0.584,0.604,0.059,899,0.189,0.379,0.252,0.58,0.061,2.4,0.607,0.6,0.167,0.017,0.002,0.396,0.156,0.166,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"9688, 137A Street, Whalley, Surrey, Metro Vancouver Regional District, British Columbia, V3T 0M1, Canada","(49.1784219, -122.8417807, 0.0)",49.1784219,-122.8417807,yes,yes,yes,for-profit,12.0,-122.84179950000001,49.1777346
laurel place,0.0,9359A,Fraser Health,9688 137A St,Surrey,V3T4H9,(604) 582-6336,2008,"Resident & Family Council (combined), Food Council",Accredited,13.0,202.0,215.0,207.0,4.0,0.0,1,0,0,0,17,0,0,0,2,0,0,0,7.9,0,0,0,0.9,0,85,0.584,0.604,0.059,899,0.189,0.379,0.252,0.58,0.061,2.4,0.607,0.6,0.167,0.017,0.002,0.396,0.156,0.166,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"9688, 137A Street, Whalley, Surrey, Metro Vancouver Regional District, British Columbia, V3T 0M1, Canada","(49.1784219, -122.8417807, 0.0)",49.1784219,-122.8417807,yes,yes,yes,for-profit,12.0,-122.8417804,49.178418799999996
little mountain place,0.0,9BA01,Vancouver Coastal Health,330 East 36th Avenue,Vancouver,V5W3Z4,(604) 325-2298,1987,Resident & Family Council (combined),Not Accredited,0.0,117.0,117.0,117.0,0.0,0.0,1,0,2,0,15,0,0,6,1,18,1.7,0,12.8,0,0,5.1,0.9,15.4,84,0.555,0.514,0.03,1417,0.222,0.331,0.21,0.606,0.103,2.4,0.574,0.53,0.002,0.013,0.004,0.371,0.185,0.093,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Little Mountain Place, 330, East 36th Avenue, Riley Park, Vancouver, Metro Vancouver Regional District, British Columbia, V5W, Canada","(49.2376402, -123.0998836969697, 0.0)",49.2376402,-123.0998836969697,yes,yes,no,non-profit,33.0,-123.09985320000001,49.2376636
louis brier home and hospital,0.0,999G3,Vancouver Coastal Health,1055 West 41st Ave,Vancouver,V6M1W9,(604) 261-9376,1979,"Resident Council, Family Council",Accredited,0.0,215.0,215.0,149.0,33.0,0.0,1,1,2,0,22,0,0,8,3,12,0.9,0,10.2,0,0,3.7,1.4,5.6,85,0.614,0.59,0.039,1410,0.182,0.457,0.339,0.574,0.134,1.9,0.691,0.58,0.159,0.207,0.082,0.517,0.347,0.019,6.0,16.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,no,"Louis Brier Home and Hospital, 1055, West 41st Avenue, Oakridge, Vancouver, Metro Vancouver Regional District, British Columbia, V6M 1W9, Canada","(49.2346366, -123.12927274582046, 0.0)",49.2346366,-123.12927274582044,yes,yes,yes,non-profit,41.0,-123.1293368,49.2340705
louis brier home and hospital,0.0,999G3,Vancouver Coastal Health,1055 West 41st Ave,Vancouver,V6M1W9,(604) 261-9376,1979,"Resident Council, Family Council",Accredited,0.0,215.0,215.0,149.0,33.0,0.0,1,1,2,0,22,0,0,8,3,12,0.9,0,10.2,0,0,3.7,1.4,5.6,85,0.614,0.59,0.039,1410,0.182,0.457,0.339,0.574,0.134,1.9,0.691,0.58,0.159,0.207,0.082,0.517,0.347,0.019,6.0,16.0,2.0,5.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,no,"Louis Brier Home and Hospital, 1055, West 41st Avenue, Oakridge, Vancouver, Metro Vancouver Regional District, British Columbia, V6M 1W9, Canada","(49.2346366, -123.12927274582046, 0.0)",49.2346366,-123.12927274582044,yes,yes,yes,non-profit,41.0,-123.1293368,49.2340705
luther court,0.0,99DIG,Vancouver Island Health,1525 Cedar Hill Cross Rd,Victoria,V8P5M1,(250) 477-7241,1979,No Councils,Accredited,0.0,60.0,60.0,60.0,0.0,0.0,0,0,0,0,2,0,0,1,0,2,0,0,3.3,0,0,1.7,0,3.3,84,0.641,0.593,0.056,762,0.351,0.367,0.558,0.733,0.072,1.8,0.721,0.59,0.08,0,0,0.55,0.116,0.012,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"1525, Cedar Hill Cross Road, Saanich, Capital Regional District, British Columbia, V8P 3Z4, Canada","(48.4624612, -123.3368294, 0.0)",48.4624612,-123.3368294,no,no,yes,non-profit,41.0,-123.3364271,48.4619202
msa manor,0.0,98H7B,Fraser Health,2510 Gladwin Rd,Abbotsford,V2T3N9,(604) 853-5831,1973,Resident Council,Accredited,0.0,34.0,34.0,34.0,0.0,0.0,0,0,0,1,3,0,0,0,0,0,0,2.9,8.8,0,0,0,0,0,90,0.615,0.735,0.003,944,0.213,0.279,0.235,0.515,0.044,2.6,0.478,0.58,0.015,0.051,0,0.61,0.366,0.02,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"MSA Manor, 2510, Gladwin Road, Clearbrook Centre, Abbotsford, British Columbia, V2T 3N9, Canada","(49.04747485, -122.31462286620345, 0.0)",49.04747485,-122.31462286620344,yes,no,yes,non-profit,47.0,-122.3144389,49.047544200000004
mackenzie and district hospital and health centre,0.0,93790,Northern Health,45 Centennial Drive,Mackenzie,V0J2C0,(250) 997-3263,2009,No Councils,Accredited,0.0,5.0,5.0,4.0,0.0,0.0,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,suppressed,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"Mackenzie and District Hospital, 45, Centennial Drive, Mackenzie, Regional District of Fraser-Fort George, British Columbia, V0J 2C0, Canada","(55.337471550000004, -123.1005717, 0.0)",55.33747155,-123.10057169999999,no,no,yes,health_authority,11.0,-123.10057169999999,55.33747155
malaspina gardens,0.0,99I1B,Vancouver Island Health,100 Eleventh Street,Nanaimo,V9R6R6,(250) 745-7711,2017,"Resident Council, Family Council",Accredited,1.0,135.0,136.0,136.0,0.0,0.0,1,0,1,0,29,0,0,3,2,0,0.7,0,21.3,0,0,2.2,1.5,0,81,0.602,0.461,0.112,854,0.275,0.253,0.23,0.619,0.055,3.2,0.358,0.57,0.039,0.009,0.018,0.453,0.126,0.013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Eleventh Street, South Parkway Plaza, Nanaimo, Regional District of Nanaimo, British Columbia, V9R 7A4, Canada","(49.1298617, -123.9227916, 0.0)",49.1298617,-123.9227916,yes,yes,yes,for-profit,3.0,-123.92436049999999,49.1298095
maple ridge seniors village,0.0,9376A,Fraser Health,22141 - 119th Avenue,Maple Ridge,V2X2Y7,(604) 466-3053,2009,"Resident Council, Family Council",Accredited,18.0,90.0,108.0,108.0,0.0,0.0,7,3,0,2,20,0,0,0,6,9,0,1.9,18.5,0,0,0,5.6,8.3,85,0.601,0.575,0.015,614,0.239,0.309,0.412,0.77,0.149,2.3,0.629,0.57,0.058,0.103,0.003,0.358,0.273,0.095,6.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,,,,,yes,yes,yes,for-profit,11.0,-122.6084592,49.2193789
maplewood house,0.0,9BE34,Fraser Health,1919 Jackson St.,Abbotsford,V2S2Z8,(604) 853-5585,1989,Resident Council,Accredited,0.0,78.0,78.0,78.0,0.0,0.0,1,0,0,2,7,0,0,0,1,0,0,2.6,9,0,0,0,1.3,0,85,0.598,0.58,0.062,607,0.184,0.375,0.398,0.666,0.181,1.9,0.662,0.6,0.04,0.331,0.02,0.535,0.363,0.128,3.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Maplewood House, 1919, Jackson Street, Mill Lake, Abbotsford, British Columbia, V2S 2Z8, Canada","(49.036755799999995, -122.30922091907041, 0.0)",49.0367558,-122.30922091907041,yes,no,yes,non-profit,31.0,-122.30914840000001,49.036607200000006
mariposa gardens,0.0,935JA,Interior Health,8816 97th Street (highway 97),Osoyoos,V0H1V5,(250) 495-8124,2008,"Resident Council, Family Council",Unknown,5.0,104.0,109.0,97.0,6.0,0.0,2,1,3,3,16,0,0,2,2,0,2.8,2.8,14.7,0,0,1.8,1.8,0,86,0.724,0.62,0.009,801,0.169,0.108,0.429,0.881,0.112,4.1,0.11,0.58,0.148,0.347,0,0.656,0.136,0.057,3.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"97th Street, Osoyoos, Regional District of Okanagan-Similkameen, British Columbia, V0H 1V2, Canada","(49.0369495, -119.4779676, 0.0)",49.0369495,-119.4779676,yes,yes,unknown,for-profit,12.0,-119.47705829999998,49.034727000000004
mcbride and district hospital,0.0,9A681,Northern Health,1136 5th Avenue,McBride,V0J2E0,(250) 569-2251,2001,,Accredited,0.0,9.0,9.0,7.0,1.0,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0.5,1,0,,0.194,0.516,0.355,0.968,0.032,3.6,0.194,0.59,0.097,0,0,0.452,0.373,0.2,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,no,"5th Avenue, McBride, Regional District of Fraser-Fort George, British Columbia, V0J 2E0, Canada","(53.3039036, -120.1652634, 0.0)",53.3039036,-120.16526340000001,no,no,yes,health_authority,19.0,-120.16526340000001,53.3039036
mckinney place - south okanagan general hospital,0.0,9A722,Interior Health,911 McKinney Road,Oliver,V0H1T3,(250) 498-5040,1980,"Resident Council, Family Council",Accredited,0.0,75.0,75.0,7.0,4.0,15.0,0,0,1,2,7,0,0,1,0,0,1.3,2.7,9.3,0,0,1.3,0,0,86,0.621,0.665,0.023,210,0.257,0.229,0.286,0.669,0.037,1.7,0.743,0.54,0.094,0.224,0.029,0.286,0.158,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"South Okanagan General Hospital, 911, McKinney Road, Oliver, Regional District of Okanagan-Similkameen, British Columbia, V0H 1T0, Canada","(49.1835315, -119.53900043064311, 0.0)",49.1835315,-119.53900043064311,yes,yes,yes,health_authority,40.0,-119.53900043064311,49.1835315
menno home,0.0,98H8D,Fraser Health,32910 Brundige Ave,Abbotsford,V2S1N2,(604) 853 -2411,1954,"Resident Council, Family Council",Accredited,0.0,196.0,196.0,186.0,5.0,0.0,2,0,0,0,20,0,1,1,1,0,0,0,10.2,0,0.5,0.5,0.5,0,87,0.641,0.628,0.022,780,0.224,0.151,0.239,0.818,0.166,3,0.443,0.56,0.059,0.843,0.044,0.58,0.123,0.036,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Brundige Avenue, Mill Lake, Abbotsford, British Columbia, V2S 1N8, Canada","(49.0401555, -122.3081538, 0.0)",49.0401555,-122.3081538,yes,yes,yes,non-profit,66.0,-122.31209720000001,49.0400753
menno hospital,0.0,9A6H1,Fraser Health,32945 Marshall Road,Abbotsford,V2S1K1,(604) 859-7631,1960,"Resident Council, Family Council",Accredited,0.0,151.0,151.0,59.0,43.0,2.0,0,0,1,0,16,0,0,0,2,1,0.7,0,10.6,0,0,0,1.3,0.7,88,0.763,0.732,0.033,834,0.24,0.257,0.18,0.611,0.085,2.3,0.579,0.59,0.106,0.707,0.064,0.518,0.051,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"32945, Marshall Road, Mill Lake, Abbotsford, British Columbia, V2S 1J8, Canada","(49.03929855, -122.31110698892837, 0.0)",49.03929855,-122.31110698892836,yes,yes,yes,non-profit,60.0,-122.31110698892836,49.03929855
minoru residence,0.0,9A5B4,Vancouver Coastal Health,7333 Gollner Avenue,Richmond,V6Y0J1,(604) 244-5300,1993,"Resident Council, Family Council",Accredited,0.0,250.0,250.0,70.0,90.0,0.0,0,0,2,0,14,0,0,0,0,0,0.8,0,5.6,0,0,0,0,0,84,0.583,0.572,0.055,1304,0.175,0.527,0.328,0.385,0.038,2.1,0.635,0.6,0.328,0.018,0.149,0.402,0.24,0.062,2.0,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,no,"Gollner Avenue, Brighouse, Richmond, Metro Vancouver Regional District, British Columbia, V6Y, Canada","(49.1687478, -123.1412217, 0.0)",49.16874779999999,-123.14122169999999,yes,yes,yes,health_authority,27.0,-123.14122169999999,49.16874779999999
minto house - arrow lakes hospital,0.0,9A5A2,Interior Health,97 1st Avenue NE,Nakusp,V0G1R0,(250) 265-5233,1980,"Resident Council, Family Council",Accredited,0.0,16.0,16.0,15.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,86,0.641,0.624,0.043,604,0,0.39,0.322,0.797,0.034,3.5,0.288,0.57,0.339,0,0,0.424,0.239,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"1st Avenue NE, Nakusp, Regional District of Central Kootenay, British Columbia, V0G 1R0, Canada","(50.2392729, -117.795712, 0.0)",50.239272899999996,-117.79571200000001,yes,yes,yes,health_authority,40.0,-117.79571200000001,50.239272899999996
mission creek landing,0.0,98J5G,Interior Health,3081 Hall Rd,Kelowna,V1W2R5,(250) 860-2330,1979,"Resident Council, Family Council",Accredited,4.0,100.0,104.0,94.0,5.0,0.0,0,2,2,2,9,0,1,2,1,0,1.9,1.9,8.7,0,1,1.9,1,0,88,0.76,0.754,0.01,590,0.289,0.221,0.234,0.747,0.044,3.4,0.315,0.54,0.01,0.003,0.128,0.549,0.075,0.022,5.0,17.0,3.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,no,"3081, Hall Road, Dilworth Mountain, Kelowna, Regional District of Central Okanagan, British Columbia, V1X 7W3, Canada","(49.8697756, -119.429557, 0.0)",49.8697756,-119.429557,yes,yes,yes,for-profit,41.0,-119.4282439,49.8715375
monashee mews,0.0,93D80,Interior Health,2165 Norris Avenue,Lumby,V0E2G5,(778) 473-0100,2013,"Resident Council, Family Council",Accredited,0.0,46.0,46.0,46.0,0.0,0.0,0,0,0,6,2,0,1,0,2,0,0,13,4.3,0,2.2,0,4.3,0,85,0.627,0.675,0.083,724,0.519,0.271,0.309,0.735,0.105,2.4,0.586,0.59,0.105,0.376,0.188,0.713,0.233,0.176,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,no,"Norris Avenue, Lumby, Regional District of North Okanagan, British Columbia, V0E 2G0, Canada","(50.2494507, -118.9623585, 0.0)",50.249450700000004,-118.9623585,yes,yes,yes,for-profit,7.0,-118.9623585,50.249450700000004
morgan place,0.0,926A0,Fraser Health,3288 156a St,Surrey,V3Z9T1,(604) 535-7328,2001,"Resident Council, Family Council",Accredited,13.0,128.0,141.0,111.0,5.0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,2.8,0,0,0,0,0,90,0.554,0.753,0.011,458,0.237,0.331,0.251,0.671,0.103,2.6,0.492,0.6,0.389,0.634,0,0.57,0.138,0.091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"3288, 156A Street, Morgan Creek, Surrey, Metro Vancouver Regional District, British Columbia, V3Z 0Z5, Canada","(49.0610103, -122.7888018, 0.0)",49.06101029999999,-122.78880179999999,yes,yes,yes,for-profit,19.0,-122.78995630000001,49.0613722
mount cartier court - queen victoria hospital,0.0,92JJ0,Interior Health,1200 Newlands Rd,Revelstoke,V0E2S1,(250) 814-2232,2006,"Resident Council, Family Council",Accredited,0.0,44.0,44.0,38.0,6.0,0.0,0,0,1,0,4,0,0,1,0,0,2.3,0,9.1,0,0,2.3,0,0,87,0.686,0.643,0.071,1045,0.268,0.345,0.315,0.732,0.065,3.1,0.387,0.61,0.077,0.107,0.095,0.607,0.158,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Newlands Road, Revelstoke, Columbia-Shuswap Regional District, British Columbia, V0E 2S1, Canada","(50.9769146, -118.1847111, 0.0)",50.9769146,-118.1847111,yes,yes,yes,health_authority,14.0,-118.1847111,50.9769146
mount ida mews,0.0,93D60,Interior Health,100 5th Avenue SE,Salmon Arm,V1E4H4,(250) 833-9623,2012,Resident & Family Council (combined),Accredited,1.0,131.0,132.0,72.0,0.0,0.0,1,0,0,3,10,0,0,0,1,0,0,2.3,7.6,0,0,0,0.8,0,86,0.621,0.558,0.023,837,0.361,0.084,0.239,0.739,0.206,2.3,0.545,0.56,0.042,0.197,0.035,0.565,0.13,0.115,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,,,,,yes,yes,yes,for-profit,8.0,-119.2837652,50.6951996
mount saint joseph hospital,0.0,9A54J,Vancouver Coastal Health,3080 Prince Edward Street,Vancouver,V5T3N4,(604) 874-1141,2004,"Resident Council, Family Council",Accredited,0.0,99.0,99.0,16.0,8.0,17.0,0,0,1,0,8,0,0,0,0,0,1,0,8.1,0,0,0,0,0,88,0.728,0.723,0.017,1448,0.223,0.415,0.402,0.588,0.05,1.8,0.719,0.62,0.165,0.052,0.181,0.315,0.154,0.021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Mount Saint Joseph Hospital, 3080, Prince Edward Street, Mount Pleasant, Vancouver, Metro Vancouver Regional District, British Columbia, V5T, Canada","(49.25834595, -123.09535841553297, 0.0)",49.25834595,-123.09535841553296,yes,yes,yes,non-profit,16.0,-123.09521470000001,49.2580313
mount st. mary hospital,0.0,9A6A6,Vancouver Island Health,861 Fairfield Rd.,Victoria,V8V5A9,(250) 480-3103,2003,Resident & Family Council (combined),Unknown,0.0,200.0,200.0,184.0,8.0,0.0,5,0,,,,,,,,,,,,,,,,,83,0.745,0.556,0.097,883,0.285,0.314,0.292,0.537,0.052,2.7,0.463,0.6,0.013,0.096,0.433,0.585,0.252,0.006,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,"Fairfield Road, Cook Street Village, Fairfield, Victoria, Capital Regional District, British Columbia, V8S 1V9, Canada","(48.4132064, -123.3446919, 0.0)",48.4132064,-123.3446919,yes,yes,unknown,non-profit,17.0,-123.3446919,48.4132064
mount tolmie hospital,0.0,9A5JC,Vancouver Island Health,3690 Richmond Rd.,Victoria,V8P4R6,(250) 370-5757,1964,"Resident Council, Family Council",Accredited,0.0,72.0,72.0,9.0,14.0,9.0,0,0,,,,,,,,,,,,,,,,,85,0.815,0.594,0.012,580,0.353,0.313,0.243,0.533,0.053,3.3,0.357,0.61,0.007,0.76,0.253,0.537,0.236,0.037,1.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no,"3690, Richmond Road, Saanich, Capital Regional District, British Columbia, V8P 2P7, Canada","(48.4602532, -123.3304684, 0.0)",48.460253200000004,-123.33046840000002,yes,yes,yes,health_authority,56.0,-123.33046840000002,48.460253200000004
