,Facility,Location,Prov.,Number of dead,Number of beds (appx),%,Public or private,Link,Street address,city/postal,phone,Health authority,Accreditation status,Councils,Private beds (not publicly funded),Publicly funded beds (short- and long-term),Total beds,Private rooms,Semi-private rooms,Multi-person rooms,Total direct care hours (hours per resident per day),Number of licensing complaints,Number substantiated licensing complaints,Number of Inspections,Number of licensing infractions found,Hygiene & communicable disease control,Average age of population,outbreak_status,residents_council,family_council,accreditation
184,Nelson Jubilee Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98G4A, 500 Beasley St West, Nelson V1L6G9, (250) 352-7011,Interior Health,Accredited,"Resident Council, Family Council",0,39,39,39,0,0,3.25,0,0,1,3,0,85,no,yes,yes,yes
185,Noric House,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98IF3, 1400 Mission Rd, Vernon V1T9C3, (250) 545-9167,Interior Health,Accredited,"Resident Council, Family Council",0,85,85,85,0,0,3.19,0,0,1,4,1,85,no,yes,yes,yes
186,Normanna Rest Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C489, 7725-4th St, Burnaby V3N5B6, (604) 522-5812,Fraser Health,Unknown,"Resident Council, Family Council",0,100,100,90,5,0,2.98,0,0,1,1,0,86,no,yes,yes,unknown
187,Nicola Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93GBA, 2240 Hawkins St., Port Coquitlam V3B0M2, (604) 945-0058,Fraser Health,Unknown,n/a,18,212,230,0,0,0,3.36,4,1,6,1,0,84,no,no,no,unknown
188,Northern Haida Gwaii Hospital and Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91F3C, 2520 Harrison Avenue, Masset V0T1M0, (250) 626-4700,Northern Health,Accredited,No Councils,0,5,5,4,0,0,3.45,suppressed,suppressed,1,8,0,suppressed,no,no,no,yes
189,Northcrest Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C5G2, 6771-120th Street, Delta V4E2A7, (604) 597-7878,Fraser Health,Accredited,Resident & Family Council (combined),0,106,106,90,8,0,3.24,0,0,5,0,0,84,no,yes,yes,yes
190,Oak Bay Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99D3D, 2251 Cadboro Bay Rd., Victoria V8R5H3, (250) 370-6605,Vancouver Island Health,Accredited,In transition,0,235,235,87,74,0,3.06,30,8,19,22,1,88,no,no,no,yes
191,Orchard Haven - South Similkameen Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9252A, 700 3rd St, Keremeos V0X1N0, (250) 499-3030,Interior Health,Accredited,"Resident Council, Family Council",0,38,38,38,0,0,3.42,0,0,2,11,0,82,no,yes,yes,yes
192,Parkside Care,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AI58, 788 Ospika Boulevard, Prince George V2M6Y2, (250) 563-1916,Northern Health,Accredited,"Resident Council, Family Council",0,58,58,58,0,0,3.31,1,1,1,5,2,83,no,yes,yes,yes
193,Oyster Harbour Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99G47, 1127 4th Ave, Ladysmith V9G1A6, (250) 245-3318,Vancouver Island Health,Not Accredited,"Resident Council, Family Council",0,89,89,87,2,0,3.2,3,1,1,3,0,83,no,yes,yes,no
194,Parkview Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98IEB, 707 3rd Ave, Enderby V0E1V0, (250) 838-2470,Interior Health,Accredited,"Resident Council, Family Council",0,31,31,31,0,0,3.22,0,0,0,0,0,87,no,yes,yes,yes
195,Overlander Residential Care,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A708, 953 Southill Street, Kamloops V2B7Z9, (250) 554-2323,Interior Health,Accredited,"Resident Council, Family Council",0,183,183,35,14,30,3.23,0,0,0,3,0,81,no,yes,yes,yes
196,Peace Villa,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BDGA, 8407 112 Avenue, Fort St John V1J0J5, (250) 774-8100,Northern Health,Accredited,Resident & Family Council (combined),0,124,124,124,0,0,3.58,0,0,4,8,0,81,no,yes,yes,yes
197,Piccadilly Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/931AA, 821 10th Avenue SW, Salmon Arm V1E1T2, (250) 804-1676,Interior Health,Accredited,Resident & Family Council (combined),8,51,59,46,7,0,3.15,0,0,0,0,0,89,no,yes,yes,yes
198,Peace Portal Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C47I, 15441 - 16th Avenue, Surrey V4A8T8, (604) 535-2273,Fraser Health,Accredited,"Resident Council, Family Council",57,27,84,67,7,0,2.73,0,0,4,4,0,87,no,yes,yes,yes
199,Pine Acres Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BDAH, 1902 Pheasant Lane, Westbank V4T2H4, (250) 768-7676,Interior Health,Accredited,"Resident Council, Family Council",23,40,63,33,5,0,3.15,0,0,0,0,0,80,no,yes,yes,yes
200,Pine Grove Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A9G2, 313 Mcgowan Street, Kamloops V2B2N8, (250) 376-5701,Interior Health,Unknown,"Resident Council, Family Council",0,75,75,14,31,0,3.15,1,0,1,5,1,87,no,yes,yes,unknown
201,Pleasant Valley Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BJG5, 3800 Patten Dr., Armstrong V0E1B2, (250) 546-4707,Interior Health,Accredited,"Resident Council, Family Council",0,82,82,82,0,0,3.24,0,0,0,0,0,87,no,yes,yes,yes
202,Point Grey Private Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9995A, 2423 Cornwall Avenue, Vancouver V6K1B9, (604) 733-7133,Vancouver Coastal Health,Not Accredited,Resident Council,5,67,72,31,20,0,2.75,0,0,1,2,0,86,no,yes,no,no
203,Pinegrove Place,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AG59, 11331 Mellis Drive, Richmond V6X1L8, (604) 278-1296,Vancouver Coastal Health,Accredited,Resident & Family Council (combined),0,76,76,76,0,0,2.89,0,0,5,2,0,84,no,yes,yes,yes
204,Purdy Pavilion - UBC Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5C6, 2221 Wesbrook Mall, Vancouver V6T1Z9, (604) 822-7121,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,199,199,23,0,60,3.36,1,0,1,2,0,81,no,yes,yes,yes
205,Poplar Ridge Pavilion - Kootenay Boundary Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A667, 1200 Hospital Bench, Trail V1R4M1, (250) 364-3488,Interior Health,Accredited,"Resident Council, Family Council",0,49,49,5,14,4,3.2,0,0,0,0,0,87,no,yes,yes,yes
206,Ponderosa Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98FA9, 425 Columbia St, Kamloops V2C2T4, (250) 374-5671,Interior Health,Accredited,Family Council,0,98,98,90,1,0,3.22,0,0,1,3,0,84,no,no,yes,yes
207,Polson Residential Care - Vernon Jubilee Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A628, 2101 32nd Street, Vernon V1T5L2, (250) 558-1200,Interior Health,Accredited,"Resident Council, Family Council",0,97,97,15,9,16,3.31,0,0,0,0,0,85,no,yes,yes,yes
208,Rainbow Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9315A, 1000 Liard Drive, Prince George V2M3Z3, (250) 645-6497,Northern Health,Accredited,"Resident Council, Family Council",0,18,18,19,0,0,3.42,0,0,1,9,1,82,no,yes,yes,yes
209,R. W. Large Memorial Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A773, 88 Waglisla Street, Bella Bella V0T1Z0, (250) 957-2314,Vancouver Coastal Health,Accredited,No Councils,0,7,7,7,0,0,n/a,suppressed,suppressed,1,1,0,suppressed,no,no,no,yes
210,Queen's Park Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A5GG, 315 McBride Blvd., New Westminster V3L5E8, (604) 520-0911,Fraser Health,Unknown,"Resident Council, Family Council",0,148,148,14,2,32,3.52,0,0,1,6,2,84,no,yes,yes,unknown
211,Qualicum Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92EE0, 124 Fourth Ave East, Qualicum Beach V9K1N6, (250) 752-1262,Vancouver Island Health,Unknown,Resident & Family Council (combined),22,37,59,34,13,0,3.05,4,1,1,1,0,89,no,yes,yes,unknown
212,Rest Haven Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9ADH2, 2281 Mills Road, Sidney V8L2C3, (250) 656-0717,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,73,73,73,0,0,3.04,1,0,2,1,0,86,no,yes,yes,yes
213,Ridgeview Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93530, 920 Desmond Street, Kamloops V2B5K6, (250) 376-3131,Interior Health,Unknown,n/a,23,106,129,129,0,0,3.15,0,1,2,6,0,85,no,no,no,unknown
214,Richmond Lions Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99BGD, 9020 Bridgeport Road, Richmond V6X1S1, (604) 675-2590,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,93,93,49,22,0,2.98,1,1,4,3,1,87,no,yes,yes,yes
215,Renfrew Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9193F, 1880 Renfrew Street, Vancouver V5M3H9, (604) 255-7723,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,106,106,86,10,0,2.7,0,0,1,0,0,84,no,yes,yes,yes
216,Rosemary Heights Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/935CA, 15240-34th Avenue, Surrey V3Z2J9, (778) 545-5000,Fraser Health,Accredited,Resident Council,5,85,90,85,2,0,2.8,1,0,4,7,2,86,no,yes,no,yes
217,Ridgewood Lodge - Princeton General Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A4J6, 98 Ridgewood Drive, Princeton V0X1W0, (250) 295-3211,Interior Health,Accredited,"Resident Council, Family Council",0,37,37,33,2,0,3.23,1,0,1,1,0,84,no,yes,yes,yes
218,Rocky Mountain Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92D60, 55 Cokato Road, Fernie V0B1M4, (250) 423-4214,Interior Health,Unknown,"Resident Council, Family Council",1,61,62,62,0,0,3.15,0,0,5,15,1,83,no,yes,yes,unknown
219,Rose Wood Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92CB0, 8125 Devito Drive, Trail V1R4X9, (250) 364-3150,Interior Health,Unknown,"Resident Council, Family Council",1,45,46,45,0,0,3.15,2,1,2,4,0,81,no,yes,yes,unknown
220,Rosewood Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9ADI4, 6260 Blundell Rd, Richmond V7C5C4, (604) 271-3590,Vancouver Coastal Health,Not Accredited,"Resident Council, Family Council",0,151,151,151,0,0,3.24,0,0,1,4,0,85,no,yes,yes,no
221,Royal Ascot Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/917JC, 2455 East Broadway, Vancouver V5M1Y1, (604) 254-5559,Vancouver Coastal Health,Not Accredited,"Resident Council, Family Council",2,80,82,64,9,0,3.11,1,0,2,2,0,85,no,yes,yes,no
222,Rotary Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9976D, 1121 90th Avenue, Dawson Creek V1G5A3, (250) 719-3480,Northern Health,Accredited,Resident Council,0,115,115,115,0,0,3.47,0,0,2,4,0,82,no,yes,no,yes
223,Royal City Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/91JJ3, 77 Jamieson Court, New Westminster V3L5P8, (604) 522-6699,Fraser Health,Accredited,Resident & Family Council (combined),115,50,165,125,21,0,2.79,6,2,12,2,0,85,no,yes,yes,yes
224,Saanich Peninsula Hospital Residential Care,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6B8, 2166 Mt Newton X Rd, Saanichton V8M2B2, (250) 544-7676,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,143,143,17,10,116,3.24,0,0,1,0,0,87,no,yes,yes,yes
225,Shorncliffe,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AHA5, 5847 Medusa Street, Sechelt V0N3A0, (604) 885-5126,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,59,59,59,0,0,3.34,0,0,2,10,1,83,no,yes,yes,yes
226,Selkirk Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93570, 385 Waterfront Crescent, Victoria V8T5K7, (250) 940-1028,Vancouver Island Health,Accredited,"Resident Council, Family Council",32,185,217,195,11,0,3.13,6,3,12,11,0,84,no,yes,yes,yes
227,Simon Fraser Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9B65F, 2410 Laurier Cres., Prince George V2M2B3, (250) 563-3413,Northern Health,Accredited,"Resident Council, Family Council",0,130,130,130,0,0,3.14,n/a,n/a,1,7,0,82,no,yes,yes,yes
228,Sidney Care Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9BHDB, 9888 Fifth St., Sidney V8L2X3, (250) 656-0121,Vancouver Island Health,Unknown,Family Council,0,54,54,44,5,0,3.09,0,0,1,0,0,87,no,no,yes,unknown
229,Silver Kettle Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93CIA, 2350 72nd Avenue, Grand Forks V0H1H4, (250) 442-0667,Interior Health,Unknown,"Resident Council, Family Council",2,40,42,42,0,0,3.15,0,0,1,4,1,81,no,yes,yes,unknown
230,Simon K.Y. Lee Seniors Care Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/926I0, 555 Carrall Street, Vancouver V6B2J8, (604) 608-8800,Vancouver Coastal Health,Unknown,"Resident Council, Family Council",4,110,114,104,5,0,2.83,2,1,6,3,0,88,no,yes,yes,unknown
231,Spring Valley Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/990F2, 355 Terai Court, Kelowna V1X5X6, (250) 979-6000,Interior Health,Unknown,"Resident Council, Family Council",1,150,151,114,8,0,3.15,3,1,3,9,1,86,no,yes,yes,unknown
232,Sluggett House,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9373A, 1336 Marchant Rd., Brentwood Bay V8M1G5, (250) 544-0925,Vancouver Island Health,Accredited,Resident & Family Council (combined),0,16,16,16,0,0,2.72,0,0,2,0,0,83,no,yes,yes,yes
233,Slocan Community Health Centre - The Pavillion,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98G52, 401 Galena Ave, New Denver V0G1S0, (250) 358-7911,Interior Health,Accredited,"Resident Council, Family Council",0,28,28,6,20,0,3.21,0,0,1,3,0,87,no,yes,yes,yes
234,St. Jude's Anglican Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/999GE, 810 West 27th Avenue, Vancouver V5Z2G7, (604) 874-3200,Vancouver Coastal Health,Not Accredited,"Resident Council, Family Council",2,53,55,45,5,0,3.11,0,0,3,3,0,85,no,yes,yes,no
235,St. Vincent's - Brock Fahrni Pavilion,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A587, 4650 Oak St., Vancouver V6H4J4, (604) 806-9710,Vancouver Coastal Health,Accredited,Resident Council,0,148,148,12,8,30,3.19,0,0,3,2,0,83,no,yes,no,yes
236,Stanford Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93590, 250 Craig St, Parksville V9P0A7, (250) 951-0811,Vancouver Island Health,Accredited,"Resident Council, Family Council",21,161,182,172,5,0,3.11,18,8,15,6,1,84,no,yes,yes,yes
237,St. Vincent's - Langara,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C05H, 255 W 62nd Ave, Vancouver V5X4V4, (604) 325-4116,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,197,197,17,8,41,3.2,0,0,2,2,0,85,no,yes,yes,yes
238,St. Michael's Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A9FB, 7451 Sussex Avenue, Burnaby V5J5C2, (604)-434-1323,Fraser Health,Not Accredited,Resident & Family Council (combined),0,144,144,20,36,9,3.34,2,0,7,5,1,84,no,yes,yes,no
239,Stuart Nechako Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/997BF, 3277 Hospital Road, Vanderhoof V0J3A2, (250) 567-2013,Northern Health,Accredited,Resident & Family Council (combined),0,53,53,45,4,0,3.55,1,1,4,2,0,79,no,yes,yes,yes
240,Stuart Lake Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/928GA, 600 Stuart Drive E, Fort St. James V0J1P0, (250) 996-8201,Northern Health,Accredited,No Councils,0,6,6,6,0,0,3.3,n/a,n/a,1,3,0,88,no,no,no,yes
241,Summerland Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92HB0, 12803 Atkinson Road, Summerland V0H1Z4, (250) 404-4400,Interior Health,Accredited,"Resident Council, Family Council",37,75,112,105,0,0,3.15,3,5,7,22,0,87,no,yes,yes,yes
242,Sun Pointe Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/92450, 700 Rutland Road N, Kelowna V1X7W8, (250) 491-1400,Interior Health,Unknown,"Resident Council, Family Council",0,100,100,100,0,0,3.15,0,0,0,0,0,84,no,yes,yes,unknown
243,Sunridge Place Seniors Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93580, 361 Bundock Ave, Duncan V9L3P1, (250) 748-8048,Vancouver Island Health,Not Accredited,"Resident Council, Family Council",0,160,160,160,0,0,3.08,19,9,5,10,0,82,no,yes,yes,no
244,Sunnybank Retirement Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98IDJ, 6553 Park Drive, Oliver V0H1T0, (250) 498-4951,Interior Health,Accredited,Resident & Family Council (combined),0,51,51,51,0,0,3.19,0,0,1,2,0,88,no,yes,yes,yes
245,Sunset Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/99ICF, 952 Arm Street, Esquimalt V9A4G7, (250) 385-3422,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,108,108,108,0,0,3.06,10,1,6,9,2,83,no,yes,yes,yes
246,Suncreek Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9370A, 13687 62nd Avenue, Surrey V3X0B5, (604) 591-5177,Fraser Health,Unknown,"Resident Council, Family Council",14,120,134,120,0,0,3,1,0,5,1,0,82,no,yes,yes,unknown
247,Tabor Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98H94, 31944 Sunrise Cres, Abbotsford V2T1N5, (604) 859-8715,Fraser Health,Unknown,"Resident Council, Family Council",0,118,118,106,6,0,2.79,2,0,2,0,0,90,no,yes,yes,unknown
248,Talarico Place - Castlegar District Community Health Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C0DE, 709 10th Street, Castlegar V1N2H7, (250) 365-7221,Interior Health,Accredited,"Resident Council, Family Council",0,60,60,38,11,0,3.17,1,0,1,2,1,88,no,yes,yes,yes
249,Terraceview Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AIHF, 4707 Kerby Avenue, Terrace V8G2W2, (250) 631-4209,Northern Health,Accredited,"Resident Council, Family Council",0,99,99,95,0,0,3.73,0,0,1,3,0,81,yes,yes,yes,yes
250,Swan Valley Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98F21, 818 Vancouver St, Creston V0B1G4, (250) 428-2283,Interior Health,Accredited,"Resident Council, Family Council",0,90,90,90,0,0,3.28,0,0,0,0,0,84,no,yes,yes,yes
251,The Cascades Care Community,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A599, 45586 Mcintosh Drive, Chilliwack V2P7W8, (604) 795-2500,Fraser Health,Unknown,"Resident Council, Family Council",13,106,119,101,9,0,2.87,0,0,1,2,0,88,no,yes,yes,unknown
252,The Gardens at Qualicum Beach,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C6H8, 650 Berwick Road North, Qualicum Beach V9K2T8, (250) 752-2818,Vancouver Island Health,Accredited,"Resident Council, Family Council",15,85,100,86,5,0,3.08,6,4,6,5,0,87,no,yes,yes,yes
253,The Hamlets at Penticton,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93510, 103 Duncan Ave West, Penticton V2A2Y3, (250) 490-8503,Interior Health,Unknown,"Resident Council, Family Council",3,86,89,94,2,0,3.15,5,0,4,1,0,83,no,yes,yes,unknown
254,The Gateby,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AFCB, 3000 Gateby Place, Vernon V1T8V8, (250) 545-4456,Interior Health,Accredited,Resident & Family Council (combined),0,75,75,75,0,0,3.25,0,0,1,1,0,85,no,yes,yes,yes
255,The Heights at Mount View,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93F7A, 3814 Carey Road, Victoria V8Z4C4, (250) 384-1313,Vancouver Island Health,Unknown,Family Council,0,260,260,260,0,0,3.08,19,11,9,17,2,83,no,no,yes,unknown
256,The Hamlets at Westsyde,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/930H0, 3255 Overlander Drive, Kamloops V2B0A5, (250) 579-9061,Interior Health,Unknown,"Resident Council, Family Council",3,109,112,112,0,0,3.15,5,0,3,3,0,81,no,yes,yes,unknown
257,The Mayfair,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C3GE, 33433 Marshall Road, Abbotsford V2S1K8, (604) 855-7217,Fraser Health,Not Accredited,Resident & Family Council (combined),30,61,91,80,2,0,2.79,1,1,3,3,1,84,no,yes,yes,no
258,The Madison Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/935IA, 1399 Foster Avenue, Coquitlam V3J2N1, (604) 936-9231,Fraser Health,Not Accredited,"Resident Council, Family Council",41,96,137,128,9,0,2.8,6,1,5,1,0,89,no,yes,yes,no
259,The Pines,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C373, 800 Centre St., Burns Lake V0J1E0, (250) 692-2490,Northern Health,Accredited,"Resident Council, Family Council",0,36,36,26,5,0,3.53,n/a,n/a,1,3,0,87,no,yes,yes,yes
260,The Priory - Hiscock,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A604, 567 Goldstream Ave., Langford V9B2W4, (250) 370-5626,Vancouver Island Health,Accredited,Resident & Family Council (combined),0,75,75,7,6,14,3.29,1,0,1,0,0,83,no,yes,yes,yes
261,The Priory - Heritage Woods,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/921JD, 567 Goldstream Ave., Langford V9B2W4, (250) 370-5626,Vancouver Island Health,Accredited,Resident & Family Council (combined),0,75,75,75,0,0,3.29,1,0,1,1,0,85,no,yes,yes,yes
262,The Residence in Mission,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/93F40, 7324 Hurd Street, Mission V2V3H5, (604) 814-6707,Fraser Health,Unknown,"Resident Council, Family Council",0,200,200,190,5,0,3.37,1,0,7,6,1,85,no,yes,yes,unknown
263,Three Links Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AC12, 2934 East 22nd Ave, Vancouver V5M2Y4, (604) 434-7211,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,90,90,90,0,0,3.05,0,0,1,0,0,84,no,yes,yes,yes
264,The Residence at Morgan Heights,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9375A, 15955 27th Avenue, Surrey V3Z3W3, (604) 535-1118,Fraser Health,Not Accredited,Family Council,26,90,116,108,4,0,3.02,4,1,5,1,0,89,no,no,yes,no
265,The Views - St. Joseph's General Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A6DD, 2137 Comox Avenue, Comox V9M1P2, (250) 331-8650,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,145,145,23,21,13,3.11,2,0,1,2,0,85,no,yes,yes,yes
266,Trillium Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AD7B, 401 Moilliet St, Parksville V9P1N3, (250) 947-8230,Vancouver Island Health,Accredited,"Resident Council, Family Council",0,91,91,58,3,9,3.21,2,1,4,3,0,84,no,yes,yes,yes
267,Trinity Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AGF1, 75 Green Ave West, Penticton V2A7N6, (250) 493-6601,Interior Health,Accredited,"Resident Council, Family Council",0,75,75,75,0,0,3.19,0,0,1,3,0,83,no,yes,yes,yes
268,Three Links Manor,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AHHB, 1449 Kelglen Cres, Kelowna V1Y8P4, (250) 763-2585,Interior Health,Accredited,"Resident Council, Family Council",0,82,82,82,0,0,3.16,0,0,1,1,0,86,no,yes,yes,yes
269,Totem Lodge - Sechelt Hospital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9A563, 5544 Sunshine Coast Highway, Sechelt V0N3A0, (604) 885-8602,Vancouver Coastal Health,Accredited,"Resident Council, Family Council",0,49,49,3,3,10,3.14,0,0,1,5,0,85,no,yes,yes,yes
270,Valleyhaven,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98HA8, 45450 Menholm Rd., Chilliwack V2P1M2, (604) 792-0037,Fraser Health,Accredited,"Resident Council, Family Council",1,90,91,83,4,0,2.86,3,0,2,2,0,87,no,yes,yes,yes
271,Veterans Memorial Lodge,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/916HD, 4579 Chatterton Way, Saanich V8X4Y7, (250) 658-0311,Vancouver Island Health,Accredited,Family Council,0,225,225,201,12,0,3.22,1,0,1,2,0,89,no,no,yes,yes
272,Tsawaayuus - Rainbow Gardens,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9C2FI, 6151 Russell Place, Port Alberni V9Y7W3, (250) 724-5655,Vancouver Island Health,Unknown,Resident Council,0,30,30,31,0,0,2.89,0,0,1,2,0,80,no,yes,no,unknown
273,Victoria Chinatown Care Centre,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9AC99, 555 Herald Street, Victoria V8W1S5, (250) 381-4322,Vancouver Island Health,Accredited,Resident & Family Council (combined),0,31,31,29,1,0,3.17,1,1,2,6,1,85,no,yes,yes,yes
274,Villa Cathay Care Home,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/999II, 970 Union Street, Vancouver V6A3V1, (604) 254-5621,Vancouver Coastal Health,Not Accredited,"Resident Council, Family Council",4,130,134,112,19,0,2.93,0,0,2,0,0,89,no,yes,yes,no
275,Villa Carital,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/9198G, 3050 Penticton St, Vancouver V5M4W2, (604) 434-0995,Vancouver Coastal Health,Not Accredited,"Resident Council, Family Council",5,76,81,60,12,0,3.6,1,0,2,0,0,88,no,yes,yes,no
276,Victorian Community Health Centre of Kaslo,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/98GA3, 673A Avenue, Kaslo V0G1M0, (250) 353-2211,Interior Health,Accredited,"Resident Council, Family Council",0,20,20,17,3,0,3.47,0,0,1,5,0,88,no,yes,yes,yes
277,Waverly Seniors Village,,,,,,,https://www.seniorsadvocatebc.ca/quickfacts/location/922DF, 8445 Young Rd, Chilliwack V2P4P2, (604) 792-6340,Fraser Health,Accredited,"Resident Council, Family Council",22,31,53,51,1,0,2.73,1,1,3,8,1,87,no,yes,yes,yes
