index,name,address,city_and_postal_code,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,first_inspection_date,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
180,EXTENDICARE PORT HOPE,360 Croft Street,"Port Hope, L1A4K8",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Port Hope, L1A4K8,128,2010-08-26,29,21,5,12,5,2,9,8,3,5,4,
181,EXTENDICARE PORT STANLEY,4551 East Road,"Port Stanley, N5L1J6",South West,Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Port Stanley, N5L1J6,60,2010-09-23,32,19,9,7,2,,13,7,5,8,7,4
182,EXTENDICARE ROUGE VALLEY,551 Conlins Road,"Toronto, M1B5S1",Central East,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 192 beds,Yes,Yes,Yes,Yes,,Toronto, M1B5S1,192,2010-09-14,36,24,12,15,10,4,9,6,4,7,5,2
183,EXTENDICARE SCARBOROUGH,3830 Lawrence Avenue East,"Scarborough, M1G1R6",Central East,Extendicare Toronto Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 154 beds,Yes,Yes,Yes,Yes,,Scarborough, M1G1R6,154,2011-03-24,35,19,10,17,8,5,10,4,3,5,4,1
184,EXTENDICARE SOUTHWOOD LAKES,1255 North Talbot Road,"Windsor, N9G3A4",Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 150 beds,No,Yes,Yes,Yes,,Windsor, N9G3A4,150,2010-07-27,100,30,14,71,19,9,19,5,4,3,2,1
185,EXTENDICARE ST. CATHARINES,283 Pelham Road,"St. Catharines, L2S1X7",Hamilton Niagara Haldimand Brant (Hnhb),Extendicare Southwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 153 beds,No,Yes,Yes,Yes,,St. Catharines, L2S1X7,153,2010-10-15,27,16,9,11,5,5,9,4,3,7,6,2
186,EXTENDICARE STARWOOD,114 Starwood Road,"Nepean, K2G3N5",Champlain,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Nepean, K2G3N5,192,2010-09-08,54,26,14,25,12,6,21,10,7,5,1,1
187,EXTENDICARE TECUMSEH,2475 St. Alphonse Street,"Tecumseh, N8N2X2",Erie St. Clair,Extendicare (Canada) Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Tecumseh, N8N2X2,128,2010-08-04,73,34,21,48,16,9,18,13,10,4,3,3
189,EXTENDICARE TIMMINS,62 St-Jean Avenue,"Timmins, P4R0A6",North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 121 beds,No,Yes,Yes,Yes,,Timmins, P4R0A6,121,2011-05-31,39,25,9,14,8,3,13,7,4,11,9,1
190,EXTENDICARE TRI-TOWN,143 Bruce Street P.O. Box 999,"Haileybury, P0J1K0",North East,Extendicare Northeastern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 60 beds,Yes,Yes,Yes,Yes,,Haileybury, P0J1K0,60,2011-11-07,17,12,5,7,4,2,2,2,1,3,2,2
191,EXTENDICARE VAN DAELE,39 Van Daele Street,"Sault Ste Marie, P6B4V3",North East,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 100 beds,Yes,Yes,Yes,Yes,,Sault Ste Marie, P6B4V3,100,2011-03-21,23,13,10,7,5,5,6,3,3,5,3,2
192,EXTENDICARE WEST END VILLA,2179 Elmira Drive,"Ottawa, K2C3S1",Champlain,New Orchard Lodge Limited [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 242 beds,No,Yes,Yes,Yes,,Ottawa, K2C3S1,242,2010-11-18,106,59,22,57,33,11,42,22,10,5,1,1
193,EXTENDICARE YORK,333 York Street,"Sudbury, P3E5J3",North East,Extendicare Northwestern Ontario Inc. [a Subsidiary Of Extendicare (Canada) Inc.],,For-Profit,Home with approximately 288 beds,Yes,Yes,Yes,Yes,,Sudbury, P3E5J3,288,2010-09-21,63,34,14,24,11,5,23,12,6,16,10,2
194,F. J. DAVEY HOME,733 Third Line East,"Sault Ste Marie, P6A7C1",North East,F. J. Davey Home,,Non-Profit,Home with approximately 374 beds,No,Yes,Yes,Yes,,Sault Ste Marie, P6A7C1,374,2010-08-16,68,28,13,29,9,5,16,10,5,22,6,2
195,FAIRFIELD PARK,1934 Dufferin Avenue,"Wallaceburg, N8A4M2",Erie St. Clair,"Lapointe-fisher Nursing Home, Limited",,For-Profit,Home with approximately 99 beds,No,Yes,No,No,,Wallaceburg, N8A4M2,99,2010-09-01,33,17,12,12,5,4,14,8,7,1,,
196,FAIRHAVEN,881 Dutton Road,"Peterborough, K9H7S4",Central East,City And County Of Peterborough,,Municipal,Home with approximately 256 beds,Yes,Yes,Yes,Yes,,Peterborough, K9H7S4,256,2011-05-10,39,27,15,14,10,6,17,11,9,7,5,2
197,FAIRMOUNT HOME FOR THE AGED,2069 Battersea Road R. R. #1,"Glenburnie, K0H1S0",South East,The Corporation Of The County Of Frontenac,,Municipal,Home with approximately 128 beds,No,Yes,No,Yes,,Glenburnie, K0H1S0,128,2010-11-01,35,23,11,12,8,4,17,11,6,1,,
198,FAIRVERN NURSING HOME,14 Mill Street,"Huntsville, P1H2A4",North Simcoe Muskoka,Huntsville District Nursing Home Inc.,,Non-Profit,Home with approximately 76 beds,No,Yes,Yes,Yes,,Huntsville, P1H2A4,76,2011-11-22,21,11,6,4,2,2,7,4,4,4,,
199,FAIRVIEW LODGE,632 Dundas Street West P.O. Box 300,"Whitby, L1N5S3",Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 198 beds,No,Yes,Yes,Yes,,Whitby, L1N5S3,198,2010-08-25,46,27,11,18,11,7,19,8,3,2,2,
200,FAIRVIEW MANOR,75 Spring Street,"Almonte, K0A1A0",Champlain,Almonte General Hospital,,Non-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Almonte, K0A1A0,112,2011-08-09,29,19,11,7,5,5,11,9,4,4,,
201,FAIRVIEW MENNONITE HOME,515 Langs Drive,"Cambridge, N3H5E4",Waterloo Wellington,Fairview Mennonite Homes,,Non-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,,Cambridge, N3H5E4,84,2010-09-01,18,13,6,6,5,2,3,2,2,6,6,3
202,FAIRVIEW NURSING HOME,14 Cross Street,"Toronto, M6J1S8",Toronto Central,Fairview Nursing Home Limited,Specialty Care Inc.,For-Profit,Home with approximately 108 beds,No,Yes,Yes,Yes,,Toronto, M6J1S8,108,2010-07-15,33,9,6,12,2,2,11,3,3,8,1,1
203,FAITH MANOR NURSING HOME,7900 Mclaughlin Road South,"Brampton, L6Y5A7",Central West,Holland Christian Homes Inc.,,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Brampton, L6Y5A7,120,2010-10-06,39,18,6,15,4,2,11,4,2,12,8,3
204,FENELON COURT,44 Wychwood Crescent,"Fenelon Falls, K0M1N0",Central East,Axr Operating (National) Lp,,For-Profit,Home with approximately 67 beds,No,Yes,Yes,Yes,,Fenelon Falls, K0M1N0,67,2011-10-11,19,12,5,6,3,1,8,5,3,,,
205,FIDDICK'S NURSING HOME,437 First Avenue P.O. Box 340,"Petrolia, N0N1R0",Erie St. Clair,Fiddick's Nursing Home Limited,,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Petrolia, N0N1R0,92,2010-10-26,38,24,13,17,11,4,12,7,5,3,3,2
206,FIELDSTONE COMMONS CARE COMMUNITY,1000 Ellesmere Road,"Scarborough, M1P5G2",Central East,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 224 beds,Yes,Yes,Yes,Yes,,Scarborough, M1P5G2,224,2011-03-16,43,19,6,17,7,3,18,8,2,8,5,2
207,FINLANDIA HOIVAKOTI NURSING HOME LIMITED,233 Fourth Avenue,"Sudbury, P3B4C3",North East,Finlandia Nursing Home Limited,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Sudbury, P3B4C3,112,2010-11-29,44,20,9,16,4,2,15,9,4,7,5,1
208,FOREST HEIGHTS,60 Westheights Drive,"Kitchener, N2N2A8",Waterloo Wellington,Revera Long Term Care Inc.,,For-Profit,Home with approximately 240 beds,Yes,Yes,Yes,Yes,,Kitchener, N2N2A8,240,2010-08-30,104,42,15,47,14,7,41,17,4,12,7,4
209,FOREST HILL,6501 Campeau Drive,"Kanata, K2K3E9",Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Kanata, K2K3E9,160,2010-08-19,42,23,9,17,10,5,16,6,3,3,2,
210,FOSTERBROOKE,330 King Street West,"Newcastle, L1B1G9",Central East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 88 beds,Yes,Yes,Yes,Yes,,Newcastle, L1B1G9,88,2010-07-01,24,14,3,9,4,,6,4,2,4,2,1
211,FOUNTAIN VIEW CARE COMMUNITY,1800 O'Connor Drive,"East York, M4A1W7",Toronto Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 158 beds,No,Yes,Yes,Yes,,East York, M4A1W7,158,2010-10-05,45,18,13,22,5,4,15,9,7,7,4,3
212,FOX RIDGE CARE COMMUNITY,389 West Street,"Brantford, N3R3V9",Hamilton Niagara Haldimand Brant (Hnhb),2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 122 beds,No,Yes,Yes,Yes,,Brantford, N3R3V9,122,2010-07-21,65,22,9,25,8,3,23,7,4,20,10,6
213,FOYER DES PIONNIERS,67 15th Street P.O. Box 1538,"Hearst, P0L1N0",North East,Foyer Hearst - Mattice - Soins De Sante,,Non-Profit,Home with approximately 67 beds,Yes,Yes,Yes,No,,Hearst, P0L1N0,67,2011-11-08,19,14,8,1,,,8,6,6,3,3,1
214,FOYER RICHELIEU WELLAND,655 Tanguay Avenue,"Welland, L3B6A1",Hamilton Niagara Haldimand Brant (Hnhb),Foyer Richelieu Welland,,Non-Profit,Home with approximately 63 beds,No,Yes,Yes,No,,Welland, L3B6A1,63,2011-07-19,45,23,10,28,8,5,5,5,5,8,6,
215,FOYER ST-VIATEUR NURSING HOME,1003 Limoges Road South,"Limoges, K0A2M0",Champlain,Genesis Gardens Inc.,,For-Profit,Home with approximately 57 beds,No,Yes,Yes,Yes,,Limoges, K0A2M0,57,2010-09-21,68,32,12,24,4,,15,10,8,23,14,2
216,FRANKLIN GARDENS LONG TERM CARE HOME,24 Franklin Road,"Leamington, N8H4B7",Erie St. Clair,"Dtoc Long Term Care Lp, By Its General Partner, Dtoc Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Universalcare Canada Inc.,For-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Leamington, N8H4B7,120,2010-08-18,57,25,10,21,9,3,28,10,5,4,3,2
217,FRIENDLY MANOR NURSING HOME,"9756 County Road, #2 P.O. Box 305","Deseronto, K0K1X0",South East,Manorcare Partners Ii,Eldercare Management & Consulting Corp.,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,Deseronto, K0K1X0,60,2010-09-27,31,22,6,7,7,2,15,8,3,3,3,
218,FROST MANOR,225 Mary Street West,"Lindsay, K9V5K3",Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 62 beds,No,Yes,Yes,Yes,,Lindsay, K9V5K3,62,2011-06-10,22,15,4,4,3,,10,6,3,3,1,
219,FUDGER HOUSE,439 Sherbourne Street,"Toronto, M4X1K6",Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 250 beds,Yes,Yes,Yes,Yes,,Toronto, M4X1K6,250,2010-11-03,23,14,8,11,4,3,6,4,4,2,2,2
220,GARDEN CITY MANOR,168 Scott Street,"St. Catharines, L2N1H2",Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 200 beds,No,Yes,Yes,Yes,,St. Catharines, L2N1H2,200,2010-07-06,59,25,13,29,9,4,16,9,6,11,5,2
221,GARDEN COURT NURSING HOME,1 Sand Beach Road,"Etobicoke, M8V2W2",Toronto Central,Shaparrall Limited,,For-Profit,Home with approximately 45 beds,No,Yes,Yes,No,,Etobicoke, M8V2W2,45,2010-12-09,14,9,5,3,1,1,3,3,1,5,3,3
222,GARDEN TERRACE,100 Aird Place,"Kanata, K2L4H8",Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 160 beds,Yes,Yes,Yes,Yes,,Kanata, K2L4H8,160,2011-10-24,56,43,22,21,13,9,25,21,11,5,5,1
223,GARDENVIEW LONG TERM CARE HOME,72 Town Centre Drive,"Townsend, N0A1S0",Hamilton Niagara Haldimand Brant (Hnhb),Parkview Meadows Christian Retirement Village,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Townsend, N0A1S0,64,2011-10-20,18,14,2,8,6,2,1,,,5,5,
224,GARRY J. ARMSTRONG HOME,200 Island Lodge Road,"Ottawa, K1N5M2",Champlain,City Of Ottawa,,Municipal,Home with approximately 180 beds,No,Yes,Yes,Yes,,Ottawa, K1N5M2,180,2011-09-22,73,56,25,32,27,14,25,19,6,14,9,3
225,GATEWAY HAVEN LONG TERM CARE HOME,671 Frank Street P.O. Box 10,"Wiarton, N0H2T0",South West,Corporation Of The County Of Bruce,,Municipal,Home with approximately 100 beds,No,Yes,Yes,No,,Wiarton, N0H2T0,100,2010-08-25,20,11,6,5,2,1,8,3,3,6,5,3
227,GEORGIAN HEIGHTS,1115-10th Street East,"Owen Sound, N4K6B1",South West,Grosvenor Health Care Partnership (No. 3),Revera Long Term Care Inc.,For-Profit,Home with approximately 40 beds,No,Yes,Yes,Yes,,Owen Sound, N4K6B1,40,2010-09-23,20,9,4,3,,,5,2,2,13,8,3
228,GEORGIAN MANOR HOME FOR THE AGED,101 Thompsons Road,"Penetanguishene, L9M0V3",North Simcoe Muskoka,Corporation Of The County Of Simcoe,,Municipal,Home with approximately 143 beds,Yes,Yes,Yes,Yes,,Penetanguishene, L9M0V3,143,2011-02-23,23,17,7,7,6,1,8,4,4,2,2,
229,GERALDTON DISTRICT HOSPITAL,500 Hogarth Avenue West,"Geraldton, P0T1M0",North West,Geraldton District Hospital,,Non-Profit,Home with approximately 19 beds,No,Yes,Yes,Yes,,Geraldton, P0T1M0,19,2011-12-12,14,10,3,1,1,,5,4,2,5,3,
230,GILMORE LODGE,50 Gilmore Road,"Fort Erie, L2A2M1",Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,Home with approximately 80 beds,No,Yes,Yes,Yes,,Fort Erie, L2A2M1,80,2011-09-23,18,10,4,7,4,2,4,2,2,2,1,
231,GLEBE CENTRE,950 Bank Street,"Ottawa, K1S5G6",Champlain,The Glebe Centre Incorporated,,Non-Profit,Home with approximately 254 beds,No,Yes,Yes,Yes,,Ottawa, K1S5G6,254,2010-08-25,45,30,21,21,13,12,16,10,6,5,5,4
232,GLEN HILL MARNWOOD,26 Elgin Street,"Bowmanville, L1C3C8",Central East,Glen Hill Terrace Christian Homes Inc.,,Non-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,Bowmanville, L1C3C8,60,2010-09-27,25,13,6,8,2,1,9,7,5,4,1,
233,GLEN HILL STRATHAVEN,264 King Street East,"Bowmanville, L1C1P9",Central East,Glen Hill Terrace Christian Homes Inc.,,Non-Profit,Home with approximately 199 beds,Yes,Yes,No,Yes,,Bowmanville, L1C1P9,199,2011-05-18,58,29,12,16,7,3,15,12,6,23,9,3
234,GLEN-STOR-DUN LODGE,1900 Montreal Road,"Cornwall, K6H7L1",Champlain,The Corporation Of The City Of Cornwall,,Municipal,Home with approximately 132 beds,Yes,Yes,Yes,Yes,,Cornwall, K6H7L1,132,2011-05-31,42,27,14,19,8,5,13,10,6,10,10,6
235,GOLDEN DAWN NURSING HOME,80 Main Street P. O. Box 129,"Lion's Head, N0H1W0",South West,Golden Dawn Senior Citizen Home,,Non-Profit,Home with approximately 45 beds,No,Yes,Yes,No,,Lion's Head, N0H1W0,45,2010-07-15,19,12,7,6,4,3,3,2,2,10,8,5
236,GOLDEN MANOR,481 Melrose Boulevard,"Timmins, P4N5H3",North East,Corporation Of The City Of Timmins,,Municipal,Home with approximately 177 beds,Yes,Yes,Yes,Yes,,Timmins, P4N5H3,177,2011-08-16,22,14,6,7,4,2,9,5,4,6,4,
237,GOLDEN PLOUGH LODGE,983 Burnham Street,"Cobourg, K9A5J6",Central East,The Corporation Of The County Of Northumberland,,Municipal,Home with approximately 151 beds,No,Yes,Yes,Yes,,Cobourg, K9A5J6,151,2010-09-22,64,32,7,17,9,2,27,10,5,11,7,1
238,GOLDEN YEARS NURSING HOME,704 Eagle Street North P.O. Box 3277,"Cambridge, N3H4T3",Waterloo Wellington,Golden Years Nursing Homes (Cambridge) Inc.,,For-Profit,Home with approximately 90 beds,No,Yes,Yes,No,,Cambridge, N3H4T3,90,2010-07-21,57,27,13,23,10,4,12,7,5,14,9,5
239,GOOD SAMARITAN NURSING HOME,481 Victoria Street East,"Alliston, L9R1J8",Central,Clurelea Ltd.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Alliston, L9R1J8,64,2011-11-29,14,8,4,3,,,4,3,2,1,1,1
240,GRACE MANOR,45 Kingknoll Drive,"Brampton, L6Y5P2",Central West,Holland Christian Homes Inc.,,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Brampton, L6Y5P2,120,2010-08-05,39,22,15,20,10,8,11,5,5,11,8,4
241,GRACE VILLA NURSING HOME,45 Lockton Crescent,"Hamilton, L8V4V5",Hamilton Niagara Haldimand Brant (Hnhb),Grace Villa Limited,Apans Health Services,For-Profit,Home with approximately 184 beds,No,Yes,No,Yes,,Hamilton, L8V4V5,184,2010-07-08,81,26,12,37,10,5,13,6,5,31,13,4
244,GRANDVIEW LODGE / DUNNVILLE,657 Lock Street West,"Dunnville, N1A1V9",Hamilton Niagara Haldimand Brant (Hnhb),The Corporation Of Haldimand County,,Municipal,Home with approximately 128 beds,No,Yes,Yes,Yes,,Dunnville, N1A1V9,128,2010-08-18,37,17,7,16,8,4,12,4,1,9,5,
245,GRANITE RIDGE CARE COMMUNITY,5501 Abbott Street East,"Stittsville, K2S2C5",Champlain,Specialty Care Ottawa Inc.,,For-Profit,Home with approximately 224 beds,No,Yes,Yes,Yes,,Stittsville, K2S2C5,224,2010-08-30,34,22,10,14,8,5,16,11,5,1,,
247,GREENWOOD COURT,90 Greenwood Drive,"Stratford, N5A7W5",South West,Tri-county Mennonite Homes,,Non-Profit,Home with approximately 45 beds,No,Yes,No,No,,Stratford, N5A7W5,45,2010-09-27,22,14,5,6,5,1,4,4,3,4,1,
248,GREY GABLES HOME FOR THE AGED,206 Toronto Street South,"Markdale, N0C1H0",South West,Corporation Of The County Of Grey,,Municipal,Home with approximately 66 beds,No,Yes,Yes,No,,Markdale, N0C1H0,66,2010-08-05,40,19,8,10,6,2,20,5,1,8,6,4
249,GROVE PARK HOME FOR SENIOR CITIZENS,234 Cook Street,"Barrie, L4M4H5",North Simcoe Muskoka,Grove Park Home For Senior Citizens,,Non-Profit,Home with approximately 143 beds,No,Yes,No,Yes,,Barrie, L4M4H5,143,2012-02-01,23,15,9,5,3,3,9,6,5,3,1,
250,GROVES PARK LODGE,470 Raglan Street North,"Renfrew, K7V1P5",Champlain,Gem Health Care Group Limited,,For-Profit,Home with approximately 90 beds,Yes,Yes,Yes,Yes,,Renfrew, K7V1P5,90,2010-10-19,19,14,8,4,3,2,10,7,5,3,3,2
251,H.J. MCFARLAND MEMORIAL HOME,"R.R. #2, 603 Highway 49 Hallowell Township","Picton, K0K2T0",South East,County Of Prince Edward,,Municipal,Home with approximately 84 beds,No,Yes,Yes,Yes,,Picton, K0K2T0,84,2011-05-10,64,37,15,16,9,4,30,18,10,14,9,2
252,HALLOWELL HOUSE,13628 Loyalist Parkway,"Picton, K0K2T0",South East,Revera Long Term Care Inc.,,For-Profit,Home with approximately 97 beds,No,Yes,Yes,Yes,,Picton, K0K2T0,97,2010-09-09,43,20,10,17,8,5,18,6,4,5,5,2
253,HAMILTON CONTINUING CARE,125 Wentworth Street South,"Hamilton, L8N2Z1",Hamilton Niagara Haldimand Brant (Hnhb),Schlegel Villages Inc.,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Hamilton, L8N2Z1,64,2010-11-21,43,22,9,15,4,2,13,6,3,14,11,4
254,HAMPTON TERRACE CARE CENTRE,75 Plains Road West,"Burlington, L7T1E8",Hamilton Niagara Haldimand Brant (Hnhb),Unger Nursing Homes Limited,,For-Profit,Home with approximately 101 beds,No,Yes,Yes,Yes,,Burlington, L7T1E8,101,2011-09-21,32,15,6,15,6,3,4,3,1,11,5,1
255,HANOVER CARE CENTRE,700-19th Avenue,"Hanover, N4N3S6",South West,Hanover Nursing Home Limited,,For-Profit,Home with approximately 41 beds,No,Yes,No,No,,Hanover, N4N3S6,41,2010-11-24,22,13,4,7,3,1,6,4,3,4,2,
256,HARDY TERRACE,612 Mount Pleasant Road R. R. #2,"Brantford, N3T5L5",Hamilton Niagara Haldimand Brant (Hnhb),"Diversicare Canada Management Services Co., Inc.",,For-Profit,Home with approximately 101 beds,Yes,Yes,Yes,Yes,,Brantford, N3T5L5,101,2010-09-02,48,22,14,21,8,6,16,7,5,14,7,5
257,HARMONY HILLS CARE COMMUNITY,1800 O'Connor Drive,"Toronto, M4A1W7",Toronto Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Toronto, M4A1W7,160,2010-12-14,19,9,6,6,3,3,7,3,3,1,,
258,HAROLD AND GRACE BAKER CENTRE,1 Northwestern Avenue,"Toronto, M6M2J7",Central,Harold And Grace Baker Centre,Revera Long Term Care Inc.,Non-Profit,Home with approximately 120 beds,No,Yes,Yes,Yes,,Toronto, M6M2J7,120,2011-06-20,22,13,6,12,4,2,5,4,3,3,3,2
259,HASTINGS CENTENNIAL MANOR,1 Manor Lane P.O. Box 758,"Bancroft, K0L1C0",South East,The Corporation Of The County Of Hastings,,Municipal,Home with approximately 110 beds,Yes,Yes,Yes,Yes,,Bancroft, K0L1C0,110,2011-03-01,34,28,14,7,6,6,20,17,7,2,1,
260,HASTINGS MANOR HOME FOR THE AGED,476 Dundas Street West P.O. Box 458,"Belleville, K8N5B2",South East,The Corporation Of The County Of Hastings,,Municipal,Home with approximately 253 beds,Yes,Yes,Yes,Yes,,Belleville, K8N5B2,253,2010-09-29,73,58,15,28,23,8,34,26,6,9,8,
261,HAWTHORN WOODS CARE COMMUNITY,9257 Goreway Drive,"Brampton, L6P0N5",Central West,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Brampton, L6P0N5,160,2010-09-16,60,28,16,26,7,4,24,14,9,8,7,4
262,HAWTHORNE PLACE CARE CENTRE,2045 Finch Avenue West,"North York, M3N1M9",Central,Rykka Care Centres Lp,,For-Profit,Home with approximately 269 beds,Yes,Yes,Yes,Yes,,North York, M3N1M9,269,2010-11-04,92,35,17,44,16,9,29,12,5,26,13,9
263,HEARTWOOD (FKA VERSA-CARE CORNWALL),201-11th Street East,"Cornwall, K6H2Y6",Champlain,Heartwood Operating Inc.,,For-Profit,Home with approximately 118 beds,No,Yes,Yes,Yes,,Cornwall, K6H2Y6,118,2010-10-14,40,25,14,20,14,7,15,7,5,2,2,2
264,HEIDEHOF LONG TERM CARE HOME,600 Lake Street,"St. Catharines, L2N4J4",Hamilton Niagara Haldimand Brant (Hnhb),"Benevolent Society ""heidehof"" For The Care Of The Aged",,Non-Profit,Home with approximately 106 beds,No,Yes,No,No,,St. Catharines, L2N4J4,106,2011-05-05,22,12,4,6,3,1,4,1,,6,4,
265,HELEN HENDERSON NURSING HOME,343 Amherst Drive,"Amherstview, K7N1X3",South East,Gibson Holdings (Ontario) Ltd.,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Amherstview, K7N1X3,104,2010-09-27,59,28,10,29,12,3,14,9,5,6,2,2
266,HELLENIC CARE FOR SENIORS (TORONTO),215 Tyrrel Avenue,"Toronto, M6G4A9",Toronto Central,Hellenic Care For Seniors (Toronto) Inc.,,Non-Profit,Home with approximately 81 beds,No,Yes,No,Yes,,Toronto, M6G4A9,81,2011-12-01,20,10,6,9,2,2,4,3,3,1,1,1
267,HELLENIC HOME - SCARBOROUGH,2411 Lawrence Avenue East,"Scarborough, M1P4X1",Central East,Hellenic Home For The Aged Inc.,,Non-Profit,Home with approximately 128 beds,Yes,Yes,Yes,Yes,,Scarborough, M1P4X1,128,2010-07-15,38,18,13,24,8,6,5,4,3,4,4,4
268,HENLEY PLACE,1961 Cedarhollow Blvd,"London, N5X0K2",South West,Henley Place Limited,Primacare Living Solutions Inc.,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,London, N5X0K2,192,2014-03-07,62,44,19,31,18,5,20,17,10,6,5,2
269,HERITAGE GREEN NURSING HOME,353 Isaac Brock Drive,"Stoney Creek, L8J2J3",Hamilton Niagara Haldimand Brant (Hnhb),Heritage Green Nursing Home,,Non-Profit,Home with approximately 167 beds,No,Yes,Yes,Yes,,Stoney Creek, L8J2J3,167,2010-08-06,61,27,16,23,10,7,11,4,3,28,11,3
270,HERON TERRACE LONG TERM CARE COMMUNITY,11550 McNorton Street,"Windsor, N8P1T9",Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,Home with approximately 140 beds,No,Yes,No,Yes,,Windsor, N8P1T9,140,2010-12-07,90,38,12,55,22,7,27,12,4,5,1,1
271,HIGHLAND WOOD,7199 Gelert Road P.O. Box 115,"Haliburton, K0M1S0",Central East,Haliburton Highlands Health Services Corporation,,Non-Profit,Home with approximately 30 beds,No,Yes,Yes,Yes,,Haliburton, K0M1S0,30,2011-08-19,15,10,6,2,2,2,4,2,2,2,2,1
272,HILLCREST VILLAGE CARE CENTRE,255 Russell Street,"Midland, L4R5L6",North Simcoe Muskoka,Hillcrest Village Inc.,,For-Profit,Home with approximately 164 beds,No,Yes,Yes,Yes,,Midland, L4R5L6,164,2011-06-26,24,14,8,9,3,2,10,7,5,2,2,1
273,HILLEL LODGE,10 Nadolny Sachs Private,"Ottawa, K2A4G7",Champlain,The Ottawa Jewish Home For The Aged,,Non-Profit,Home with approximately 121 beds,No,Yes,Yes,Yes,,Ottawa, K2A4G7,121,2011-08-18,51,35,19,28,19,13,13,10,6,7,5,2
274,HILLSDALE ESTATES,590 Oshawa Blvd. North,"Oshawa, L1G5T9",Central East,Regional Municipality Of Durham,,Municipal,Home with approximately 300 beds,No,Yes,Yes,Yes,,Oshawa, L1G5T9,300,2010-08-18,53,32,15,23,11,5,21,12,8,12,12,8
